component,subsystem,platform,embodied_kWh_per_unit,count[L3 Small],count[L3 Medium],count[L3 Large],count[L4],count[L5],count[Basic],count[Semi],count[Highly],maps_from_model_level
Onboard Camera,Sensing,CAV,47.82,8,7,9,29,35,-,-,-,L3<-'L3 Medium'; L4<-'L4'; L5<-'L5'
Onboard LiDAR S,Sensing,CAV,265.77,0,2,5,2,4,-,-,-,L3<-'L3 Medium'; L4<-'L4'; L5<-'L5'
Onboard LiDAR L,Sensing,CAV,345.72,0,0,0,1,2,-,-,-,L3<-'L3 Medium'; L4<-'L4'; L5<-'L5'
Onboard Radar,Sensing,CAV,327.67,1,2,4,6,14,-,-,-,L3<-'L3 Medium'; L4<-'L4'; L5<-'L5'
Sonar,Sensing,CAV,114.74,12,8,0,0,8,-,-,-,L3<-'L3 Medium'; L4<-'L4'; L5<-'L5'
Onboard Computing Unit,Computing,CAV,458.59,1,1,1,1,2,-,-,-,L3<-'L3 Medium'; L4<-'L4'; L5<-'L5'
Cellular Comm. Unit,Communication,CAV,155.15,1,1,1,1,1,-,-,-,L3<-'L3 Medium'; L4<-'L4'; L5<-'L5'
DSRC,Communication,CAV,149.29,1,1,1,1,1,-,-,-,L3<-'L3 Medium'; L4<-'L4'; L5<-'L5'
Inductive Loop Detector,Sensing,STI,231.99,-,-,-,-,-,4,24,24,Basic<-'Basic'; Semi<-'Semi'; Highly<-'Highly'
Roadside Unit,Communication,STI,77.59,-,-,-,-,-,2,4,4,Basic<-'Basic'; Semi<-'Semi'; Highly<-'Highly'
Static Camera,Sensing,STI,88.5,-,-,-,-,-,4,8,16,Basic<-'Basic'; Semi<-'Semi'; Highly<-'Highly'
Static HP LiDAR,Sensing,STI,607.58,-,-,-,-,-,1,2,4,Basic<-'Basic'; Semi<-'Semi'; Highly<-'Highly'
Static HP Radar,Sensing,STI,436.94,-,-,-,-,-,1,2,4,Basic<-'Basic'; Semi<-'Semi'; Highly<-'Highly'
Edge Computing Unit,Computing,STI,132.85,-,-,-,-,-,2,4,4,Basic<-'Basic'; Semi<-'Semi'; Highly<-'Highly'
HP Computing Unit,Computing,STI,654.32,-,-,-,-,-,0,0,2,Basic<-'Basic'; Semi<-'Semi'; Highly<-'Highly'
