region,year,n_samples,deterministic_kgCO2,p05_kgCO2,p50_kgCO2,p95_kgCO2,det_minus_p50_rel,det_within_p05_p95,det_vs_p50_within_2pct
california,2030,60,407365074.2,221840594.0,431598247.2,974801343.2,0.0595,yes,NO
california,2040,60,1436083506.5,953941234.8,1649823856.6,2982107728.7,0.1488,yes,NO
california,2050,60,2118507196.6,1133011360.1,2372880886.5,4359488539.4,0.1201,yes,NO
california,2060,60,2220941408.1,78665348.3,2545466299.3,5346729290.4,0.1461,yes,NO
ohio,2030,60,86632928.5,92393466.3,152914319.6,271451857.1,0.7651,NO,NO
ohio,2040,60,308314774.1,322392738.4,563659891.3,889632305.8,0.8282,NO,NO
ohio,2050,60,502803932.3,521378081.3,851292096.5,1453119712.1,0.6931,NO,NO
ohio,2060,60,712320610.7,681483515.1,1177898249.4,2080825345.9,0.6536,yes,NO
us_average,2030,60,151307472.1,82830049.4,172397991.1,307593174.5,0.1394,yes,NO
us_average,2040,60,567332884.6,341280953.2,677587673.8,1172795030.8,0.1943,yes,NO
us_average,2050,60,829243618.1,536076887.7,939286657.4,1710787169.7,0.1327,yes,NO
us_average,2060,60,942946384.7,26640542.1,1121508274.8,2118497613.3,0.1894,yes,NO
