region,unit_type,level,sensing_kWh_yr,computing_kWh_yr,communication_kWh_yr,av_total_kWh_yr,propulsion_kWh_yr,total_kWh_yr,autonomy_share,implied_compute_kW_at_3h
california,ECAV,L3,78,4960,18,5056,3565.0,8621.0,0.5864748869040715,4.529680365296803
california,ICECAV,L3,124.80000000000001,7936.0,28.8,8089.6,14200.0,22289.6,0.3629315914148303,7.247488584474886
california,ECAV,L4,184,9920,26,10130,3565.0,13695.0,0.7396860167944506,9.059360730593607
california,ICECAV,L4,294.40000000000003,15872.0,41.6,16208.0,14200.0,30408.0,0.5330176269402789,14.494977168949772
california,ECAV,L5,325,19841,36,20202,3565.0,23767.0,0.8500021037573106,18.119634703196347
california,ICECAV,L5,520.0,31745.600000000002,57.6,32323.2,14200.0,46523.2,0.6947759397461912,28.991415525114157
california,STI,Basic,176,39682,854,40712,0.0,40712,1.0,4.529908675799087
california,STI,Semi,1054,79365,1103,81522,0.0,81522,1.0,9.059931506849315
california,STI,Highly,1303,158730,1327,161360,0.0,161360,1.0,18.11986301369863
ohio,ECAV,L3,106,3472,12,3590,3565.0,7155.0,0.5017470300489169,3.1707762557077626
ohio,ICECAV,L3,169.60000000000002,5555.200000000001,19.200000000000003,5744.0,14200.0,19944.0,0.2880064179703169,5.073242009132421
ohio,ECAV,L4,249,6945,17,7211,3565.0,10776.0,0.6691722345953972,6.342465753424658
ohio,ICECAV,L4,398.40000000000003,11112.0,27.200000000000003,11537.6,14200.0,25737.6,0.448278005719259,10.147945205479452
ohio,ECAV,L5,446,13891,24,14361,3565.0,17926.0,0.8011268548477073,12.685844748858447
ohio,ICECAV,L5,713.6,22225.600000000002,38.400000000000006,22977.600000000002,14200.0,37177.600000000006,0.618049578240661,20.297351598173517
ohio,STI,Basic,179,27782,569,28530,0.0,28530,1.0,3.1714611872146117
ohio,STI,Semi,1076,55564,735,57375,0.0,57375,1.0,6.342922374429223
ohio,STI,Highly,1417,111129,884,113430,0.0,113430,1.0,12.685958904109588
us_average,ECAV,L3,1053.4093,3542.651725,506.07725,5102.138275,3565.0,8667.138275000001,0.5886762288905562,3.235298378995434
us_average,ICECAV,L3,1685.4548800000002,5668.242760000001,809.7236,8163.421240000001,14200.0,22363.42124,0.3650345424517881,5.176477406392695
us_average,ECAV,L4,1624.7643,6071.00345,508.787375,8204.555125,3565.0,11769.555125,0.6970998510871922,5.544295388127854
us_average,ICECAV,L4,2599.6228800000004,9713.605520000001,814.0598,13127.288200000003,14200.0,27327.288200000003,0.48037288237037734,8.870872621004567
us_average,ECAV,L5,3223.0515,12061.5069,1012.045,16296.6034,3565.0,19861.6034,0.820507945496485,11.015074794520547
us_average,ICECAV,L5,5156.8824,19298.411040000003,1619.272,26074.565440000002,14200.0,40274.565440000006,0.6474201560000742,17.62411967123288
us_average,STI,Basic,5089.8776,24692.562,2784.7,32567.139600000002,0.0,32567.139600000002,1.0,2.8187856164383565
us_average,STI,Semi,10538.2144,49653.18,5367.92,65559.3144,0.0,65559.3144,1.0,5.668171232876713
us_average,STI,Highly,20708.5088,98609.94,10442.38,129760.8288,0.0,129760.8288,1.0,11.256842465753424
