region,scenario,mc_runs,active_layers,year,metric,p05,p50,p95,width,width_over_median,interpretation_boundary_year,elapsed_sec
california,baseline_deterministic,0,none,2030,ATS Emissions (kg CO2),5257798399.152401,5257798399.152401,5257798399.152401,0.0,0.0,,0.0
california,baseline_deterministic,0,none,2050,ATS Emissions (kg CO2),3605888325.4879436,3605888325.4879436,3605888325.4879436,0.0,0.0,,0.0
california,baseline_deterministic,0,none,2075,ATS Emissions (kg CO2),127214012.04943141,127214012.04943141,127214012.04943141,0.0,0.0,,0.0
california,L1_only,150,L1,2030,ATS Emissions (kg CO2),4859655556.499488,5295444496.774542,5763646644.1510315,903991087.6515436,0.17071108727551862,2063.0,0.71
california,L1_only,150,L1,2050,ATS Emissions (kg CO2),2831700345.544075,3712189193.5990067,4398106829.250133,1566406483.7060575,0.42196299865509007,2063.0,0.71
california,L1_only,150,L1,2075,ATS Emissions (kg CO2),90732110.78876042,211984826.8970494,4513236773.549414,4422504662.7606535,20.86236419603959,2063.0,0.71
california,L2_only,150,L2,2030,ATS Emissions (kg CO2),2946823496.532108,5058214775.434113,9359417646.642824,6412594150.110716,1.267758376187252,,0.72
california,L2_only,150,L2,2050,ATS Emissions (kg CO2),2241817323.39601,3473547824.213038,5796428460.7156725,3554611137.3196626,1.0233373246055681,,0.72
california,L2_only,150,L2,2075,ATS Emissions (kg CO2),82024682.20098628,119877627.32358587,190817719.63405204,108793037.43306576,0.9075341234390679,,0.72
california,L3_only,150,L3,2030,ATS Emissions (kg CO2),3238189780.156963,5571630683.255939,8405966936.691974,5167777156.535011,0.9275160990238276,2042.0,0.71
california,L3_only,150,L3,2050,ATS Emissions (kg CO2),2143566805.9668548,4032297101.789261,8048347654.570758,5904780848.603903,1.4643714735166118,2042.0,0.71
california,L3_only,150,L3,2075,ATS Emissions (kg CO2),101386124.7474181,145183653.74122715,4904127584.94037,4802741460.192951,33.08045593585401,2042.0,0.71
california,L1_L2,150,L1;L2,2030,ATS Emissions (kg CO2),2833341867.835257,4979888996.604466,8760751813.924215,5927409946.088959,1.1902694919767407,2058.0,0.73
california,L1_L2,150,L1;L2,2050,ATS Emissions (kg CO2),2075241987.723012,3746785735.791703,6746800275.607309,4671558287.884297,1.2468175703933568,2058.0,0.73
california,L1_L2,150,L1;L2,2075,ATS Emissions (kg CO2),94184284.66864713,195623234.14434677,4358653225.954039,4264468941.2853913,21.799399033239162,2058.0,0.73
california,L1_L3,150,L1;L3,2030,ATS Emissions (kg CO2),3127084222.686367,5805752358.143179,8633961469.747828,5506877247.0614605,0.9485208647140254,2041.0,0.71
california,L1_L3,150,L1;L3,2050,ATS Emissions (kg CO2),2135766711.1017103,4562824533.43512,8503777758.863247,6368011047.761537,1.395629176861505,2041.0,0.71
california,L1_L3,150,L1;L3,2075,ATS Emissions (kg CO2),80551472.4405322,269765757.6501913,6376071392.742411,6295519920.301879,23.33698678119615,2041.0,0.71
california,L2_L3,150,L2;L3,2030,ATS Emissions (kg CO2),2571262748.669544,5098301209.455027,10609320182.45262,8038057433.783075,1.5766148572932763,2030.0,0.74
california,L2_L3,150,L2;L3,2050,ATS Emissions (kg CO2),1830878010.9481502,3975350723.3012476,10096102841.26461,8265224830.31646,2.0791183987542046,2030.0,0.74
california,L2_L3,150,L2;L3,2075,ATS Emissions (kg CO2),83022851.6082794,168963476.50000173,5177099070.105524,5094076218.497245,30.148978489426337,2030.0,0.74
california,all_free_L1_L2_L3,150,L1;L2;L3,2030,ATS Emissions (kg CO2),2699349076.804479,5119247345.232231,10310499426.379503,7611150349.575024,1.4867713623299734,2031.0,0.73
california,all_free_L1_L2_L3,150,L1;L2;L3,2050,ATS Emissions (kg CO2),1617846332.7862968,3996675744.0989294,11420797378.504002,9802951045.717705,2.452776175348153,2031.0,0.73
