peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule,run_id,annual_emis_2030,annual_emis_2035,annual_emis_2045,annual_emis_2050,annual_emis_2055,annual_emis_2075,cumulative_emissions_2050
7696480252.909607,2039,135731757310.9726,2046.0,50_percent_of_peak,0,4581078640.920635,7045041106.416473,4008195001.877327,1812538369.5561876,278120908.74056023,213211415.93371665,123666333711.75006
5275513931.604366,2040,107538739945.76317,2049.0,50_percent_of_peak,1,2741124874.1494093,4444473649.027727,3882698566.116705,1977236072.296384,230625977.0859288,406744478.41796833,90164690761.61945
15481429330.919645,2037,267445216789.2161,2047.0,50_percent_of_peak,2,7988972114.820221,13983551917.902262,8797259040.799442,4557946996.755901,1214946239.7978585,269067510.9763458,244775247308.71555
23554205303.72535,2038,504939975770.3068,2051.0,50_percent_of_peak,3,11032326766.610134,21169156826.905273,16706453630.401478,11973868376.90145,8532678183.501196,480071254.9289862,399835805350.9803
15609228729.569715,2038,277929634267.10114,2047.0,50_percent_of_peak,4,7350172571.179764,13707587701.093155,9812040243.316685,5089337517.031109,1045413605.6612442,420603129.52336454,249321199162.33435
16013622483.202309,2040,355900828975.74066,2052.0,50_percent_of_peak,5,6711080414.014905,12437546418.313828,13138954412.292671,8759445529.308006,5890181214.794774,146039056.54349363,272172490842.91595
13893703445.046085,2036,225656401783.07272,2045.0,50_percent_of_peak,6,7835786158.305075,13227790571.226482,6661663817.444741,2855323698.2177396,192142602.81873685,287348474.1996292,211298011718.55136
25139240035.67539,2034,470870661200.73083,2046.0,50_percent_of_peak,7,16408641660.905603,25017088923.581924,13004212222.017385,8650381837.578526,5526514535.894193,391339702.90871835,406378664643.0833
15707704680.399872,2037,293232614244.2915,2048.0,50_percent_of_peak,8,7693176796.323631,14335518658.619593,9895312295.04215,6127816660.044815,3247988433.9970026,258400535.87070826,255845590039.65967
9930944741.521883,2036,257412837991.1155,2062.0,50_percent_of_peak,9,5931773881.841581,9427119489.34872,6178507866.263947,5968135300.660503,6109072757.443761,195699448.08069503,170808342855.2096
18689320205.224766,2039,361481227634.96063,2050.0,50_percent_of_peak,10,8184024208.645745,15162209753.205544,14034714333.70281,8594480577.802849,4397943999.00917,307257332.30539244,311679243783.2793
28871198067.612362,2038,491978650683.3131,2047.0,50_percent_of_peak,11,14297540516.181034,25784970537.304882,17118142110.135817,8534843059.922885,1105297338.5684385,382865480.246456,457724385091.53595
