Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95
2024,1366453.5867649992,3422790.240620028,8522590.025891917,2165232.5208509117,5460021.238293357,14043088.822698174,0.018404073611960878,0.04377141070889451,0.08615657637053917,0.5606858762904919,0.6509813104654978,0.7372505273570065,3943.2151161390743,8873.0709491975,23784.742245054244,19595.91055178462,72278.2406289281,236209.33786514407,578.2573694089614,1396.39467491718,5130.264881953541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.7290077913151,1788.843667348982,4858.599986216062,3821.2631957577646,14783.175850803613,46252.47770189869,104.63454505657586,294.80717656449326,888.1422604785461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,486057685.1805877,725884275.2945793,1130635352.6730242,449953370.15990454,743589094.859237,1390705130.0849745,0.020244480973156963,0.048148551779783964,0.09477223400759309,0.5999338876308264,0.6965500021980826,0.788858064271997,102282.30034121365,239230.50348008802,642525.0934913933,5037093.931598705,11312727.663729552,28088552.5179402,15672.76071796514,39254.70064734854,135650.5582539088,1741596.3175583938,3403976.5482615116,6335412.166281107,165710596.80280548,267115339.04313627,549619951.8369361,2258734.3972947,4945238.155200489,9760003.353191443,17787.931943691674,47425.24378728878,119494.96764405468,742012.9889779773,1991677.0316594113,4875259.645480812,2590.060517675663,7077.062338717975,18675.797070120672,269895.1084836503,593027.9467300186,1131978.1271760194,25561978.7542408,49335956.01680237,98193588.5409691,420768.0574463305,856128.0043674108,1862271.3145302401
2026,1075107694.4716477,1676213972.6824756,2765145812.2086086,1108243427.9594123,1866244769.4178019,3571379877.4099607,0.022268929070472666,0.05296340695776236,0.10424945740835241,0.6419292597649842,0.7453085023519483,0.8440781287710367,328693.183442328,768611.8853177328,2073232.8049332232,13868607.620038286,31941438.74096827,81368661.82070667,50419.49726287067,125793.9977131818,433733.2009191177,3459288.371934614,6761231.84978218,12583867.694985809,300759041.7296574,482769619.322874,999481579.1656826,4486466.557763787,9822600.4925845,19386045.876044966,48795.34688820706,133019.39076740714,337219.1331088745,1965534.8036341253,4873628.78027937,12282000.866629343,6901.214270227201,20063.52027872319,49410.89564189507,452533.3805437199,1061269.3730020425,1963674.6768163852,36715828.35576473,77404700.89943711,163070727.69289055,690844.3705513779,1508805.3675704405,3357794.3934233272
2027,1722020094.4744856,2663908761.9350386,4733110981.707964,1857016720.9763672,3141838582.2008586,6219554451.82572,0.024495821977519934,0.05825974765353861,0.11467440314918767,0.6868643079485331,0.7974800975165848,0.9031635977850093,718184.2925534836,1679134.059832593,4534054.399582483,25199177.258410223,61609368.4248652,158225177.81636775,110242.85455864911,274624.6742837667,946414.0556015808,5176656.831883058,10117854.681061499,18831146.08289502,412748822.9160117,657667812.4216774,1371112141.4691327,6713779.037818176,14699043.98815947,29010274.957592763,83987.67227774322,252515.07359766524,607578.2721464399,3127637.9653583304,7807676.7900219085,20055506.68012753,11394.981404282096,36711.060793613724,88484.05992041768,543657.71714963,1378210.7440586374,2614392.021370044,41634650.049980715,90199057.26752165,200274485.89520735,845528.0958873725,1861548.5166862635,4478465.35209523
2028,2348762515.82712,3757666693.747589,6884442395.662354,2579183949.519699,4495384087.692072,9092169063.597021,0.026945404175271925,0.06408572241889246,0.12614184346410642,0.7349448095049306,0.8533037043427458,0.9663850496299601,1312939.7507477426,3069755.1626707693,8291685.98184145,39129981.637261644,100018414.46288115,257241971.81393296,201614.1100005373,501856.7784018935,1729259.6729837265,6893369.464663531,13473195.688144833,25076038.76558824,505475938.9700879,789006421.564446,1659628830.0197728,8940240.95372745,19573625.271750197,38630828.74694225,111026.0546809317,358896.3602196792,851263.1043907354,3542488.4008733085,9675786.688789828,26696954.687408477,16525.5900146803,52806.88993264736,140307.85598950434,468197.180698673,1491916.9491068847,3039451.6904956643,37389776.98218089,84593645.86665031,203306702.80931544,773565.9230792316,2011350.4741443517,5176027.51736951
2029,2919582709.2918596,4802688234.050221,9111824135.449942,3290432476.344519,5954225975.484949,12017964220.311968,0.02963994459279912,0.07049429466078172,0.13875602781051707,0.7863909461702758,0.9130349636467381,1.0,2163295.7272509392,5057850.91125427,13663721.580167316,55044622.55027957,142169646.899738,377408386.5368068,332299.9297251708,826705.1668401022,2848474.0327903973,8609400.017837007,16827203.560239956,31318450.244458865,565160461.934276,889880814.8766172,1891353943.2150762,11165818.257827153,24446269.799926706,48247560.12395409,115474.60402873001,442476.52954800735,1152778.6361086692,2933428.128751829,10809454.231678812,30504049.071240153,17710.041968494163,66967.1792005697,193471.2048261962,355593.88481971115,1343731.6943297586,3202801.160903908,30600449.916692324,73279711.75077826,177478043.95084122,651539.1316678745,1921858.7072989766,5404640.3889943855
2030,3450324338.871472,5700264359.516726,11337886134.653639,3951485099.514331,7368527037.681796,14875581514.732927,0.032603939052079034,0.0775437241268599,0.1526316305915688,0.8414383124021951,0.9769474111020098,1.0,3328826.899370016,7782963.363435933,21025903.34864951,72865548.97857587,196606221.1327048,518076467.26043385,511498.45345048094,1271906.8572407542,4382443.352644959,10324720.857908925,20179824.287260573,37558279.99702883,621854193.8038577,983847846.2425299,2077480400.841867,13390475.11131581,29316899.107771344,57860314.22897635,136169.3514340048,512181.5158211413,1237473.3039231123,3224696.746124352,10773999.995060697,30395081.189187977,21844.044287582987,73842.9929991226,242996.68834465044,328519.22352558636,1258337.5874595558,2685570.782824315,22826960.887226477,56505485.76421009,139293330.630863,575841.6539075546,1584975.0705230562,5116242.927998211
2031,3866889265.5265636,6513952661.3743515,13508152177.119331,4476260671.41255,8594728098.891949,17582073874.86089,0.03586433295728694,0.0852980965395459,0.1678947936507257,0.9003389942703489,1.0,1.0,4879812.152474753,11409604.586502202,30822482.03866555,92159201.97541238,252478991.8199178,678933585.6184168,750046.0595303382,1864328.7579337629,6423876.380977221,12039302.881774684,23531000.986745134,43795422.15481351,653076376.1183907,1058932879.5054237,2226992752.9309616,15614173.76940562,34185430.55742948,67468927.96658005,169722.14748413136,626211.4781839829,1772623.3543147058,3539859.6393285347,10929814.254824832,31146536.08968917,27731.65741264806,79692.47088540118,267368.73342025565,381621.5564120268,1162366.9962646605,2351028.7838725615,21289316.37136814,54319365.9025666,125949718.45356321,621371.6219961826,1471098.137323612,3977039.313484408
2032,4224356624.6179805,7249802471.180918,15430267692.753952,4914341065.6456995,9635330121.388712,20091156894.965313,0.03945076625301564,0.09382790619350051,0.18468427301579832,0.9633627238692734,1.0,1.0,6899308.0568034435,16131652.938402109,43576267.48820345,112645605.2145154,310551735.6653865,860007610.4105626,1060739.343559071,2635617.0934170494,9081826.142423095,13753115.42067721,26880673.716140483,50029765.15394777,675050400.2573761,1108003051.595827,2347103292.6804347,17836874.456761833,39051777.06539838,77073229.467332,239942.12825556294,781198.0120226364,2095917.1281575442,4390515.974494252,13386262.292592928,39138444.961101696,39047.49193907453,103321.98132135546,360322.5446230219,435945.9483570545,1232437.847451761,2553509.2112654606,21968650.148150805,52808284.618989006,120311664.13497399,709824.7897213127,1572858.6777300895,4275980.987165176
2033,4530326350.793476,8001792568.687676,16825948262.868328,5268993516.094332,10554456184.725605,22434485726.523705,0.043395842878317215,0.10321069681285056,0.20315270031737814,1.0,1.0,1.0,9484481.725118749,22176816.18587225,59901015.45832113,134522017.67305195,376558624.50848764,1061542157.227215,1458633.1317159114,3622911.712513373,12484476.888499271,15466126.136764677,30228779.270622335,56261191.35889355,691113588.0832012,1155964734.628762,2443601978.161863,20058535.233345013,43915846.80880436,86673037.50809859,329836.82785858307,1034145.1642636394,2737606.2508226684,5314653.258706801,15689802.291397572,46364014.99553002,53675.582156431316,137285.5721470893,484277.21059541276,490244.9241402285,1233781.7675604485,2871559.958949101,22460203.403866027,47964371.48493165,127567720.33263,781448.0135645246,1740717.2556899446,4805048.631639658
