peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule
4968167253.202386,2037,106915843713.02357,2046.0,50_percent_of_peak
10072226676.00361,2037,239416872162.13928,2049.0,50_percent_of_peak
9748093329.074478,2037,234678069337.46902,2049.0,50_percent_of_peak
5300403570.191342,2036,109501318693.68988,2045.0,50_percent_of_peak
10790656921.005579,2036,248926187503.5395,2047.0,50_percent_of_peak
10215092121.70397,2034,211072038110.0779,2041.0,50_percent_of_peak
10362292160.756468,2037,233256613479.34067,2048.0,50_percent_of_peak
7949984559.985184,2035,181658167630.51834,2044.0,50_percent_of_peak
7665475115.7474985,2035,213791206105.02264,2044.0,50_percent_of_peak
7614352637.823709,2036,156065352902.7011,2046.0,50_percent_of_peak
11160431458.724512,2036,229662930075.70392,2045.0,50_percent_of_peak
13874892168.94798,2038,269753453705.37897,2048.0,50_percent_of_peak
8177178368.066344,2035,184616999594.25665,2046.0,50_percent_of_peak
9194903447.074436,2038,206802439776.2554,2049.0,50_percent_of_peak
5808296323.987269,2035,155622742979.43405,2043.0,50_percent_of_peak
7662414848.761023,2038,205827808110.85583,2051.0,50_percent_of_peak
7287387156.92154,2036,213333755195.15607,2067.0,50_percent_of_peak
5372233695.3738365,2036,125148798083.16061,2049.0,50_percent_of_peak
11695402699.360226,2036,301780994282.7598,2050.0,50_percent_of_peak
9249261210.268816,2036,205627713216.49908,2048.0,50_percent_of_peak
5203147937.157211,2038,150684909436.84265,2066.0,50_percent_of_peak
10915516589.173265,2036,234228679534.67297,2047.0,50_percent_of_peak
7339862706.287136,2038,173785002548.74683,2048.0,50_percent_of_peak
7263044184.5853815,2036,159374349002.71176,2046.0,50_percent_of_peak
8326995637.018486,2037,156852565525.50604,2045.0,50_percent_of_peak
9941112002.989159,2034,227155460471.13455,2043.0,50_percent_of_peak
9744270938.979496,2037,193793302075.62292,2047.0,50_percent_of_peak
6102475839.42438,2036,152227618635.42914,2049.0,50_percent_of_peak
10532726512.596247,2037,218063182185.90424,2048.0,50_percent_of_peak
5674329444.129958,2036,126004612791.74176,2045.0,50_percent_of_peak
6890159099.74928,2035,156561574171.28625,2045.0,50_percent_of_peak
6779898336.415097,2035,205096585119.02057,2044.0,50_percent_of_peak
10059482313.585072,2038,241105667484.59738,2049.0,50_percent_of_peak
2960404816.4474497,2037,76825883666.0891,2045.0,50_percent_of_peak
10411877438.203876,2038,231748201867.3671,2048.0,50_percent_of_peak
11339122161.631659,2037,230064231650.7579,2047.0,50_percent_of_peak
7911069846.448687,2036,206234869854.72565,2050.0,50_percent_of_peak
9857320480.757063,2037,197792592279.3939,2047.0,50_percent_of_peak
9767005883.060398,2037,217189681062.40274,2047.0,50_percent_of_peak
10359124199.359886,2035,241510522744.4273,2045.0,50_percent_of_peak
8792087764.006712,2036,180522591468.992,2046.0,50_percent_of_peak
9093440136.29398,2037,212342839723.36603,2049.0,50_percent_of_peak
17445062582.717617,2037,413734073729.06525,2050.0,50_percent_of_peak
7042158459.34978,2036,163021699239.549,2046.0,50_percent_of_peak
9299986555.240492,2035,177748672246.79742,2044.0,50_percent_of_peak
4345667479.523093,2036,136982374744.69293,2068.0,50_percent_of_peak
11136075522.505684,2036,254076217974.84625,2046.0,50_percent_of_peak
16235537127.957195,2036,326640851223.7314,2045.0,50_percent_of_peak
8990485836.391037,2038,187609743540.8759,2048.0,50_percent_of_peak
7598508305.361554,2036,188108664229.02545,2056.0,50_percent_of_peak
6246225105.550926,2036,142781344150.97348,2044.0,50_percent_of_peak
7460292494.903288,2036,155156328078.1873,2044.0,50_percent_of_peak
11547952497.34177,2036,273724249614.18628,2047.0,50_percent_of_peak
9568673510.763042,2039,237134457554.71912,2053.0,50_percent_of_peak
