Year,Year_p05,Year_p50,Year_p95,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,CAV Total Power (kWh)_p05,CAV Total Power (kWh)_p50,CAV Total Power (kWh)_p95,ECAV Power (kWh)_p05,ECAV Power (kWh)_p50,ECAV Power (kWh)_p95,ICECAV Power (kWh)_p05,ICECAV Power (kWh)_p50,ICECAV Power (kWh)_p95,STI Power (kWh)_p05,STI Power (kWh)_p50,STI Power (kWh)_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,ICECAV Sensing Power (kWh)_p05,ICECAV Sensing Power (kWh)_p50,ICECAV Sensing Power (kWh)_p95,ICECAV Computing Power (kWh)_p05,ICECAV Computing Power (kWh)_p50,ICECAV Computing Power (kWh)_p95,ICECAV Communication Power (kWh)_p05,ICECAV Communication Power (kWh)_p50,ICECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,Electricity Consumption (kWh)_p05,Electricity Consumption (kWh)_p50,Electricity Consumption (kWh)_p95,Gasoline Consumption (kWh)_p05,Gasoline Consumption (kWh)_p50,Gasoline Consumption (kWh)_p95,Clean Electricity (kWh)_p05,Clean Electricity (kWh)_p50,Clean Electricity (kWh)_p95,Fossil Electricity (kWh)_p05,Fossil Electricity (kWh)_p50,Fossil Electricity (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,CAV Emissions (kg CO2)_p05,CAV Emissions (kg CO2)_p50,CAV Emissions (kg CO2)_p95,ECAV Emissions (kg CO2)_p05,ECAV Emissions (kg CO2)_p50,ECAV Emissions (kg CO2)_p95,ICECAV Emissions (kg CO2)_p05,ICECAV Emissions (kg CO2)_p50,ICECAV Emissions (kg CO2)_p95,STI Emissions (kg CO2)_p05,STI Emissions (kg CO2)_p50,STI Emissions (kg CO2)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,ICECAV Sensing Emissions (kg CO2)_p05,ICECAV Sensing Emissions (kg CO2)_p50,ICECAV Sensing Emissions (kg CO2)_p95,ICECAV Computing Emissions (kg CO2)_p05,ICECAV Computing Emissions (kg CO2)_p50,ICECAV Computing Emissions (kg CO2)_p95,ICECAV Communication Emissions (kg CO2)_p05,ICECAV Communication Emissions (kg CO2)_p50,ICECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95,Total Vehicles_p05,Total Vehicles_p50,Total Vehicles_p95,Total EV_p05,Total EV_p50,Total EV_p95,Total ICEV_p05,Total ICEV_p50,Total ICEV_p95,Total CAV_p05,Total CAV_p50,Total CAV_p95,Total ECAV_p05,Total ECAV_p50,Total ECAV_p95,Total ICECAV_p05,Total ICECAV_p50,Total ICECAV_p95,Total Infra_p05,Total Infra_p50,Total Infra_p95,Total STI_p05,Total STI_p50,Total STI_p95,Incremented Car Number_p05,Incremented Car Number_p50,Incremented Car Number_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,Cumulative New Cars_p05,Cumulative New Cars_p50,Cumulative New Cars_p95
2024,2024.0,2024.0,2024.0,2991279.1631828025,3732285.2317977585,4678181.476406134,2991279.1631828025,3732285.2317977585,4678181.476406134,77844.28455118259,97015.80193158858,117690.65593211952,2913188.107984723,3633063.5955285635,4565562.89239741,0.0,0.0,0.0,7031.336346869947,10059.161773137213,13995.833469092493,65578.44874555361,85038.98508134962,105160.99847732978,1129.956689984334,1547.616361513958,1999.031197383823,269118.66541064123,381990.9087499919,518990.2248053324,2468762.605191748,3192280.8677320397,4048397.8242598604,42955.441790261364,58456.81762068074,75841.9947977262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77844.28455118259,97015.80193158858,117690.65593211952,2913188.107984723,3633063.5955285635,4565562.89239741,51065.85066557578,63642.36606712211,77205.07029147042,26778.43388560681,33373.43586446647,40485.585640649115,4806777.47729027,6049322.402345937,7536890.368999245,4806777.47729027,6049322.402345937,7536890.368999245,14129.243566611513,17122.490008591412,21943.40404376643,4792055.524647077,6032409.248035459,7515211.39148561,0.0,0.0,0.0,1288.4042207228938,1823.2241944330926,2575.9975239654973,11826.341732246572,15242.063668334653,19467.445465135926,202.91552189740338,279.52570958473996,375.27022299732147,447477.64639461803,631009.3154844418,857892.7856989922,4121975.0160970856,5303363.036772221,6609035.901655827,70477.26323806662,95225.25842002341,127743.86827176354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37428700.0,37428700.0,37428700.0,1533900.0,1533900.0,1533900.0,35894800.0,35894800.0,35894800.0,1603.0,1603.0,1603.0,66.0,66.0,66.0,1537.0,1537.0,1537.0,380400.0,380400.0,380400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040981920291113506,0.040981920291113506,0.040981920291113506,0.656,0.656,0.656,0.0,0.0,0.0
2025,2025.0,2025.0,2025.0,438832269.12389475,522197103.5683491,624137238.64939,258973373.13873887,332206612.25242424,418693041.385873,7136934.344548467,9170001.145436333,11284549.431718852,251511144.510832,322908033.9432881,406725738.5265302,134515045.7478446,192776146.73212588,256466431.28621453,139729.3945354428,199899.49488339157,278130.53453569225,6894288.56664479,8940182.541374568,11055617.864220403,22454.92981047183,30754.82191429436,39725.50950321781,5007042.6331522325,7107068.410395532,9655986.43194969,242993811.45772576,314207811.50139624,398473152.31739813,799200.3380424881,1087608.6115340092,1411065.638112032,1274670.7159261361,1910526.4379745414,2858528.32166955,129442337.70180544,187262436.90153462,251246414.55874702,2664012.5198453222,3581085.8536161156,4651727.460788494,144070885.66405487,201682384.4427805,266864850.25071973,251511144.510832,322908033.9432881,406725738.5265302,99236026.04540102,138918826.4041872,183816508.85269576,44834859.61865387,62763558.03859328,83048341.39802395,451878474.2198875,567658053.5904431,704935997.7707279,419197867.96853244,536830301.86041427,666554473.8812749,1181538.0451081397,1511273.3416282511,1932655.0166247017,417971516.0703807,535377262.4877345,664593318.0025678,22771466.32619126,31954332.008962028,42091971.69717339,23639.626079164125,33311.084203176484,46906.33648032469,1139277.1923031425,1475908.7702128382,1892869.1646939835,3724.706283153419,5121.372496510671,6864.583902119835,8325471.031381977,11740139.019067379,15961381.742563948,405715161.83394074,521996078.17261547,650510024.9116755,1311253.016071693,1771697.730198177,2376717.324993139,219501.46577346933,313393.80570626067,480507.94781661994,21793079.83037535,31009631.50090459,40998384.4864078,439992.89452137914,597423.9461072963,796969.5695614368,37503557.4,37503557.4,37503557.4,1546248.802015564,1546248.802015564,1546248.802015564,35957308.59798443,35957308.59798443,35957308.59798443,29917.617801011245,29917.617801011245,29917.617801011245,1312.0,1312.0,1312.0,28605.617801011245,28605.617801011245,28605.617801011245,380400.0,380400.0,380400.0,3729.4117647058824,3729.4117647058824,3729.4117647058824,3193791.79242792,3193791.79242792,3193791.79242792,0.04385065471149145,0.04385065471149145,0.04385065471149145,0.6888000000000001,0.6888000000000001,0.6888000000000001,3193791.79242792,3193791.79242792,3193791.79242792
2026,2026.0,2026.0,2026.0,979489916.6101755,1180643893.2188406,1424791061.8880167,660791049.5352318,846315564.2393658,1066022710.3410144,19505907.92214102,25029293.692725345,30780677.81644894,640394247.4910856,820937780.1867568,1033458070.0065107,239620130.47290528,343051156.75530374,455862611.2398941,431883.97415906173,617861.3209458189,859662.4997168373,18753978.486424595,24319259.257122107,30073707.76193438,69405.0407808033,95058.84396808504,122785.98198170395,14416403.642439423,20462850.913292237,27801760.07434304,615737355.0607965,796191004.3415627,1009716269.7221103,2301077.80351393,3131470.190617541,4062775.833045503,2536844.660127506,3802322.2245963914,5689031.855871752,229508406.1523297,332026632.0010456,445473754.41954213,5301907.26988824,7127063.022392858,9257849.750392787,265710440.05861035,366443420.620519,484164982.70412874,640394247.4910856,820937780.1867568,1033458070.0065107,192172418.66798937,265026539.52958417,350167482.0909341,73538021.39062098,101416881.0909348,133997500.61319463,1119168060.3516116,1418165905.3574567,1755895208.6958272,1066240847.4496714,1364862505.2319353,1694175975.8404183,2920055.561556127,3757593.4135277756,4831335.287331629,1063198366.6551939,1361246251.4494,1689691721.8433762,36746466.59691795,51822806.82449427,68093062.5169176,66692.69126266455,93674.24732215708,131333.26294708153,2801947.9994257963,3661272.076999104,4718855.176617149,10443.610754869655,14378.5074951752,19315.62010254376,23970906.520178188,33802504.85518132,45956413.54605357,1028067254.705186,1322718807.5200505,1648368408.1367288,3775392.810097708,5101116.86323924,6843104.56520098,396160.5560562703,568430.173573177,875389.607157608,35229931.66806352,50195920.54477992,66207431.16418317,796351.5820940462,1084636.7776701017,1434226.2553102702,37578564.5148,37578564.5148,37578564.5148,1568404.180384449,1568404.180384449,1568404.180384449,36010160.33441555,36010160.33441555,36010160.33441555,86412.79066025557,86412.79066025557,86412.79066025557,4055.0,4055.0,4055.0,82357.79066025557,82357.79066025557,82357.79066025557,380400.0,380400.0,380400.0,7422.260668973471,7422.260668973471,7422.260668973471,3193945.63969703,3193945.63969703,3193945.63969703,0.04692020054129586,0.04692020054129586,0.04692020054129586,0.7232400000000001,0.7232400000000001,0.7232400000000001,6387723.657227919,6387723.657227919,6387723.657227919
2027,2027.0,2027.0,2027.0,1562125845.523646,1894312922.7209873,2280299522.7091084,1135674347.0049393,1451557547.0228074,1826966483.3663554,35906158.03817727,45967735.65377655,56514142.42889268,1098123845.5219407,1404929118.520724,1767351113.926976,322786173.8709315,461609253.4295405,612651447.4856887,914908.5670307296,1308885.3710558368,1821120.0989280427,34309135.168446824,44490439.91668645,55017814.23965394,147028.531283468,201373.8779906835,260111.40386739146,28445747.705048513,40376303.885664344,54857083.114886574,1049208195.6717752,1356698794.0707726,1720542982.7965658,4540374.997253375,6178864.937296793,8016472.013086969,3798897.2881097104,5693936.177713183,8519263.330910726,307623395.7232125,445034505.3545059,597094247.3852255,7939548.4737229645,10672699.362914238,13863529.313902348,370912441.75561845,503971625.3778605,664546508.9790454,1098123845.5219407,1404929118.520724,1767351113.926976,281671650.09410024,382717060.2551981,504657948.0117051,89240791.66151823,121254565.12266241,159888560.96734026,1895018104.0036187,2399593195.214447,2971636277.97224,1825823071.836315,2335885947.4078875,2902807229.2110257,4791589.237234017,6195872.560867919,8014881.213742542,1820820302.635654,2329915591.4122095,2895433922.9913464,44105743.74635894,62542041.048852555,82226147.53193857,127104.57624564519,177903.7810962632,251702.74342214293,4555204.464097351,6017170.841222391,7768250.891131187,19847.620173611496,27259.132676105033,36684.725987382684,47298228.8819232,66697461.36120684,90678963.87914328,1751812815.1116633,2253895109.6806617,2808797662.0043283,7449421.785565464,10065276.11910833,13502481.673580172,529266.0205405145,762329.109046655,1176606.8532554535,42244662.20459708,60436655.504327,79747459.30964375,1064046.314938668,1460385.0765443924,1916505.5064659151,37653721.6438296,37653721.6438296,37653721.6438296,1601051.7229122072,1601051.7229122072,1601051.7229122072,36052669.92091739,36052669.92091739,36052669.92091739,171091.2881616378,171091.2881616378,171091.2881616378,8590.0,8590.0,8590.0,162501.2881616378,162501.2881616378,162501.2881616378,380400.0,380400.0,380400.0,11114.754628133,11114.754628133,11114.754628133,3194101.5574539304,3194101.5574539304,3194101.5574539304,0.05020461457918657,0.05020461457918657,0.05020461457918657,0.7594020000000001,0.7594020000000001,0.7594020000000001,9581805.53625752,9581805.53625752,9581805.53625752
2028,2028.0,2028.0,2028.0,2157836416.143346,2605974317.4643927,3185244160.3521643,1636126072.7317038,2086244890.4480524,2623494078.8709273,55413595.52257702,70771079.43506911,86952333.63975324,1578170603.0766098,2014496103.9603295,2532047076.1294613,389005141.77370703,555398733.0851127,736167322.7396638,1624683.4544111222,2324302.649145218,3233922.820098109,52567785.104900174,68167380.8820965,84297217.68537292,261091.46936711908,357597.2720245374,461902.65278476285,47036160.95236537,66763804.13409436,90708341.2791131,1496907735.884363,1935605276.900486,2454702614.3088098,7507688.367671299,10216995.83034825,13255551.296715263,5060704.951659531,7585182.968535757,11348945.457981616,368596648.1384669,533243665.01443434,715442782.534591,10576677.711363882,14217647.495373344,18468314.914945524,466006939.31480247,621859672.0807831,813747812.3647739,1578170603.0766098,2014496103.9603295,2532047076.1294613,371580931.8160167,495853552.6323656,648859802.0157058,94426007.4987858,126006119.44841763,164888010.34906802,2705449274.1981473,3415668548.6306443,4240116480.0057316,2619727704.2244735,3351331437.7636876,4167848565.2572794,6510006.694985879,8421705.447193516,10818916.039133506,2612974600.730743,3343157274.4609084,4157896954.0358076,46594207.81927804,66409902.90590048,87149210.11698112,197794.60042998072,277929.57293833187,395291.0775935922,6097410.661556339,8117077.745054039,10483283.315755514,31022.90549089657,42438.03992853867,57250.167891318226,78209478.95340835,110286871.70501447,149941227.92054886,2499315355.69357,3215637315.3306637,4007318057.6865144,12317911.476298686,16643329.346704245,22326883.717040174,615569.5575111015,894289.2361006851,1379522.6893019795,44150709.13482631,63648667.43593206,84234106.50678983,1237755.7722614713,1712139.8117133044,2282093.475421241,37729029.08711726,37729029.08711726,37729029.08711726,1644924.464229693,1644924.464229693,1644924.464229693,36084104.62288757,36084104.62288757,36084104.62288757,283955.9615311095,283955.9615311095,283955.9615311095,15254.0,15254.0,15254.0,268701.9615311095,268701.9615311095,268701.9615311095,380400.0,380400.0,380400.0,14806.53187416446,14806.53187416446,14806.53187416446,3194260.305322416,3194260.305322416,3194260.305322416,0.053718937599729635,0.053718937599729635,0.053718937599729635,0.7973721000000001,0.7973721000000001,0.7973721000000001,12776037.72954518,12776037.72954518,12776037.72954518
2029,2029.0,2029.0,2029.0,2720646032.2458067,3297741709.252778,4027655303.900318,2132350607.1017838,2711041479.8871927,3406670278.8842053,77379144.25782849,98524517.61679748,120995953.93547674,2051422798.4154744,2613246896.701627,3283533303.4750066,442264959.33295983,629433063.4055457,833710964.2085524,2601871.304472226,3722285.9316381062,5179009.464056475,72801270.6065471,94405193.83181071,116743449.31682844,418128.46689881687,572678.9905516892,739720.2541069008,70120701.1950289,99530332.951096,135226437.82877728,1929797066.7443926,2495361134.285755,3164575739.215015,11192332.920792922,15231321.970690683,19761148.291708242,6322260.588701046,9476052.012147877,14178062.399940148,416189518.3283258,602095611.0556335,807820115.9949025,13213280.223345326,17761887.579430334,23072180.781491872,551892056.5550883,724171516.7717569,937595498.1955346,2051422798.4154744,2613246896.701627,3283533303.4750066,462066494.51408213,606305871.2429051,784993115.914056,89825562.04100616,117865645.52885163,152602382.28147876,3487691914.198795,4407218925.6114855,5479163623.41554,3398977752.193126,4349992828.507193,5410627999.266218,7801315.390671362,10104369.170596868,12938322.809990458,3390964043.4304805,4340195565.886528,5398450324.443327,45273618.005227685,64257312.83772391,85102964.84174177,271501.9642857939,380642.6090022747,548739.9006386199,7245159.538908091,9661578.966709938,12401957.98261373,42872.385430222006,58133.60668142175,77936.14472675194,116593348.463637,164413774.84853828,223529808.27836463,3222089997.0412493,4145564425.9682746,5166190572.638389,18363330.945548214,24811589.644669235,33284534.920361098,652090.1625758104,962702.6002644103,1491305.9360930577,42653159.575115845,61629090.53115901,81655636.40216544,1324765.6891862552,1819518.149500408,2466036.546401918,37804487.14529149,37804487.14529149,37804487.14529149,1700805.9661773385,1700805.9661773385,1700805.9661773385,36103681.179114155,36103681.179114155,36103681.179114155,425009.78480829997,425009.78480829997,425009.78480829997,24429.0,24429.0,24429.0,400580.78480829997,400580.78480829997,400580.78480829997,380400.0,380400.0,380400.0,18497.57174495591,18497.57174495591,18497.57174495591,3194422.9682238847,3194422.9682238847,3194422.9682238847,0.05747926323171071,0.05747926323171071,0.05747926323171071,0.8372407050000003,0.8372407050000003,0.8372407050000003,15970420.537719414,15970420.537719414,15970420.537719414
2030,2030.0,2030.0,2030.0,3246159862.93739,3946289756.50863,4829515611.324395,2606762462.045451,3305815928.9638753,4148966581.937896,101364174.40416344,128628384.41558278,158179828.36848733,2500750800.5053997,3180817410.9848003,3992232860.982012,485215795.7046409,688412073.7856009,910981215.776284,3892550.1638292167,5568755.337019308,7748098.110438763,94489545.18958834,122529507.44379608,151522567.3659993,625544.4031882257,856760.9376612513,1106664.3424532004,97623287.23340827,138567899.58641255,188264651.61824748,2330854755.2883463,3013956475.6536465,3822249778.140246,15582164.937277595,21205317.32210733,27511822.084862053,7583556.868415852,11366532.320831541,17006597.71697032,453338070.3231086,655837906.6400352,879925121.6711726,15849340.688540231,21305399.019734785,27675100.160773918,626744608.5835085,811916417.1002505,1042779070.1328938,2500750800.5053997,3180817410.9848003,3992232860.982012,550972902.8426762,713757947.1267924,916709938.0291742,75771705.74083228,98158469.97345804,126069132.10371956,4216663186.369075,5349962475.769203,6630023496.349793,4136186180.63538,5302525610.905617,6568850235.768084,8432609.97448182,10857219.608586706,13929856.6951563,4127625256.3890057,5290772633.898712,6555871586.059773,40217612.20860849,57740673.87641345,77478316.27594058,328987.28154673905,473831.45576117345,688867.8488252593,7763207.748819051,10296993.381407231,13350849.682642272,53467.216699170065,71647.25520680333,95989.5725672864,162323333.23240378,228899781.28606695,311202174.349256,3891716865.463223,5007111225.39094,6239847738.640471,25565755.916691802,34543136.35372946,46339321.44978574,641112.4670892506,957582.535529094,1470789.0731831614,37567465.84654682,55216883.474904984,74022871.53335027,1306531.4350010497,1791861.7750043077,2415951.5525318445,37880096.11958207,37880096.11958207,37880096.11958207,1769533.512499649,1769533.512499649,1769533.512499649,36110562.60708243,36110562.60708243,36110562.60708243,594255.9177540885,594255.9177540885,594255.9177540885,36548.0,36548.0,36548.0,557707.9177540885,557707.9177540885,557707.9177540885,380400.0,380400.0,380400.0,22187.852792112826,22187.852792112826,22187.852792112826,3194591.0957900807,3194591.0957900807,3194591.0957900807,0.061502811657930465,0.061502811657930465,0.061502811657930465,0.8791027402500003,0.8791027402500003,0.8791027402500003,19164954.262009993,19164954.262009993,19164954.262009993
2031,2031.0,2031.0,2031.0,3728213028.0650897,4543332115.701305,5564792295.816285,3050054102.4138293,3855390592.194022,4838147106.727772,126884812.54901688,160690705.6399809,197904266.0088436,2917124171.903698,3698233842.1354985,4643465150.797423,520119474.75825226,736027048.8530295,972426493.2497145,5548736.681393032,7938126.859699976,11044727.591675,117273024.6591784,152074030.19140178,188057945.9185803,891698.5086188621,1221292.1200504405,1577523.4158881318,129457739.44662628,183754179.44526213,249656786.8886959,2691189464.4749393,3479894186.9982367,4413144281.163152,20663428.835800454,28120262.31205368,36483285.864452705,8844586.178710409,13256612.485282546,19834534.33847916,482334147.28093857,697786129.517595,936206246.5432141,18484843.19796736,24848160.430716164,32277045.27355101,699077407.6836497,893396687.9780616,1133497495.9310608,2917124171.903698,3698233842.1354985,4643465150.797423,645288907.9786412,824656850.3583779,1046283792.4764845,53788499.70500847,68739837.61968371,87213703.45457621,4883391550.631441,6216466824.7187,7677635743.935414,4818351173.659257,6167481496.924887,7628383294.615513,7993563.04410172,10478795.67343671,13746621.514645997,4810230853.248033,6155621826.625275,7616286407.684971,32475978.05511712,47924708.51773156,65368807.447085336,357620.6003084267,525256.589881542,766832.0297568679,7432745.740865544,9817402.001154054,12997261.686561596,59070.96484236076,79570.82709259936,106706.1875868927,215256137.90760666,303542823.4891536,412683603.9213245,4493350520.143595,5781177461.467057,7204486875.922746,33902617.521022215,45807475.57761036,61450336.00473631,558105.6007314493,863465.7083681617,1350936.054537653,30777947.366141368,45225986.1177617,61495522.37355527,1173947.780779,1623100.7546075946,2204204.2927473825,37955856.311821245,37955856.311821245,37955856.311821245,1852001.3838758918,1852001.3838758918,1852001.3838758918,36103854.92794536,36103854.92794536,36103854.92794536,791697.8015666384,791697.8015666384,791697.8015666384,52100.0,52100.0,52100.0,739597.8015666384,739597.8015666384,739597.8015666384,380400.0,380400.0,380400.0,25877.352744290267,25877.352744290267,25877.352744290267,3194766.9015241787,3194766.9015241787,3194766.9015241787,0.0658080084739856,0.0658080084739856,0.0658080084739856,0.9230578772625003,0.9230578772625003,0.9230578772625003,22359639.20424917,22359639.20424917,22359639.20424917
2032,2032.0,2032.0,2032.0,4165442531.0345387,5088161290.367971,6230164032.271698,3452828917.0589113,4360518595.502359,5472243213.272949,153873464.80041584,194490872.49185893,239773790.29509583,3296852014.6619153,4162018619.5083613,5242058525.939565,548741521.3771198,774384497.9222457,1021519133.392454,7629010.85825907,10914206.148936454,15185501.053953104,140916463.76368326,182733707.3222383,225972347.84831887,1226004.7638156894,1679166.1561838468,2168951.954293689,165526612.35026914,234950857.0039407,319214921.87785816,3007277977.8457584,3888618505.6595516,4931481705.39053,26420570.831464875,35954990.244783655,46648077.91610711,10105340.612879813,15146280.654621625,22661854.533189382,504966716.3400343,730528353.6661735,980135859.7540833,21119771.22691913,28390149.599116784,36877987.26544072,770276241.3661484,964489202.1601682,1213101291.0060232,3296852014.6619153,4162018619.5083613,5242058525.939565,746560029.874233,934793323.3679957,1175750837.7094393,23716211.491915375,29695878.792172402,37350453.29658379,5482509582.67334,6975501469.157849,8623811848.638472,5437202151.605933,6938341639.840576,8594702814.080511,6654171.181102117,8894098.26153398,12019011.26487683,5430663432.510378,6927984720.554935,8585052638.657284,24241364.821500786,34914436.51363002,47640053.28376221,335426.22591197473,496975.2921156214,752961.1105515524,6100496.747403869,8290406.723577002,11424067.2088158,54961.43282073891,77026.69561364659,104155.60214790511,275229734.7980381,388114418.5752634,527663461.61760706,5021108414.82727,6460194607.398301,8050676107.959702,43348396.56593379,58570127.093912646,78571323.6622938,457511.2968644503,687112.2777752667,1099214.8983538246,22140783.062727045,33038064.0337966,45306763.89000596,887102.1447596557,1298822.194666118,1820445.3360907133,38031768.024444886,38031768.024444886,38031768.024444886,1949164.1597402645,1949164.1597402645,1949164.1597402645,36082603.864704624,36082603.864704624,36082603.864704624,1017339.3039768237,1017339.3039768237,1017339.3039768237,71636.0,71636.0,71636.0,945703.3039768237,945703.3039768237,945703.3039768237,380400.0,380400.0,380400.0,29566.048468173936,29566.048468173936,29566.048468173936,3194953.547316499,3194953.547316499,3194953.547316499,0.0704145690671646,0.0704145690671646,0.0704145690671646,0.9692107711256254,0.9692107711256254,0.9692107711256254,25554475.666872807,25554475.666872807,25554475.666872807
2033,2033.0,2033.0,2033.0,4566621911.723545,5566919926.129138,6833369135.5973015,3807848376.525149,4810352605.87699,6053120668.250277,182518069.00613767,230215473.80606133,283291567.1350969,3628617053.9169517,4580804901.76698,5780097350.27113,572460052.6945914,805052336.7068253,1060969552.4859502,10199239.682189818,14591223.753905512,20301526.34738252,165281365.49193344,214328942.5589928,265043680.61933875,1639048.189861432,2244880.5502222893,2899676.150945142,205719806.4472887,292001655.4510045,396726731.8009156,3279022866.359809,4240003449.1462507,5377102281.909498,32836017.366043787,44685585.773477115,57975170.419924304,11365811.955521096,17035524.51528076,25488539.87754913,522632203.29672384,756084768.9418522,1014424411.2288507,23754107.60552093,31931343.444416337,41477896.1555114,839008338.7159473,1027508533.6017537,1284073357.866817,3628617053.9169517,4580804901.76698,5780097350.27113,839008338.7159473,1027508533.6017537,1284073357.866817,0.0,0.0,0.0,6024706875.568956,7655411864.507307,9477862400.080261,5993598079.324907,7630441255.173508,9458047600.75466,5347355.245809718,7417194.808082547,10668887.593162062,5988468659.963236,7620137355.742956,9450579843.315235,17165367.59785308,26116797.68592136,37328709.87138754,307502.2417081377,474431.8221358304,752935.8712281731,4933492.1635684585,6836771.474802971,10068082.475452563,49357.34771675816,73382.54270061036,107450.13968174027,342061055.7254538,482356413.4796079,655790773.7734476,5474827876.897623,7043953367.412922,8778154610.957088,53874260.00402715,72792133.1698372,97650022.95770162,336948.7172490892,556662.1737334405,914585.363503574,15482669.730512789,24507964.569253493,35242582.07322885,675866.4416656456,1035725.9851388095,1527863.5209245393,38107831.560493775,38107831.560493775,38107831.560493775,2062039.9654555214,2062039.9654555214,2062039.9654555214,36045791.59503826,36045791.59503826,36045791.59503826,1271184.9384716365,1271184.9384716365,1271184.9384716365,95776.0,95776.0,95776.0,1175408.9384716365,1175408.9384716365,1175408.9384716365,380400.0,380400.0,380400.0,33253.91592726556,33253.91592726556,33253.91592726556,3195155.5498958305,3195155.5498958305,3195155.5498958305,0.07534358890186613,0.07534358890186613,0.07534358890186613,1.0,1.0,1.0,28749463.952921692,28749463.952921692,28749463.952921692
