peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule
14312069411.18602,2036,297706766085.43176,2047.0,50_percent_of_peak
11251973811.363987,2035,193263372459.7271,2044.0,50_percent_of_peak
7993598685.817201,2034,145612260759.88327,2042.0,50_percent_of_peak
6419352244.089093,2038,165654927769.17133,2055.0,50_percent_of_peak
5216627107.450057,2038,199712712364.07672,2046.0,50_percent_of_peak
8063605700.084303,2035,244564696225.11536,2070.0,50_percent_of_peak
1814443166.0601928,2038,52772719053.16206,2065.0,50_percent_of_peak
21513025569.777054,2039,475366552770.8505,2053.0,50_percent_of_peak
13587936961.33701,2039,346346639960.9618,2054.0,50_percent_of_peak
7291286363.867929,2037,124848239750.23154,2043.0,50_percent_of_peak
5294767521.084053,2037,98232877005.01447,2044.0,50_percent_of_peak
8776255656.85997,2038,285509224815.52014,2051.0,50_percent_of_peak
4530123039.124905,2036,93525662820.93399,2044.0,50_percent_of_peak
7941455578.5387125,2036,141144424590.6313,2044.0,50_percent_of_peak
5528394238.795674,2034,104768137024.84483,2045.0,50_percent_of_peak
9153297912.118196,2036,197976330861.2062,2045.0,50_percent_of_peak
9080253993.233,2037,284326455023.88794,2069.0,50_percent_of_peak
13296878984.630941,2038,430039594513.2046,2054.0,50_percent_of_peak
7910513388.936839,2036,155270274288.66605,2046.0,50_percent_of_peak
5059815916.577718,2032,151027737786.64948,2041.0,50_percent_of_peak
9108537218.923286,2035,353084876987.2178,2078.0,50_percent_of_peak
9418149760.886364,2034,189631148275.62445,2042.0,50_percent_of_peak
5235034441.472626,2035,232224154274.74396,2080.0,50_percent_of_peak
4819404705.069494,2035,111641186968.87985,2055.0,50_percent_of_peak
8391683746.599985,2036,254557250606.17606,2047.0,50_percent_of_peak
13874470608.559807,2035,234158153025.0897,2044.0,50_percent_of_peak
5215368936.499778,2034,125776719258.63611,2060.0,50_percent_of_peak
5254818227.3772335,2034,130784534118.23164,2062.0,50_percent_of_peak
10419633736.393515,2037,236947353380.16925,2047.0,50_percent_of_peak
6508611208.464836,2034,132698287591.43259,2043.0,50_percent_of_peak
6518250471.335319,2034,144621990026.5446,2043.0,50_percent_of_peak
2815265830.696305,2036,54800751724.187195,2043.0,50_percent_of_peak
8642753679.758474,2036,176836186554.68414,2051.0,50_percent_of_peak
11864116208.231098,2037,376279913486.35583,2047.0,50_percent_of_peak
