Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,CAV Total Power (kWh)_p05,CAV Total Power (kWh)_p50,CAV Total Power (kWh)_p95,ECAV Power (kWh)_p05,ECAV Power (kWh)_p50,ECAV Power (kWh)_p95,ICECAV Power (kWh)_p05,ICECAV Power (kWh)_p50,ICECAV Power (kWh)_p95,STI Power (kWh)_p05,STI Power (kWh)_p50,STI Power (kWh)_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,ICECAV Sensing Power (kWh)_p05,ICECAV Sensing Power (kWh)_p50,ICECAV Sensing Power (kWh)_p95,ICECAV Computing Power (kWh)_p05,ICECAV Computing Power (kWh)_p50,ICECAV Computing Power (kWh)_p95,ICECAV Communication Power (kWh)_p05,ICECAV Communication Power (kWh)_p50,ICECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,Electricity Consumption (kWh)_p05,Electricity Consumption (kWh)_p50,Electricity Consumption (kWh)_p95,Gasoline Consumption (kWh)_p05,Gasoline Consumption (kWh)_p50,Gasoline Consumption (kWh)_p95,Clean Electricity (kWh)_p05,Clean Electricity (kWh)_p50,Clean Electricity (kWh)_p95,Fossil Electricity (kWh)_p05,Fossil Electricity (kWh)_p50,Fossil Electricity (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,CAV Emissions (kg CO2)_p05,CAV Emissions (kg CO2)_p50,CAV Emissions (kg CO2)_p95,ECAV Emissions (kg CO2)_p05,ECAV Emissions (kg CO2)_p50,ECAV Emissions (kg CO2)_p95,ICECAV Emissions (kg CO2)_p05,ICECAV Emissions (kg CO2)_p50,ICECAV Emissions (kg CO2)_p95,STI Emissions (kg CO2)_p05,STI Emissions (kg CO2)_p50,STI Emissions (kg CO2)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,ICECAV Sensing Emissions (kg CO2)_p05,ICECAV Sensing Emissions (kg CO2)_p50,ICECAV Sensing Emissions (kg CO2)_p95,ICECAV Computing Emissions (kg CO2)_p05,ICECAV Computing Emissions (kg CO2)_p50,ICECAV Computing Emissions (kg CO2)_p95,ICECAV Communication Emissions (kg CO2)_p05,ICECAV Communication Emissions (kg CO2)_p50,ICECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95,Total Vehicles_p05,Total Vehicles_p50,Total Vehicles_p95,Total EV_p05,Total EV_p50,Total EV_p95,Total ICEV_p05,Total ICEV_p50,Total ICEV_p95,Total CAV_p05,Total CAV_p50,Total CAV_p95,Total ECAV_p05,Total ECAV_p50,Total ECAV_p95,Total ICECAV_p05,Total ICECAV_p50,Total ICECAV_p95,Total Infra_p05,Total Infra_p50,Total Infra_p95,Total STI_p05,Total STI_p50,Total STI_p95,Incremented Car Number_p05,Incremented Car Number_p50,Incremented Car Number_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,Cumulative New Cars_p05,Cumulative New Cars_p50,Cumulative New Cars_p95
2024,954273.6192255754,3189970.2010626537,7586224.8781720875,954273.6192255754,3189970.2010626537,7586224.8781720875,20748.691498528486,69629.6596879785,194259.05279678688,934812.2538044945,3067134.3102760958,7490178.624348445,0.0,0.0,0.0,3626.7726561407617,8575.305218535594,20472.096615000733,13283.22798149416,60534.62333239535,180629.9255782918,588.6868833066051,1355.3722602070488,3154.595340292717,182233.9597344354,350411.07209084206,625116.3618451002,549368.9323843619,2538034.6165632186,7132736.374338182,30315.607396616437,53567.92703469483,113823.59922422183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20748.691498528486,69629.6596879785,194259.05279678688,934812.2538044945,3067134.3102760958,7490178.624348445,14695.095923551247,44814.221440330584,128025.20523490368,7793.458869242617,22765.014569324238,65600.56072837382,1531213.4281499381,5042849.563539498,12016360.308951119,1531213.4281499381,5042849.563539498,12016360.308951119,4521.911300335432,13884.368881157756,38519.12337041863,1528355.0467907698,5015274.552413595,11998267.485075468,0.0,0.0,0.0,686.1452469840312,1653.5664367752252,3914.7225170321935,2571.807926653748,11963.635064385635,34756.47241451114,107.12862794536959,261.8869499473307,598.479204319534,309646.637982933,590617.8421316589,1014370.5883741062,888182.9644414086,4235465.675440296,11477268.60935966,50921.7857391161,90036.66088112089,195660.7551202741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37428700.0,37428700.0,37428700.0,763510.65,1412575.5,2334114.7499999995,35094585.25,36016124.5,36665189.35,1603.0,1603.0,1603.0,32.95,60.5,100.04999999999998,1502.95,1542.5,1570.05,380400.0,380400.0,380400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020399069430677527,0.03774043715117009,0.06236163024630831,0.5880804621083985,0.6551648041602285,0.7113867351672606,0.0,0.0,0.0
2025,318111347.7754371,503688809.19739175,838129019.5833497,164656232.48664567,290736235.9112339,527439320.46522033,3614885.5930090924,7368349.400991441,15426308.973436363,160336106.73226687,284057883.2903421,518729698.7518485,97290334.39931332,192963046.72722957,356134027.573453,67237.060844517,169463.91071643837,415478.6908262054,3508673.864820435,7137100.975840478,15127252.377458874,10211.821819015502,27855.488748337248,61692.896073830285,3245040.52324948,6345467.8819447085,12948026.303548578,155253640.17865708,275361356.6261273,508135996.8709584,446095.5612147706,1003206.1178386849,2155754.304560935,968228.3098452719,2024097.844306022,4402817.202040801,92241509.80699953,186996320.4773655,344241516.5765594,1600369.48606477,3357337.14357306,7342181.878393638,106244577.39895703,202336440.5743258,360616456.0814777,160336106.73226687,284057883.2903421,518729698.7518485,72967536.8299129,140234445.5429504,255153216.86624557,32423577.516004786,62962982.23758438,117689834.09120871,291210555.66227525,506751840.9938748,895277233.0480682,264475964.16770637,476677900.59501094,856451426.2714858,600844.8580383018,1334233.5023459415,2796577.573209364,264018221.77520365,475194842.15776944,853950537.4186224,16440524.629067652,36063620.91434389,63774609.97252151,10997.14467793318,29567.079096532332,72764.59459888609,576164.5494401022,1294787.6714864038,2749907.172680441,1669.0721221335061,4909.66199896061,12708.261754832405,5147146.518262913,10465627.925320614,20957509.813498892,254624542.05278268,456588715.4320303,838707985.5032115,735537.6754785681,1670773.10001038,3550512.9328436176,153842.34584450437,372852.87597816926,831192.0613912382,15869034.175076071,35130649.81243013,62323279.48090704,275064.0286818304,622978.0067876214,1225974.9329691562,37473934.10377189,37502589.80773717,37537475.67436464,768724.6428691593,1425524.1331533904,2349689.740838004,35118795.78461355,36076946.86926844,36726759.082428955,19114.881248366102,29435.738177870277,42824.158152385055,621.65,1207.0,2169.2,18480.691693207773,28330.614984763986,41262.758152385046,380400.0,380400.0,380400.0,2507.801924719077,3672.2396980633303,4989.641776238685,2410613.0869542193,3177804.020435985,3845117.803381584,0.021978251890792364,0.04045584868145194,0.06773577866589488,0.6182909550754768,0.6886454275355254,0.7521381660999049,2410613.0869542193,3177804.020435985,3845117.803381584
2026,694377248.8408157,1102396720.1988473,1776689764.651815,401319052.3751634,730004507.2482927,1365799541.5170581,9775585.473022426,19581372.339642726,43675172.05002765,388982129.186127,714345308.5849676,1330112224.4159405,164957498.09210247,347205541.1777524,630916736.1139314,207355.42235459076,516022.2230423966,1315472.8456487968,9304139.150475448,18979493.30297001,42721292.90857142,30447.497518648015,84024.80555434711,191708.23649025208,9198016.526530487,18184847.302119594,37354152.888585776,374316424.9820388,686639527.6094921,1303211042.8772655,1266064.2697398628,2886202.352554691,6292756.910797203,1928542.431751079,4029402.4116281616,8770232.094617438,159098800.31548533,334210703.7973614,620258448.0224563,3189056.5613620724,6671997.061526664,14597425.612774959,197322858.36163425,371973422.7493476,652900187.9194107,388982129.186127,714345308.5849676,1330112224.4159405,140926651.83708128,262543929.98888987,491682555.93207806,51481814.02671765,101381829.57799909,198901734.81974742,686880325.4863864,1233587511.2977734,2268305660.0365853,644317990.7424821,1165055439.5497937,2224532098.2520037,1446765.218930642,3364766.513469293,7791391.464247955,642510029.1962651,1160720814.9263246,2217646925.453042,25662562.21931243,57631399.440803304,106308035.72468783,30653.47488277744,85241.2328581569,211073.4688134965,1399071.275394048,3247072.0780368624,7621377.572391677,4567.412143519091,13829.681970370395,36684.77864967634,14828548.481978059,30051319.179631546,60460606.993257985,619383476.1988893,1128833232.5019119,2171837150.8640103,2102923.086747024,4808071.7839917615,10331882.010999745,283841.02182918665,683056.805068274,1494781.1661512656,24654263.296207346,55530072.88091573,103717872.43749993,487423.1734456011,1143607.540791946,2254957.4188320967,37519222.87496095,37576625.48534016,37646567.476737246,778470.0278853948,1445325.5657663946,2379387.943934774,35135308.0757606,36133793.88585507,36794296.73439619,54044.12979526416,84994.09825469405,125120.62562767221,1913.55,3701.5,6715.249999999998,52105.178441677264,81536.49548984683,120279.90566842402,380400.0,380400.0,380400.0,4999.071066471012,7309.028613624584,9913.835265109188,2410750.84657206,3177900.7946526185,3845406.5974659976,0.023888754438910337,0.04323953165074704,0.07329844878977966,0.6440880428702344,0.7236730960656933,0.7929272668558084,4821360.661076211,6355691.040191573,7690495.8720517
2027,1039587115.7028669,1725347163.7622437,2908018114.7778587,631123194.4032483,1227828168.4632998,2370646774.3066444,17616956.04599897,35587271.94604866,82967746.8638685,610592412.2794352,1188028012.3559625,2299805659.8387346,212620477.1708264,466878267.7812599,858766718.2632012,438007.4992150478,1080654.8238620213,2758297.51096654,17078274.05795368,34020863.55921969,80776103.72295393,65320.02399500063,180200.38779830973,409829.75404590805,18076764.518460132,35957920.93047918,73660398.72769824,586739910.6962881,1145948064.718906,2217637803.0664606,2496853.2149693468,5680632.052052624,12478788.815832159,2888792.391983182,6035556.096548086,13137360.939018905,203842257.57212892,449553888.9570024,841232058.0647336,4777658.615297934,9986120.683878645,21851651.36083735,275216261.21331316,515222697.89942133,907239462.8647103,610592412.2794352,1188028012.3559625,2299805659.8387346,204845315.67560816,377667587.7009696,711783050.8310773,60277497.191172965,118706260.7670336,248611573.21914473,1064571717.7310542,2041316833.7713475,3955200135.3506026,1010646673.2866373,1963368421.767703,3883412972.8030124,2207785.0840906226,5374425.436111493,13396463.632242044,1007653268.1097668,1957820672.0754268,3874429752.7348733,30450986.851196352,68154639.67069824,136277774.36786956,56514.215909217965,158079.74468114792,417687.55800124776,2095546.0949132293,5158037.256665101,13037547.874184117,8308.368518124858,26521.577731207493,71650.78632735136,29270954.395684354,59291273.024501234,119274008.68045133,968314173.2569273,1891553412.0093122,3774347090.000436,4139861.3603563,9475684.335669339,20451066.637368552,372939.17464179173,898313.3782204094,2042103.5914337572,28613149.711212225,65528138.75828922,132660646.92011349,617725.8279184484,1541730.732486626,3125688.821250392,37564566.37963538,37650807.32077939,37755976.32586996,798223.4975583572,1473862.8957979176,2426836.976578768,35160034.444412306,36186061.54625441,36849028.16901943,106395.33559767297,168281.64870543027,248496.4154102683,4050.2000000000003,7763.5,14230.549999999992,102355.04659283554,160907.80271279602,238281.69628156006,380400.0,380400.0,380400.0,7490.231933738333,10945.478597702839,14837.181540207444,2410889.2896104855,3177999.48579232,3845699.8269818313,0.02571348510164413,0.04624494712997751,0.07763802040618267,0.6715618389917748,0.758685983220722,0.8356185619911105,7232245.275758028,9533670.847559564,11536154.943610845
2028,1372512291.1718407,2338273185.8969407,4085170191.8042912,852867890.9320523,1715028499.8645566,3444904275.735959,26901872.254987873,54628740.01429421,131387451.41959801,821115054.3965526,1654899191.9052944,3328626685.320978,246471584.0892095,562229810.7118305,1059464359.6910111,776309.2918601494,1915867.3523097155,4845986.168663653,25504390.538545657,51817416.82567452,125849303.10428268,115237.80300641106,318180.58969482477,732999.3772837034,29847598.45906157,59562734.84060334,121651302.09706531,780369032.7170213,1583003910.658277,3223336976.713802,4130789.657519159,9375976.781767167,20701452.050819702,3848912.9971248037,8041425.330514377,17503913.01986805,235195732.96746603,544687488.1709172,1033717348.1865476,6366089.391592142,13299158.394653082,29103817.568982095,327992668.7827875,638441197.3772686,1135539806.986383,821115054.3965526,1654899191.9052944,3328626685.320978,255908745.88395604,488667457.14600015,920227922.0012053,56293522.04574433,121161568.77866375,258285624.57611355,1472793911.0551019,2857730627.8006144,5780068545.938549,1378249780.7540004,2770543846.923601,5694187173.666369,2863019.8823634004,7045330.543943146,18219098.717316426,1375727697.0816302,2761380655.8867908,5673086003.36397,30406365.196684822,72237451.00452402,151231577.93833134,84470.55860300144,249841.89958886657,682588.6448438365,2750484.6015397813,6721811.7766042575,17759752.341120344,12205.491466254998,40780.441302481326,109926.15622695292,48419046.836142205,98051207.40509546,197652336.92572454,1305051652.4606197,2641253352.4238462,5555971529.561766,6843726.172817987,15650458.417154226,33877093.395649806,409181.5524044545,1065155.5672465172,2439014.657108319,28209228.030278787,69171096.0120861,146238673.1469904,665809.7293729724,1805964.2688857159,3896144.609402323,37609964.68394321,37725135.602593794,37865703.143185094,825426.4925120599,1516195.516579078,2495479.2604275034,35165488.091577254,36228798.726543665,36909730.7818056,176173.11910168667,279302.0009416214,412955.6961974359,7079.45,13662.5,25758.94999999999,169128.40860406557,265931.7506458483,394921.5086968898,380400.0,380400.0,380400.0,9981.174843282697,14581.244301439761,19758.811747179574,2411028.596893673,3178100.853109803,3845999.0660269316,0.027312479926864988,0.04954189956273514,0.08219473591577953,0.7004951341555654,0.7921973800638379,0.8874885931908578,9643267.194182174,12711743.58863461,15382095.787605366
2029,1658352667.8175867,2914565658.504624,5406198366.615158,1070206347.7399552,2242471448.31038,4633053880.366204,36426461.62717867,75280316.85509394,185478185.46629274,1020548342.0519402,2174014998.2812223,4479772499.905979,276085603.3505288,637836020.2999215,1236587539.5222216,1230329.8846027798,3080779.5196763854,7669428.735636769,33965303.76476015,70835453.76143917,180336040.0854694,182825.51918717456,500162.6682477846,1180363.3677492742,44474628.747519724,88894366.81431296,181086648.46917087,958903792.6594975,2041956792.9496524,4356393071.7974,6163947.422842556,13965627.018309873,30947040.865485884,4808901.127411423,10047002.898925785,21869874.220301393,262445768.50942203,613793638.3303499,1199627800.2711813,7954345.158752381,16611069.747018334,36353852.73355641,373031782.5225962,745383150.7428565,1312351553.5556636,1020548342.0519402,2174014998.2812223,4479772499.905979,305806080.00448996,593030468.299403,1119314229.5302439,34402673.861261606,107121195.14840627,260775153.11527556,1855091628.8414624,3666909890.8082633,7603039866.130158,1766785367.104286,3570974188.066062,7508216743.512175,2981395.067906877,8136545.8534404,22700188.901169132,1763886984.9338393,3564578410.966087,7483030618.652662,28442120.982299905,69154380.06964254,155892279.50724947,119977.8576965785,339080.60550859943,968425.1129107954,2744629.4200009056,7809417.977474427,22124248.729542535,15287.23359911862,55018.34547531886,158731.1321349372,72208442.86821215,146203987.00171763,295379156.24352574,1657035325.3960724,3397875744.5365677,7237277713.989789,10212235.700717362,23303011.529150084,50573158.91098797,401992.71064728155,1137398.494911884,2537066.976280744,26042442.628145006,66138179.189097196,151466881.7428627,617435.356813844,1904471.6323679835,4157226.0838631294,37655417.854112424,37799610.6198919,37975748.85278289,860842.2914451944,1562872.888144101,2581203.7711752965,35147674.26502729,36247336.46075758,36957292.20032244,263382.1372717642,418058.82713812613,618502.8727943957,11366.65,21587.0,42191.549999999996,252304.86721511738,396031.3319581734,589805.3150871239,380400.0,380400.0,380400.0,12471.895541659853,18216.306293503774,24678.66015430816,2411169.026526157,3178205.981156569,3846306.562417086,0.029085203642185187,0.05303068000870228,0.08716128718602718,0.7246020638703577,0.8343634458803901,0.9464663831022676,12054426.680037579,15889909.409741528,19228319.17569044
2030,1878178517.4073384,3447129960.845619,6554213351.690374,1270418410.5070987,2689532211.1886134,5780111186.80482,44538858.33068461,96780829.19057918,252924551.5162076,1229776892.407499,2624967717.91789,5605208664.41806,299473052.0468077,701345365.4654901,1354209274.8394294,1833906.6524300324,4620770.371060491,11338993.858344927,41257555.55636992,90599021.2177467,243770052.18056658,276363.3368371079,736555.4060558341,1775351.6533656206,61923612.029531784,123715290.97159576,251698280.57310772,1127227576.003794,2479351940.587865,5400963403.36405,8592016.103684042,19429040.398104332,43199999.54836342,5768753.563582443,12052281.341720048,26235229.955596875,283035175.3739003,661909919.1420815,1316386690.5463896,9542422.076989535,19921812.309655964,43601682.079691626,400458235.16265684,831810425.2514696,1469058084.8538728,1229776892.407499,2624967717.91789,5605208664.41806,364612663.9957409,697298590.8212775,1354509736.9651258,0.0,86194093.4047078,258631932.35833946,2204789491.9551125,4437073827.13871,9463420774.035799,2128534041.0641742,4359542926.532955,9387884936.313845,2603018.52727029,8931984.93603085,27094760.90722485,2125591120.050337,4351845277.816364,9358102485.105717,22828786.367774446,59366303.75054453,152035085.19700265,119715.75324753785,400615.8610851718,1264447.6571073756,2341837.9952515,8424178.92953592,26106621.40963429,15307.102008045167,65824.15148593037,201690.65986495928,100564525.88039364,203602377.33867633,412253521.20792884,1884858310.241842,4088394554.6114187,9062462875.978283,14240386.706598153,32479554.895104207,70498317.78244303,353099.1080818148,1097737.1410380416,2635226.308823774,20533649.62108246,56960715.941069424,146446503.96541435,529538.9372467701,1824604.934731792,4163046.926806692,37700925.95645105,37874232.662353024,38086114.381449275,899409.7191407204,1630920.3591569962,2686174.1210512244,35105544.605041154,36245623.59536171,36992268.98032999,368027.09276441514,584555.8874597796,865142.7089579266,16710.600000000002,32238.0,63102.74999999999,351744.5371056335,551239.8945204159,822492.8964416941,380400.0,380400.0,380400.0,14962.389665480056,21850.644414077833,29596.65771871481,2411310.9470126946,3178316.4191936105,3846625.526419647,0.030904489075162977,0.056911072685319405,0.09354474839691901,0.7523268826442561,0.8770588123280418,1.0,14465723.997520627,19068168.457435638,23074825.881635778
2031,2064765906.1497319,3929203182.5197206,7918799219.941912,1461499723.2144616,3137566860.573169,6897386098.361253,53857436.794300914,119249113.34985965,325051836.96639884,1420229838.402001,3016502967.4896574,6668007923.684819,317827125.1078163,743822804.8420906,1461904398.8423147,2632713.4725843836,6579265.924820961,15972999.722933915,49658702.12676068,111491937.33930415,311687458.9179734,402520.7171099401,1038877.2676157389,2547559.2809671685,82144747.10283783,163971551.38866273,333187477.16059107,1192904432.0193453,2802562486.3757534,6400931468.87513,11410137.141439296,25744352.62082246,57432577.81267293,6728466.9829843715,14057252.942992557,30599965.153562102,298625480.3263909,700001665.2194729,1407816116.6837344,11130316.194323825,23231341.547782674,50847227.37832787,421421201.34787875,904948686.4702983,1619091538.8175237,1420229838.402001,3016502967.4896574,6668007923.684819,418142587.7337071,803692589.3909602,1551731784.6422896,0.0,61455265.31631378,244589583.9825199,2431277549.040291,5104356932.676014,11386982219.16877,2385990989.1963267,5060328293.716002,11339719888.68475,2349906.8178485595,8652218.14628973,30948010.850143496,2378068580.1916385,5046553988.069565,11318994715.676445,18980999.44469544,50714165.381849475,138756264.062901,135504.41703065153,459323.10498396005,1659555.5228416894,2167359.788521498,7895220.714416694,29111829.65293048,15804.267307896771,77310.27466117647,250927.3066166666,133400410.79705563,270079296.09600914,547735869.6850939,2033074134.6084905,4675148844.822189,10909046685.764948,18922574.03721134,43056728.838050984,93607623.9459283,259743.26406279102,1067208.2261468028,2733160.5557850613,17321526.93722937,48839609.05457899,133034038.65559883,517422.28342314356,1731896.5692809655,4418718.792382308,37746489.05734725,37949002.02022833,38196800.65866373,953096.1793279503,1706477.2690187313,2784146.399094845,35039294.89275602,36224422.22853209,37030878.44122684,490112.74784798967,778797.0714764164,1152880.5143124233,23421.2,45773.5,89648.49999999997,465242.34202936356,731304.6581344394,1092494.9796531182,380400.0,380400.0,380400.0,17452.652737911194,25484.237741383593,34512.73188287986,2411454.8845721176,3178434.3803524785,3846960.54323042,0.03267333383466532,0.061283593519415897,0.10013658133499587,0.7798026123294682,0.9211856193985757,1.0,16877159.41133611,22246520.878503114,26921616.68133147
2032,2228196258.22488,4313937533.0928755,9115946301.89805,1615893593.8707294,3503238993.386131,7955169158.749653,62691170.3768593,141794183.53529772,410620642.6737475,1526802711.9666371,3348151930.8771553,7672381391.938683,332334603.1103487,779406682.1366599,1536985926.8070834,3624108.2986914576,9103354.551045217,21702734.991180036,55946778.32156479,131915413.8240917,390562035.3173978,556210.2493589482,1418399.2604559055,3528870.8124673176,105088229.31074715,209056802.0764898,425221271.56681246,1298448761.0137906,3101440372.2947226,7416496809.395338,14612867.0468118,32868982.89154786,73513903.21403918,7688037.955458526,16061909.719996728,34964064.23373908,305017534.78813034,728459236.701028,1482662343.5718071,12718023.442488821,26539610.694678463,58090406.74950533,455796629.1488836,974354510.402221,1756452762.360193,1526802711.9666371,3348151930.8771553,7672381391.938683,455796629.1488836,895520799.0836437,1683987965.8178036,0.0,27384450.054558106,203878626.42318445,2598009939.3849263,5691689325.150387,13182678308.821085,2560312732.7225995,5665085231.683183,13105894305.361084,2441823.487519721,8120631.741520325,35538695.99206477,2552656336.3702674,5659073146.15507,13079667438.726093,13835355.36298291,45014193.20237527,121058128.24950245,157017.67108500967,509915.432066052,1954494.9347470184,2268559.001877327,7263807.541112655,33705207.962199375,19421.212456997164,86062.06387599143,292769.58025943517,170615773.2516102,345445731.2064637,697950140.4828119,2235658695.540911,5105756589.083199,12517064481.467054,24252681.402150262,54980193.3433529,119851143.0203344,289227.72376779007,995411.3797389879,2740597.2684904723,12478428.426677318,42936541.32054151,116275361.44312179,517982.85237468715,1622901.5816723872,4274870.519594838,37792107.22326941,38023918.98434197,38307808.61660704,987285.6504608663,1818633.156198073,2904630.761499265,34997342.86062846,36212004.19922201,37068486.24569347,629643.945465577,1000786.4609325482,1481722.4277005438,31724.3,63407.0,122760.09999999998,592204.4595714197,935497.1497201354,1399262.5211268459,380400.0,380400.0,380400.0,19942.680165019086,29117.064556086036,39426.80635458656,2411601.5907286997,3178563.0261511467,3847318.162226204,0.03455696630927442,0.0657879962322857,0.10711063288415025,0.812251330274521,0.9697695358428149,1.0,19288733.186698183,25424966.8199614,30768692.352793783
2033,2377130168.5853205,4738749296.975962,10337253509.736124,1752296591.0957794,3836593508.6996584,9125003139.665846,72442750.14175202,169118154.70672873,502718513.9189457,1627314208.6331568,3656100931.5384684,8616478866.342226,343942733.1284121,807268631.2173645,1599179537.2246792,4787357.094889126,12193044.01908664,28673160.92328928,64401623.60037872,153444208.87652412,473068847.44827944,731720.7110603129,1894379.6023749686,4774577.685876075,130698172.86655076,258734482.15564466,527237135.64878476,1394313911.0139315,3347078172.9835625,8301594015.075159,18194178.680123247,40833522.76170015,91471238.73542745,8647462.939034138,18066243.41157615,39322793.16738137,309318975.8382041,753565062.8187511,1542650919.2816954,14305539.63265577,29846570.613937892,65331134.452399775,480957216.8668108,1045395809.5593541,1881918407.799492,1627314208.6331568,3656100931.5384684,8616478866.342226,480957216.8668108,980139234.3378122,1865049363.5132225,0.0,0.0,185694671.04846194,2749726048.725757,6195723593.589952,14744516327.273191,2719580829.842567,6139066400.012814,14639547116.956392,2605408.0915029114,8080121.463154267,37173404.25760161,2714085504.17044,6114485907.106565,14617251609.803617,13107306.713760862,40164314.225782566,110272188.7317586,197196.8856529933,583921.1038903459,2234847.3075330807,2332884.8884985484,7479626.278252473,32873671.25509557,25889.078893049482,97368.90961922926,366332.0408440933,212094262.28333816,429334419.4862093,864056233.1001661,2394226466.4290113,5500374588.556781,13901209455.75776,30224020.367300212,68266692.16503146,149173638.08348376,316140.4260906133,1007484.1348515014,2623817.978398171,11982491.590402408,37204232.3757806,104088553.34326772,532211.9919654734,1604400.806310382,3935458.7015622216,37837780.52076625,38098983.84609229,38419139.190169185,1026405.2154396726,1937485.3999789078,3084125.3383296984,34889344.0730236,36180690.645183146,37085889.11452299,786625.6410209375,1250528.4245744986,1851675.8453011406,42800.15,84769.0,163604.3,736321.1326007947,1164221.7790231202,1742185.635291831,380400.0,380400.0,380400.0,22432.467231967068,32749.10230372407,44338.80087060364,2411752.138871263,3178706.8729450703,3847707.738754185,0.036611932204392204,0.07010665095696497,0.11443658550521792,0.8404477935826182,1.0,1.0,21700445.589331415,28603506.429059524,34616053.67617098
