Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,CAV Total Power (kWh)_p05,CAV Total Power (kWh)_p50,CAV Total Power (kWh)_p95,ECAV Power (kWh)_p05,ECAV Power (kWh)_p50,ECAV Power (kWh)_p95,ICECAV Power (kWh)_p05,ICECAV Power (kWh)_p50,ICECAV Power (kWh)_p95,STI Power (kWh)_p05,STI Power (kWh)_p50,STI Power (kWh)_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,ICECAV Sensing Power (kWh)_p05,ICECAV Sensing Power (kWh)_p50,ICECAV Sensing Power (kWh)_p95,ICECAV Computing Power (kWh)_p05,ICECAV Computing Power (kWh)_p50,ICECAV Computing Power (kWh)_p95,ICECAV Communication Power (kWh)_p05,ICECAV Communication Power (kWh)_p50,ICECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,Electricity Consumption (kWh)_p05,Electricity Consumption (kWh)_p50,Electricity Consumption (kWh)_p95,Gasoline Consumption (kWh)_p05,Gasoline Consumption (kWh)_p50,Gasoline Consumption (kWh)_p95,Clean Electricity (kWh)_p05,Clean Electricity (kWh)_p50,Clean Electricity (kWh)_p95,Fossil Electricity (kWh)_p05,Fossil Electricity (kWh)_p50,Fossil Electricity (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,CAV Emissions (kg CO2)_p05,CAV Emissions (kg CO2)_p50,CAV Emissions (kg CO2)_p95,ECAV Emissions (kg CO2)_p05,ECAV Emissions (kg CO2)_p50,ECAV Emissions (kg CO2)_p95,ICECAV Emissions (kg CO2)_p05,ICECAV Emissions (kg CO2)_p50,ICECAV Emissions (kg CO2)_p95,STI Emissions (kg CO2)_p05,STI Emissions (kg CO2)_p50,STI Emissions (kg CO2)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,ICECAV Sensing Emissions (kg CO2)_p05,ICECAV Sensing Emissions (kg CO2)_p50,ICECAV Sensing Emissions (kg CO2)_p95,ICECAV Computing Emissions (kg CO2)_p05,ICECAV Computing Emissions (kg CO2)_p50,ICECAV Computing Emissions (kg CO2)_p95,ICECAV Communication Emissions (kg CO2)_p05,ICECAV Communication Emissions (kg CO2)_p50,ICECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95,Total Vehicles_p05,Total Vehicles_p50,Total Vehicles_p95,Total EV_p05,Total EV_p50,Total EV_p95,Total ICEV_p05,Total ICEV_p50,Total ICEV_p95,Total CAV_p05,Total CAV_p50,Total CAV_p95,Total ECAV_p05,Total ECAV_p50,Total ECAV_p95,Total ICECAV_p05,Total ICECAV_p50,Total ICECAV_p95,Total Infra_p05,Total Infra_p50,Total Infra_p95,Total STI_p05,Total STI_p50,Total STI_p95,Incremented Car Number_p05,Incremented Car Number_p50,Incremented Car Number_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,Cumulative New Cars_p05,Cumulative New Cars_p50,Cumulative New Cars_p95
2024,7867099.981513384,10077192.782114286,16401579.837017672,7867099.981513384,10077192.782114286,16401579.837017672,98514.49540053736,153982.27937394887,500821.3987544284,7706269.879674358,9991880.335171275,15909733.932842966,0.0,0.0,0.0,2844.068583204994,7166.535825072455,9707.623749582579,95098.7125742771,145994.60833968068,487485.2600386509,558.6712595468197,821.1352091957217,3628.5149661949145,253870.5705785714,296172.7830661481,491611.9192281265,7394662.130751159,9654957.227839008,15460756.165464673,34113.547232839315,67468.9546357681,112693.00711240208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98514.49540053736,153982.27937394887,500821.3987544284,7706269.879674358,9991880.335171275,15909733.932842966,66354.07871705861,100587.74957811873,341690.49376228946,31846.622237389667,54963.502026275506,159130.90499213885,12201585.604050618,16579708.882954016,25385775.96145111,12201585.604050618,16579708.882954016,25385775.96145111,17143.929027025628,35989.606528382654,108720.84544308398,12168251.075191813,16566379.017919686,25277271.575562913,0.0,0.0,0.0,502.4499509204097,1591.929630854267,2092.786817879876,16545.734844658284,34122.68301763674,105861.28882288528,95.74423144693353,191.92035087223775,783.3845081226953,405260.83402138256,467457.3155954531,806789.9526436635,11676291.229483018,16007765.85315685,24560000.12947406,54760.94432093443,111862.45600886738,177833.54928921192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37428700.0,37428700.0,37428700.0,548083.4,1282262.0,1986407.2,35442292.8,36146438.0,36880616.6,1603.0,1603.0,1603.0,23.6,55.0,85.0,1518.0,1548.0,1579.4,380400.0,380400.0,380400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014643399316567232,0.0342587907140777,0.05307176578401066,0.6351569794100533,0.6532423729995546,0.6891517887361427,0.0,0.0,0.0
2025,742276445.0647857,826993059.2409331,1114499899.2406824,357317730.1148667,493428723.7299303,611782450.3790746,4827392.286010653,7313306.395933033,20601717.320172988,350934415.0751804,481101886.8456666,592183439.1565677,309492487.17370296,400945819.0902301,503594237.5265726,72158.33038933328,175936.81900318782,278527.05842332816,4739884.987040297,7117210.894938473,20217553.002432413,11887.200998086793,20158.681991372294,105637.25931724574,5054834.693761181,7659611.022602685,11109044.87814196,345119731.9450776,471569349.74986583,580414593.8403664,670958.5412812207,1802328.0314757626,2988718.9834124395,1629285.5936317237,3050188.6823725477,4658401.169229033,304606741.5026318,394360054.33238626,495130578.5573471,2704600.4806310683,4418018.415045448,5357558.28612369,315404855.6450507,408259125.48616314,523110978.6614084,350934415.0751804,481101886.8456666,592183439.1565677,224804627.21492606,273731236.55121607,374684912.25905067,90600228.43012461,126551250.96267767,150021393.99681163,635341023.4446615,824482980.5748609,1047687109.4046088,558918739.6189934,780819329.7308037,945885063.3051487,772719.7847347066,1556065.9410303084,4058891.2440258916,557390106.1258217,780199390.329775,941936519.3104417,46338350.54074754,81268567.45020787,101802046.09946014,11482.30899046391,33558.26553840471,55474.816915947784,758907.5342411946,1514342.3328882237,3983289.327102105,2196.501134448916,4289.200638479949,20902.328400879185,8097869.70452631,12075086.279865,18234026.93208292,548042639.2006733,765276909.7453537,923166297.4801934,1079606.2995322114,2952596.922081167,4723602.534074295,264288.5952973419,521560.75704868726,934227.1132961755,45590167.8939576,79509571.34612525,100176261.60386685,427821.7422806554,904519.1259232828,1050074.7958015031,37466855.07710277,37473665.88416025,37527552.73508429,554107.5985242581,1291195.1262536305,2009781.9242286703,35517770.81085562,36175174.786584124,36918584.25563651,30116.305508013702,36293.700169939424,44070.69226249952,649.4,1066.0,2455.7999999999997,28964.505508013703,35458.700169939424,42217.41033278183,380400.0,380400.0,380400.0,3700.8195096114882,4082.15607048749,4758.703256653428,3281862.2719757766,3831395.181031473,4630768.865031095,0.015822108784443782,0.03664776532445754,0.05735229243548429,0.6662332206846439,0.6900222357259549,0.7231505831424251,3281862.2719757766,3831395.181031473,4630768.865031095
2026,1808910721.8944008,2029775339.0687199,2797322316.005334,1045572152.1200541,1390214001.1230624,1797187680.3651857,15082832.70612293,23106759.259142745,65193844.28156084,1025475878.7555742,1352959309.4768028,1734823422.561048,601075052.300134,797389280.0883467,1001918748.0216274,226899.67137594835,547854.7026512938,879349.6870101844,14807509.77002453,22496131.858935606,63980685.01922635,36948.193077903416,62772.69755584902,333809.57532430644,14607144.205626197,22157315.28253409,32255008.508998204,1008667094.6147207,1325384093.2875164,1700603063.9446561,1937721.5084016453,5260845.604828993,8688650.338479644,3242274.230332716,6061243.952637481,9268078.077072471,591355715.347669,784291704.3834695,985080120.5706478,5382767.386200695,8786425.38631223,10655403.185428163,619255339.285389,820496039.3474895,1064015138.0240561,1025475878.7555742,1352959309.4768028,1734823422.561048,464190245.2006321,573386801.1786264,802722321.3001183,155065094.08475682,222458682.83955583,266222927.78979912,1764226789.5619578,2318147691.385877,2952880545.083204,1624278593.6431096,2240720327.0838647,2770847062.1352086,2215654.5591343837,4405034.413923099,11566990.581185319,1619882514.214501,2238964599.004745,2759550855.7164936,81714998.91842054,150218860.552547,182033482.9479948,33025.275317397325,94313.9869416219,157488.81640681435,2175923.214981919,4288625.4150743075,11352086.969863653,6304.754837233703,11966.883364610774,59440.42062336214,23404003.81599135,34930167.2078719,52941639.48955993,1592935435.5582008,2195407119.442371,2704973557.410994,3118177.893578737,8541115.300991135,13747762.530139936,475946.45786202257,936967.4260145287,1679722.2578564866,80364170.84326047,146967487.98918104,179126455.9213642,771832.2011129726,1624940.0395707604,1928475.5021481805,37505049.07491202,37518685.789185196,37626667.24361929,565824.051985601,1308189.6923036862,2052603.7992675302,35574063.44435176,36195888.046052024,36950911.46359001,87003.32015183585,105514.00079152206,128824.56465399476,2046.4,3289.0,7753.4,83442.72015183585,102914.00079152206,123082.49066814191,380400.0,380400.0,380400.0,7365.59011647573,8120.505626296173,9457.720488488054,3281908.3929877086,3831614.971817814,4630885.544476423,0.017096169187819314,0.039203330744672776,0.06197896607174466,0.6975373309458672,0.728872935186294,0.7599835087213382,6563738.00978502,7662974.155201161,9261542.919142984
2027,3060662545.4788513,3336922776.884829,5066052042.2680645,1956519325.0827777,2454137718.000164,3568555555.987488,29334506.904657334,49295658.59146712,138476257.65060717,1915743210.5900378,2383596743.733096,3434328361.4720006,827378223.5612687,1176797396.8124874,1497496486.280577,486504.3217568991,1164415.6959835512,1887755.0470700685,28743953.647326127,47997825.19557239,135871441.99930665,78618.21431734845,133417.69991117966,717060.6042304503,28873747.45592726,43772254.62090869,63834258.881035306,1882513425.9824688,2329121308.921934,3366703440.110133,3829437.284394942,10435593.230829587,17161649.43390369,4855100.6252045985,9071803.5892919,13877250.629992515,812825857.495445,1150667527.5297217,1473588070.882416,8060678.104415959,13154281.509575304,15952586.349487506,861902928.5815862,1221387380.5012546,1631723680.796064,1915743210.5900378,2383596743.733096,3434328361.4720006,679392682.5389719,881909737.3773332,1298333397.5699863,182510246.0426143,286018584.94386905,344082094.8620877,3223812644.6124797,4022500447.8754644,5724757765.257192,3038143543.4703608,3927064003.2173576,5484521862.652494,3924548.1465026364,8245123.885227006,21725219.37086276,3030091084.418144,3924070125.471251,5463082293.758334,100560650.18835744,199670456.7812604,240666212.91850668,63953.96187629026,177641.4111121323,298120.51406731905,3847627.815054588,8028050.060933093,21317810.83192397,12263.57412838548,22315.26052560194,112711.45540271282,46245716.04124946,69100057.9052944,104775496.78534433,2976886495.686574,3837668019.6090546,5355226773.716965,6162521.477836484,16873157.642714422,27168471.239909984,634035.5973540938,1244028.3178265048,2233317.8346193815,98755160.66273752,196390755.14866474,236589492.31124166,1030648.1157249648,2157461.794157188,2636279.994233077,37543282.03315604,37563759.77997412,37726044.22049768,583694.0934029332,1333806.693776677,2116447.558482201,35609596.662015475,36208016.82093419,36977136.9519637,172265.47690912278,209264.9082622347,255869.6380449691,4391.6,6964.0,16646.0,164721.07690912278,203738.9082622347,243878.3283757019,380400.0,380400.0,380400.0,11030.012557043858,12158.390129478425,14155.996768138526,3281956.7469716803,3831838.9075078815,4631006.13196107,0.01847332921717265,0.04193710388258046,0.06697984327006601,0.7303586435549642,0.769911066834191,0.7993029923588958,9845652.708029035,11494763.638533723,13892415.333493756
2028,4325575300.283192,4654121533.973886,7777797995.014638,2942246986.8225617,3577685717.6131105,5806995373.688131,46513405.11843478,83633911.82284644,242895919.76641998,2876046580.3207393,3467375500.4486504,5569434714.990034,1003264833.2171737,1482917369.9679694,1970802621.3265066,873248.0696038132,2072578.2208634473,3390695.953677351,45453044.74640154,81323859.45931435,238216550.6142688,140165.76745647608,237474.1426686439,1288673.1984738228,47812636.9921172,72412374.32404026,105752411.1649681,2821016500.6714816,3377256871.3952947,5457657956.099911,6340482.090861172,17318010.05924788,28349121.119546037,6467599.321343206,12081359.568299765,18485404.141486526,983880574.6082171,1448111612.315039,1938955327.438918,10738071.524364531,17521023.84412359,21248431.458831802,1057287733.7092435,1555680110.2642546,2208363280.0246034,2876046580.3207393,3467375500.4486504,5569434714.990034,876457535.496549,1171345155.6993415,1850776028.4283102,180830198.21269453,303504218.5224324,381689565.6248822,4780861229.906305,5763089341.954497,9161597156.773798,4570189687.786301,5661584324.670024,8890264952.006664,5564823.255950489,11923062.290633194,32819296.235301767,4558489223.409,5657467218.980412,8857676952.873495,106730740.32133222,219780277.24626404,273662353.22444355,101941.50535661697,273152.1611242047,459823.39458736294,5442278.982903245,11593735.374975357,32189735.662385095,19725.211834663205,33854.91523403179,174201.14618922805,76509540.23085241,114672493.5927163,173582145.5292564,4470467042.675219,5514081739.557813,8679398094.640234,10203627.084285762,27913239.05598293,44897513.01265061,734440.5060853538,1432493.9614853682,2580275.264058356,104630605.26690984,216056843.9766927,268934645.42571205,1197925.935572457,2484309.197772277,3161719.690802888,37581553.99160371,37608887.92150428,37825684.36246086,608216.1746574517,1368645.9399421946,2203015.356730241,35622669.005730614,36210961.34015646,36996762.330070764,285904.29194374534,347547.5916535141,425211.0902870047,7888.0,12362.0,29902.6,272505.69194374536,337711.5916535141,404276.343259214,380400.0,380400.0,380400.0,14693.731997620293,16195.334761032442,18852.77294472326,3282008.074521872,3832068.349714197,4631131.374145878,0.019961969894995192,0.044861511730029016,0.07238525942249076,0.7647733716697467,0.8132597908608813,0.8406586989681998,13127606.406476708,15326764.12967289,18523386.30931839
2029,5556157466.893152,5922481349.02842,10547421897.173588,3943754329.6208124,4691513136.9123125,8174374982.87637,66074325.24061843,123799545.69472773,369727196.1448383,3848106538.521368,4536323546.267312,7810925795.721588,1140227125.9223022,1736118457.9969625,2373046914.297219,1412791.891865396,3325595.8390731392,5488984.675512739,64358280.31873194,120092906.08476266,362150944.23308873,225326.8300084825,381043.7708919337,2087267.236236778,71375890.74096338,107972418.68740545,157900936.707521,3765951192.9733524,4401949740.153161,7644488954.399043,9464450.308804946,25898185.80048094,42182989.4563075,8079760.57911546,15089874.264260393,23092507.30511389,1116012148.4422061,1692638895.4892917,2333262583.8508883,13414932.735655855,21886615.721452955,26542894.28530692,1216238246.6814437,1841624071.0493486,2736496101.452002,3848106538.521368,4536323546.267312,7810925795.721588,1060438182.4062861,1445970546.4074275,2415446386.5554113,155800064.27515757,275251156.2996295,383022690.622703,6345634149.776589,7435306513.608774,12732074286.519884,6126901995.122019,7336847389.522098,12462174819.660069,6846221.873374086,14767396.348545061,41419309.45581176,6112020576.718706,7331894530.126937,12420939077.171486,103098806.33344693,213036610.7038738,275892306.61665773,143189.91451704828,365059.42968184873,615367.0676057414,6643995.569050401,14486916.62606645,40574649.338536106,28123.45881975585,44382.44164479824,233751.5619066149,114118108.91315714,171486766.38415152,259185170.5861549,5980732203.152771,7117468982.707042,12155470458.531507,15231231.72087207,41620785.98317212,66832279.885354705,772791.7761338518,1491343.8813588428,2704953.463955325,100876864.79759987,209236522.92048174,270909017.30746156,1266944.974463197,2549264.728263985,3499843.480430514,37619864.99006455,37654070.27883099,37925588.36810387,639928.7080440357,1413348.6834583352,2314147.002570435,35611441.36553343,36204080.38929458,37009249.246882975,427921.3956358073,520363.4900316488,636854.2975070801,12769.4,19791.0,48415.2,406462.1956358073,504580.4900316488,603895.3212904088,380400.0,380400.0,380400.0,18356.728247491224,20231.309919946063,23547.99376536164,3282063.397450936,3832305.1674715355,4631262.168807146,0.021571156372828526,0.04798984785259557,0.07822801416657713,0.7999382707576812,0.8636663835422834,0.8841561732424532,16409599.14493755,19158976.128443584,23154456.04831864
2030,6671866224.982226,7107818770.454585,13293224233.067223,4922055234.177088,5753186580.888366,10578098777.222986,87648411.95408073,169107127.10396343,518106255.69225574,4793480455.7497015,5548998712.701906,10067008669.747229,1247134246.8878767,1945813212.7419183,2715125455.8442373,2134953.6610669238,4983842.8136669155,8298668.644269363,85054411.08815259,163552240.0771243,506650243.10249716,338380.6767123882,571044.2131722132,3157343.945489203,99508866.1673483,150333345.58001018,220155200.2120159,4678936849.496853,5361905896.989923,9835679482.44485,13194056.667709831,36164515.059173025,58584719.884177454,9691574.274747858,18097308.19617561,27698527.54565852,1218089762.938719,1893661995.1531556,2667405988.4497147,16091246.259774247,26251018.882044233,31835928.662309438,1347176852.3622184,2088030113.3270738,3226215563.3199935,4793480455.7497015,5548998712.701906,10067008669.747229,1235600079.490775,1709578702.9492388,2999149650.4780145,111576772.87144339,206991518.8520917,349178030.57015824,7858262635.583249,8981590069.087032,16292593528.598679,7645422591.511336,8893210029.32046,16052209622.60816,7295479.340332609,15893358.107050536,45725714.08581072,7628229024.073468,8887849958.421585,16006980209.855232,91792115.72669946,183765706.13323432,251568754.80349147,182025.81590291354,430582.4925251588,724906.2109761904,7052228.5191812115,15357489.696672207,44760218.65905269,36274.13659293659,50777.61398436504,276441.745211151,158962213.10154608,239466030.28978834,361381995.6888372,7445352161.625159,8588423736.118624,15637992630.41095,21233662.010550845,57949910.52886091,92854158.81057093,744422.0212259269,1408639.0268437767,2590647.5249592443,89634966.8040659,180286121.44382468,246754745.87422895,1230542.0778516962,2334257.265447028,3636989.659757715,37658215.06838872,37699306.91708773,38025756.937880345,679413.0572551569,1468600.4147411245,2451830.9861200866,35573925.95176025,36186688.51620486,37014016.40004696,598318.575383177,727714.4873444791,890804.8870064873,19307.6,29600.0,73211.2,566212.175383177,704060.4873444791,842292.0568614755,380400.0,380400.0,380400.0,22018.98034943701,24266.284775856533,28241.60129426675,3282124.13767152,3832551.9264959395,4631399.595645843,0.023310693985675947,0.05133633281853255,0.0845435719294697,0.8364848946107641,0.916769319415754,0.9302590568082019,19691630.96326172,22991400.135854673,27785624.75266426
2031,7655005509.1250725,8192813021.750378,15956845813.235004,5852620057.001582,6738875133.315894,12950590241.175755,110986403.52057947,219057965.02235594,687490709.9220029,5688042797.187957,6482218452.332789,12270619274.445904,1330831698.3714752,2119740127.880219,3006255572.0592484,3073673.1524578356,7115839.509147856,11953072.65867157,107250739.37200235,211126799.04215285,670987588.7628809,484168.22939548537,815326.471055244,4550048.500450507,132149826.33392334,199358896.258412,292371925.78685904,5535917974.929356,6234112371.181495,11964483101.532257,17521040.519690465,48103734.28288387,77463950.39985496,11303029.881662998,21103619.915763553,32303430.956162605,1296958960.802736,2058919474.0185633,2950602927.3893824,18766996.023512825,30614193.390926573,37127486.38022919,1456661262.3730807,2302181006.458194,3686226538.7891016,5688042797.187957,6482218452.332789,12270619274.445904,1405583890.2267067,1965557192.4402697,3608899975.0884767,42425998.94460275,70908576.33999352,289898753.84296936,9280674813.286243,10375227138.376865,19737996692.683994,9085324077.750402,10302436682.214684,19551591088.04312,6791716.489553077,14246866.201460538,43548858.86633574,9067050597.302725,10297222711.117352,19509277716.366943,74373817.77049465,135375615.69870487,219041903.07037708,210317.75899132702,425625.6854717081,734936.4320296561,6535504.320020279,13701569.22205079,42551469.86469622,41287.53407449348,48767.807042302746,281240.14345598547,210918100.67554578,318522459.7091668,479939752.1180929,8824406132.09567,9898945023.405458,19020945165.929157,28197679.264087517,76848088.20514682,122826648.22367203,644346.7038557122,1171449.9235114527,2422308.509779978,72482822.89629443,132645989.37586994,213174205.1659681,1081084.2439934337,1831152.4635182451,3556358.108141174,37696604.26646712,37744597.90148621,38126190.774107456,727296.6510187392,1535133.8279780261,2618216.3564465325,35507974.417660914,36158053.06501071,37010436.42224636,797097.8346303963,969603.1959201673,1187068.804921347,27812.6,42182.0,105471.4,751328.0346303963,935828.1959201673,1118958.4056429106,380400.0,380400.0,380400.0,25680.466544023293,28300.227206560114,32933.53475345431,3282192.2905043066,3832812.149034284,4631544.953424005,0.025191188914780258,0.0549161788416173,0.09137027881885029,0.8747258795288133,0.9612675726235009,0.9811495385090079,22973701.901340116,26824036.654101785,32416892.62499414
2032,8533610304.201259,9171419952.199606,18498104723.101254,6721196353.6917925,7637397458.687708,15243868870.72212,135958986.00159103,273317249.03706855,877643880.7843056,6517811449.028799,7325210324.117147,14373998967.044512,1396603643.1946456,2264261341.168483,3254235852.3791337,4268205.470856586,9799260.116434034,16604912.37051924,130770001.35833783,262395198.53737572,854714949.2428726,668221.8106776398,1122790.3832588461,6324019.170913808,169228473.94718707,254895385.08953878,374386249.13570756,6322992244.181661,7007987986.488726,13983506286.015799,22435992.178178273,61700404.06975339,98716965.46543702,12914116.45057043,24108765.886838626,36907182.23070092,1357903947.1161666,2194773541.79658,3190652052.673085,21442165.330697916,34976097.54718838,42417517.07424807,1549828013.9336565,2490121552.0519443,4124105756.0567408,6517811449.028799,7325210324.117147,14373998967.044512,1549828013.9336565,2216974220.3839436,4124105756.0567408,0.0,0.0,218517865.3344005,10591807586.328417,11634068428.541367,23061295325.484047,10422086138.199718,11562484270.026583,22897159466.878117,5761748.882015607,14568008.892890478,47103805.896266095,10404559994.65378,11551832086.32242,22852027423.55755,59743078.77067731,87769903.23053294,195010355.85172528,204736.99948212312,462197.8738016066,865385.9700435671,5515376.363045829,13937133.10487666,45930501.27482764,40871.801602295316,51060.138686998056,331442.2064999372,269845747.5170769,408553821.492819,614590478.0891052,10092761340.586123,11047827276.789669,22229102326.017197,36108200.98490639,98256076.87481973,156592793.9380858,519396.312280058,1125019.826070692,2299904.47121463,58064282.25388633,85883816.53959805,189446820.3035173,921399.4227678083,1431471.8173794053,3367550.868233447,37735032.62423134,37789943.297316514,38226890.580970906,784256.1713678914,1613731.9652728278,2815625.503495952,35411265.077474944,36117391.031957746,36997832.69293221,1024261.4742791981,1246033.4139396017,1525652.4026409506,38643.2,57982.0,146549.19999999998,961326.6742791982,1199517.4139396017,1433306.9506350989,380400.0,380400.0,380400.0,29341.164231601808,32333.103731206567,37623.73035084558,3282270.6786221415,3833090.6706334352,4631699.804738251,0.027224113838775398,0.05874565893175347,0.09874959719513787,0.9122461049524533,1.0,1.0,26255811.999104343,30656886.18657012,37048259.8684175
2033,8947028483.049028,10044854615.618582,20890734509.479958,7341365481.234972,8445914877.068843,17425068845.8973,156167759.96849507,331663932.6063014,1088622461.8846002,7185197721.266478,8075333761.416077,16344229820.621992,1448529469.5098057,2384607400.0709934,3465665663.5826592,5675296.036665736,13120858.54069808,22428893.370822918,149269154.40212363,317039697.93163496,1057647186.158875,891280.9348395056,1503376.133968417,8546382.35490227,209424236.5729727,316768614.33773327,466009704.76556176,6842619822.180649,7681108968.792886,15860249727.993195,27928293.417358555,75382689.65558787,122224903.16685373,14524822.588383824,27112700.35595827,41509744.59313133,1405004154.2067964,2306454820.9782057,3394152796.278858,24116736.832315605,39336687.78770121,47705968.10479737,1624361167.807517,2656868824.077678,4546504688.857967,7185197721.266478,8075333761.416077,16344229820.621992,1624361167.807517,2466630436.1395,4546504688.857967,0.0,0.0,152190710.35054252,11622882298.55679,12822363816.26386,26214009631.446808,11480647551.512415,12747750336.876152,26039134655.9059,6639425.588416904,17292925.910585754,57429066.00816713,11464690974.658497,12730457410.965567,25983030139.856026,61972183.39458677,92661923.06329122,188960684.71952915,272587.14004442166,483268.87980262545,1169081.5119137801,6311477.677314643,16448713.109930763,55873535.13707867,53587.32688526927,55604.70988708721,447960.5624108803,335543117.054809,499373706.7840944,765027868.7734609,11078111434.067621,12108976976.705942,25210928101.092064,44948204.8196405,122106727.47552945,193457223.335432,584178.6988319121,1265196.4676225374,2290987.8691607346,60084057.27473034,90540691.46500482,184726810.60891357,1036319.8962256493,1609988.3305934216,3058416.8588521453,37773500.18165381,37835343.169947125,38327857.06452986,847565.6102761626,1705231.5446187237,3046567.8997757165,35280034.090960436,36070141.10640925,36978931.28168777,1279812.2049871446,1557010.860696025,1907263.300650856,52282.2,77499.0,197993.8,1195665.6049871445,1494719.860696025,1787393.6990708727,380400.0,380400.0,380400.0,33001.04993217206,36364.87943939935,42312.12109607227,3282363.325832136,3833394.129978411,4667590.59637936,0.029421878984638813,0.06284218086766416,0.10672635936836308,0.942718018679987,1.0,1.0,29537961.29652682,34489949.2378373,41682691.978579536
