Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95
2024,2775569.5797545975,2991959.887588311,3179369.0427031196,4473897.738818217,4822693.934013952,5124775.856736316
2025,274753081.4752627,287295054.08544755,301478166.8890884,337707248.206671,358451494.57799536,380924802.6898575
2026,743383271.279034,780689754.0081683,821244090.6079859,983977035.3251959,1045522242.2619126,1112959873.3008301
2027,1270217829.4516113,1335934912.0814052,1406081816.566577,1736809982.3079934,1844954951.1753972,1964699322.0422218
2028,1809527247.1917102,1905840300.7499924,2005104325.8252213,2520654632.717865,2675426094.182528,2849197951.309356
2029,2335411892.7182984,2459026903.36202,2589885646.680338,3288158128.7922616,3486261001.3898697,3712102784.5180025
2030,2830098983.5718503,2980858760.0048327,3141168464.730637,4008291685.029958,4246673153.9230213,4521502190.757566
2031,3281751705.9456267,3463131523.112335,3652341902.2808537,4663260489.525443,4945152829.092737,5258464238.914558
2032,3690642496.7315683,3900402343.2201924,4116979264.9651933,5248606718.367009,5572905045.032291,5917037433.773669
2033,4057024890.824767,4293938180.1220713,4531157386.840723,5763685084.8796015,6133482994.434593,6504511119.324151
2034,4382909321.617953,4645635288.52943,4906415030.724303,6220500666.880172,6637702058.354155,7040291128.216122
2035,4671243201.827265,4963700914.067886,5235598438.039889,6617763828.626058,7080217413.711414,7513059457.173785
2036,4921490894.927726,5247056451.181045,5538991165.351208,6961187482.989582,7466588664.720914,7917964256.307646
2037,4950731471.92072,5301196995.939336,5601666559.414405,6960941578.909296,7493966603.886906,7953335227.886015
2038,4775218712.799289,5124810943.340393,5428074650.779297,6624614712.147743,7172129797.776407,7629667146.479986
2039,4515627312.501005,4854008125.960925,5151113863.05061,6175588419.408144,6712798013.046577,7157518114.258325
2040,4216948912.3976936,4554786823.911288,4851211737.594318,5678206071.415247,6190825207.475718,6647655869.214062
2041,3924720408.688696,4244111774.9241586,4531334802.859872,5175715844.415107,5658900169.739027,6103432790.300986
2042,3639219134.2997813,3940830666.435088,4227605394.4403043,4719330042.769912,5142931835.693401,5576784226.236036
2043,3384122567.9159403,3671458222.9358063,3957764627.9977055,4263320037.5121584,4703979096.196806,5122970236.600014
2044,3149940621.832808,3431342408.5783367,3727470822.752051,3859118868.4556513,4291551129.9118752,4727432301.238985
2045,2950192060.562357,3227874277.218544,3523447093.687172,3531357466.1218367,3941060873.1984053,4387303056.803866
2046,2783111698.524431,3067651476.3533883,3356501128.4668245,3244349274.665983,3649118093.090325,4089597960.4937663
2047,2650446008.2958736,2930915810.0071096,3243102650.094365,2996443934.0821977,3400695486.677211,3858326273.518583
2048,2540505008.8100142,2824420979.80214,3152609125.0893984,2793781310.538286,3201884666.4386206,3661768718.8337197
2049,2455727220.8541794,2747523686.479481,3088171946.4079742,2613252410.5424137,3040641982.521717,3520106715.931122
2050,2382924886.255082,2692602135.6697445,3053359291.565726,2478477368.7166266,2917060796.877186,3411108625.86064
2051,2336818188.2123513,2657466374.922639,3036622057.0001707,2375526138.080957,2815272413.048265,3317371055.096733
2052,2313531349.1497035,2641272980.0091786,3031372194.2771187,2292991256.1556396,2734539574.8150835,3243461622.4634423
2053,2303405327.8298697,2639716345.443126,3039973063.165397,2226090928.900094,2672464179.66485,3183933638.64496
2054,2304027566.541455,2648010307.859259,3059676648.09307,2170495301.3559146,2613880205.0624533,3133753387.850851
2055,2313263406.1524076,2664828168.4634776,3088036234.0075674,2122307312.273138,2563249959.470955,3088339930.661542
2056,2329135971.3421793,2690577434.3959694,3122886430.4900107,2078024790.96492,2517339346.130972,3043521547.912509
2057,2349979785.7716565,2718713336.5346656,3162315025.5231986,2034491033.4772446,2470870248.110938,2995478798.8099313
2058,2374337693.2804255,2749849225.2419724,3204632326.3906045,1988844058.4119685,2419365745.932913,2940686975.078377
2059,2400932004.788538,2783016334.2253585,3248338718.124496,1938462384.7657416,2361205018.2764745,2875853407.849082
2060,2428637004.2802415,2817093511.5269213,3292880274.0112205,1880914712.1506293,2293514951.3608336,2797859613.1296144
2061,2457353961.249556,2852388766.978976,3337981654.680927,1814835542.6113791,2214766359.3053427,2705219196.803835
2062,2485306351.6893644,2886310223.717529,3380634980.004894,1737032051.1824026,2121159845.1665876,2593329543.612117
2063,2511661024.632917,2917918987.010207,3419826182.311948,1645334828.9520545,2010282573.3136318,2459228441.082144
2064,2535647998.77941,2946338952.4965053,3454593209.4063053,1537596375.5171247,1879315380.245429,2299928652.1113663
2065,2556542999.235298,2970737823.640324,3484006835.47339,1411656061.039277,1725687370.9670362,2112375011.861922
2066,2573652307.8121133,2990310613.086441,3507153922.3090687,1265309347.2561,1546757938.2708528,1893406440.9230933
