peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule,run_id,annual_emis_2030,annual_emis_2035,annual_emis_2045,annual_emis_2050,annual_emis_2055,annual_emis_2075,cumulative_emissions_2050
7236999934.596574,2035,157635513364.73648,2041.0,50_percent_of_peak,0,5191026009.725519,7236999934.596574,2586483352.286016,2500277996.386212,2672746933.5769296,94259294.49417865,105706832528.717
10070383119.226713,2036,255625446041.02893,2051.0,50_percent_of_peak,1,5685037744.92222,10049865229.275126,6343326490.101025,5110471574.6905575,4548918858.923219,253991173.46840376,171482698720.72495
11995440754.944635,2036,295231575818.8201,2052.0,50_percent_of_peak,2,6504073838.94101,11734040477.439505,7648705072.654547,6241062564.037747,5590511807.145402,198181602.27299935,202850935404.20187
12505510306.410936,2038,222309419113.9024,2046.0,50_percent_of_peak,3,6936638270.800098,11243412853.1903,6649099163.230939,3598788990.550611,2062924132.4942505,132782501.82083043,197521694179.70584
8870240399.751547,2038,186175589691.05377,2047.0,50_percent_of_peak,4,4865824496.361904,7867881024.785087,5005637136.245459,3225072200.910281,2543094476.878807,152141701.20054865,142916916085.72626
11711224979.308172,2035,264967240229.95737,2047.0,50_percent_of_peak,5,7174777072.444061,11711224979.308172,6308843317.295032,5176039835.878344,4736455075.556013,147314723.42075926,190002031354.1139
9281129244.17297,2039,273801314308.46802,2060.0,50_percent_of_peak,6,3967447919.5907125,7430595195.398508,7605884772.272348,5982832658.6573305,5068435919.675775,1847827255.6112611,161955536668.53137
20966787658.96766,2037,441852791416.883,2050.0,50_percent_of_peak,7,9828434389.194275,19553161015.588356,14942968606.463734,10176247372.569027,6560735853.106117,450609205.2622404,356861155745.237
9162095015.159033,2036,240265584681.88385,2047.0,50_percent_of_peak,8,5109705921.40806,8657137109.46078,5117658012.078687,3889794623.040804,3562775479.027283,2163418905.8019156,148342821715.76392
8432628907.334935,2036,187589176798.29868,2048.0,50_percent_of_peak,9,4640909643.729322,8273343163.590991,4960073905.767932,3735931047.2073274,3085689802.7232738,290894252.3586037,138436839595.79868
4852798204.931177,2037,93257518150.29823,2044.0,50_percent_of_peak,10,3174664986.1323543,4565785134.558541,2207938768.4785557,1685145115.5845544,1387888305.8819695,85675703.57349995,76727383085.85506
18759706330.399467,2038,448479486686.0799,2050.0,50_percent_of_peak,11,9130457368.844738,16009327029.529167,12827888900.201727,8872879287.124596,6997607126.486447,347189836.84543884,313807866556.858
