Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95
2024,1194454.830781795,4284735.897653639,8048234.790266965,1943938.4046002734,7066365.242146209,13167178.109200425,0.01531584051810509,0.035867609615081474,0.06674093409602791,0.5271743754256081,0.6616303342996994,0.7437989209391118,2600.9164703273427,8672.881115133889,20952.10935391134,17859.94484062299,88424.57770672021,253968.37173610553,546.7062777221907,1329.4642263889916,2538.6992506286197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.5113054672739,1673.0570666113076,4423.068261401838,4084.345723190479,16735.67507487188,45320.121322873594,114.11833097335274,260.1791692058585,583.5565720323469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,374000701.1461613,546729764.5406113,858564456.8764888,339108197.83163935,551993955.8543345,886534711.8264871,0.01638794935437245,0.03837834228813718,0.07141279948274987,0.5535330941968885,0.6947118510146844,0.7809888669860674,45165.14626103424,154136.342280045,440556.29056737514,2517909.902362955,7328895.32135134,18664313.889177777,8948.622131904369,25472.88018152975,47625.84785497341,999769.9022243044,2285053.400539689,4313853.330584006,132889221.21505311,204466269.77039486,384355181.70363426,1794048.8867319073,3460729.2478296384,5745680.855992477,8755.31064848387,28366.104706286453,87250.02888685768,429920.7854173052,1322867.9636294162,3306903.587854574,1847.2405188818573,4429.628295099919,10148.388506886642,188187.46124828918,410910.21862625796,917460.5607662072,24096879.06200888,35799561.57088427,71899584.33719116,342265.62777768425,617320.5901714248,1170242.91018492
2026,840924326.6765451,1201670671.6939507,1940941817.9288085,826403738.5537729,1375668609.512436,2289702189.2822185,0.017535105809178518,0.04106482624830678,0.07641169544654236,0.5812097489067329,0.7294474435654186,0.8200383103353708,139670.6612043187,475034.4586909554,1364813.7256699018,7069408.391944159,20410702.63942578,52193514.753079616,27628.582436394878,78685.05055350003,147942.0936682763,1989738.1387405272,4547704.316760361,8585413.981456405,236656388.47414896,369619983.6327463,695795780.8543653,3570509.058888011,6887529.777543301,11435031.50751444,24377.98826955167,80288.22808406793,251591.471022784,1117926.905135906,3189125.2108318573,8407874.076537319,5257.319558032715,12755.324173349469,28218.181951875587,342465.99912498577,756795.115235072,1720194.4539243039,38678102.1426404,57812927.03983998,116687584.26912032,613973.7320103223,1119706.8994808886,2144402.1814995715
2027,1334575390.3073497,1941457897.4867437,3289507130.0688925,1322299079.8856626,2371055945.397956,4022974022.644645,0.018762563215821017,0.04393936408568826,0.08176051412780032,0.6102702363520696,0.7659198157436896,0.8610402258521394,295984.3671705272,1005551.3807044402,2892997.312155536,13335657.585570222,37803508.75363524,99850336.14215232,58500.25572081168,166712.00734582686,313838.2847820596,2979611.2226004144,6810137.754038683,12856564.063254323,317863582.4096774,501904684.1366993,952305839.5478711,5346798.483238256,10314000.933888093,17123835.316413227,47430.755420683796,152812.87881415943,467775.9347960866,1940412.4668706781,5340884.027036265,14191914.978251554,10248.724037055299,24252.833002037944,57109.286281984634,465070.2814118363,1037010.8305897346,2328517.747479138,45207226.8641671,70403198.27582839,144418452.47158328,790432.8771752507,1517823.69234278,2920943.851793873
2028,1818412701.892301,2729809699.854386,4505769653.602649,1826002480.1507058,3477966820.6239805,5775868034.227621,0.02007594264092849,0.04701511957168644,0.08748375011674636,0.6407837481696732,0.8042158065308742,0.9040922371447464,525641.1857493556,1785243.3347775415,5138751.986042416,21024142.17178604,58104783.92011008,159832561.17497927,103870.72703587286,296064.1477859074,557636.4847982691,3969292.1720811613,9072132.05295583,17126885.114762843,373389811.4386022,610493207.0514221,1163060916.3579183,7122743.129786896,13739807.012134489,22811534.92841476,76613.16114320746,245340.98423413627,759363.4294752908,2759103.9959350848,7430679.881077748,19728982.38804543,16029.8585341571,37722.72536752849,95845.94112879602,517185.45577017183,1217799.5089155775,2645399.357929297,46274973.455542155,74946211.94735464,154314163.4104335,875720.3115003111,1781497.3043911373,3497659.7445611726
2029,2237797948.860686,3541491113.3982773,5661204180.876146,2318722587.9919868,4530434031.874746,7762406518.890062,0.021481258625793486,0.0503061779417045,0.09360761262491861,0.6728229355781569,0.8444265968574179,0.9492968490019839,841843.7014063672,2858559.7502693348,8230395.446228664,28298142.013054565,83179701.53990765,223260688.12039682,166367.90035037982,474161.7915259899,893272.0493859104,4958775.448143653,11333674.55359862,21396353.235880274,418269531.7789249,698975543.9604934,1336197621.732751,8898333.058939895,17164928.83875604,28498098.510643363,110008.28067225058,341627.42326110235,1096050.3073138245,3282210.375834412,8929624.351196397,24126895.80954498,20945.939414262633,52481.87829568901,126456.64280817141,539072.0605319978,1326346.0049153704,2648887.1136409454,40276174.250048116,72867505.2947153,150520807.1650108,862493.412516664,1885889.3466040092,4029160.0716334954
2030,2557070918.5863514,4283273920.6600623,6791276927.391056,2778338004.333166,5498608352.976216,9833189385.466444,0.02298494672959903,0.05382761039762381,0.10016014550866292,0.7064640823570648,0.8866479267002889,0.9966873615391552,1259453.3529078586,4276155.141767537,12313617.006906988,37111477.27972644,110579380.71520025,292095102.8558243,248858.54624833548,709393.208376317,1336556.2981366257,5948055.300964421,13594752.114289507,25664943.61700285,453158475.68567914,771052433.9440055,1476809026.0733335,10673557.95285875,20589346.51059081,34183493.01884499,126719.32854873319,443675.5328389907,1450820.319710012,3180282.3959423658,9490883.275215149,27071303.640377503,23021.370497744854,63682.92495528559,159740.66413546284,500350.3482824786,1252089.7777009164,2680560.8844047114,35628028.64454926,65892853.43990074,146095425.1457448,803746.0816994637,1881313.0618601693,4230995.139058777
2031,2893442415.6562524,4989283486.284294,7928690713.718292,3194189925.70255,6410667346.637383,11859732167.465538,0.024593893000670965,0.057595543125457484,0.10717135569426933,0.741787286474918,0.9309803230353033,1.0,1795366.4372183706,6094947.117792054,17552746.69197202,47089353.93691044,140890779.53323072,371401552.3109327,354725.8052366884,1011236.6354458447,1905297.3569336005,6937125.760105828,15855351.08911978,29932630.496610623,480294445.6182659,829798054.9817069,1591938821.6754675,12448407.09782126,24013039.36081527,39867684.14089528,122551.66477276315,498475.6095668812,1729726.6325096416,2670099.64002538,9987525.030970465,30007629.124738194,21629.097199665775,73326.12628655489,194937.51640396606,419856.2771941905,1142930.9133489132,2877632.949992356,28512147.971407212,56844198.87210977,130517357.8699503,583869.8206157523,1798631.226045445,4181582.53053279
2032,3161635380.1982694,5610158748.68997,9109671261.485714,3567184360.2591352,7267344380.506523,13714601363.595896,0.026315465510717933,0.061627231144239514,0.11467335059286819,0.778876650798664,0.9775293391870685,1.0,2468564.076402868,8379346.845181332,24133052.475499548,57777327.000191234,173526411.9890507,463272779.59808236,487705.1371132304,1390335.7564619156,2619610.1657436746,7925980.624055994,18115457.304042213,34199387.11613384,507000664.47985685,876148549.4238341,1686204259.023378,14222869.365451327,27435985.922736436,45550636.23668544,108039.56062048773,541833.7334427531,1889482.249843964,2459187.940856209,8838869.046215229,32717372.794140626,19762.57086511308,86082.14538539082,205934.44728206968,275682.88355668023,1019969.6880337459,3068284.3820010936,20448145.007829066,46985025.355048925,122979869.715232,587918.4906363825,1639983.891903696,3952360.5900518764
2033,3382173497.619109,6196443411.425369,10262951014.450878,3928068326.2019773,8184111419.756224,15461290746.1595,0.028157548096468192,0.06594113732433629,0.12270048513436897,0.8178204833385971,1.0,1.0,3300377.244562463,11201803.62508292,32262540.149353735,69284575.53007305,206744956.63949186,562831061.902488,651968.2050087235,1858740.6408605818,3501959.2570374217,8914613.449180093,20375056.03161837,38465185.67227945,520779895.3794597,911670304.5756519,1763386022.6540112,15996933.192892475,30858163.89154651,51232312.274625294,142505.9293968955,616378.0199652838,1983659.227799396,2873712.9768115086,9020578.078989381,30708374.09295565,26118.038771735068,90901.25853007284,231399.9526451733,250530.47234791997,862456.7014611317,3161146.1385420184,14386894.688806796,43919499.967868954,112644882.06601481,559015.2442597116,1507371.513580441,3810982.1261458173
