peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule,run_id,annual_emis_2030,annual_emis_2035,annual_emis_2045,annual_emis_2050,annual_emis_2055,annual_emis_2075,cumulative_emissions_2050
7602239197.600477,2039,272973459970.0457,2057.0,50_percent_of_peak,0,3312483533.1467505,6189237931.55881,5971330605.015526,4571845590.4743595,3878138178.7133174,3726800335.822449,130925297131.03865
3864745620.6250863,2037,148859117705.27856,2049.0,50_percent_of_peak,1,2259030474.9402695,3538980167.411085,2208914571.240517,1882086264.8412426,1955816021.9614458,2386374862.9249945,64070043355.71667
4462339253.777189,2039,143545707802.7603,2048.0,50_percent_of_peak,2,2402081112.9242268,3850479127.6681485,2833528143.580222,1838781476.9743721,1513403823.7323995,1837129855.2523816,74281671812.08926
4337411619.683681,2033,160168896063.39273,2041.0,50_percent_of_peak,3,3273617346.405083,3886272011.6376734,1677856760.7252998,1776310365.2605112,2040048153.1001048,2756237642.5055647,63075530184.30437
9143954120.278326,2039,329992682562.3244,2051.0,50_percent_of_peak,4,4310170690.205757,7705538394.6234045,6480693526.530022,4635314682.695983,3846163710.8021245,4466895584.477794,153985789050.05054
4749903893.4005575,2083,240524915795.5899,,50_percent_of_peak,5,2525126393.3783336,3922067312.738698,2803618996.40657,2473744832.4522395,2709426073.820253,4464893983.545645,76079073352.52866
8067092093.062208,2039,241456556397.07755,2049.0,50_percent_of_peak,6,3884292525.75275,6707792726.4073515,5657368608.752016,3655158997.5177236,2729105026.9157605,2724605566.3125916,134624217774.20502
7934002933.362806,2038,246940995856.7141,2050.0,50_percent_of_peak,7,3768442356.9201407,6905298667.151001,5485246636.863277,3938402817.8362393,3181218458.2029896,2901337222.1308413,133092406379.55016
4892633231.543237,2036,200688264438.78113,2045.0,50_percent_of_peak,8,3002299532.251003,4671802162.0290165,2405216279.486066,2083459651.1951013,2233013241.9667363,3387821773.3945827,77656542198.33478
4915508079.131569,2037,210477320336.77005,2051.0,50_percent_of_peak,9,2582337820.0415554,4409871686.689081,3197361623.781862,2517255533.263312,2398988223.1248126,3442280514.445795,83106001809.87073
7057989913.538593,2035,205546020451.38214,2046.0,50_percent_of_peak,10,4437643522.119731,7057989913.538593,3542295854.0168676,3060197239.348895,3120130114.9895616,2583715780.581892,112679210600.29387
8866700139.244608,2041,371576435270.55975,2052.0,50_percent_of_peak,11,4270367516.6360755,7049387402.908111,7131494879.147125,4877295147.646617,4091363463.017301,5665916804.973948,153550721989.27826
9451782663.892038,2038,302682876143.8971,2052.0,50_percent_of_peak,12,4170075955.448552,7994689678.064226,7115395077.565211,5224443056.35181,4123052949.713803,3473080803.1689878,161249071784.01117
3478666815.894789,2081,156618437595.53122,,50_percent_of_peak,13,1419571863.3458555,1880973144.1668842,1340913305.24463,1643787682.8068361,1995639591.8457093,3312327248.6723633,35528869847.508965
13413201354.242283,2038,400132051597.95764,2050.0,50_percent_of_peak,14,6263750144.900947,11606796118.43177,9184640051.181263,6288278911.973265,4717493597.862974,4306933083.98156,222766868580.99026
9383265539.442646,2037,350004814822.8536,2055.0,50_percent_of_peak,15,4555347969.472035,8994694724.639534,7146899632.54588,5601795811.601854,4661332044.464036,4437462464.257087,167028102892.73785
13408252558.78151,2039,384819923581.03705,2053.0,50_percent_of_peak,16,5492797173.853925,11007279311.161194,10698005943.536167,7783258437.038627,5643836625.410037,3264394539.200534,229762429843.5705
11436523971.236925,2037,403470712690.6367,2052.0,50_percent_of_peak,17,5515072642.995246,10797849340.072079,8116109321.782835,6080608691.3005705,4974470280.18208,5097558444.992447,196435711248.37466
3710564121.1192803,2036,175662867594.04486,,50_percent_of_peak,18,2071775479.4195454,3641059663.8729444,2406521408.8819246,2130828008.4240198,2188518376.6798844,3062265067.785702,63767614636.029495
8831156544.344975,2036,288593736381.681,2048.0,50_percent_of_peak,19,4813670850.435992,8650551724.073841,5158535753.281981,3899325221.563956,3465358373.9530206,3800022656.1461134,144431649191.31155
15852584069.179502,2036,423125865373.0402,2047.0,50_percent_of_peak,20,8578778797.325516,15505689683.015148,8717033141.679676,5853489637.416066,4556697071.385228,4330330860.111774,252455294088.53662
10075764233.907932,2036,280090584420.51166,2046.0,50_percent_of_peak,21,5606007225.157931,9528840121.48381,5226042358.570063,3548460309.944625,2976761048.8203635,3250057418.0509467,158677313283.44458
