Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95
2024,1654048.4314771714,3781201.181892898,8910617.025200654,2591914.1329098926,6017965.2216684185,15048564.636212422,0.016907562912951826,0.041859642466877026,0.07592784814861321,0.5519953476694399,0.6557276299118413,0.7317773138074584,3467.1527302306863,8796.408790850142,24820.286536701027,16358.460057939743,72813.86474813543,260779.90286766677,388.4127135413761,1293.9967582287763,3145.2798379997093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.3828200810079,1776.4196407325016,4716.886576432547,3057.164577076795,13941.788621461292,50834.33857705021,87.10611322902395,266.2893393621414,644.1731192598756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,233922896.85866863,338525759.68771863,546771818.6044741,216921982.7078937,372639568.53582734,638745438.0658194,0.0175838654294699,0.0435340281655521,0.07896496207455773,0.5685552080995232,0.6753994588091966,0.7537306332216821,39276.06659399258,115519.96731650729,326137.54746648105,1616531.5232740543,5436593.545928136,12731375.390665231,5522.680028564731,17436.582512735127,41408.420972900174,549726.822665749,1275434.3414702013,2466190.9949835315,61230715.2997391,119621706.002163,187121868.05914348,1172896.0336188609,2077209.569099574,3809581.2374121253,7030.522879323526,21243.363234956498,58049.33984630211,286915.62881151267,953722.6569778412,2303440.977576242,1192.9884619231248,3111.0236471793023,8145.7439813615765,107974.26947524647,222080.81010111968,536922.1346235685,11886763.095423028,22070024.671582684,37340456.91757788,223431.2903098734,363792.3523523362,730386.5037683265
2026,502512698.28154933,789077818.4253938,1287211301.6173422,525027356.15086854,931568331.6280252,1563756797.9963176,0.0182872200466487,0.04527538929217419,0.08212356055754005,0.5856118643425088,0.6956614425734724,0.7763425522183325,115339.12748801835,338349.8643482063,962061.8602480162,4285569.70564595,14389233.000989292,33581783.168547265,16418.768511149065,51293.47751325714,120486.99141299531,1096219.9581393467,2543366.127990578,4917874.9841142185,110338334.91505605,213425272.5565573,337277269.77207077,2338892.67880467,4142200.258380915,7596753.173427709,19616.14656846077,58365.480283742916,163409.14856489727,712700.2184559248,2307701.0398156876,5707517.927280954,3308.259299134493,8780.653764098137,22624.522452214198,202415.6333147897,419539.51820908213,1024094.1840678409,20297730.532868482,36724286.20206942,64038840.23640556,411770.4432547985,689437.7419704674,1386820.8889630218
2027,780952383.1372579,1283739207.032321,2107776592.2940202,895527672.5576749,1575003308.3485737,2644692000.52598,0.019018708848514646,0.04708640486386116,0.08540850297984165,0.6031802202727841,0.7165312858506767,0.7996328287848825,235941.09468788933,692463.0219698469,1971504.8057887245,7704240.4704602305,25258651.176098526,59682122.33911328,33714.88455950711,104989.54044177054,245943.53943725227,1642694.1838158693,3811254.0414387565,7369474.13988888,151732833.42135853,289015146.83105266,458491633.1628835,3504848.978085801,6207119.494697228,11383794.065431666,38128.09125869757,114064.49245439135,318386.30348621926,1195060.5203892665,3917333.024014777,9562248.470140956,6287.126920627369,16857.926332561503,43386.84241353952,283540.31585031794,595348.4915491613,1477976.8144691188,25424457.435654134,46921826.05166942,82719152.30091944,574060.8558719733,980746.3423479837,1970650.9102291742
2028,1074642345.6766367,1785814631.3535528,2885363615.120767,1259147402.2920115,2266074685.5945063,3919882745.6944075,0.019779457202455233,0.04896986105841561,0.08882484309903532,0.6212756268809677,0.7380272244261971,0.8236218136484291,406093.26577773015,1193417.6064339096,3395869.9999689064,11608841.37243966,37470463.81923255,91735742.0051458,58117.40219511912,180758.47606899054,423009.39755832753,2189130.37005114,5079053.698670024,9820902.642670816,187179265.50303626,349539301.57775795,552620149.5384679,4670724.116492247,8271894.994364513,15170571.34588221,62246.663362386505,187234.85823863995,520734.04597918683,1665034.2156182807,5627788.3497896455,13670362.510295419,9989.367612870687,27183.484293293826,69516.44814165201,350706.92164081323,755432.7824428673,1898761.9193827645,27845344.775102533,53556914.23012597,95158075.03302623,706024.1229752639,1216250.9150567479,2478608.27576015
2029,1358915786.9669204,2254874728.659134,3600631324.332953,1677054928.9159768,2958819289.632619,5251602070.704285,0.020570635490553442,0.050928655500752235,0.09237783682299673,0.6399138956873968,0.760168041158983,0.8483304680578819,631246.5791190047,1856223.1151016294,5279973.361859739,15818261.193557037,50576079.471852705,124594742.68098025,90399.61389081345,281031.81616417336,657219.2332252072,2735527.8535084603,6346763.560661052,12272157.516591059,217163293.16780126,396349864.17903554,622035371.1964684,5836516.678730175,10336524.250884488,18957080.417886976,91361.22329724095,273492.56160300307,766052.0970544319,2065393.155593585,7105173.213176334,17501776.306408074,14193.834467241191,40296.7421855032,102321.20155942543,403294.91179383977,873984.7518276253,2281483.94207376,29240547.631010916,56109026.53399145,104154488.06848983,806311.9542116857,1419121.5811928208,2907039.598831531
2030,1625988817.8551736,2721052923.2496643,4439665127.590655,2055824345.837416,3720052545.393566,6460635020.432548,0.021393460910175584,0.05296580172078233,0.09607295029591661,0.6591113125580187,0.7829730823937524,0.8737803820996185,917070.2587421384,2697821.4737237655,7672906.3550321665,20194961.692064058,65483905.925251365,158510016.17517206,131426.57201224094,408364.6308938765,954668.9549350195,3281885.9555182504,7614382.052814323,14723235.716994086,242457824.72610492,438317732.9866905,697663286.4683249,7002225.216791544,12401004.699821707,22743316.578297414,124712.00713026898,372015.29162196757,1048424.3175541378,2362162.093106856,8254332.545211555,21019365.672630813,18633.227254536137,55199.13848294316,140854.6754964212,440659.1105907426,934781.8620551458,2624458.8678365136,29124735.904204745,55785617.82631457,111800186.89413358,874387.5977675957,1592792.9703401201,3294485.5331354006
2031,1872611350.2415166,3157935553.7225103,5181854938.68697,2411996222.8778076,4366652927.9488535,7493430907.049924,0.022249199346582604,0.05508443378961361,0.09991586830775327,0.6788846519347592,0.806462274865565,0.899993793562607,1269952.8357642917,3736662.9789160276,10626287.807535212,24636347.307774447,79362700.07431069,192746652.25262618,182063.19971748968,565564.5795954918,1321844.9776745616,3828203.9816415813,8881907.56394548,17174134.12847973,263796583.211215,473368803.28404117,753013567.4523231,8167848.249022865,14465333.717154332,26529275.01468414,160710.31029365398,472687.3439878367,1359908.8471237663,2541444.1795495246,9186227.651995618,24418276.314517044,22966.541133427083,70881.06711781112,186016.6436703355,451326.58789924846,990596.7307968959,2925935.985333978,27890287.54294314,54939834.47417046,111634362.80073753,909873.8998252528,1750693.286473426,3553932.363651425
2032,2097937766.4027548,3573385599.4461555,5930919047.8581915,2729140210.1059527,4911284529.360245,8647278306.67796,0.023139167320445908,0.057287811141198165,0.10391250304006341,0.699251191492802,0.830656143111532,0.9269936073694852,1696390.8405830238,4992109.874072709,14196020.67265395,29078432.540222295,93334051.27795398,226471922.84243482,243288.43663587718,755620.3548875775,1765679.279165086,4374481.221215121,10149338.445227541,19624849.56286173,274487986.3897338,501511491.1824624,795322464.8418167,9333384.259154294,16529508.617554653,30314950.802183438,169034.67812959463,576404.5237220293,1690288.3906214412,2577114.5108683547,10041315.404370857,28194889.23022193,26727.587069428384,85337.10487727169,236050.5811413358,454522.5480965172,1018377.8173743011,3184095.4058253374,25185547.378084984,51905058.61578853,107452564.4400244,854212.3867106854,1816175.4849920683,3696282.9426964913
2033,2302635424.6754375,3911789913.3970575,6640962458.722474,2965160417.830831,5346777513.202052,9728942123.835424,0.024064734013263745,0.05957932358684609,0.10806900316166596,0.7202287272375861,0.855575827404878,0.9548034155905698,2203603.9179951265,6485209.604100257,18442629.323532354,33479432.991560925,105086716.5888524,259548735.59992045,316147.38002775697,981717.1633220146,2293747.0176978987,4920716.946880414,11416673.009098765,22075378.757055942,286931373.79065394,524378500.7212627,829581785.0469291,10498831.695295306,18593526.6526104,34100338.90023513,161586.7891744915,679261.3866367236,2026105.2670527208,2465609.378073224,10717906.759237774,31623203.926176205,29214.177365270352,99865.5956686442,286614.35986040864,438495.49008893524,999667.4397530508,3397045.4938834477,21832196.356859088,48036209.27033289,105277369.69756724,752873.4635078564,1820299.5650837529,3782412.694926783
