Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),Total Vehicles,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,Cumulative New Cars
2024,23640716.82452,23640716.82452,837789.2002000001,22802927.62432,0.0,837789.2002000001,22802927.62432,527807.196126,309982.004074,37795655.79804878,37795655.79804878,170825.21792078,37624830.580128,0.0,32060000.0,1603.0,89.0,1514.0,380400,0,0.0,1603.0
2025,21339413622.674778,21616562.56099808,854973.8447061523,20761588.716291927,21317797060.11378,21318652033.95849,20761588.716291927,15042440875.161112,6276211158.797377,3623635427.0354033,34400571.61816716,143950.2362854854,34256621.38188168,3589234855.417236,32701200.0,1763.3,109.0,1654.3,380400,380400,641200.0,642803.0
2026,18434375215.918537,671064865.6111311,29849627.97693451,641215237.6341965,17763310350.307407,17793159978.284344,641215237.6341965,14061436122.358727,3731723855.925617,3345710153.729995,1061842973.2406151,3837831.144190899,1058005142.0964242,2283867180.4893794,33355224.0,65883.3,4567.0,61316.3,380400,380400,654024.0,1296827.0
2027,15912183100.299692,1110691477.5225108,55518039.36881499,1055173438.1536958,14801491622.777182,14857009662.145996,1055173438.1536958,13150008188.490257,1707001473.6557393,2989037155.4361753,1745699733.7409563,4663560.7873583045,1741036172.953598,1243337421.695219,34022328.480000004,131285.7,10194.0,121091.70000000001,380400,380400,667104.4800000042,1963931.4800000042
2028,13724270938.769325,1390750331.4827623,78136467.80214292,1312613863.6806195,12333520607.286564,12411657075.088707,1312613863.6806195,12303889099.31983,107767975.76887776,2588813535.9370556,2168475837.586241,2662962.5132187693,2165812875.073022,420337698.35081494,34702775.0496,197996.14800000045,17218.0,180778.14800000045,380400,380400,680446.5695999935,2644378.0495999977
2029,11827877046.499662,1550822919.3142662,97979862.52365728,1452843056.790609,10277054127.185396,10375033989.709053,1452843056.790609,10375033989.709053,0.0,2708442063.395776,2400130439.580214,2939395.875709718,2397191043.7045045,308311623.8155619,35396830.550592,266040.8049599998,25911.0,240129.8049599998,380400,380400,694055.5009920001,3338433.550591998
2030,10185431322.876749,1621952580.991802,115297629.61357684,1506654951.378225,8563478741.884948,8678776371.498524,1506654951.378225,8678776371.498524,0.0,2746343960.919027,2489439598.6624784,3458928.8884073053,2485980669.774071,256904362.25654843,36104767.161603846,335446.35505919985,36592.0,298854.35505919985,380400,380400,707936.6110118479,4046370.1616038457
2031,8763983455.055895,1628361976.8415608,130309952.8820577,1498052023.9595032,7135621478.2143345,7265931431.096393,1498052023.9595032,7265931431.096393,0.0,2689763782.4660716,2475695138.119642,3909298.5864617308,2471785839.53318,214068644.34643003,36826862.50483592,406240.01616038464,49632.0,356608.01616038464,380400,380400,722095.3432320729,4768465.504835919
2032,7534668093.025679,1588825823.1882536,143229705.5442608,1445596117.643993,5945842269.837425,6089071975.381686,1445596117.643993,6089071975.381686,0.0,2567905753.3740387,2389530485.278916,4296891.166327824,2385233594.112588,178375268.09512275,37563399.75493264,478449.5504835919,65469.0,412980.5504835919,380400,380400,736537.2500967234,5505002.754932642
2033,6472242694.369192,1517798234.8751843,154246765.31044692,1363551469.5647373,4954444459.494008,5108691224.804455,1363551469.5647373,5108691224.804455,0.0,2403120661.52595,2254487327.74113,4627402.959313408,2249859924.7818165,148633333.78482023,38314667.75003129,552103.2754932642,84613.0,467490.2754932642,380400,380400,751267.9950986505,6256270.750031292
2034,5554657193.321986,1426306862.4138558,163538105.08919305,1262768757.3246627,4128350330.90813,4291888435.997323,1262768757.3246627,4291888435.997323,0.0,2212325102.665613,2088474592.7383692,4906143.152675792,2083568449.5856934,123850509.9272439,39080961.10503192,627230.0750031292,107661.0,519569.0750031292,380400,380400,766293.35500063,7022564.105031922
2035,4762673182.708479,1322675702.8598757,171268875.07818615,1151406827.7816894,3439997479.8486037,3611266354.9267898,1151406827.7816894,3611266354.9267898,0.0,2008159256.4875913,1904959332.092133,5138066.252345584,1899821265.8397875,103199924.3954581,39862580.32713256,703859.4105031922,135312.0,568547.4105031922,380400,380400,781619.2221006379,7804183.32713256
2036,4079527622.659973,1213108420.5953884,177587191.0744793,1035521229.5209091,2866419202.0645847,3044006393.139064,1035521229.5209091,3044006393.139064,0.0,1799930220.503672,1713937644.4417343,5327615.732234379,1708610028.7094998,85992576.06193754,40659831.93367521,782021.332713256,168379.0,613642.332713256,380400,380400,32857251.606542647,40659831.93367521
