Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),ECAV Sensing Power (kWh),ECAV Computing Power (kWh),ECAV Communication Power (kWh),ICECAV Sensing Power (kWh),ICECAV Computing Power (kWh),ICECAV Communication Power (kWh),STI Sensing Power (kWh),STI Computing Power (kWh),STI Communication Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),ECAV Sensing Emissions (kg CO2),ECAV Computing Emissions (kg CO2),ECAV Communication Emissions (kg CO2),ICECAV Sensing Emissions (kg CO2),ICECAV Computing Emissions (kg CO2),ICECAV Communication Emissions (kg CO2),STI Sensing Emissions (kg CO2),STI Computing Emissions (kg CO2),STI Communication Emissions (kg CO2),Total Vehicles,Total EV,Total ICEV,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,EV Fraction,Clean Energy Fraction,Cumulative New Cars
2024,3670663.8602429708,3670663.8602429708,130082.45741881993,3540581.402824151,0.0,13754.682999999999,114221.14441881992,2106.63,374374.65280000004,3108868.542024151,57338.208000000006,0.0,0.0,0.0,130082.45741881993,3540581.402824151,81951.94817385655,48130.509244963374,5868483.127727546,5868483.127727546,26523.813067697385,5841959.314659849,0.0,2804.5798637,23289.69134699738,429.541857,617718.17712,5129633.0943398485,94608.0432,0.0,0.0,0.0,32060000.0,1771806.0,30288194.0,1603.0,89.0,1514.0,380400,0.0,0.0,0.05526531503431067,0.63,1603.0
2025,498122397.26763517,279987169.9257716,10581870.040989729,269405299.8847819,218135227.34186357,236368.79436203442,10309299.642180184,36201.604447510166,6017745.982689491,262465892.2237016,921661.6783907823,2448668.3647058825,211897819.73009887,3788739.2470588237,228717097.38285333,269405299.8847819,151296359.9187575,77420737.46409583,487768004.3395007,446519723.525291,2000978.7154009524,444518744.8098901,41248280.814209685,44696.15716988889,1949437.0158380615,6845.542393001933,9929280.87143766,433068722.1691076,1520741.7693447908,463030.9444240588,40068818.22186304,716431.6479225882,32124120.0,1786049.8116379061,30338070.18836209,25875.30163543073,1530.0,24345.30163543073,380400,3729.4117647058824,2735662.7257612534,0.05913388708671242,0.6615000000000001,2737256.083333332
2026,1100254640.4331288,712134451.3605138,28844587.041262407,683289864.3192514,388120189.07261515,726141.922990788,28007231.18777027,111213.93050134879,17201335.395342194,663454018.9767232,2634509.9471859676,4873330.176816609,375706524.90410304,7540333.991695503,416964776.1138776,683289864.3192514,289613309.36929655,127351466.74458104,1199792408.7801342,1132434246.996629,5005970.86986433,1127428276.1267648,67358161.78350508,126021.74919957049,4860647.970829733,19301.149835026456,28382203.40231462,1094699131.3115933,4346941.412856846,845765.2338539781,65203773.470475845,1308623.0791752564,32188368.24,1811621.792395524,30376746.44760447,74285.4641138227,4700.0,69585.4641138227,380400,7422.260668973471,2735795.098230362,0.06327325918278229,0.694575,5473037.4066666635
2027,1742800049.5327067,1220629529.394832,52994408.01882941,1167635121.3760023,522170520.1378748,1535900.8138429432,51223272.79562451,235234.40936195766,33840773.02185929,1128611387.2004008,5182961.153742288,7297758.93800345,503581193.05511403,11291568.14475734,575164928.1567043,1167635121.3760023,419469938.9731651,155694989.18353918,2017029543.0313683,1934930114.646152,8332164.375748392,1926597950.2704036,82099428.38521613,241485.4420345276,8053693.67736494,36985.25634892472,55837275.486067824,1862208788.8806612,8551885.903674776,1147406.4777632155,79176679.84100972,1775342.0664431958,32252744.976479996,1849314.1558896857,30403430.820590302,146835.8769259131,9941.0,136894.8769259131,380400,11114.754628133,2735929.4982376583,0.06770238732557705,0.7293037500000001,8208947.226479992
2028,2381814806.4470634,1753656272.0732007,81617434.4328805,1672038837.64032,628158534.3738626,2725720.941188799,78474249.45371012,417464.0379815776,55839923.24562894,1607646622.9673324,8552291.427358907,9721717.117534524,603394743.0731094,15042074.18321867,709775968.8067431,1672038837.64032,543524389.496173,166251579.31057018,2858295603.446698,2770297754.180811,11433672.07428312,2758864082.106528,87997849.26588714,381842.42893824534,10993347.692974603,58481.95237027097,92135873.35528775,2652616927.896098,14111280.855142195,1361901.7345153727,84528724.42734982,2107223.1040219488,32317250.466432963,1899974.050919952,30417276.415513,243529.010068823,17642.0,225887.010068823,380400,14806.53187416446,2736066.6853210554,0.07244155443836744,0.7657689375000002,10944985.799766291
2029,2990983067.418948,2278741511.4588637,113699128.18358147,2165042383.275282,712241555.9600846,4363536.81112866,108667283.89110787,668307.4813449333,83089837.9609531,2069226730.7431257,12725814.57120332,12145191.149018386,681304533.6947914,18791831.11627467,825940684.143666,2165042383.275282,664103706.1414543,161836978.00221172,3673161532.5895643,3586201803.3978915,13881870.993676795,3572319932.404215,86959729.1916727,532757.4279236645,13267517.880822634,81595.68493049454,137098232.6355726,3414224105.726157,20997594.042485476,1482843.1793425535,83182534.42442802,2294351.5879021157,32381884.967365824,1964507.176426691,30417377.790939122,364367.4552163245,28243.0,336124.4552163245,380400,18497.57174495591,2736207.744315844,0.07751246324905318,0.8040573843750002,13681153.384032484
2030,3555965572.0700192,2776739670.0575256,148556849.11635703,2628182820.941169,779225902.0124936,6526675.134571545,141030566.09269473,999607.8890907521,115466204.14054097,2495032125.661967,17684491.13866076,14568166.949803818,742116917.90836,22540817.15432976,927782751.1288507,2628182820.941169,783290100.7479508,144492650.38089994,4432246682.765816,4351832376.850316,15330722.297388399,4336501654.552928,80414305.91550009,673537.7372941962,14554027.34421972,103157.21587448234,190519236.83189258,4116803007.342245,29179410.378790252,1503401.0428863016,76584744.81870356,2326160.053910224,32446648.737300556,2043881.5534840685,30402767.183816478,509353.98862570024,42245.0,467108.98862570024,380400,22187.852792112826,2736354.2247675695,0.08293833567648691,0.8442602535937502,16417450.237300552
2031,4070407069.9144273,3237543774.7596354,185751800.71445492,3051791974.045181,832863295.1547917,9302145.60630865,175024963.67769906,1424691.430447215,152828738.09859794,2875556400.2862735,23406835.660309244,16990629.89690434,789583655.5861409,26289009.67174644,1018615095.8692466,3051791974.045181,902975051.1106421,115640044.75860457,5120366031.08717,5050940574.948883,15483817.77433515,5035456757.174548,69425456.1382864,775404.2056358224,14589654.76039247,118758.80830685755,252167417.8626866,4744668060.472351,38621278.83951025,1416297.53349877,65817770.77619372,2191387.8285939,32511542.03477516,2139131.4261349826,30372410.608640164,678491.6668539543,60212.0,618279.6668539543,380400,25877.352744290267,2736508.3400929384,0.08874401917384099,0.8864732662734378,19153876.61810849
2032,4533103749.249166,3657021503.494328,225048396.4484763,3431973107.0458517,876082245.7548375,12788157.933998805,210301638.87619433,1958599.638283187,195018559.61096346,3207086032.9636173,29868514.47127091,19412564.80137905,826633295.7862527,30036385.167205654,1101130642.2033138,3431973107.0458517,1024929020.8371267,76201621.36618705,5731604307.933863,5676826877.331203,14071250.705548309,5662755626.625655,54777430.60265902,799585.2411800742,13149203.154140716,122462.31022751886,321780623.3580897,5291691954.389968,49283048.877597004,1213779.2157983477,51685613.095337324,1878038.291523338,32576565.11884471,2251361.245180934,30325203.87366376,871783.9718546736,82781.0,789002.9718546736,380400,29566.048468173936,2736673.252095744,0.09495610051600988,0.9307969295871097,21890432.78551137
2033,4946033571.096417,4034864900.7651167,266371636.45740443,3768493264.307712,911168670.331301,17095314.91031757,246658049.41027918,2618272.1368076825,241856002.19133303,3489595251.7773314,37042010.339048006,21833955.88127181,855551795.2281926,33782919.22183651,1177540306.7887053,3768493264.307712,1150853447.1251895,26686859.663515717,6265882919.353238,6228842350.023337,10828463.915612986,6218013886.107724,37040569.32990056,694953.8738221342,10027072.78844158,106437.25334927186,399062403.61569947,5757832165.432596,61119317.059429206,887587.75723948,34779647.96018308,1373333.6124780045,32641718.2490824,2381749.663939566,30259968.585142817,1089235.0302045825,110670.0,978565.0302045825,380400,33253.91592726556,2736853.477417968,0.10160302755213058,0.9773367760664652,24627118.999082394
