peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule
1098827249.413645,2078,54481297882.991745,,50_percent_of_peak
2004003215.8083742,2084,100658391096.68864,,50_percent_of_peak
2031427268.1318028,2083,99547168440.84204,,50_percent_of_peak
855974871.473644,2037,45974376963.85935,,50_percent_of_peak
2227083542.547468,2082,110188920870.79262,,50_percent_of_peak
2044555985.3961694,2081,100931789088.03314,,50_percent_of_peak
2174433625.547355,2081,108236893291.57935,,50_percent_of_peak
1310449023.632521,2084,68884144364.34293,,50_percent_of_peak
1705294257.471391,2085,79990198860.00317,,50_percent_of_peak
1162599586.166287,2036,62364713360.01854,,50_percent_of_peak
1816186979.4614706,2037,84284302854.31177,,50_percent_of_peak
2290616679.3819227,2038,89274865620.95024,2055.0,50_percent_of_peak
1768798736.5581112,2080,84295511930.12338,,50_percent_of_peak
1418982420.80508,2038,70136177713.14694,,50_percent_of_peak
1032485119.2787385,2084,50731019472.049034,,50_percent_of_peak
2172791345.038331,2084,99376708047.48811,,50_percent_of_peak
2106882045.0517304,2085,94085559965.89713,,50_percent_of_peak
1136887667.0237286,2080,56723804293.92147,,50_percent_of_peak
2465364571.5991826,2083,123987293192.61293,,50_percent_of_peak
1977807349.7827008,2079,98076067467.46245,,50_percent_of_peak
1850312703.8433561,2083,81286481093.1267,,50_percent_of_peak
2068133973.077354,2079,106464863116.36488,,50_percent_of_peak
1482601978.3811955,2083,74907658160.28221,,50_percent_of_peak
1321754585.1740048,2082,67911547352.35106,,50_percent_of_peak
1278644733.3912585,2037,63059455802.253944,2092.0,50_percent_of_peak
1596607016.0521393,2083,80397648610.76616,,50_percent_of_peak
1610353728.896192,2038,75977196639.6813,,50_percent_of_peak
1785877393.9373374,2082,83379917807.35072,,50_percent_of_peak
1690144881.75585,2038,77236443675.45973,,50_percent_of_peak
1289345369.0460103,2080,62738302866.189445,,50_percent_of_peak
1757810512.6812706,2079,84669760490.6102,,50_percent_of_peak
1445038827.726437,2084,68361765137.88761,,50_percent_of_peak
1702259603.5246234,2038,88629396512.3719,,50_percent_of_peak
795140996.1434048,2083,36140672825.14365,,50_percent_of_peak
1660126958.9733994,2038,73985153418.66963,,50_percent_of_peak
1772187627.7862346,2038,88032907483.09438,,50_percent_of_peak
2286203463.188364,2083,104885769792.69377,,50_percent_of_peak
1613412499.8969817,2037,79789819700.37347,2092.0,50_percent_of_peak
1476902274.7304254,2038,69858907368.26665,,50_percent_of_peak
1785882158.2618196,2083,88571565681.34985,,50_percent_of_peak
1475453569.8819828,2078,75638761951.15463,,50_percent_of_peak
2014885414.0667596,2081,99611376038.5282,,50_percent_of_peak
2805325424.6606894,2037,150945309567.45364,,50_percent_of_peak
1587569562.5475235,2081,76981159997.80968,,50_percent_of_peak
1495346581.2813125,2036,71644063650.30154,,50_percent_of_peak
1841416569.6702602,2083,79457800844.50879,,50_percent_of_peak
1923303711.3473804,2083,98826431260.11389,,50_percent_of_peak
2554599258.896725,2036,120394898224.52188,,50_percent_of_peak
1473740425.679945,2038,68089103987.709816,,50_percent_of_peak
2066402022.1635187,2079,99101833270.38205,,50_percent_of_peak
1358101703.4855149,2082,66042582891.82532,,50_percent_of_peak
1286793054.47037,2080,65574762736.35319,,50_percent_of_peak
2489968612.0117497,2082,123565843460.26613,,50_percent_of_peak
2064362889.2905524,2084,102477592958.97217,,50_percent_of_peak
2531268628.630516,2084,114850721186.42595,,50_percent_of_peak
2124880321.4311144,2082,95493017306.38779,,50_percent_of_peak
2219521162.7276654,2082,96484884422.23108,,50_percent_of_peak
1283634335.3968222,2080,68808960647.20026,,50_percent_of_peak
1554007033.6675875,2082,76041820023.73001,,50_percent_of_peak
1203210718.3102787,2036,49913086550.85356,2083.0,50_percent_of_peak
1418543233.4851403,2086,68727956432.22777,,50_percent_of_peak
2566395175.2743864,2038,123046884947.74612,,50_percent_of_peak
1792626859.1179302,2091,80801090808.99251,,50_percent_of_peak
2051649779.2183979,2087,100033865693.78023,,50_percent_of_peak
1354267123.6670125,2083,71992502742.09073,,50_percent_of_peak
1569303107.291733,2080,79765204818.71393,,50_percent_of_peak
1949981896.3146367,2083,92544672222.1227,,50_percent_of_peak
1575382792.3471012,2084,81656811570.06264,,50_percent_of_peak
1418143271.060458,2077,72303181298.15994,,50_percent_of_peak
1516104913.4738185,2082,78362545498.01085,,50_percent_of_peak
1649613307.2652621,2082,78888103804.8967,,50_percent_of_peak
1862492990.902307,2085,92397763039.37817,,50_percent_of_peak
1340691165.9478168,2082,61497177544.31929,,50_percent_of_peak
2296195069.045696,2085,101563847576.46542,,50_percent_of_peak
1774925273.594492,2037,74406823867.87245,2084.0,50_percent_of_peak
2434970353.2849364,2038,126279753436.16263,,50_percent_of_peak
1680869436.7458713,2079,83585370379.94852,,50_percent_of_peak
1637023128.5245695,2081,81822838033.83046,,50_percent_of_peak
1429355012.6967297,2037,68115881848.18647,,50_percent_of_peak
1917217205.0322347,2084,88782510422.94905,,50_percent_of_peak
1893312423.6570468,2083,93472643269.94022,,50_percent_of_peak
2560844880.7826853,2038,122512383761.74254,,50_percent_of_peak
1788324665.6613002,2038,90284176977.11957,,50_percent_of_peak
2137098367.5492406,2086,98454405511.95409,,50_percent_of_peak
