Year,Year_p05,Year_p50,Year_p95,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,CAV Total Power (kWh)_p05,CAV Total Power (kWh)_p50,CAV Total Power (kWh)_p95,ECAV Power (kWh)_p05,ECAV Power (kWh)_p50,ECAV Power (kWh)_p95,ICECAV Power (kWh)_p05,ICECAV Power (kWh)_p50,ICECAV Power (kWh)_p95,STI Power (kWh)_p05,STI Power (kWh)_p50,STI Power (kWh)_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,ICECAV Sensing Power (kWh)_p05,ICECAV Sensing Power (kWh)_p50,ICECAV Sensing Power (kWh)_p95,ICECAV Computing Power (kWh)_p05,ICECAV Computing Power (kWh)_p50,ICECAV Computing Power (kWh)_p95,ICECAV Communication Power (kWh)_p05,ICECAV Communication Power (kWh)_p50,ICECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,Electricity Consumption (kWh)_p05,Electricity Consumption (kWh)_p50,Electricity Consumption (kWh)_p95,Gasoline Consumption (kWh)_p05,Gasoline Consumption (kWh)_p50,Gasoline Consumption (kWh)_p95,Clean Electricity (kWh)_p05,Clean Electricity (kWh)_p50,Clean Electricity (kWh)_p95,Fossil Electricity (kWh)_p05,Fossil Electricity (kWh)_p50,Fossil Electricity (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,CAV Emissions (kg CO2)_p05,CAV Emissions (kg CO2)_p50,CAV Emissions (kg CO2)_p95,ECAV Emissions (kg CO2)_p05,ECAV Emissions (kg CO2)_p50,ECAV Emissions (kg CO2)_p95,ICECAV Emissions (kg CO2)_p05,ICECAV Emissions (kg CO2)_p50,ICECAV Emissions (kg CO2)_p95,STI Emissions (kg CO2)_p05,STI Emissions (kg CO2)_p50,STI Emissions (kg CO2)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,ICECAV Sensing Emissions (kg CO2)_p05,ICECAV Sensing Emissions (kg CO2)_p50,ICECAV Sensing Emissions (kg CO2)_p95,ICECAV Computing Emissions (kg CO2)_p05,ICECAV Computing Emissions (kg CO2)_p50,ICECAV Computing Emissions (kg CO2)_p95,ICECAV Communication Emissions (kg CO2)_p05,ICECAV Communication Emissions (kg CO2)_p50,ICECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95,Total Vehicles_p05,Total Vehicles_p50,Total Vehicles_p95,Total EV_p05,Total EV_p50,Total EV_p95,Total ICEV_p05,Total ICEV_p50,Total ICEV_p95,Total CAV_p05,Total CAV_p50,Total CAV_p95,Total ECAV_p05,Total ECAV_p50,Total ECAV_p95,Total ICECAV_p05,Total ICECAV_p50,Total ICECAV_p95,Total Infra_p05,Total Infra_p50,Total Infra_p95,Total STI_p05,Total STI_p50,Total STI_p95,Incremented Car Number_p05,Incremented Car Number_p50,Incremented Car Number_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,Cumulative New Cars_p05,Cumulative New Cars_p50,Cumulative New Cars_p95
2024,2024.0,2024.0,2024.0,587400.9533391435,717686.1432196904,901573.079769862,587400.9533391435,717686.1432196904,901573.079769862,2755.2844184382984,3310.942110786122,4079.660446801017,584571.9464047984,714309.0791871265,897567.4227332565,0.0,0.0,0.0,469.0920309391527,614.3284277086154,831.9455644790128,2107.3048352451774,2630.62146454098,3401.6875175216696,35.692782664618655,46.308008828592236,61.64516359026687,97923.01105145071,133987.55568364233,183796.41990916064,448415.27814102505,578775.7337288987,728372.8253638282,7649.0706981131925,9876.181447580471,13313.80178667568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2755.2844184382984,3310.942110786122,4079.660446801017,584571.9464047984,714309.0791871265,897567.4227332565,680.5552513542597,817.8027013641722,1007.6761303598511,2074.7291670840386,2493.13940942195,3071.9843164411654,951179.9498460697,1179746.6960210218,1483784.5018852185,951179.9498460697,1179746.6960210218,1483784.5018852185,1065.9000158072306,1418.05532562677,1861.9915611584718,949800.5868791493,1178451.6448487462,1481952.7599897229,0.0,0.0,0.0,196.14905120795225,268.0671734858031,375.6915541199677,818.3124025590301,1129.6351532495996,1526.4806145057642,14.244365490189209,19.652428653825066,27.165851941388695,159734.0302413505,219507.2081061175,295789.83710923686,734873.4653991472,947837.0453193448,1198527.1421185553,12761.195923350297,16151.255042237166,21905.31149743337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10385000.0,10385000.0,10385000.0,69400.0,69400.0,69400.0,10315600.0,10315600.0,10315600.0,400.0,400.0,400.0,3.0,3.0,3.0,397.0,397.0,397.0,171000.0,171000.0,171000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006682715454983149,0.006682715454983149,0.006682715454983149,0.247,0.247,0.247,0.0,0.0,0.0
2025,2025.0,2025.0,2025.0,66209209.16283126,79852431.67105761,94819153.91996787,34672721.50623032,44180222.619079754,55607583.78928048,150856.08976152175,187526.75388660608,238400.30350405115,34513012.29439253,43987834.30574044,55385619.328012705,25884864.37956415,35879072.63984294,48660076.247329295,6095.569056134107,7982.828756964938,10810.6326792068,142618.01050691833,178034.99208788184,230219.1396332624,463.80626228542917,601.7447474040896,801.0418571572297,1367289.8818283319,1870855.7591320137,2566332.2906403174,32609718.627925154,42089809.92756137,52968830.56663243,106803.2616503657,137900.20159084367,185899.37417288945,363772.3105636185,536336.0537701661,791789.5445527732,24836589.595679667,34881428.622469075,47310680.923042096,480703.2644193561,653737.6377614725,886242.1280954592,26061606.916973762,36048287.651691705,48825254.07787805,34513012.29439253,43987834.30574044,55385619.328012705,6662519.500289757,9215564.496716725,12481932.078739133,19399087.41668401,26832723.154974982,36343321.99913892,71228434.23681188,88118468.0645919,105600615.71369077,57050765.56470866,71953305.5896976,90959886.76959302,58209.252369858106,79531.18794531221,106147.14813879922,56974565.86440474,71875568.54073502,90870111.0336867,10863171.486353781,15096247.088690758,20924532.56338665,2522.34653684018,3445.7079944763727,4829.838106545709,54803.11007276948,75646.61652580582,102180.13877328043,183.17974164760616,252.67976820776659,349.13989753457133,2230351.385109125,3064958.699791066,4130085.9428700996,53441571.02126631,68928738.29171157,87159458.60374025,178183.38997825704,225518.4696728394,305861.8239690532,147045.85841309364,229015.4743128012,361648.35707214125,10426259.359691435,14643785.42487329,20340930.094788708,191329.77849164058,278586.7500711035,390137.86692998314,10395384.999999998,10395384.999999998,10395384.999999998,69822.00952589946,69822.00952589946,69822.00952589946,10325562.9904741,10325562.9904741,10325562.9904741,5584.663312430757,5584.663312430757,5584.663312430757,39.0,39.0,39.0,5545.663312430757,5545.663312430757,5545.663312430757,171000.0,171000.0,171000.0,1005.8823529411765,1005.8823529411765,1005.8823529411765,875770.7394288834,875770.7394288834,875770.7394288834,0.007050264805007222,0.007050264805007222,0.007050264805007222,0.25564499999999996,0.25564499999999996,0.25564499999999996,875770.7394288834,875770.7394288834,875770.7394288834
2026,2026.0,2026.0,2026.0,145928656.05519158,175589075.06749505,209188703.0902495,88404784.40520656,112611694.69338761,141680072.91253546,408599.9428386881,507659.94745370734,643888.7257940785,87972527.48448482,112091157.12264976,141079729.44172367,46192559.27089149,64000910.608659014,86719261.53757343,18444.18103233976,24154.71589079308,32711.181576847943,383749.7870304754,479048.1234092297,619462.7557247974,1403.4008288228151,1820.7798081151636,2423.819809410841,3896347.350505982,5331352.17129333,7313242.169088031,82636662.92629424,106660271.29216558,134228922.58219093,304355.7998105977,392972.3259446934,529754.9141888552,725404.7840062745,1069517.1895769783,1578921.5035493535,44112683.41969047,61953490.51937339,84029294.03363734,958578.8625774218,1303629.760006701,1767271.0672021215,46674141.699742086,64518546.52057311,87250482.95713341,87972527.48448482,112091157.12264976,141079729.44172367,12349631.338249633,17071128.359135725,23085829.95562154,34324510.361492455,47447418.16143738,64164653.00151187,171316376.59914285,211827125.78886265,256320666.49967548,145475630.7264319,183358281.43311915,231686044.6834114,155991.260602418,212941.32118573991,283647.91426694003,145271574.87164104,183143340.80160654,231445981.90152705,19177182.964445412,26626162.024653576,36882666.165061764,7549.234674713681,10308.18764363147,14451.288756736592,145850.33015921927,201305.18225872586,271797.5823273463,548.2672613496114,756.1372700728238,1044.3383140446329,6355801.959454839,8734171.05476727,11769449.649803195,135426899.60391694,174673108.25764525,220871786.21982038,507766.77913946804,642656.91092875,871610.2731990926,290046.76486389857,451606.3078463917,712955.4282909656,18317406.766748622,25723063.7749743,35730486.49102295,377325.93930357706,549384.5091665272,769335.6563377078,10405780.384999996,10405780.384999996,10405780.384999996,70582.66564108149,70582.66564108149,70582.66564108149,10335197.719358915,10335197.719358915,10335197.719358915,15920.392525705338,15920.392525705338,15920.392525705338,118.0,118.0,118.0,15802.392525705338,15802.392525705338,15802.392525705338,171000.0,171000.0,171000.0,2005.847750865052,2005.847750865052,2005.847750865052,875782.1556126904,875782.1556126904,875782.1556126904,0.007438029369282619,0.007438029369282619,0.007438029369282619,0.26459257499999994,0.26459257499999994,0.26459257499999994,1751549.457762215,1751549.457762215,1751549.457762215
2027,2027.0,2027.0,2027.0,232255185.45928276,277082818.34316146,335059638.28557765,152238617.64306203,193792131.3747707,243743193.20799527,744442.1263361225,923277.4392113662,1169576.9576927177,151454908.2245066,192796795.08216986,242651553.90243202,62264424.424344994,86321006.58180444,116724662.5060279,38452.37605117345,50357.682849321165,68196.17812608356,692807.1616800332,864855.126710306,1118354.323740918,2925.8060483034474,3795.9565548216747,5053.172630887261,7683542.723228984,10513352.249098722,14421611.72930607,141116251.4054117,182140676.13136154,229218868.65011412,600185.3994366216,774935.9550940997,1044669.3145779185,1087024.7442145555,1602679.876209541,2366026.226145969,59161186.136735834,83088166.49320191,112694860.52266571,1436437.9252476622,1953499.3946352429,2648269.520878365,63145184.38024769,87266029.07984649,117614912.66190432,151454908.2245066,192796795.08216986,242651553.90243202,17292518.076710194,23898091.36131061,32209233.74059983,45852666.303537495,63367937.71853587,85405678.92130448,286263842.6329696,353951965.41950977,429895097.60201174,250720626.13162896,315727454.4790395,398459888.18797934,280723.0053220483,382689.43261538324,509191.75630244164,250340877.8024586,315340852.1580875,398028560.3829804,25558562.330867138,35447028.513726994,49076105.989805676,15559.59829919406,21235.96474025606,29776.289178223356,260301.83684584062,359240.9630702167,484818.41807498713,1130.070247856266,1558.2032927883442,2151.122184027323,12533552.967117265,17223663.707133144,23209190.83392599,231264619.538271,298284240.74476266,377176393.73166114,1001309.0184189646,1267310.4801239492,1718803.3226197946,429705.3443193804,668860.6225798489,1055629.8270575362,24287374.418789458,34101169.62156985,47351627.93485927,558899.220840062,813718.2277202003,1139447.258039229,10416186.165384997,10416186.165384997,10416186.165384997,71700.21690683058,71700.21690683058,71700.21690683058,10344485.948478166,10344485.948478166,10344485.948478166,31407.32992915582,31407.32992915582,31407.32992915582,246.0,246.0,246.0,31161.32992915582,31161.32992915582,31161.32992915582,171000.0,171000.0,171000.0,3005.778547910106,3005.778547910106,3005.778547910106,875794.0241174176,875794.0241174176,875794.0241174176,0.007847120984593161,0.007847120984593161,0.007847120984593161,0.27385331512499994,0.27385331512499994,0.27385331512499994,2627338.571480549,2627338.571480549,2627338.571480549
2028,2028.0,2028.0,2028.0,318286518.0783199,379580731.5184598,461936724.6842556,220036213.15030912,279648100.6624892,351756927.9217356,1138767.5793595337,1409318.2805059962,1783543.9471574766,218871137.27713382,278129287.7743617,350090972.2892672,75028998.4135389,104083549.38244288,140441777.2042692,67369.88018694197,88228.38556285414,119482.04041922648,1048479.4353920224,1308853.1197486478,1692493.3441517253,5126.112432222981,6650.645930249843,8853.33156665673,12726787.053491136,17413997.69771723,23887520.126897395,201901363.88015047,260596852.33081812,327953738.471743,994128.8864252422,1283580.4050077193,1730358.5581368916,1448619.5324740314,2135805.4500017483,3153076.1592896734,70908872.5857831,99587053.53938758,135072773.68315455,1914263.7246990951,2603323.7925872384,3529206.6492672535,76379911.91514978,105532426.22823681,141731085.12584513,218871137.27713382,278129287.7743617,350090972.2892672,21648983.309961423,29911918.94293969,40172000.981105424,54730928.605188355,75620507.28529713,101559084.1447397,406280852.54874,500070500.2117463,612228128.7506145,362856082.78404135,456495904.9901352,574832158.2361107,423859.8090920075,577073.1917124788,766810.470219116,362300252.4109969,455981006.7817739,574182116.3080342,30435306.825709995,42170660.43652871,58340236.220090985,26936.31397835126,36748.3564664671,51531.29183071279,389219.2977139185,537108.1457600833,724512.2114459958,1956.4283622266398,2697.0414628945646,3721.4905906748777,20760196.87557865,28528754.010690056,38442999.54683959,330880686.22130644,426768670.7274114,539643220.1068137,1658537.8790999947,2099134.629971452,2846973.6763072633,565842.5927336349,880492.8023892276,1389209.8147624454,28764291.791004937,40380177.14027308,56041950.42396644,735812.8556635692,1071241.904376112,1499986.3628630296,10426602.35155038,10426602.35155038,10426602.35155038,73193.75267605347,73193.75267605347,73193.75267605347,10353408.598874325,10353408.598874325,10353408.598874325,52045.63025668757,52045.63025668757,52045.63025668757,431.0,431.0,431.0,51614.63025668757,51614.63025668757,51614.63025668757,171000.0,171000.0,171000.0,4005.6397409244073,4005.6397409244073,4005.6397409244073,875806.5343545508,875806.5343545508,875806.5343545508,0.008278712638745786,0.008278712638745786,0.008278712638745786,0.2834381811543749,0.2834381811543749,0.2834381811543749,3503138.0909792655,3503138.0909792655,3503138.0909792655
2029,2029.0,2029.0,2029.0,402137190.6699855,479123486.74395615,580608809.0585593,287918314.76933503,365207953.88517857,459421653.10719323,1573815.8369861231,1942704.6999914125,2455882.2574535497,286309747.933848,363115084.8104624,457125730.82370687,85211691.96936063,118288175.39118597,159277170.6729264,106289.564546912,139198.06085643708,188507.0006373212,1431308.627793569,1786752.033062358,2310470.042802317,8087.475541408178,10492.734407726657,13967.9149554398,19024176.846118603,26030683.974428423,35707394.60001055,261140883.58443233,337058110.79804254,424178060.97717273,1486037.5728531422,1918713.6956440944,2586563.84198406,1810188.7098330024,2668893.263775088,3940070.3475548998,80079749.668177,112466973.83289701,152542178.56091,2392055.6808834076,3253102.165019669,4410081.382970492,87082575.93929242,120295260.40128566,160963854.50812992,286309747.933848,363115084.8104624,457125730.82370687,25546415.377177242,35289639.25296944,47220117.728750125,61536160.56211517,85005621.14831623,113743736.77937979,525105243.06300485,646930635.1989768,792389568.2617829,474700534.1655422,597943893.7802119,750492327.0160868,577690.9054791052,787010.2916276703,1043345.8472671496,473942768.9368361,597241244.7039821,749608195.0053035,34139256.35800424,47272836.47518782,65322777.91355667,41967.36054220609,57233.146646071385,80259.5433891327,524671.0352434115,723953.5545724164,976050.9775614669,3048.297150757841,4201.266087794573,5794.084020399378,31032628.66434997,42645175.03260203,57465126.021238394,427963799.2547021,551986106.5726388,697978976.5199114,2479205.3002355793,3137815.401211895,4255695.523675522,698276.370038797,1086212.0298930188,1713224.941890117,32080225.320978463,45017610.760426074,62457425.619075626,907825.8168459493,1321603.277446713,1850457.812695836,10437028.953901928,10437028.953901928,10437028.953901928,75083.17959600738,75083.17959600738,75083.17959600738,10361945.774305917,10361945.774305917,10361945.774305917,77835.4675331774,77835.4675331774,77835.4675331774,680.0,680.0,680.0,77155.4675331774,77155.4675331774,77155.4675331774,171000.0,171000.0,171000.0,5005.430116143861,5005.430116143861,5005.430116143861,875819.9569075014,875819.9569075014,875819.9569075014,0.008734041833876804,0.008734041833876804,0.008734041833876804,0.293358517494778,0.293358517494778,0.293358517494778,4378948.026664147,4378948.026664147,4378948.026664147
2030,2030.0,2030.0,2030.0,480962796.6507221,572070646.1900649,689985403.2774334,353933221.4148526,447508246.0339143,563012648.8910826,2040343.0892995964,2508908.9973622933,3170980.1371865924,352097373.0836108,444803812.5672545,560045403.7457976,93378804.905836,129715261.62133066,174234306.7602627,156616.09123063405,205106.27069694272,277762.25949629804,1830286.4735954257,2284809.8685916793,2954514.4805753445,11916.774827501198,15460.887964537946,20581.51477323418,26573228.766840104,36360013.145637505,49876574.058840394,316558040.62380606,408585793.4845052,514193618.46160156,2075717.4777631995,2680085.3663648637,3612947.5271936706,2171731.8271934967,3201942.655391661,4727007.813431626,87239021.57508685,122521721.12610687,166179720.3628661,2869813.200344597,3902833.704855584,5290892.627870879,95808370.8907693,132324000.1794832,176422760.69814783,352097373.0836108,444803812.5672545,560045403.7457976,29089918.705789633,40177015.55988905,53566548.7143207,66718452.18497966,92146984.61959416,122856211.98382713,637219987.4804596,786321481.0196164,964598101.8863363,583724854.5851294,735118675.4366496,917928219.231447,738030.4996646811,1004526.4243708332,1330473.3171908066,583035670.6918646,734219750.203285,916789728.7222488,36927372.17369561,51109937.513986506,70543652.49391718,61029.84245899391,83208.57077012195,116672.96307618276,662104.6052006938,913553.1648366961,1230918.7640805594,4433.114844521549,6108.362836579504,8419.583015856273,43346797.46747715,59567360.05502789,80268069.00658183,518782734.7845605,669124029.7182429,846098298.2479439,3462987.65702253,4382943.196910502,5944413.344523743,826816.1047704475,1285714.0253996004,2027182.9809656118,34492453.86893728,48380180.434217334,67130955.63582581,1074685.920055631,1564433.7786316578,2190343.5279251128,10447465.98285583,10447465.98285583,10447465.98285583,77389.16700329569,77389.16700329569,77389.16700329569,10370076.81585253,10370076.81585253,10370076.81585253,108777.04553696704,108777.04553696704,108777.04553696704,1002.0,1002.0,1002.0,107775.04553696704,107775.04553696704,107775.04553696704,171000.0,171000.0,171000.0,6005.148431748483,6005.148431748483,6005.148431748483,875834.678319551,875834.678319551,875834.678319551,0.009214414134740027,0.009214414134740027,0.009214414134740027,0.3036260656070952,0.3036260656070952,0.3036260656070952,5254768.3889513835,5254768.3889513835,5254768.3889513835
2031,2031.0,2031.0,2031.0,554831943.3381863,658555477.9704092,793632445.4891859,417804971.11175495,524602404.3356072,660553825.4627498,2534904.512607909,3107221.5878558652,3924014.1157395607,415517970.2735056,521383539.12235963,656879885.365676,99972424.83568119,138974017.13993818,186228861.10687637,220065.45781877096,288200.3056502966,390291.1783873768,2239659.7336570336,2795844.659057525,3615339.57121616,16744.578973532076,21724.507114600106,28919.63677286343,35370843.42725987,48397744.334038906,66389241.11189815,366945791.88003635,473621953.32538867,596039778.7850862,2762926.498296183,3567382.823410457,4809088.214930883,2533248.4250224447,3734952.9473283393,5513887.556696723,92827920.90920612,130370978.8694147,176825893.50547484,3347535.6758373086,4552517.586265049,6171639.264428654,102994756.57366244,142224154.38862985,188932534.40687013,415517970.2735056,521383539.12235963,656879885.365676,32366408.961703386,44694364.04641181,59372611.560184844,70628347.61195906,97529790.34221804,129559922.84668528,742195551.3143855,917634381.9531963,1123611422.859315,685247125.8012484,862560706.3790809,1073642308.198345,902862.5613897456,1225629.035175643,1624365.8521730474,684232044.1339964,861209061.105629,1072249036.7418029,38991954.66374326,53949988.11126408,74389450.83567956,84578.94635526584,115295.20325747818,161630.45574373138,799026.2197160636,1102461.9405524046,1484441.3831466301,6144.0628514199025,8463.566952598541,11659.098847924246,57697647.498843916,79288361.3944121,106842466.3766558,601359362.264436,775631054.7888099,980774992.9432517,4609481.041307536,5834006.809212072,7912433.807759146,951262.427514531,1478680.461633896,2330568.9797550947,36200209.668046445,50750460.48393156,70462411.20865908,1236129.3384906338,1799347.82408902,2519101.5109279696,10457913.448838685,10457913.448838685,10457913.448838685,80133.04676176478,80133.04676176478,80133.04676176478,10377780.402076915,10377780.402076915,10377780.402076915,144870.61372050433,144870.61372050433,144870.61372050433,1408.0,1408.0,1408.0,143462.61372050433,143462.61372050433,143462.61372050433,171000.0,171000.0,171000.0,7004.793417063756,7004.793417063756,7004.793417063756,875851.2507909238,875851.2507909238,875851.2507909238,0.009721206912150728,0.009721206912150728,0.009721206912150728,0.3142529779033435,0.3142529779033435,0.3142529779033435,6130599.188267572,6130599.188267572,6130599.188267572
2032,2032.0,2032.0,2032.0,623448213.4919908,738557188.213416,892755266.6504514,478320218.59439003,596802886.9700005,751233268.6395085,3054456.845572863,3740863.310172623,4709801.055685612,475378411.5277775,592793843.1570656,746822645.5071219,105337671.43917453,146540026.44398218,195889125.72403812,298351.70634710754,390724.895277907,529133.6504977153,2654079.4679720034,3313179.137764537,4284310.86272362,22701.307866913536,29452.799323592728,39207.529721579056,45413747.1689358,62139398.20951302,85239251.27184412,411812066.2859119,531531467.4628085,668917257.8666059,3547408.9188179793,4580275.896737851,6174540.812268635,2894738.033050558,4267923.446232806,6300708.553758522,97190900.18555535,136498508.9645997,185136838.11491942,3825222.4859289136,5202152.964123998,7052320.146947889,108982857.03345904,150468109.05707878,199130787.57955346,475378411.5277775,592793843.1570656,746822645.5071219,35446873.92089011,48940028.14794557,64767653.49373175,73535983.11256894,101528080.9091332,134363134.08582172,839393673.5416484,1038799601.5326731,1270261793.9108703,779485683.4249476,980864681.9655979,1218252065.4076958,1076269.9943673972,1449570.7701090672,1921537.3884435107,778323235.5791961,979322481.3606195,1216763235.2541797,40450120.76785929,56006610.55294575,77147708.40987907,113017.36654155102,154032.4843077468,215887.8387835818,933176.8624299092,1287542.5571833346,1732590.3984884156,8210.454296583152,11306.781429968374,15566.092619481375,74079838.69944906,101800840.71814817,137178429.59875548,674887264.0988281,870467067.387778,1100693849.9993875,5918258.834297752,7490466.286456084,10159024.598197173,1071406.7890569721,1664778.3540389137,2622844.2749536885,37357681.336984225,52345619.597219326,72723886.56672019,1391880.097568358,2025942.0759209048,2836164.8079728414,10468371.362287523,10468371.362287523,10468371.362287523,83336.64686008947,83336.64686008947,83336.64686008947,10385034.715427427,10385034.715427427,10385034.715427427,186116.49134590974,186116.49134590974,186116.49134590974,1909.0,1909.0,1909.0,184207.49134590974,184207.49134590974,184207.49134590974,171000.0,171000.0,171000.0,8004.363771727985,8004.363771727985,8004.363771727985,875870.4631746504,875870.4631746504,875870.4631746504,0.010255873292319017,0.010255873292319017,0.010255873292319017,0.3252518321299605,0.3252518321299605,0.3252518321299605,7006440.435049743,7006440.435049743,7006440.435049743
2033,2033.0,2033.0,2033.0,686912548.6980718,812487762.8334961,983370183.1295643,533994963.4541618,663641683.4880755,834986919.1096454,3610544.8896677666,4393998.597150668,5515348.414400062,530279919.0554916,659318560.554301,829813820.4658998,109743965.14201503,152784558.30235732,203727092.33915955,393185.9506928676,514920.93439037347,697324.3758575495,3068996.4066975056,3831134.293923019,4954084.759534627,29917.158594157325,38814.68299410422,51670.05758620616,56698419.20384639,77580157.29579955,106419996.20191805,451123730.30379575,582271569.9864764,732772236.0224894,4428889.719635053,5718409.491656173,7708826.626064757,3256200.169960835,4800853.442464296,7087469.756978818,100596859.31530543,141281964.4312911,191624775.8007182,4302872.994587898,5851738.973454449,7932934.102817608,114039119.7961279,157301994.99940684,207526990.04555702,530279919.0554916,659318560.554301,829813820.4658998,38389632.7908649,52953458.74374889,69860982.40923919,75649487.005263,104348536.25565794,137666007.63631785,929052744.0797577,1152094555.931776,1412413478.7438235,868853410.4995186,1091649381.196505,1349679683.8102722,1254564.7492047544,1676522.459577073,2219083.2779081003,867762408.8858,1089978617.5336604,1347626828.1328783,41463877.87748818,57444726.546186805,79049410.37701651,146692.03949018355,199886.2881198029,280089.18231280264,1062667.3942310018,1466188.17722889,1972922.2511960035,10657.507766297234,14672.128696177417,20185.73386659144,92487627.8874371,127096905.72042741,171265323.65150854,739312140.2698486,953562031.5552996,1205766309.8910444,7388862.211603851,9351740.915849155,12683398.11793311,1187031.0626173753,1843659.4256643998,2903445.46476271,38084111.443782404,53333556.62620151,74147258.45138043,1541649.548553513,2243794.6728769867,3140940.4278521,10478839.733649809,10478839.733649809,10478839.733649809,87022.0291883216,87022.0291883216,87022.0291883216,10391817.70446148,10391817.70446148,10391817.70446148,232515.103952674,232515.103952674,232515.103952674,2516.0,2516.0,2516.0,229999.103952674,229999.103952674,229999.103952674,171000.0,171000.0,171000.0,9003.858164830974,9003.858164830974,9003.858164830974,875893.4423991609,875893.4423991609,875893.4423991609,0.010819946323396562,0.010819946323396562,0.010819946323396562,0.33663564625450915,0.33663564625450915,0.33663564625450915,7882292.139745362,7882292.139745362,7882292.139745362
