peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule
1543484243.1811345,2036,72919853472.41022,2088.0,50_percent_of_peak
1266184510.6247203,2079,56988593963.56505,,50_percent_of_peak
1912695920.5194485,2082,99749930488.45735,,50_percent_of_peak
1625007871.2612834,2038,64302213686.477196,2084.0,50_percent_of_peak
1140478935.4972136,2089,50105171014.618744,,50_percent_of_peak
2345237541.153405,2079,127585534762.31352,,50_percent_of_peak
1974935370.8127236,2092,87728873637.13664,,50_percent_of_peak
871758467.7767421,2040,23802138544.373577,2058.0,50_percent_of_peak
3798277667.099485,2036,114257696080.85023,2068.0,50_percent_of_peak
1929691018.4018285,2087,80009012076.51155,,50_percent_of_peak
1980930596.5022645,2092,87148265377.13712,,50_percent_of_peak
372529831.1404883,2039,14816204545.75217,2078.0,50_percent_of_peak
1104273459.6225328,2035,55742010653.141594,2087.0,50_percent_of_peak
886982370.9590199,2082,43030939429.54951,,50_percent_of_peak
1345118230.3238294,2084,66150178921.54739,,50_percent_of_peak
4008465862.5326796,2037,179687903024.04495,2053.0,50_percent_of_peak
1932738631.8350587,2042,85492861495.72714,,50_percent_of_peak
2325376444.7018247,2037,108198297917.73834,,50_percent_of_peak
2560007465.186419,2041,94532447801.13205,2072.0,50_percent_of_peak
922677266.9577764,2037,40954413475.45129,2084.0,50_percent_of_peak
2006743695.8294127,2039,86632906774.63481,2053.0,50_percent_of_peak
1629272356.8032937,2082,77953031673.60674,,50_percent_of_peak
1535646688.682679,2090,59747157106.010635,,50_percent_of_peak
1622873727.4929914,2074,72632805015.61925,2089.0,50_percent_of_peak
1357134027.098549,2083,69625939885.38678,,50_percent_of_peak
2416184096.275578,2035,84609728648.96152,2079.0,50_percent_of_peak
1781275354.5212975,2080,79768642983.82896,,50_percent_of_peak
1987206120.2784095,2081,87620871445.97127,,50_percent_of_peak
1615142399.9920478,2082,85648457473.62123,,50_percent_of_peak
2509500617.507667,2036,125579192138.3453,,50_percent_of_peak
447197802.31436944,2079,23355093836.80966,,50_percent_of_peak
2365143247.6460385,2091,101004192915.7513,,50_percent_of_peak
1637186641.7645252,2083,75374669120.14847,,50_percent_of_peak
1657094068.964081,2092,77665991610.50308,,50_percent_of_peak
3284895574.571925,2041,140292664851.82892,2086.0,50_percent_of_peak
1074010397.985603,2092,43663078245.58381,,50_percent_of_peak
3112076884.8071556,2039,116821821896.4678,2060.0,50_percent_of_peak
2054201905.348027,2085,103255742242.51411,,50_percent_of_peak
2382854773.3517118,2041,89552596672.88715,2057.0,50_percent_of_peak
3158041610.7854376,2038,87939443389.54738,2053.0,50_percent_of_peak
1877844614.4356382,2088,85851677393.54004,,50_percent_of_peak
2056887558.1720366,2038,62740637070.69171,2051.0,50_percent_of_peak
1011382807.6649317,2085,51160878985.89469,,50_percent_of_peak
1488023863.1745038,2037,73211431811.66907,,50_percent_of_peak
1802953336.9122632,2092,77837491469.82834,,50_percent_of_peak
1363590879.8873277,2089,69898373127.2037,,50_percent_of_peak
3294201404.3430486,2041,134625785363.35342,2057.0,50_percent_of_peak
4218086764.6096215,2039,187759955207.39526,,50_percent_of_peak
952251957.3996629,2037,43393724472.47373,2050.0,50_percent_of_peak
2348374695.1200404,2079,123140835418.97192,,50_percent_of_peak
3764516835.675046,2089,152386655880.91095,,50_percent_of_peak
2588160595.5735884,2090,104280755498.47745,,50_percent_of_peak
1030442774.8339982,2088,43095159952.47089,,50_percent_of_peak
