Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,CAV Total Power (kWh)_p05,CAV Total Power (kWh)_p50,CAV Total Power (kWh)_p95,ECAV Power (kWh)_p05,ECAV Power (kWh)_p50,ECAV Power (kWh)_p95,ICECAV Power (kWh)_p05,ICECAV Power (kWh)_p50,ICECAV Power (kWh)_p95,STI Power (kWh)_p05,STI Power (kWh)_p50,STI Power (kWh)_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,ICECAV Sensing Power (kWh)_p05,ICECAV Sensing Power (kWh)_p50,ICECAV Sensing Power (kWh)_p95,ICECAV Computing Power (kWh)_p05,ICECAV Computing Power (kWh)_p50,ICECAV Computing Power (kWh)_p95,ICECAV Communication Power (kWh)_p05,ICECAV Communication Power (kWh)_p50,ICECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,Electricity Consumption (kWh)_p05,Electricity Consumption (kWh)_p50,Electricity Consumption (kWh)_p95,Gasoline Consumption (kWh)_p05,Gasoline Consumption (kWh)_p50,Gasoline Consumption (kWh)_p95,Clean Electricity (kWh)_p05,Clean Electricity (kWh)_p50,Clean Electricity (kWh)_p95,Fossil Electricity (kWh)_p05,Fossil Electricity (kWh)_p50,Fossil Electricity (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,CAV Emissions (kg CO2)_p05,CAV Emissions (kg CO2)_p50,CAV Emissions (kg CO2)_p95,ECAV Emissions (kg CO2)_p05,ECAV Emissions (kg CO2)_p50,ECAV Emissions (kg CO2)_p95,ICECAV Emissions (kg CO2)_p05,ICECAV Emissions (kg CO2)_p50,ICECAV Emissions (kg CO2)_p95,STI Emissions (kg CO2)_p05,STI Emissions (kg CO2)_p50,STI Emissions (kg CO2)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,ICECAV Sensing Emissions (kg CO2)_p05,ICECAV Sensing Emissions (kg CO2)_p50,ICECAV Sensing Emissions (kg CO2)_p95,ICECAV Computing Emissions (kg CO2)_p05,ICECAV Computing Emissions (kg CO2)_p50,ICECAV Computing Emissions (kg CO2)_p95,ICECAV Communication Emissions (kg CO2)_p05,ICECAV Communication Emissions (kg CO2)_p50,ICECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95,Total Vehicles_p05,Total Vehicles_p50,Total Vehicles_p95,Total EV_p05,Total EV_p50,Total EV_p95,Total ICEV_p05,Total ICEV_p50,Total ICEV_p95,Total CAV_p05,Total CAV_p50,Total CAV_p95,Total ECAV_p05,Total ECAV_p50,Total ECAV_p95,Total ICECAV_p05,Total ICECAV_p50,Total ICECAV_p95,Total Infra_p05,Total Infra_p50,Total Infra_p95,Total STI_p05,Total STI_p50,Total STI_p95,Incremented Car Number_p05,Incremented Car Number_p50,Incremented Car Number_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,Cumulative New Cars_p05,Cumulative New Cars_p50,Cumulative New Cars_p95
2024,237055.33595507132,703566.0377821157,1640913.7822174304,237055.33595507132,703566.0377821157,1640913.7822174304,0.0,2116.7673506546234,9206.246971320586,236663.73244558956,700177.6876449143,1636060.35502615,0.0,0.0,0.0,0.0,430.18840523720894,1412.8735015181428,0.0,1626.219987656169,7535.9536880350115,0.0,32.08652329442629,107.6731792040813,78604.10024614018,129782.2969067737,236370.69168751937,114128.93816536978,553344.8652861225,1403517.9190485098,5713.3054352530335,9592.08786380059,16427.373624723736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2116.7673506546234,9206.246971320586,236663.73244558956,700177.6876449143,1636060.35502615,0.0,527.4561584316791,2374.02184059083,0.0,1557.135378672047,7039.922749998825,397267.3872483638,1157425.1544644088,2703502.939039267,397267.3872483638,1157425.1544644088,2703502.939039267,0.0,953.0448963699764,4895.692458333273,397077.66948075517,1155352.774143721,2700800.233277543,0.0,0.0,0.0,0.0,199.81035942822177,746.6280106647738,0.0,720.8429001802674,3848.225404909768,0.0,15.01508561048703,60.64959065701155,130271.25504510787,211267.06214578176,379825.63735806016,182624.33991212677,905359.5040773223,2377481.255821903,9434.544348692683,15848.790602113364,27160.25558504965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10385000.0,10385000.0,10385000.0,11252.900000000001,53025.5,167786.24999999997,10217213.75,10331974.5,10373747.1,400.0,400.0,400.0,0.0,2.0,6.049999999999983,393.95,398.0,400.0,171000.0,171000.0,171000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001083572460279249,0.005105970149253731,0.01615659605199807,0.19247875618800317,0.24800671057390536,0.3031339385696349,0.0,0.0,0.0
2025,46097627.39746891,86398151.38672939,143268772.0454716,19798893.29028167,44351123.53028347,86806908.1708451,21661.517527205207,136746.0532121448,606457.4848710475,19696950.575909175,44084236.51843949,86598462.1887061,16741162.678899925,38117276.396146655,81333481.53429346,1097.5600842785811,5985.427488614801,24388.21580908784,20453.8860192828,128644.97131454287,578668.7719037974,74.41887263631371,450.0340999386566,1733.524427866319,871390.5043461218,1715144.9365415317,3834273.1421371372,18631948.966260407,41902382.02921036,82333821.99290518,61064.13520761024,124915.55203228843,287794.3807609547,215442.76193499286,660115.6761615569,1605023.7463476993,16137510.035940181,36912453.93848166,79775058.64889957,281343.43586827617,641043.490595073,1334231.2837063104,17183932.708592035,38331928.074956566,81385580.94835636,19696950.575909175,44084236.51843949,86598462.1887061,4223253.821728435,9864332.337167628,22470803.348905154,12654307.565046672,28911070.306733955,61538388.37596915,44451865.69771553,94505348.36171305,158356433.67290613,32931704.593885764,72112624.26315936,140577917.77618054,11406.285294892812,67847.062200791,317058.95101227425,32885975.586269934,72004738.8247259,140231468.93590355,7484974.903524132,18128952.562550668,45678097.51766883,488.1683871732699,2801.591142026972,12767.04213953712,10734.543419960997,65877.11137621352,308655.87430192647,30.087658622567808,204.87505925980065,1049.5995775168583,1429186.8310510132,2831783.025073287,6178157.950900862,30202528.223220073,68399262.05592726,134001871.05394486,99749.09569130457,206412.12431512203,467577.5193963012,105685.35038556636,304334.98775932693,758735.2176962559,7185452.370358554,17396967.45507719,44158088.81359123,123078.49499499377,306975.17986489733,749928.3976422086,10387382.689600984,10395462.294850241,10403911.947625434,11337.64012682523,53444.040035016864,169067.1360260861,10221868.525426358,10340839.53044248,10382260.317113206,3239.583291888325,5489.743009051048,9142.05664972901,5.950000000000001,29.0,107.2999999999999,3221.5478227034273,5453.012289564256,9008.456649729009,171000.0,171000.0,171000.0,531.8523662979934,1060.3707481802812,1677.4028625395197,654805.4730155976,874087.6217165692,1063604.9853294757,0.0011521766429038814,0.005450807427839415,0.017221147955250652,0.19653886931245648,0.2586144763865117,0.31816381143889494,654805.4730155976,874087.6217165692,1063604.9853294757
2026,96950613.35480061,189354853.56499898,310915716.15071845,48415074.86430574,111575317.11546758,223165316.96800068,60215.245706674235,364526.6191977612,1652528.3191103118,48302302.17890486,111208220.25303797,220797373.4465185,29852495.96844062,67989358.57438698,145010741.61500904,3291.682571957298,18018.40794820886,74337.80779269787,56592.05277525548,342359.708813671,1574658.5271612843,218.22876475127856,1330.6687377885396,5392.1993039515055,2447962.4044651785,4900493.4758659415,11048971.639747536,45003276.48651446,104743074.4398764,207073332.57528168,169020.1247575151,353683.6416373653,839159.5111322636,429899.7160136074,1316643.0858460716,3195010.1002918486,28647475.098103315,65047890.544792816,141069817.3755396,561487.5657567213,1278899.9683484097,2657058.246656053,30145829.787400097,68575615.83210593,145838978.21485662,48302302.17890486,111208220.25303797,220797373.4465185,7903255.868912165,18139513.606049657,41471352.18283665,22354596.32581124,51028284.43866542,107436000.75575985,101981061.24620731,219515467.47585255,393764737.3884969,79469805.55156639,183465793.40174478,359316175.5049344,29385.196117110056,175886.81196629693,838776.4817286403,79414705.45939812,183313855.63977963,357985997.2918138,13270087.704321783,31710697.473805003,78626351.68149099,1380.3199566456656,8288.551841204007,39154.37779646017,27411.845054077145,162484.69261384936,811741.0712906186,84.84433170688268,616.8447762016576,3225.548487564864,4003583.990059193,7975986.677617403,17802878.896557216,72069561.74588308,171370844.92255276,345715270.72592944,277385.48635912285,584318.2372134778,1350649.40606047,206709.25821453717,599823.9099043317,1472022.0481693202,12560515.326392716,30497716.77283581,76772776.23200476,242468.76776601528,602926.4984345327,1459101.912891222,10389765.925905561,10405935.130102903,10422858.335640376,11473.500495707982,54194.131469408574,171486.25503897478,10231140.038239356,10351890.381974183,10393158.839766802,8882.44003969796,15632.68476395252,26592.57453748398,15.950000000000001,87.0,336.2499999999999,8829.99161125276,15524.274262284976,26184.124537483975,171000.0,171000.0,171000.0,1062.0505387394037,2114.1660783272077,3338.351435600022,654808.923857666,874095.9458703073,1063644.9666421285,0.001225169627640361,0.005794815465574194,0.018397408945401386,0.2025887434696129,0.26752774715899447,0.3283496376882417,1309613.580291837,1748180.1303075177,2127242.674159001
2027,147258412.9994914,294009672.0565388,513336977.19232565,83885038.49933696,190269947.13757384,380649003.0339861,115581.5160663628,667156.3971598756,3130017.7843738818,83578248.76187798,189653122.37270927,378517863.56096816,41487140.46421208,91862901.3986402,197527298.64263105,6724.536994525223,37402.973743368755,156409.45180596437,107691.15781140646,620682.323713958,2943786.9827529523,462.0927502407692,2766.3041656867786,11533.955566050427,4778953.603877258,9593026.709369397,21848503.709349044,72454353.14579582,175802044.6850137,366801424.0170019,330632.9912632676,699638.8596043026,1665018.9644879673,644352.179259545,1973148.47601873,4785505.104041634,39680326.08848375,87579365.79883885,192955845.34715492,841626.5855449665,1916785.2580387155,3979788.383396791,42028776.87324402,92418474.79022017,197883096.12625146,83578248.76187798,189653122.37270927,378517863.56096816,11094021.092025293,25439199.701445382,57240207.99769421,29391520.120251592,67944709.92251596,146154811.57266504,162656582.49894813,358222214.294964,679727169.7878247,133915753.36051154,308606981.67122304,628273921.9200251,51066.35638691491,302851.3426660585,1487831.5510690007,133768458.85018979,308171771.7708311,625728785.2538714,16835364.460647676,42121498.440726526,106579110.78618991,2774.003881710085,17356.202561510443,79588.07526455862,46950.13623935236,286646.7504559245,1431664.3517831487,175.92181124626597,1274.511418250146,6786.125330210872,7807462.087644684,15713352.571862374,35203654.81801095,115973957.21784198,286371775.7259957,601913745.6286523,543470.2316742667,1150848.8932098267,2674198.429123038,300438.2158562683,888347.6215770028,2169646.9890828445,16009703.776880786,40114682.4914872,104454995.50319873,358582.440483204,891457.3925655042,2166665.2831817186,10392149.709039181,10416418.516377322,10441839.22676423,11663.631142557648,55232.228339330664,173809.8331058343,10241526.678372312,10362139.109491426,10408075.768070875,17328.64957546474,30828.89835436223,52751.66047989153,31.950000000000003,182.5,723.15,17220.512431513536,30607.714114678518,51899.76047989153,171000.0,171000.0,171000.0,1592.2435822225964,3167.9208864173515,4999.1401853324005,654812.4814721906,874104.7180733234,1063685.9576368004,0.001302836340691151,0.006142477934425817,0.019328370164250333,0.2083392120902576,0.27739530747417473,0.34593306460948997,1964424.895219132,2622279.9379817573,3190918.234920654
2028,189662424.19659612,398758802.94283795,710507174.0451785,116145732.42417826,273231891.9811144,555345709.8702031,180629.1045733135,1018109.3814972839,4741019.486740188,115952670.17861575,271387165.8974614,553867614.5933379,49613430.80758596,110705318.3084072,239050618.34815156,11705.084263663708,65270.13931391191,276404.05085514346,166682.87822037196,939056.9703791859,4417253.773151608,807.158442550608,4835.195558465745,20631.647614736863,7901750.747072454,15843048.979149245,36219504.24104632,101439447.03534968,253755656.8377971,521188142.2246253,545848.2976107363,1160434.2637767685,2764890.485950101,858795.6201070164,2629609.5345964245,6375763.233338461,46446372.63232649,104756018.50620617,229455953.50061575,1121755.3416525072,2554640.4783898527,5302323.235351244,50461976.840703785,111761504.75271018,239620033.82683402,115952670.17861575,271387165.8974614,553867614.5933379,13757316.069903212,31431137.7411028,69250889.34194852,34172551.73003167,78677833.37836814,176751279.56150997,221153151.89230245,511187934.0349196,973150442.9619796,185141577.99294117,446175921.35729533,904435589.1955054,72889.49599632714,460411.3221855542,2212780.403912562,185065242.51141384,445887504.10041517,903320074.90813,19804376.422592882,50456837.44175398,128069572.66288507,4712.380556647433,30511.20219100805,138338.22466015874,65833.29406489091,421529.1434261917,2115943.920062174,299.23255223443954,2176.95417047728,11943.81149385461,12873102.903758362,26008930.628457855,58358928.70308987,165888061.3695622,417478873.36517256,862351320.7453668,897787.856690348,1904356.1824960588,4438010.918415249,386850.1943001188,1169567.324945699,2866630.9230152736,18263106.924027838,47425285.77552004,124109801.65027268,471326.91605371534,1175438.687144925,2842501.719164975,10394534.039127316,10426912.464303527,10460854.683830615,11911.331819900863,56375.660430906704,177748.95730222907,10247440.5192178,10369738.806389488,10421887.910452273,28578.299886820907,51078.4728544317,87619.44259590181,57.75000000000001,324.0,1270.849999999999,28390.350148862515,50688.72720799179,86130.64259590181,171000.0,171000.0,171000.0,2122.42633608324,4221.594154068322,6659.606214529702,654816.1908554749,874114.1277318541,1063728.3594805829,0.001385480584754561,0.006500976852333452,0.019988479354296606,0.21650329557907286,0.286630247156032,0.3617648866271373,2619239.419581899,3496387.0508577772,4254631.741722454
2029,229691015.31462628,499926577.95729697,923547440.677598,144443385.5511596,356065163.9376514,725462970.7441081,231936.4971794508,1390645.9924155064,6494518.939169461,143529437.74770334,353809345.3685483,723274816.7115777,55263447.33783659,126195781.5980064,272526786.9325735,18047.69626638862,101533.9244504327,439899.9321069034,204392.82869023096,1271307.0064038038,5985664.45321988,1235.3939586712406,7627.01913170499,33304.45699784475,11803006.907173928,23673082.496965315,54147489.262696125,124000028.78360438,324059667.0060873,682512913.0778581,814627.628146023,1735907.3194789807,4138107.8954586037,1073229.9158067303,3286025.3778164387,7965778.486379262,51305425.056058735,117357894.14928235,264575304.35527167,1401873.7030864276,3192465.1946967207,6624657.864698632,56261218.92025189,128114692.26778746,273127982.35973555,143529437.74770334,353809345.3685483,723274816.7115777,15823013.631914588,37268183.52059403,84696256.36604734,37502324.782709144,88089420.38968974,198812926.12745398,272462874.588717,648961269.8187692,1249950289.0984476,236827114.53985074,584245305.6911972,1195923394.174296,89890.03997567185,622953.7785347006,2976128.9733298654,236727319.65580794,582828898.1719255,1194873256.767517,22081984.13522284,56066666.40914813,141310617.19695252,7204.11753042639,47517.255650097766,217392.14394329858,79304.93335601644,567651.4804842616,2825545.269232369,456.4588726254551,3380.5933227204814,18968.39594708011,19199273.99241192,38853741.49435804,87245338.1293305,206177848.87779367,536127673.1702657,1103001987.6866596,1340180.16160834,2845003.3129573604,6641921.972938851,465097.96300774935,1443146.010444759,3550774.9377109893,20177606.977705315,52833684.75409141,136270563.89568526,580470.263162692,1452514.935753853,3488069.372405398,10396918.916295473,10437416.984522263,10479904.76978758,12220.038229656497,57954.68940214047,184963.44060069494,10245476.853265634,10378389.502866454,10436841.153072804,42631.492393136614,76381.52221780448,131196.08213478426,94.30000000000001,518.5,2003.7999999999975,42336.65828213807,75759.01323098139,128850.13213478425,171000.0,171000.0,171000.0,2652.5987049105356,5275.1843832813065,8319.740214388079,654820.1162875061,874124.445424037,1063772.7452075395,0.001473426323563491,0.006931654729375393,0.020905339440018832,0.22533428827705268,0.2980083391019176,0.37793858886004855,3274057.155165537,4370501.4750591945,5318383.268817448
2030,270543201.2149197,598574704.7656977,1103857287.4637253,177036923.28822327,429111190.67640305,915593800.0621791,293624.03654591105,1773195.3730341196,8491633.817592863,176597200.0393411,425797646.98980933,912602212.2250242,59585894.513872646,136730201.83248165,302973971.4535718,25907.052606959518,150246.4790186076,653862.6042521453,260065.0997448268,1627757.812057322,7827905.778482014,1785.4683929510002,11386.588006800532,49968.79381318311,16482798.311754514,33057370.938595235,75616257.28259702,150527623.5544653,387124008.14789855,825319005.9138087,1136906.18518647,2424436.821607899,5783911.317580645,1287654.9413924902,3942395.097422989,9555544.660330193,54492581.73250998,130526302.05740198,289716825.30133975,1681981.5366296545,3830258.9638896603,7946787.168391201,60817544.85062049,140289184.04646742,303815462.7460018,176597200.0393411,425797646.98980933,912602212.2250242,17747179.492808476,42901319.44219977,98240610.31090726,39760753.073670045,96970200.49126607,215710270.6163723,321999044.53028214,778630889.0388769,1560469112.9701633,285521605.00910646,707507589.9982629,1508365734.9829497,108623.84906104779,808235.4476021795,3747873.379558671,285168750.5506159,705799636.0698478,1500501577.471954,23779720.4333743,60668722.294510186,153142655.36607757,10547.339787932377,69193.99249961883,318962.382790683,97768.81885682099,730696.2859969777,3534348.3672124394,654.9279485104099,4994.599152563698,27412.606468462185,26783662.365553707,54238049.718616895,121836751.01592141,242338367.10507977,639670701.0161972,1328560682.2851057,1870456.9173389545,3972327.4606309,9285751.44405684,534487.0514898044,1708732.7569934607,4221623.962806361,21521711.286412828,57583666.331631765,144559924.86168033,685824.1517084691,1722270.5175404716,4101317.3579833587,10399304.340669185,10447932.087684985,10498989.547697809,12593.297197243779,60018.55664492917,191407.54652895208,10244225.6583782,10387376.51133088,10454300.406983346,59488.34924410075,106738.19887082378,183481.7915516836,143.60000000000002,774.5,2943.7499999999973,59056.51142111845,105809.25076523691,180029.1415516836,171000.0,171000.0,171000.0,3182.7605921176682,6328.6900395905295,9979.532521671128,654824.3495964354,874136.0576878795,1063819.9333759267,0.0015657746358463372,0.007416858200325498,0.02237744078527761,0.23317732118227902,0.3093742547438483,0.39915369058105044,3928878.1037564464,5244623.216714759,6382172.890604024
2031,304861227.8666815,680529918.4620512,1268962603.958959,207289631.66110945,496253418.8497045,1106049234.041043,379038.3285131433,2215088.522557241,10626087.815918496,206333000.79437843,491815731.60474753,1096524764.8625937,62948329.9498014,147050912.49396256,328907216.92515165,35563.94752796893,210668.70278812828,930075.293966554,331791.9910141069,2002545.5707771238,9817801.563219365,2516.7642333314325,15906.207705507633,71531.04060511544,21940409.25755594,43991813.07786523,100605749.14965487,165387241.95935562,451824709.32665646,980126713.514079,1512575.651428828,3226379.365691928,7701476.426345347,1502070.5696318033,4598717.759811432,11145055.343060555,57234117.65399429,139345004.238595,310490853.57972676,1962078.7067942969,4468021.334335419,9268705.871361658,64432502.34143355,152065084.93730605,329812840.42945975,206333000.79437843,491815731.60474753,1096524764.8625937,19864978.75449144,47974334.09392868,112749882.02673917,41224608.00478696,103728833.84619305,228038821.6364427,373428483.14827746,898279944.5839684,1856349016.138418,335368247.5078987,817256580.4990358,1788156877.956441,130840.37577750672,996019.5587123155,4536125.199715923,335104220.65849453,815353124.2196491,1778019378.66623,25038548.453155622,64960739.43026203,162753833.12286422,14619.936221312051,97603.5815576619,444979.9799671252,113937.50311786254,880288.2579804005,4230021.316454386,887.8838141900818,7007.953287762039,38235.73422839068,35625018.819899544,72150253.14167279,162100813.16214335,279295188.16241324,737849535.5739913,1577460762.6704073,2488496.989922161,5285826.317408336,12369291.410885684,616272.4564022047,1965962.193183475,4878707.658354925,22436794.714906953,59761848.24367145,152233067.0557144,787191.4151037686,1978329.5907015651,4679902.957012339,10401690.312374009,10458457.784453895,10518109.080738831,13034.725699451172,62642.62651253178,197411.99233136978,10246526.532318966,10396021.214596411,10468239.03908576,79149.02442560687,142148.71439721942,244476.86201334454,208.40000000000006,1103.0,4119.799999999998,78545.26651332245,140826.17431952327,239635.4620133445,171000.0,171000.0,171000.0,3712.911899923902,7382.109550970397,11638.973102172265,654829.0219648968,874149.5167183401,1063871.0932926426,0.0016619086034686172,0.007809449305906026,0.023864837437199096,0.2395758032980833,0.32041904825247236,0.4208792873376041,4583702.267142019,6118752.281958364,7446000.681626163
2032,325072299.70393896,759578691.4823182,1425549811.4577093,233384058.72269467,565109877.7311352,1281732724.8012803,443311.47151638556,2672178.459367314,12566429.555243604,230675315.41045412,563672550.7243043,1257152957.731878,67213624.78133546,158025172.2357677,347766075.5151459,48187.064818103456,283975.41262390616,1275871.7686642313,396938.0848930831,2377210.9752025595,11514417.094842508,3525.037415761497,21273.119405239013,100105.1726361707,28175653.027183022,56471602.52773817,129093553.00726323,176075969.18889934,501590098.45266247,1125073861.5183074,1941581.0433325712,4141559.3414343204,9889724.450319748,1716476.6709747552,5254992.405129002,12734303.904400446,58945575.11165908,147465674.5926891,326724465.36304194,2242165.0757734133,5105751.845630739,10590408.519339092,67756937.5110501,163119926.85899842,348874671.42173165,230675315.41045412,563672550.7243043,1257152957.731878,21531871.66144217,52928869.7517416,123699463.00426911,40986011.05986549,107407704.6116821,235496281.41501048,423759468.29966223,1020106131.6160614,2120877772.8958058,374010025.57125646,934358464.02711,2048585268.907634,151856.2300973706,1203973.1533274688,5391649.06110873,373517859.18910843,931229870.8907671,2035664144.0336962,25963741.442370243,66697151.61705281,170209328.347573,19576.950984943258,131488.9488314645,598316.94876076,128127.18970632063,1029970.6830098156,4900399.398058784,1157.42910288106,9432.020750139789,51807.94999458654,45720924.604712136,92576909.79243731,208001375.74763057,297226659.06836265,818957366.0124731,1809795957.2369475,3194067.6641292293,6784976.0542943515,15892131.011360861,680101.820699205,2214453.9384797094,5521539.895605112,23028558.30066977,61861354.76758652,158264066.00784773,884365.66018523,2211382.736480712,5221885.632675388,10404076.831535544,10468994.08550192,10537263.432203226,13547.946455138717,66180.66806637414,202873.4973078243,10247896.20522053,10401645.77974279,10485493.79628832,101613.72059581745,182613.37089598656,314181.70509704977,290.7500000000001,1479.5,5568.75,100789.19091706378,180795.6039357658,307633.75509704975,171000.0,171000.0,171000.0,4243.0525293361925,8435.441306694145,13298.051533116219,654834.3207962293,874165.6113631539,1063927.895334018,0.0017639540755418075,0.00833144182438165,0.02567938236709643,0.24668738947991445,0.3333560619181128,0.4463404588543308,5238529.647110645,6992888.676929039,8509866.71657375
2033,350537434.0251864,825945526.7536218,1617784856.075758,248708055.0965859,636800041.9797342,1435920921.4630215,514433.64661329146,3216290.5565069905,14639500.273824187,245598997.51704434,628444611.9134204,1405378837.870689,69534029.56570889,167208126.51411986,363347682.2021822,64839.1446921321,378611.1471503731,1701577.0013576911,475253.3361566039,2804744.0976673486,13429141.33393674,4778.123566092382,28118.136078569896,133431.01174439545,35188064.45598975,70490408.66551648,161053790.46105745,184843252.39278144,544140628.442407,1258534190.1635242,2423765.5707148816,5169534.727978177,12347466.390018925,1930873.1135015008,5911218.046337091,14323283.486964157,60170890.66380915,153442040.63099104,339474824.06293833,2522240.5033915546,5743450.02838997,11911889.471307913,70683995.90284829,170612964.29185852,364687843.0420868,245598997.51704434,628444611.9134204,1405378837.870689,22168844.391918156,57703767.82388267,134048974.68436556,41325402.081161276,109828952.05307958,243230192.68343416,460887151.22734314,1121135356.517576,2408507177.0162973,409735655.84195775,1035205800.9421401,2289054245.5924835,176589.9306197938,1371645.086108712,6313996.8306767335,408033337.9518579,1034098660.2272242,2273374607.234981,25897508.386693124,68822830.70392084,174719619.19768336,25381.26126741649,171996.5067168625,781389.2023902994,146922.9779710214,1158330.8288678676,5824162.082572102,1507.44108071811,12134.515049773356,68221.14202157746,57068011.29032218,115502753.33463372,259496697.38432953,310760814.110328,885302168.8444004,2023561459.4362638,3986971.014719744,8469112.291875932,19853979.37919067,744654.0293432106,2445838.102792204,6149618.21930052,22616927.08903153,62662138.69598164,162632295.18417183,977130.8605629236,2418902.5970882075,5775285.975476034,10406463.898279402,10479541.001512758,10556452.665498836,14136.489639314777,69526.18241558445,208257.8993338068,10247592.807031097,10409292.880581267,10501003.29281701,126882.71452315783,228132.60836168454,392596.9157963642,370.7000000000001,1944.0,7313.299999999997,125735.91256347182,225701.98992223572,383985.3657963642,171000.0,171000.0,171000.0,4773.182380130461,9488.68365615112,14956.756984569705,654840.513809063,874185.4685454685,1063992.7256897052,0.001872275034168136,0.008727934531800362,0.027530178325371815,0.24813132246950811,0.3458423998601455,0.47586611320807987,5893360.245451701,7867032.407770965,9573771.07028284
