peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule
2322423920.9192123,2085,114483512609.34918,,50_percent_of_peak
1253190885.3015716,2037,56598827061.32012,2084.0,50_percent_of_peak
1807611551.8937237,2082,78491600971.62297,,50_percent_of_peak
2586646913.150496,2042,129306060851.25278,,50_percent_of_peak
3459464146.7823358,2036,135233473602.97704,2083.0,50_percent_of_peak
2902533924.4764576,2038,85847146899.15523,2066.0,50_percent_of_peak
2461977857.0387945,2036,103541458813.27605,2083.0,50_percent_of_peak
2283345513.30469,2077,116323437576.76611,,50_percent_of_peak
2989517940.2462487,2092,137808785608.1507,,50_percent_of_peak
3415957023.633926,2075,164268765104.45798,2089.0,50_percent_of_peak
1618294968.7182672,2081,75947429223.17839,,50_percent_of_peak
6017201572.649831,2092,293856043049.2018,,50_percent_of_peak
2806702818.120203,2080,130617299873.76735,,50_percent_of_peak
1923080438.8197556,2077,87818733921.39774,,50_percent_of_peak
5627878655.197795,2040,233227456048.44366,2086.0,50_percent_of_peak
3154933669.7699027,2039,149562474509.25085,,50_percent_of_peak
4040102334.1071715,2038,143414445268.26935,2071.0,50_percent_of_peak
2281153812.88683,2082,102967439760.30331,,50_percent_of_peak
2387597240.6614566,2038,79361718315.44016,2073.0,50_percent_of_peak
4313793901.932998,2035,160046324046.01877,2080.0,50_percent_of_peak
2676650028.9449406,2081,129310619485.89088,,50_percent_of_peak
2845223198.0586495,2081,135250931111.38315,,50_percent_of_peak
1768789934.1666834,2041,59713362741.09979,2072.0,50_percent_of_peak
2100287876.39097,2036,71704388075.70761,2070.0,50_percent_of_peak
2330184884.2460084,2077,110255792627.56044,,50_percent_of_peak
2416984962.7002406,2042,114357172492.20001,,50_percent_of_peak
3156466747.3866863,2038,78214569905.8543,2055.0,50_percent_of_peak
2532661236.4555874,2036,104590973886.95946,2087.0,50_percent_of_peak
2668520339.53313,2071,128306166864.90933,2086.0,50_percent_of_peak
5509618349.540009,2039,246112431687.1055,,50_percent_of_peak
3027442391.001142,2038,149885962160.60284,,50_percent_of_peak
1766128669.9425535,2082,80979298103.44455,,50_percent_of_peak
