metric,quantile,value,n_runs_total,n_runs_used,achieved_fraction
peak_emissions,0.05,1441602646.1001227,200,200,1.0
peak_emissions,0.5,2979509501.36991,200,200,1.0
peak_emissions,0.95,5185925086.551937,200,200,1.0
peak_year,0.05,2036.0,200,200,1.0
peak_year,0.5,2042.5,200,200,1.0
peak_year,0.95,2092.0,200,200,1.0
cumulative_emissions,0.05,53929313389.96185,200,200,1.0
cumulative_emissions,0.5,129249801467.76526,200,200,1.0
cumulative_emissions,0.95,243624090792.5228,200,200,1.0
turning_year,0.05,2058.3,200,87,0.435
turning_year,0.5,2081.0,200,87,0.435
turning_year,0.95,2090.0,200,87,0.435
turning_year_rule,0.05,,200,0,0.0
turning_year_rule,0.5,,200,0,0.0
turning_year_rule,0.95,,200,0,0.0
