Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,CAV Total Power (kWh)_p05,CAV Total Power (kWh)_p50,CAV Total Power (kWh)_p95,ECAV Power (kWh)_p05,ECAV Power (kWh)_p50,ECAV Power (kWh)_p95,ICECAV Power (kWh)_p05,ICECAV Power (kWh)_p50,ICECAV Power (kWh)_p95,STI Power (kWh)_p05,STI Power (kWh)_p50,STI Power (kWh)_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,ICECAV Sensing Power (kWh)_p05,ICECAV Sensing Power (kWh)_p50,ICECAV Sensing Power (kWh)_p95,ICECAV Computing Power (kWh)_p05,ICECAV Computing Power (kWh)_p50,ICECAV Computing Power (kWh)_p95,ICECAV Communication Power (kWh)_p05,ICECAV Communication Power (kWh)_p50,ICECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,Electricity Consumption (kWh)_p05,Electricity Consumption (kWh)_p50,Electricity Consumption (kWh)_p95,Gasoline Consumption (kWh)_p05,Gasoline Consumption (kWh)_p50,Gasoline Consumption (kWh)_p95,Clean Electricity (kWh)_p05,Clean Electricity (kWh)_p50,Clean Electricity (kWh)_p95,Fossil Electricity (kWh)_p05,Fossil Electricity (kWh)_p50,Fossil Electricity (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,CAV Emissions (kg CO2)_p05,CAV Emissions (kg CO2)_p50,CAV Emissions (kg CO2)_p95,ECAV Emissions (kg CO2)_p05,ECAV Emissions (kg CO2)_p50,ECAV Emissions (kg CO2)_p95,ICECAV Emissions (kg CO2)_p05,ICECAV Emissions (kg CO2)_p50,ICECAV Emissions (kg CO2)_p95,STI Emissions (kg CO2)_p05,STI Emissions (kg CO2)_p50,STI Emissions (kg CO2)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,ICECAV Sensing Emissions (kg CO2)_p05,ICECAV Sensing Emissions (kg CO2)_p50,ICECAV Sensing Emissions (kg CO2)_p95,ICECAV Computing Emissions (kg CO2)_p05,ICECAV Computing Emissions (kg CO2)_p50,ICECAV Computing Emissions (kg CO2)_p95,ICECAV Communication Emissions (kg CO2)_p05,ICECAV Communication Emissions (kg CO2)_p50,ICECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95,Total Vehicles_p05,Total Vehicles_p50,Total Vehicles_p95,Total EV_p05,Total EV_p50,Total EV_p95,Total ICEV_p05,Total ICEV_p50,Total ICEV_p95,Total CAV_p05,Total CAV_p50,Total CAV_p95,Total ECAV_p05,Total ECAV_p50,Total ECAV_p95,Total ICECAV_p05,Total ICECAV_p50,Total ICECAV_p95,Total Infra_p05,Total Infra_p50,Total Infra_p95,Total STI_p05,Total STI_p50,Total STI_p95,Incremented Car Number_p05,Incremented Car Number_p50,Incremented Car Number_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,Cumulative New Cars_p05,Cumulative New Cars_p50,Cumulative New Cars_p95
2024,288380.88821527024,747976.1231087119,1794707.2996224042,288380.88821527024,747976.1231087119,1794707.2996224042,0.0,2042.105961033235,11182.073655830294,283274.90640028444,744516.1964663053,1778973.5748931137,0.0,0.0,0.0,0.0,426.19543359572896,1912.6514374393926,0.0,1510.0566656714504,9688.87481433337,0.0,31.60717207653899,133.29814734783503,97069.23651107943,140532.82692586322,188506.4095836581,140722.7508789441,577586.8288604859,1599154.8150085928,8257.343952344732,10213.609466835405,12709.512074623879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2042.105961033235,11182.073655830294,283274.90640028444,744516.1964663053,1778973.5748931137,0.0,519.4626486822249,2812.1867804040926,0.0,1438.8585477602014,8285.421996625775,487365.5013148224,1235780.2969008987,2907929.770447244,487365.5013148224,1235780.2969008987,2907929.770447244,0.0,769.9607161785377,3862.412279194777,487016.111674873,1233723.474320482,2903189.6865568957,0.0,0.0,0.0,0.0,166.27310273976894,689.81605527211,0.0,604.7980079623346,3314.253004825235,0.0,12.31867815003475,50.432381949412246,159327.78152898926,229482.1404833364,317356.1076172777,234762.08847075587,954935.4941295922,2621088.126772292,13598.851268790879,17050.687014887135,20911.212717612707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10385000.0,10385000.0,10385000.0,4053.65,51392.0,202960.99999999997,10182039.0,10333608.0,10380946.35,400.0,400.0,400.0,0.0,2.0,8.0,392.0,398.0,400.0,171000.0,171000.0,171000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003903370245546461,0.0049486759749638905,0.019543668753009145,0.17611052917264183,0.24251857721462555,0.3260573768111157,0.0,0.0,0.0
2025,88789727.30822591,134294206.80280128,195652331.60071942,34769300.19534126,65516651.82223233,118902012.8234069,14897.534956900761,202130.3729870586,1028195.3043043503,34612874.065071315,65395082.55360439,117976805.38503294,40482480.87994556,65526282.088473186,106318759.30841577,617.2016515802487,8499.856444847894,40271.617294014766,14210.573544963474,193278.31798491947,985255.2844169476,46.48864301242,654.0239033850067,2668.402593387782,1524022.8844690246,2724518.216752164,4766998.128887466,32825818.041790407,62277901.48630889,113016056.49457674,123787.61596624121,204137.66188822157,329850.08597209724,614527.671093361,1055631.213511698,1821416.9748845536,38821506.3350653,63496620.60639149,103256636.9250771,736845.4082589592,1099967.41130062,1585157.333031761,40528658.335432276,65673176.223770134,106344332.59993573,34612874.065071315,65395082.55360439,117976805.38503294,9776146.003760166,16216760.140850337,30478241.145857386,28718705.443860285,49302833.0963484,79996295.25743082,80431346.14581148,133400934.66404626,222065561.39652365,57962990.094323024,106961028.83702609,198833268.8446157,6145.839628379583,78602.15642399735,366108.7471835182,57936340.879054755,106881563.3972165,198766406.49231967,14141515.960391182,24692523.032918774,43353614.79083342,254.69293358070718,3393.5166853060846,14925.269452767549,5871.889994665023,74947.65519537665,350781.6007874501,20.117477623157367,247.66695183330228,1070.8706218869697,2608628.752047463,4541260.311587317,7855331.364796736,54914412.38658734,101752492.5993225,190461429.30355918,203647.5298856815,339278.50119830185,546518.0786742922,215207.38928146302,408170.1179553962,706330.7113718983,13570634.969290413,23862940.645229965,42196615.41430353,253614.4898215947,420457.0759843618,639100.6919081064,10388989.726725552,10405858.47171892,10423638.70014212,4134.773416850253,51803.29061372447,205680.40058623216,10200377.199341604,10351775.572708398,10403737.026285222,5386.261608429067,7926.00557143566,12040.280075074863,3.0,41.0,168.5499999999998,5296.761919996147,7877.441715075784,11933.830075074864,171000.0,171000.0,171000.0,1089.854715499513,1669.0985923728438,2272.2527748996617,641393.8350739767,828043.9199963585,1068073.46762023,0.00041934135158134183,0.005295752950627725,0.021203815449281745,0.18490877091449814,0.25366030438860754,0.3420234083504745,641393.8350739767,828043.9199963585,1068073.46762023
2026,178760785.03060815,287369272.7200514,451259962.2330295,90251192.89292878,165479855.09671545,308131615.9099002,44394.07497357333,545438.6170561339,2905680.2754443404,89134134.07829282,165214833.37440017,307535824.537869,70337345.04328959,117415197.996176,193224314.0796378,2045.594004386667,26335.657471675164,123261.10443324206,41906.298231460074,519493.4640424698,2774251.9350058697,154.5517721559594,2012.7780412095203,8352.51689970122,4382592.497322841,7835030.565587444,13919310.38178475,84677274.85232347,157533717.30195522,293734204.4989268,353111.1645819015,591197.5091669507,963055.610350724,1225279.14319321,2101139.587551738,3621908.7279129582,67288575.73478423,113438243.2173818,187137832.02756992,1469156.2551466422,2189614.9442885155,3149543.1358937966,71419825.14176257,117834590.19083346,193305547.15048805,89134134.07829282,165214833.37440017,307535824.537869,18807076.020839535,30807897.349289324,58662977.50699517,50803234.991243094,87579061.35007629,141515595.07105646,179837031.3629671,320976033.9488449,569490350.5401137,146660798.59959772,273517933.44924617,521629750.88294137,18285.025053043246,214527.70833932734,1022997.4353271151,146148039.4807112,273121951.2045192,521155368.896445,24339223.323224008,42604991.66355772,77723340.61090505,834.3916167025071,10376.324696109716,45840.09377513948,17392.243574970857,202796.9287468694,974386.7252471428,66.85187839669202,749.9643505275737,3311.2256998674284,7438408.152638611,13132039.082705332,22854644.676724035,137666313.69147268,259730118.17996922,497245867.7421808,579336.2334014418,981365.2375837307,1600072.4414084714,423232.3469536971,798657.0725412485,1370778.8458066361,23304148.807079338,41025361.656239286,74791443.69016719,498922.26137598994,825866.8251213359,1258666.3913832349,10392980.98638547,10426758.838522546,10462421.171107039,4249.3716784582075,52570.74910175126,209860.4318021692,10227010.791630723,10369956.50234399,10433260.46733836,15333.538770610952,22947.137975890233,35281.05824638599,10.0,128.0,519.0999999999992,15051.093006771209,22790.935007794855,34953.15824638599,171000.0,171000.0,171000.0,2172.7633297913335,3321.9054296176346,4514.311536726482,641483.7377076801,828127.1477429699,1068160.7036321273,0.00045050093142343605,0.005667295238561738,0.022998189636800247,0.19127546460537956,0.2669339809989716,0.365484558691876,1282877.1110845054,1656167.3976446732,2136221.93720889
2027,268661862.48542756,452030851.89119816,744485858.9889458,155016072.9735962,286558826.76393527,548432950.2836044,83084.29882330578,999825.9555078358,5529972.090221522,154904513.16354007,284989294.9876374,547285178.4841986,92583834.27137315,161124703.1257543,265209741.58933383,4295.866486297754,56072.148367758986,260744.1082974125,77625.5703992527,943814.2665941352,5226667.562755216,324.56773795377586,4294.292090430761,18094.322801173625,8650709.603853898,15512930.1183914,27635428.584123507,141251734.18963656,268076051.30065727,519888407.39392036,695873.3620875806,1171678.247169783,1912107.2436971217,1836007.5417737653,3146830.7358503565,5422154.286756831,88027183.31436014,154454356.02336544,255990104.7331738,2201439.3678876045,3279166.411120498,4713660.319195198,94429111.96449585,162550613.77651227,269069058.942851,154904513.16354007,284989294.9876374,547285178.4841986,26064760.29236825,44400891.836780086,85176083.89068823,64779677.806555055,116182801.91076285,191802024.55176118,299440761.3789488,539687562.1461945,950854043.7926722,244605222.36848855,473630792.6265501,925593140.3286805,33527.06941797357,387411.1335266108,1880812.3761771002,243981536.7027957,473252859.8205619,925189176.1069129,31680139.483754244,57031302.80360755,103088186.8660545,1719.7009033969937,21656.313672242388,97316.17220079663,31690.560577644934,365541.38999648683,1775120.909248444,138.47527069197002,1562.514102395604,6950.363699268056,14627442.551261459,25984701.185362726,45335780.30107824,227024570.43474913,447986093.93461096,863775598.459438,1140515.7337765198,1943544.3803487183,3179370.193707541,621465.7115969178,1170752.1071860122,2011593.8150858022,30034624.509912573,54633452.58874126,99624040.39734791,741355.2402428918,1215619.729732133,1856452.8434613133,10396973.779568795,10447701.18455974,10501347.947893044,4398.848515167824,53423.46799926701,215298.47951633777,10244982.028561337,10388256.327621816,10462922.810659422,30242.50021253924,45463.94451346581,70123.06669612406,21.0,270.0,1114.1999999999985,29591.969599603857,45126.8026518403,69436.91669612407,171000.0,171000.0,171000.0,3255.627955820557,4974.554798297691,6755.974404488463,641573.9525284122,828210.9415654689,1068249.005988746,0.00048397592122171896,0.006049583201303959,0.024887293263225092,0.20124508739580396,0.28012640176872283,0.3896613220196112,1924450.4383339428,2484373.393667065,3204455.1092182347
2028,354426502.3053131,622162742.4809549,1054922519.8743508,205849681.68667173,422729139.09291255,816141032.4850072,125824.17322500788,1574436.5717255725,8543199.529149327,205693293.7255884,420138289.38380575,813414713.3909255,109858722.98863502,195883928.07040054,324459133.18874985,7773.512468014086,99248.92688621188,472857.56222863257,114847.42373415122,1481118.1321811725,8012106.672219923,587.3160800745522,7606.581199891533,32394.201840868223,14299152.549008362,25732033.528391965,45912626.51616538,183059013.4742727,394874877.6321335,767411037.0013535,1151766.4913488566,1945067.151312381,3176899.8467132575,2446689.512967171,4192605.25427414,7221916.778704185,104072651.27016306,186364407.0211369,312352748.9561829,2933666.675187596,4368523.971389659,6277233.408565902,111710640.60791932,198703892.32039666,326488907.94197726,205693293.7255884,420138289.38380575,813414713.3909255,32827480.019990172,57099196.60407343,110178880.80578117,76948599.88931176,138152672.93956208,231963152.80365282,395220182.025992,760208558.6372361,1357106189.6928914,342773811.17553145,691519610.2968326,1292620135.0944963,52419.8538479881,589049.6984319054,2883487.2909386386,341854241.6613085,690356553.4948752,1292018900.2222242,36377533.9391428,68214767.56826249,122750635.88905148,3049.4322013476963,37530.65745262726,172063.82300532816,47707.96137059742,549575.4399950707,2699697.367173505,246.91483443945103,2691.9704264241263,12061.059526872392,24203255.87523903,43047715.00314984,75297232.5159764,313590922.697493,643124000.6224749,1201126425.6966524,1886710.6894965295,3225406.1361032305,5284439.374640584,810329.4568887611,1512850.7507529003,2637485.5037290487,34207026.25917897,64641791.66484969,117518905.38582784,979850.6897521347,1589000.7770653456,2409427.1871653926,10400968.106864793,10468685.594148388,10540419.56748941,4584.19215997558,54573.443186607336,224741.15215742413,10250280.349401934,10405335.586481128,10497586.941565849,50113.82117732206,75476.98494744561,116567.08320592914,38.0,477.5,2002.8999999999976,48925.031203045,74872.39262749921,115365.03320592915,171000.0,171000.0,171000.0,4338.404051771896,6626.886215961881,8996.835243097783,641664.5033674857,828295.424641843,1068338.6279059674,0.0005199383797713024,0.006424667088059692,0.02684989060336861,0.2122366192883156,0.29333478121279616,0.40470708039481396,2566114.081638376,3312662.14050629,4272773.225533369
2029,427760344.4909698,787869153.3834581,1386975741.3215785,251471870.93894354,560616698.867026,1097982676.961037,166815.96625757587,2262938.9711166443,11934399.095791053,251022613.35814714,557887070.4291723,1095590395.9157321,123186405.46922256,220808301.03505763,374255339.7843159,12666.008221239574,157557.40363337932,772888.284501495,149526.96526378815,2099125.438509061,11080689.197922418,956.8196659215855,12264.704368999735,51423.78037365101,21384302.079384528,38482777.18567386,68746494.3143886,223588567.82137406,513929670.26099384,1027577791.7017553,1720227.6961753007,2911146.3780829655,4757224.328640861,3057324.2106700367,5238225.574367609,9021179.800842755,115289720.4490814,208166789.62868685,358999818.0879141,3665837.159521002,5457682.253920698,7840241.583252795,125736003.94936354,226330800.13976094,383057246.3194513,251022613.35814714,557887070.4291723,1095590395.9157321,38368326.80863904,67787192.31075263,135775035.90019986,82938098.53309499,153442984.74730036,263736918.52629268,478600443.35724974,984225487.7887197,1843510707.586201,435901115.5339423,909401090.1070282,1739814336.3056715,67090.4225001024,821377.8997495174,4025941.1593552153,434688468.9920273,908910252.6448568,1738910427.6813242,40646186.78363027,76843253.46445066,138780747.87340117,4859.812851165,58930.53560137545,268979.72979024396,59884.03227854244,749550.1707830988,3728365.2017032844,384.35591514678885,4238.792646500207,18858.23615284303,36161288.9068084,64257742.374928504,112727513.16818824,384576578.4051233,834344237.6611781,1642530002.164892,2816817.5960092563,4826494.686021734,7915090.091989515,986432.9306820347,1840611.1657697463,3262022.657235826,38242891.781130224,72849844.36465639,133100680.84332162,1214104.0686869852,1948797.4750763427,2924082.692821334,10404963.968862956,10489712.151775736,10579636.568883814,4781.343275948998,56213.278586408094,232940.187503791,10252272.346942797,10419168.186469264,10528649.734128842,74948.18556200962,112986.83953647822,174613.953158006,61.900000000000006,760.0,3246.1499999999965,73140.38373354118,112012.08891720966,172718.20315800604,171000.0,171000.0,171000.0,5421.089946652431,8278.89055589227,11236.862941429732,641755.4258287076,828380.7665000167,1068429.904388727,0.0005551281397626765,0.0069536084887554675,0.028652268090903425,0.223066264463416,0.3066203529529679,0.43135412109913535,3207868.3065926973,4141033.871260163,5341176.528730868
2030,485780832.5625048,935006485.2374809,1697853770.933615,299694347.26862234,685579824.1811907,1387644229.114282,215744.08922963068,3017671.6579618836,15951433.13504449,298156922.7641569,682118061.1897388,1382610114.2559686,134033563.92506395,238979875.88848865,420661398.49374354,19186.182285691324,234394.366544962,1165644.8754358871,193088.3615408081,2756518.4822732266,14661969.937961312,1449.229272768699,18506.779829986008,78514.58126713021,29884842.520298112,53753924.77979596,96131599.53017363,257884890.8288794,619754629.5027332,1288101005.9857101,2400539.4955916954,4069652.7706493647,6652815.253614844,3667910.768337198,6283687.822720469,10819926.212734438,127046776.00435843,225085582.7574954,399814090.0813072,4397949.778776495,6546635.690766086,9402662.974670647,139458401.5878349,248323613.51064426,430946972.86456466,298156922.7641569,682118061.1897388,1382610114.2559686,43633182.43426304,78390203.73022082,161532838.72628087,86788831.34226738,165585194.51704347,288587829.91579527,566263681.3035873,1215558360.478053,2349115268.658977,515586984.7860219,1107984414.7902846,2235834723.8256817,80172.26292967227,1060699.5385714406,5295288.674959679,515288461.2401499,1106929458.5986927,2234640490.7617226,43503402.50368343,82442514.31922081,151763949.14655423,7187.500522305062,83978.27370228077,397048.8391414589,70179.64809029497,978418.1870831893,4870361.919245821,561.1427197826879,6261.528222574696,27481.600336744443,50497489.81423458,89591901.10247892,157613830.80286345,438373960.1974247,1016767767.9788548,2099881872.1450396,3929613.8359434647,6746321.785703645,11071215.645140171,1155011.3628045628,2161653.5614655963,3872062.6775901346,40497125.10602434,78254772.63554832,145054932.7473194,1440949.0823927058,2293675.9431410856,3454316.5835543238,10408961.366153013,10510780.94209873,10618999.493069762,4965.840183635127,58539.22932356704,242382.1379423737,10260733.198985178,10435928.748859284,10559791.790771483,104746.28902581565,157994.1231968552,244264.62225294136,91.85000000000001,1112.0,4942.349999999996,102178.88700394871,156530.32734000566,241471.32225294138,171000.0,171000.0,171000.0,6503.683927683684,9930.558345539772,13476.024801552134,641846.7734539504,828467.2010798939,1068523.2814779878,0.0005907548505496309,0.007470655656572045,0.03046554077860644,0.23275539284433375,0.3238186388879297,0.4532059098977134,3849713.3795729033,4969488.8196834065,6409665.262080758
2031,541685797.7459642,1073796468.7787204,1995930956.4291337,336931864.0386258,805283188.6493247,1684900031.7001839,273547.140333154,3845827.980005498,20724368.43473691,336231684.02542084,798455446.0177433,1665727443.8728495,144944575.59801057,255563351.81092507,455892592.09094226,27538.244433160497,335910.66072136955,1639292.3752099934,220280.14040920144,3520301.5650079027,18415965.41887625,2079.973700011514,26609.358321082615,114257.24692739255,39796329.172032095,71532834.95762125,128062727.40800494,285654927.14001644,711066281.2261758,1533217670.7781782,3191976.2112713926,5420237.702022427,8863446.83358689,4278448.298373499,7328987.997304762,12618138.095636792,136800977.2289262,243019826.89993885,434039147.6939204,5130003.465525695,7635378.508354742,10964474.60206923,151835183.07534102,264371476.75317156,467075872.9562188,336231684.02542084,798455446.0177433,1665727443.8728495,48415849.14934858,88572413.807046,187006337.83020264,90190565.4527328,176142631.5058864,307575474.46059066,647257545.7678415,1405431448.0882764,2861681976.2379713,577874753.5641112,1314166740.5982275,2741181046.605305,93458.51686384076,1325728.1072679502,6596742.79852376,577732699.1587,1311595401.2832563,2739809065.4678736,45405176.997967474,87584253.35079288,161714319.3233812,10052.382183717176,116648.9411675387,561975.8216294361,83191.08862515088,1216285.6598329477,6023226.567799877,780.6455303838753,8747.084262459168,38076.051848853924,67207721.44422434,119158954.90962118,209947904.79712248,498548795.4912418,1180172493.3981476,2560341121.5686255,5223710.055021747,8984213.008174475,14752604.881433763,1308543.699536328,2467182.5482498975,4455865.132510617,41912449.25884802,82500984.97978687,154016765.27994058,1655468.9047288077,2621388.059999805,3923965.9639474284,10412960.299324905,10531892.04994435,10658508.883054065,5177.271803572387,61363.44229935946,250517.64517574356,10259819.235914676,10453471.696771804,10593215.522292603,139508.84350316194,210499.51055903293,325520.1852454115,127.9,1549.5,7195.099999999996,136032.66538795072,208407.61873967206,321601.03524541156,171000.0,171000.0,171000.0,7586.184239015569,11581.87975046432,15714.286440014102,641938.6271497889,828555.052023069,1068619.3575522145,0.0006352924916666801,0.007936513089148802,0.03276370250903245,0.24042300349748974,0.34028783842986476,0.48109458266828214,4491649.567738389,5798027.22018951,7478239.669548499
2032,591418418.1019357,1192958946.0657635,2306957824.092365,373219329.2162546,912065076.049391,1957690177.0065384,318573.4154171344,4773084.88091477,25476098.777869996,372409196.90216804,899508530.3691193,1933945291.459377,154071216.7120058,272274888.74528253,484055313.6058383,38318.327997377215,464470.2330567503,2249814.846413508,245995.22974255172,4209867.168146364,22257880.671166748,2893.9513519139123,36857.10297315188,160375.60084412582,51117282.11889053,91805000.91524148,164532951.91827154,307860237.5912953,806360514.5946777,1774901992.772317,4093629.7377440203,6962569.7886381745,11388791.828498488,4888935.89149871,8374121.96218524,14415796.708677566,144765357.69197068,255261017.1503047,462510583.5077625,5861997.126259582,8723904.71808973,12525652.302964102,161085571.81216457,279811781.33403313,497508843.96626085,372409196.90216804,899508530.3691193,1933945291.459377,52864685.77680107,98159544.19741064,214497848.02278093,92389769.77885108,179188843.60074168,321671201.71513927,720069409.5963107,1598572370.8937106,3372004954.55422,640808360.447754,1501601776.7914681,3246524709.461801,109920.88666143897,1605014.4463663115,8098955.517779868,639588817.9715573,1496875025.4557457,3244866946.229242,46429144.75079457,91117025.16762507,169146577.58433494,13597.888297256055,155066.0798201766,770565.8970525761,96151.8530566154,1439300.6609552028,7266845.95749059,1046.0089286026814,11596.404144383796,51090.92409340238,86287201.7123573,152834365.1234128,269716500.9182733,544242354.6292332,1328799558.7969184,3014290991.6841,6697435.687273503,11539541.957952943,18956370.75618946,1450732.6426915613,2733660.634352121,4969086.203539767,42723740.59930007,85252895.0189213,160503625.77808604,1861580.4712620939,2914440.700746217,4372973.206211452,10416960.768968806,10553045.56030997,10698165.283864325,5415.596124766098,64224.365359234595,263934.7914353102,10261707.48174215,10469681.476812834,10626640.28706548,179236.58374765556,270503.7804343838,418381.9587800283,172.0,2126.0,10103.749999999996,174712.5076521841,267623.0828963232,413076.2587800284,171000.0,171000.0,171000.0,8668.589080382042,13232.844557249002,17951.6116810072,642031.1096062803,828644.7681477601,1068718.9424879372,0.0006832495196603425,0.00841045049303726,0.035327151818375,0.2490469284431293,0.3602466484987785,0.505810700443621,5133677.139034246,6626649.307852581,8546899.99579698
2033,637995644.7086524,1327907360.9676132,2599059847.2659955,406527438.73442596,1012386824.5277627,2218274873.8248496,365681.1976015718,5670201.174259294,29475713.755178094,405605423.21948195,1008331848.4403687,2204440100.635426,161738560.36193314,285362523.655095,511680713.6694786,51730.08088713805,624471.7126620265,3085167.70366748,269723.39798496536,5041455.515112154,26552835.903087948,3895.721291487372,48711.9426860495,218831.50533530072,63845115.314865634,114553775.69220504,205532909.16510957,325710143.49523246,893554359.8118114,2024262188.1655552,5104475.010660944,8696179.010239545,14228379.000828756,5499372.616089604,9419085.441970907,16212882.442089546,148345742.4326181,263281404.32444113,487522501.1983611,6593929.640597416,9812208.106434703,14086170.658430995,167099708.68214595,294739240.3484687,527605390.3154816,405605423.21948195,1008331848.4403687,2204440100.635426,56980473.169999994,107011806.64115362,243152099.37905866,93699812.08314388,183715495.42405328,331746049.15530837,786207787.4965957,1772892546.2236218,3873405578.3321395,701391978.1156921,1672021876.0070422,3745089832.1325183,126262.19949964303,1901016.853726223,9461647.177976811,700037224.910418,1670647833.3394387,3743148421.2125463,47150324.385963224,92696670.69054767,174478916.02333084,17800.39879740351,200171.649927986,1024915.5052776606,108271.82403248285,1681823.642851587,8533137.60451982,1344.7702396758848,15065.672627165415,67943.63693599023,107729395.64706305,190576281.70307517,336904532.6304565,581332383.721473,1450751557.5639868,3428987502.219081,8348992.269642172,14406998.683762506,23682956.13296329,1578636.6829090058,2996059.518686222,5346407.273741571,43099678.05847937,86201588.46371871,164936601.0751176,2007685.5692219033,3184891.2709105844,4820960.854597246,10420962.775675122,10574241.558363676,10737969.242556458,5680.146962007463,67791.7125448604,278584.1943314315,10252092.310274564,10487577.440890579,10661692.219550153,223930.27681240448,338007.8949351348,522851.59079868696,227.8,2848.5,13719.999999999998,218058.9928600338,334151.99806490936,515625.35536883184,171000.0,171000.0,171000.0,9750.89660570669,14883.44215545675,20187.962441536063,642124.4073589359,828736.9732988263,1068823.1436593286,0.0007276279898274172,0.00903183346729635,0.03809120941887199,0.256582025012886,0.37811958624446784,0.5296278553886656,5775796.362193582,7455355.3184092045,9615646.486188509
