Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95
2024,703143.0595080191,755108.0998428626,802371.203198958,1156001.2672596239,1241434.312026229,1319137.1445230714
2025,57244067.045629,59610404.03998549,62528940.74416831,69350419.5424226,73171440.27176866,77776808.00570351
2026,150175628.91932592,157390348.4392743,165888594.29010728,197320344.45570907,208872137.22650978,222358025.1014033
2027,252461702.5091272,265504546.47358513,280358422.6848666,345591165.34316355,365926943.40723604,389809608.97468275
2028,356302551.47638744,375559812.4108436,396803685.9990936,499917163.31741995,529596254.96072304,564113935.8634884
2029,456698520.7265043,482327211.0307125,509593295.39852965,650662833.3576491,690447212.4825716,735274042.5306162
2030,550750185.8173404,582745522.676068,615519988.2217135,793051593.4821731,842830583.9506986,897744537.0648642
2031,637084722.994825,675266442.0935376,713975512.7450159,924381664.3436385,983996395.0184374,1047698952.3280671
2032,715483769.9070834,759294123.0595512,803611453.5342252,1043675008.2052871,1113259638.919102,1184703427.8096025
2033,786053889.6002007,835187819.8060327,884083079.3932288,1150936614.005409,1230878720.377572,1308497186.3003964
2034,848903984.0879906,904649105.485219,956455877.2891371,1248037456.4370203,1336237570.272929,1421158173.4672737
2035,906551954.1250144,965882410.6368899,1020606364.4622061,1334445953.5951,1429588764.4476771,1522725727.2726479
2036,960044259.509835,1022899051.8245652,1080372648.1988692,1413291746.9574015,1516749351.0174809,1613046646.8804123
2037,971561386.483823,1035558003.4303675,1092620724.5522733,1429783309.4833403,1534005857.6346018,1629756326.7065644
2038,945560274.7103246,1004742686.9752364,1059898258.3102864,1380326168.4352536,1476941956.4385118,1568248611.7881193
2039,899404550.8297004,956905368.8157705,1011617073.0678648,1296459454.2645853,1393628642.348651,1485122357.930528
2040,844549138.8816067,901935554.6436975,954713992.2954195,1202107731.7902634,1297828668.2136889,1382602141.0312011
2041,789355876.7427047,846639896.8737155,896484971.7864913,1105736886.8414965,1200441922.8893497,1281838855.1925292
2042,735945686.3091301,793225992.3111811,841238255.9749215,1013695377.6356925,1107501317.1427531,1186443459.366082
2043,684303662.5039893,743071721.1552258,791886968.1003495,929819575.8624557,1019402023.0411235,1096557015.3889024
2044,641925383.7821046,700012118.0382578,748564359.2004623,852408411.1662283,943366164.3900394,1023298140.2544181
2045,604294514.0127581,665599778.3346525,714118240.5130467,784117127.8166991,879957070.3727157,964265709.0788583
2046,573186825.0406364,635608095.5923142,688574767.6126122,726442281.7258136,828615782.688534,914654802.0452942
2047,547795647.8318434,613606364.2368948,669493245.5456134,678968223.922582,786002151.3017197,878690855.890698
2048,526954559.3992493,595998544.8289078,656126989.7183815,641631418.376029,751701822.0436337,850364112.5458001
2049,511059533.92424744,583696698.3188362,647726701.5329182,610107791.5724604,725199933.5092952,830118645.3611162
2050,499763588.344055,576058714.9823728,643866008.7868816,586750584.1025805,707257242.7583499,817187149.3958158
2051,492671931.00777996,573205584.9645972,643948931.7134258,569745293.3067523,697313836.4669516,810490949.2543284
2052,489376727.37052417,573893137.4671495,647366472.5430412,557852147.5840154,693063185.8749666,809365320.3951372
2053,488560549.8338891,576554346.4493868,653606851.5647559,550268862.8258681,690945576.4461501,812821329.633861
2054,490350602.2657382,582813969.980859,661221496.1042382,546550813.1988636,693629170.8515736,821411931.2721456
2055,494210370.9352969,590869299.6695356,671489438.5916036,546036339.7155554,699032499.3732212,832176888.0018157
2056,499774674.93577886,600123236.2085705,684433186.6451874,548150043.9956702,706670612.6614621,845383083.2157669
2057,506752586.27560294,610488650.1464119,698722776.0376246,552396573.6956344,716173727.8006666,860605491.2786428
2058,514802327.044523,622207805.6365514,714111835.2747724,558351552.6939452,727726462.9810994,877419867.704949
2059,523308639.7436587,634965281.4181141,730044614.0399187,565859699.6748816,740191554.9774632,895418541.131246
2060,532694928.3947072,648508999.9790502,746749220.098328,574287489.8217862,753596665.3220799,914339177.8353367
2061,542929206.2860724,662634321.7935786,764246468.1085348,583208141.204382,768169523.228148,934186746.7983812
2062,553943264.1328647,677370914.1924479,782248312.7663695,593001257.9631333,783267851.9832343,954468855.2570796
2063,565371233.5208579,692528625.2569041,800649456.8155022,603172372.9529233,798635922.570857,974985171.7047468
2064,577128287.2810105,707892171.3419791,819361862.3810953,613556561.4475439,814162886.9061348,995561868.3857062
2065,589150203.401935,723523024.0999117,838310402.6936044,625232031.585908,830969582.9525232,1017338194.1231768
2066,601372733.5765032,739362904.4344475,857432648.0800076,639274689.6464131,850173970.9610422,1041460130.3561414
2067,613745137.8534375,755367682.0660045,876679075.1390357,653416958.737257,869419592.7990372,1065528474.2263497
2068,626226681.1677549,771557745.9684736,896005457.6850594,667578723.6383297,888616953.8030409,1089453089.524389
2069,638783226.0595891,787808322.1363034,915374181.300474,681690543.9885349,907687567.733899,1113153683.0810065
2070,651386019.2587641,804088202.7352273,934753000.1027565,695691545.200324,926561720.4675295,1136557714.990768
2071,664010571.1332573,820370490.4031359,954113815.6637646,709527160.9206709,945175937.7661572,1159597834.1220596
2072,676635808.149792,836631715.7463864,973431801.2953775,723147611.917639,963471352.7488787,1182210324.428242
2073,689411993.5390011,853010295.0123534,992881456.6365911,736691606.1403341,981640517.4007306,1204640190.1074586
2074,702189530.2246559,869327735.3709675,1012244767.2765001,749929491.2950042,999380312.8914518,1226518878.0332854
2075,714917374.551822,885566655.9538839,1031502507.9615699,762819125.3985354,1016638512.7310283,1247786791.9679208
2076,724825024.8331932,898597827.9060476,1047360466.6692604,773878048.0124071,1031454838.5748432,1266054653.9212246
