peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule,run_id,annual_emis_2030,annual_emis_2035,annual_emis_2045,annual_emis_2050,annual_emis_2055,annual_emis_2075,cumulative_emissions_2050
2943639502.3247457,2042,139766025411.18024,,50_percent_of_peak,0,1028542793.3335267,2047716207.6139853,2771638991.262349,2309165625.8457503,1976795178.9091763,2170201002.247935,51095057286.72537
1942480629.0569844,2078,98084686111.31319,,50_percent_of_peak,1,884790937.1950343,1588261023.3761065,1232717555.1698573,1182743292.7365038,1271126449.550894,1909192108.82787,29862101532.051517
1430635683.8317935,2035,69205084377.08846,,50_percent_of_peak,2,911202618.0602969,1430635683.8317935,826700274.4217672,781809905.0921481,840969573.531364,1233532733.232698,24098573355.302467
2840882307.689253,2040,113964758675.33339,2084.0,50_percent_of_peak,3,1086469537.5201027,2229867002.811546,2539282791.868754,2104528214.8781192,1765701429.7750716,1566333380.8815863,50575516008.51487
1275108208.5245903,2038,65289256011.32398,,50_percent_of_peak,4,662442825.28877,1130824779.5366447,897099027.3782532,751089646.0496765,738812915.1137955,1141107476.587922,22194270906.303455
3472189361.683717,2086,148164484149.43094,,50_percent_of_peak,5,844292666.9442611,1517758397.4615102,1583209371.1295803,1573685401.1728861,1744808165.1451542,3091276795.8687,33842917950.036686
2566367886.1891975,2078,125376036423.07758,,50_percent_of_peak,6,961183283.9701163,1682866277.6850038,1484236320.3899117,1516746855.9188237,1692198151.9856184,2534198820.3877563,34314294497.29741
2580371475.264662,2036,124860334588.50464,,50_percent_of_peak,7,1454882899.9145994,2435009506.3793974,1595675041.1118047,1393906127.8093545,1450686743.7231395,2217924265.2832475,43709173211.9749
3584776096.0614195,2038,137168276396.58727,2054.0,50_percent_of_peak,8,1595914591.0871758,3034574326.115995,2738254720.9505596,2068198739.1519415,1703227720.9852412,1843249338.5703197,61755974425.567215
2295393958.120806,2085,113195237865.77328,,50_percent_of_peak,9,1203253833.6394653,2052103054.0229685,1310924907.1166697,1196109311.4941769,1267167012.8228416,2074394020.5124068,35642009314.49855
3880271870.790865,2077,188186929960.62192,,50_percent_of_peak,10,1961104716.089942,2898787976.7264056,2044699521.1315236,2205892513.5600443,2539065722.4802427,3860969301.8515654,53724977615.17753
3593498410.7558346,2084,179987824158.89847,,50_percent_of_peak,11,1377030774.5358524,2746167711.3107696,2519163796.022642,2261495905.8494124,2232403550.648543,3302350675.952934,55154088743.690285
2195901591.781222,2089,90846406752.31343,,50_percent_of_peak,12,518225856.6895722,813788655.2024854,891118335.8019499,943248774.6947551,1098937270.650579,1910804337.995082,19308961500.42957
3819227994.5294538,2040,190099563189.71997,,50_percent_of_peak,13,1439437009.1071367,2987198040.179973,3478564549.9553294,3043560352.455113,2798847259.9411187,3113808468.1297326,68716907216.848175
2871793154.581499,2081,154301751854.65753,,50_percent_of_peak,14,1117938753.7512581,2220046104.9694195,2395852363.4638915,2127189668.2935512,2060101549.7526443,2748390739.822929,49394322175.21898
2124092539.2466998,2082,97737501077.02316,,50_percent_of_peak,15,746423091.6189952,1168260679.281733,1161601278.5285418,1034388091.2499976,1126796098.8791356,1988214762.4371846,26132103371.34339
2127374518.9689817,2078,109463221887.51648,,50_percent_of_peak,16,1113613794.9737043,1934761928.1420002,1329640141.6647637,1263756918.1955678,1363501745.2570941,2090378291.6544175,34552257312.30296
