Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95
2024,272079.5917773649,677224.5340780369,1801354.42674942,435610.30640583625,1141556.2215356454,2972131.861092212,0.00041116514203177665,0.005625999037072701,0.019112633606162735,0.18215079219808855,0.25950263374195764,0.3423254932710179,0.0,445.98687922703056,1832.9761354395937,0.0,1844.0423295829914,8702.084796403045,0.0,33.697859247588326,159.77285996761972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.13941115481805,745.1990267214936,0.0,664.1699067646191,3551.11151787199,0.0,13.092258551571248,58.25173567475891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,73763408.51218978,104672610.04477236,175994572.81595892,73841916.07947628,105979295.61177304,192533879.88061175,0.0004358350505536833,0.005963558979297064,0.0202593916225325,0.1894368238860121,0.26988273909163596,0.35601851300185866,642.8114486859124,8554.191976459682,37218.133337732965,11287.747075260671,195198.5789052674,789061.3605962574,33.77809987026473,628.2642840665453,2508.973375625431,397812.1534827151,736295.3821878671,1714262.264610953,24880986.684171222,45883505.052723244,90764059.54920472,400201.0719440346,734865.7016483766,1459402.667220974,233.46724630933878,3180.3841075387627,13646.656912303517,4092.5068233045317,75323.1104199627,310907.21897844214,12.258063685968938,225.36723935978952,908.2583807134744,138979.49677711338,266405.1556491843,669351.272519528,9313889.162278423,16863951.327794656,33139821.90707568,129416.10592839899,285689.31030029606,566863.4009459519
2026,161872997.10619116,225311609.73614877,377403725.2308954,167680255.5359191,254832884.94850028,475355112.0561902,0.0004619851535869043,0.006321372518054888,0.021474955119884453,0.19701429684145258,0.28067804865530144,0.370259253521933,2089.2638984084097,26502.696066706932,113378.94376894229,35840.53289824332,534476.1172774147,2104495.0204711733,101.68240116588292,1904.1217171451344,7645.02459169987,792894.2235591763,1467537.7568509155,3416759.984268694,44393892.46288687,81751853.06626244,163106873.43485054,797655.6659433554,1464688.207305049,2908789.8259414122,807.3749920492371,9539.527342823327,41184.163185347046,12837.10308957916,207085.95636908273,805316.4469442731,42.23176157892522,687.6864038851763,2740.7986306022312,272207.5052494962,523631.3524490427,1314542.186096249,15871818.364973955,29699961.787218183,58742644.315306075,254705.18515227493,562589.7958811999,1118443.044819766
2027,246178054.23164278,356075817.5829042,617204205.9104801,263770756.24448165,442398811.42511386,831974040.9160496,0.0004897042628021185,0.006700654869138181,0.022763452427077516,0.2048948687151107,0.29190517060151344,0.38506962366281033,4436.556331023293,55454.32392263379,237385.94205048098,64598.99173817985,999651.8368672426,3775332.9957352597,215.88914049645422,3992.011064257509,16009.475859302238,1187957.6863486003,2198745.691994204,5119177.520931181,59374586.45513407,110850635.13445139,221164046.46442217,1195091.5409162382,2194476.3403139156,4358108.722483095,1591.5363075226273,19723.773937602513,85373.8556094966,22777.857349370854,383841.96366032225,1401985.6667848392,83.33636382379764,1427.151987448361,5680.756070280238,400360.5226747652,773079.5268344671,1939030.6695547372,20500468.141731292,40178644.24841135,78658734.89942679,376566.53164376365,832378.0303848572,1657959.6051349267
2028,322370324.689067,492838230.2162379,855587055.0224591,355897682.3620199,640421093.9238149,1227130417.5690098,0.0005190865185702458,0.0071026941612864734,0.02412925957270217,0.21309066346371514,0.303581377425574,0.4004724086093228,7715.012173451692,97531.93059093348,417158.3945762294,99713.05940015586,1514084.4983732016,5675603.588249794,393.30962950287113,7018.579274013508,28132.117134089425,1582983.682681196,2929884.281897765,6821433.60618358,71125072.52251637,132584770.13681737,267755314.1763517,1592489.7244409,2924195.2627321947,5807290.170617161,2693.860264383951,34233.964346589186,148443.31819605053,34677.14434190545,578220.3774696945,2045275.8845770133,140.83571697127266,2476.84235211328,9877.134624799859,523130.4844592483,1014275.1503778567,2541555.4637061325,23814427.74525868,48532199.2217952,93263858.94240874,494391.4073039681,1097668.885768707,2184670.268233557
2029,384766943.83817995,620959104.9149468,1093543931.097732,440821632.8390789,837338723.9641134,1615320723.3126795,0.0005502317096844604,0.007528855810963662,0.0255770151470643,0.22161429000226374,0.31572463252259697,0.4164913049536957,12210.059972330466,154789.66906165477,661578.7817455976,142021.40189931093,2049679.8350177235,7721597.097225338,609.1960648474786,11136.809920184674,44615.98448738058,1977971.4518544376,3660952.1186062316,8523524.961987194,80289231.2318282,152622323.8657214,305145823.3979664,1989849.4512466888,3653843.5693383757,7256331.379651359,4192.613378747638,53520.95473496676,232794.51894541227,48574.98343113167,765369.3012767108,2696928.6369733345,219.31285454295795,3874.2125795721677,15489.177320218829,641717.4748224568,1246731.3188238475,3120820.5558640095,26129632.118134487,53793298.5642903,104603776.96509172,608917.2271966957,1352577.5905072798,2697820.0413795374
2030,442413240.6387661,745806194.4170568,1341670321.8758543,517707105.1479246,1024193552.725531,2021097883.2332907,0.0005832456122655281,0.00798058715962148,0.02711163605588816,0.23047886160235434,0.3283536178235009,0.43315095715184354,18311.63721551154,229417.34238979124,980265.3426105237,191983.9622312241,2591533.707078123,9831281.076234551,913.6359598047861,16507.514042715844,66109.13204224376,2372920.2127139717,4391947.756310726,10225448.222171782,87437793.86378182,169003768.97019583,335153100.1119383,2387169.9354883083,4383419.817130938,8705229.483864425,6179.172299808059,78105.60087807466,340893.32757093204,64535.58262529114,949309.4396757397,3335189.263965407,323.3191838384812,5661.270254352205,22680.816536785234,756531.2978482367,1469935.3999377456,3675461.4501672345,27717005.262337387,56902351.241548546,112964125.8154686,718751.4149965736,1593337.2816039321,3196614.045724939
2031,493652004.6895049,863060521.4944632,1613895818.3745093,587019905.9181163,1196771274.4545298,2450062436.548562,0.0006182403490014599,0.008459422389198772,0.028738334219241452,0.23969801606644847,0.34148776253644086,0.45047699543791725,25702.68994823539,323919.6695074966,1384271.3421814574,243320.4937273516,3199622.9565423178,11976869.326317739,1281.8779538679332,23307.174954200105,93353.45448523136,2767829.1629772675,5122869.710097029,11927199.92952103,93015148.07676867,183140918.50941688,359235528.6412344,2784450.370065407,5112922.524078956,10153981.540024847,8522.703184306027,108585.2796917322,475444.82863982464,80379.90735834281,1167498.2985639772,4093441.18693116,445.65322507707066,7866.980668411567,31631.734554542167,866277.1293703986,1683347.7565875645,4204041.768624047,28772808.25289901,59865793.24061701,118931209.69217996,824113.9814582884,1818703.3020311717,3680215.536833914
2032,539881572.3371117,969969579.1999817,1881319249.5359433,649845599.1351676,1362139488.6405845,2872933145.4144874,0.0006553347699415475,0.008966987732550698,0.030462634272395945,0.2492859367091064,0.35514727303789856,0.46849607525543396,35014.90648841493,441183.7834990012,1885366.0960557815,299835.81708268105,3824455.4633567138,14136997.501058415,1751.1802302094145,31745.62297922716,127147.09728636891,3162697.4785247594,5853716.454633586,13628776.532717913,97367414.63374,193622417.43666807,378563337.19101346,3181689.925909464,5842350.167812642,11602584.52479037,11386.193055769118,145832.37411360355,639135.4946490146,97142.85395555654,1354767.4534008186,4864827.660073337,595.5540829532658,10518.150252889853,42520.408176606456,970660.9922719703,1886400.4090021867,4705049.69025253,29439179.95464102,61517173.58332561,122970858.79645653,924745.575042533,2032135.1273428411,4147743.8309173915
2033,587906735.1301336,1069151375.3548177,2141286530.4144535,707961861.6153898,1508759201.2935941,3282622954.4529505,0.0006946548561380403,0.00950500699650374,0.032290392328739696,0.2592573741774707,0.36935316395941453,0.4872359182656514,46256.75574958413,584357.2300350785,2497206.421913565,358962.67623220483,4413299.876465525,16300225.924681267,2322.1277018639134,42052.59225771007,168412.02370029094,3557524.312662641,6584486.422807041,15330174.383167917,100764255.72466607,202494091.23691875,394075549.2987995,3578887.7512421566,6571701.184261534,13051035.332003515,14740.882710601078,190305.14666719112,834966.3205156466,113978.89318674283,1507136.5941566532,5627164.720470409,770.8700762931348,13663.541353202967,55546.12175654666,1069373.5143809333,2078495.6333990942,5176894.22084628,29819023.918343175,62573264.0070135,125452808.90638414,1020373.2628800581,2235680.1608728343,4598272.132430062
