peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule,run_id,annual_emis_2030,annual_emis_2035,annual_emis_2045,annual_emis_2050,annual_emis_2055,annual_emis_2075,cumulative_emissions_2050
1364479424.031737,2092,49525745746.437294,,50_percent_of_peak,0,261992563.21924672,423374435.7360689,415114797.8848067,446502512.2742095,539088521.0272012,1076041948.8899767,9433172521.185215
1498327993.1274374,2086,73187366141.09776,,50_percent_of_peak,1,637646499.3478651,1093168985.0562081,893954588.472682,812066863.2609823,860559770.1674141,1361096181.6901817,21800240084.151978
529570728.02223426,2092,25044514127.996796,,50_percent_of_peak,2,258191212.7383858,424096272.86709285,298716248.0875026,265610125.33633044,276895695.64144826,451868943.5646563,7883043148.059323
528468318.8418982,2092,23242922139.722553,,50_percent_of_peak,3,202474871.88188803,317761686.45306313,233885542.89352494,228592895.82042632,259880705.59990633,456102869.4552471,6169514238.462133
1054453387.3754675,2092,43933630218.61996,,50_percent_of_peak,4,359128604.9451354,522557951.8384273,383527673.22842175,428933822.039335,509289478.8975305,921288583.9083288,9898436699.48975
1222918904.394765,2084,55268032903.9461,,50_percent_of_peak,5,378580006.937228,646489952.6663136,576349090.998682,615332562.0882617,696396775.1587257,1127134039.84593,13086637669.528698
1053852092.101519,2092,50642105627.951454,,50_percent_of_peak,6,413576777.13262874,745647186.5724726,623298375.5865173,594578784.4637268,621745593.8246182,951641324.452558,14476817080.55429
948237044.4245679,2092,49570099315.03597,,50_percent_of_peak,7,405135607.2142025,769985353.0776802,755488964.8970147,664718438.6453351,634175031.6851296,846189518.9738684,16288503385.695446
2161269800.4117684,2092,88203181235.46944,,50_percent_of_peak,8,494276605.64578474,927057221.3614428,1132850343.0329418,1025622459.1705209,1034276519.7433066,1714912370.455321,22278529118.191624
1003206281.9682019,2036,32620194063.03041,2046.0,50_percent_of_peak,9,560199005.8462331,986687437.9507096,543230742.2196195,383744913.12371284,325272081.96733,420991793.70904016,16025055144.607418
1233113080.5228503,2086,60576377184.683044,,50_percent_of_peak,10,476137303.00716305,877017349.0703503,795121477.874272,727867745.8671983,743737497.0013661,1115553841.5774233,17946337487.010773
1069086139.1010137,2092,46838485109.99667,,50_percent_of_peak,11,282152999.03883356,538524956.0922344,661446280.4254705,584654534.7302738,569560403.3143622,873799715.3928279,12925945946.787834
848792461.8473705,2036,40457333608.52195,,50_percent_of_peak,12,501494012.3858713,843890717.2678108,491839916.96205974,431730799.3019732,448597371.49088377,696196123.0988469,14146779238.505455
1363065147.555674,2092,62661979615.53515,,50_percent_of_peak,13,503263664.66556174,882239496.7238157,680545313.7663325,678915731.6879821,747551836.5894865,1232823402.3154554,16530776077.034563
1705899502.051944,2092,89355832502.8591,,50_percent_of_peak,14,787499524.0669454,1564043250.0726519,1340098605.6127706,1152034039.5589867,1093145545.7084265,1515432048.9419522,30326299262.137657
1391979534.7148075,2092,69333083773.09355,,50_percent_of_peak,15,760919146.7103578,1259927329.3292096,853474760.2346182,770981239.11526,789633279.0056326,1238720457.0277686,22470185924.5633
1693812790.8405879,2092,79431998983.57379,,50_percent_of_peak,16,654432009.7041047,1186186794.8233495,966621127.2373239,878149572.3852472,917414019.0426881,1489696443.2368736,23121275068.97285
778267930.9044061,2040,38115870096.12732,,50_percent_of_peak,17,360457582.8150951,614697866.6648173,646004971.7295461,497731077.41353667,445502398.60770255,621462845.7773724,13720981386.417686
1712781654.9594822,2092,74690923495.71844,,50_percent_of_peak,18,537707690.9829465,955144664.2443024,783125616.3642342,795050446.1112876,884342099.654318,1505636764.093938,18401960363.53563
1744892209.114636,2092,65363301766.33038,,50_percent_of_peak,19,346071759.7280731,544063719.8866172,604637850.1528171,613191223.3586217,723986008.6291859,1401064538.0891063,12975766343.040302
1495996769.6794477,2092,58692121011.40521,,50_percent_of_peak,20,282091273.8949139,453293218.29100055,491817366.6310407,584045811.5993481,713856915.4593651,1292862982.089025,10580281977.189022
1495516744.5423522,2092,72584502704.44666,,50_percent_of_peak,21,640673595.2347093,1191538529.8896146,997816269.966873,854040810.0466771,834988035.0439402,1280936118.224732,23392252875.596233
1151996617.5936491,2092,53038726547.96427,,50_percent_of_peak,22,462512247.7542559,796487038.5128459,582389426.9179798,567923394.6658533,618768052.9720514,1024727837.1168338,14603808350.123884
941697115.8195506,2092,40781683184.46502,,50_percent_of_peak,23,404289468.9406852,619143184.8068897,362106736.7890022,385102365.14973736,452483004.9876493,812709927.1445947,10554733868.731133
1099715705.8565285,2092,42077449680.93521,,50_percent_of_peak,24,173341387.01626363,266106996.09628406,352111984.8428742,421888264.4418186,517024377.2517647,938107698.1197374,7064726699.46467
847066717.1795604,2092,34990724720.41781,,50_percent_of_peak,25,256394808.6010026,389181302.9732647,379183132.94146526,345868559.8397853,385830920.8685018,698743928.217162,8704949471.526402
1182126601.517082,2092,48880646254.38038,,50_percent_of_peak,26,352864074.06114316,598123055.3355885,470949128.8799908,490214830.2166147,560988600.4052534,1002393794.0772318,11446625623.295319
2521399275.1952906,2092,102492925285.97989,,50_percent_of_peak,27,414671657.9693423,856247459.5077171,1233406047.8339005,1235520909.080892,1302040076.1070945,2084593827.9943538,22440024344.61703
