Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95
2024,254507.6358126777,800402.8324666718,1753836.832697311,428154.39681333204,1283109.190639948,2747791.0555593134,0.00031641309581126624,0.005496870486278286,0.026269985556090503,0.16984770444424796,0.23774802162180492,0.3096195987395759,0.0,405.39838845721454,2136.3008822017196,0.0,1952.4172926200536,14899.5378125001,0.0,27.915477785626717,147.50806437591226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.57151741896004,980.7636070245853,0.0,656.7276095094137,5484.418004681518,0.0,11.251619725701413,57.52936356586434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,27646956.220299773,44717622.113113254,62443795.118274264,27599578.68583713,44297957.04878391,70681767.4070015,0.0003195772267693789,0.0055518391911410685,0.026532685411651408,0.17154618148869044,0.24012550183802298,0.31271579472697164,149.95328190733971,3646.9713470315405,19388.65428509078,3102.124637491437,55070.37681773844,399139.0208018165,11.488761240837931,194.85490326198266,1177.3850782332509,130988.93193259598,328623.6357834631,820733.6642296708,9398849.206524089,20350774.079166498,34198379.02800126,144697.19894017186,300234.466433592,584883.0248117688,57.371459301825865,1280.085694028539,7985.396403530725,1147.686274459906,23976.172487039858,156709.68281476604,4.866083012642369,74.01742079626361,458.11277085512853,48827.956726281125,126174.9889115814,307158.19932850235,3435419.66030642,7780751.273199471,14670541.325580068,57232.5907469704,117427.01759374152,226714.71707883824
2026,59282977.93095026,95080874.83825102,142229880.61382112,64357641.02975987,103846716.56365356,180623847.40117818,0.00032277299903707267,0.00560735758305248,0.02679801226576792,0.17326164330357735,0.2425267568564032,0.3158429526742414,301.25661167794266,10112.536678402903,53948.12904112224,6345.0777233728095,137890.23368007856,1015235.2710519044,27.730358129727364,532.2132078440575,3241.756344760029,261592.60230068432,656280.7314616807,1639053.4059174894,16215404.351324825,36267024.8530736,61025877.01418386,288968.8178834609,599585.8903188498,1168045.805432915,115.61973781808743,3532.348261575444,21938.6765899175,2217.595651373367,62372.95519909503,380915.22291571053,9.702714682615895,200.07514561710929,1263.7767857164772,97290.97530664263,251296.08053920412,612139.2815774797,6007065.416631582,13664392.725852598,26645163.27315741,113906.89628498093,233865.87430991384,451805.6480990566
2027,89850501.4637203,149396521.8177301,232203879.5696456,103655075.35159323,170544919.61735487,317749264.6285273,0.00032600072902744346,0.005663431158883005,0.027065992388425605,0.17499425973661314,0.24495202442496727,0.3190013822009838,600.8652099637559,19738.725938763782,106680.76172929813,13164.910393115237,242235.23973315177,1687887.738420978,56.87221899904526,1048.8434237579595,6393.703252596244,392195.1428792366,983934.9927359566,2457366.0687148096,21173782.77928751,48606456.16306036,82533152.7234923,433239.1888023646,898934.7246589183,1751203.5413933292,228.20460148270155,6883.485704960816,43051.77240198177,4296.5238907736975,108493.85035707262,651257.1945137341,19.300585878376424,390.80781280406825,2489.7762917924524,145529.25584667135,375724.06415032933,915826.7945922816,7937492.818519424,18320725.31709399,35899452.876727074,170197.2255109842,349652.24608418706,675924.715697103
2028,119187607.9705331,206887790.1016426,328250635.60139006,137529169.12259036,243190920.53981215,463267249.3670538,0.0003292607363177179,0.005720065470471835,0.027336652312309858,0.17674420233397928,0.24740154466921693,0.32219139602299357,905.7246935011569,32882.34478941512,177872.8634281994,16638.54002675838,360971.81462614576,2359301.567449522,91.33739432100423,1745.455747023403,10669.669067789502,522795.4172720177,1311583.5686275326,3275664.532335723,24780560.848704185,58615785.810936175,99503596.11157203,577507.0563743935,1198278.364765659,2334351.1585324877,343.59490694487056,11443.16408286103,71513.32661404728,6177.541258829383,157301.7975026551,936744.1900291452,30.877492024417933,646.7205274485209,4139.2005287074135,193539.02133649154,499447.49983433937,1218198.775142927,9391295.018144723,22011611.250370495,43177064.369658284,226093.40880989924,464775.3750615873,899055.4534669878
2029,145867557.45070493,260565326.4260885,431077500.44578135,170719250.83102578,326679004.47695327,623220690.7428318,0.0003325533436808951,0.005777266125176553,0.02761001883543296,0.1785116443573191,0.2498755601159091,0.3254133099832236,1361.8668423319652,49501.32787061293,268109.9171195697,20879.298723306878,492499.97807136085,2990172.1770807034,136.71831476141625,2631.9813887571363,16071.630489252666,653393.4056012668,1639226.4092672935,4093948.6722327033,27404222.026041053,66758271.542669736,115273939.75550076,721772.3986415375,1497616.7650780547,2917488.5680935425,513.1383821776802,17118.973333115126,107350.35857521652,7784.397710472551,206675.81193941008,1219029.6676100884,46.006564785533044,969.0414385348196,6223.914127178647,241316.86639642442,622455.8856744631,1519235.6216605136,10486659.112134656,25008136.20037178,48892441.01988644,281589.56966226076,579225.3748714365,1121183.1347619435
2030,163378357.3485181,310823922.4801134,527131574.2760432,204481596.54782298,399776549.46146244,777492459.588356,0.00033587887711770406,0.005835038786428319,0.02788611902378729,0.18029676080089227,0.2523743157170682,0.3286674430830558,1962.507794921589,69736.38890369592,377959.21581425617,25859.65062462714,620267.445445685,3559659.1924288427,193.5842256631302,3703.385165845073,22635.846961033152,783989.087757415,1966863.4642045689,4912218.362405791,29312776.18695667,72939279.98805681,128678205.39109668,866035.1933897191,1796949.8795037707,3500615.6802845895,737.511443403716,24052.59687537568,150746.9313160261,9508.588177288015,254259.67903814695,1486296.5459184078,64.85099592764314,1360.6994891483582,8748.290228849944,288859.3404382314,744738.58032838,1818917.4723593756,11308257.91831912,26960900.807005733,53376731.74902155,336679.753527472,692992.227889288,1342292.8374335114
2031,180450105.61659247,359551827.9792392,618149056.7400695,233158862.34317112,473358239.37311876,921347013.0417999,0.0003392376658888811,0.005893389174292602,0.02816498021402516,0.18209972840890118,0.2548980588742389,0.33195411751388637,2715.348709949398,93699.26464323851,508007.59891898173,30958.160853400786,736871.4922475301,4138575.148750623,261.93141008396753,4975.603028317766,30432.28509531111,914582.4433957438,2294494.682398745,5730473.475381655,30701159.79014353,78587913.4618381,139977673.8122125,1010295.4181451023,2096277.6614114963,4083732.4042637506,1017.5720892076506,32194.61269812753,201976.84388041924,11073.135504908034,294092.184960527,1734426.7616039382,87.3555711621001,1820.2945934258444,11723.345308765503,336162.9471028051,866284.8012941142,2117224.2020003838,11923009.781260831,28656841.056745723,56887597.96315871,391357.9268734628,806065.7836044631,1562369.4413998143
2032,197755538.97395152,409321495.86205614,703433608.2974656,260014569.84531826,545410455.0696026,1057205087.071802,0.00034263004254776985,0.005952323066035528,0.028446630016165413,0.1839207256929902,0.2574470394629813,0.33527365868902526,3468.127348034047,121395.29144682465,658767.9222181066,33259.56774397758,841217.5470421525,4679062.069991432,341.18169941290995,6455.517346059364,39445.924209612196,1045173.4519329603,2622120.012210676,6548713.882192139,31711162.524339374,83277864.38771743,149502912.16779172,1154553.0501703091,2395600.063623092,4666838.648123885,1295.9543566195707,41551.776752161735,260954.90631966744,11977.46344039143,333448.88842621143,1962552.727201074,113.2526487534434,2350.346803064817,15160.182421355981,383224.14369115693,987083.6231552684,2414135.418615661,12294670.053151423,30205346.7010796,59628685.201023936,445617.9761947928,918435.7569681355,1781397.626184838
2033,213249727.64712238,454460179.90659976,784067573.7162687,285613622.49369353,605673029.1130688,1183990364.2391558,0.00034605634297324753,0.006011846296695883,0.028731096316327063,0.1857599329499201,0.2600215098576111,0.3386263952759155,4373.037363822147,153012.54099554956,830490.154765302,36332.04871672031,938568.3499085479,5272078.601819037,431.8930769681435,8130.652254373876,49746.951499633855,1175762.0925437096,2949739.4013939337,7366939.452352399,32445919.217668016,86793999.5278875,157532560.2464779,1298808.0664605675,2694917.0384055995,5249934.318877008,1629.291421394717,52161.500623404194,328022.41916784685,12878.904462332519,371215.0528164758,2168816.3207399524,142.69477257926098,2948.188802390465,19069.16759586216,430039.34058863466,1107123.9758053783,2709630.460194316,12511142.975894403,31470277.042015955,61760948.85110662,499453.7070190725,1030091.7267217652,1999361.868428432
