peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule,run_id,annual_emis_2030,annual_emis_2035,annual_emis_2045,annual_emis_2050,annual_emis_2055,annual_emis_2075,cumulative_emissions_2050
2035368482.8195288,2092,92635731696.38063,,50_percent_of_peak,0,763178321.3194883,1277632990.8160632,977459604.5249994,995358786.624781,1109303120.2509732,1832507593.2976468,24059811385.38716
1900138750.2101736,2090,94876404822.50516,,50_percent_of_peak,1,793383267.127394,1372105368.0267012,1502232909.2472064,1204548517.8742943,1116739342.408339,1643155309.6417289,31219190153.738842
1402943461.4883199,2037,69041429243.63846,,50_percent_of_peak,2,714457082.824566,1282681561.6887398,999035564.2995766,836412572.3125427,808664131.0438125,1171976824.0057302,24476555458.961506
1701594884.1328013,2092,70827757525.3038,,50_percent_of_peak,3,444007734.18318087,708363696.9921726,714549685.1639308,714390242.5007861,823172142.2747175,1464143251.5239513,16049645970.276602
1280633220.2097356,2040,58755760462.6353,,50_percent_of_peak,4,574175443.131109,1023593321.2008463,1026766191.1559302,789073818.793753,694527958.0896354,925780235.8272456,22254840042.532856
1468392102.9367964,2088,76460191884.72507,,50_percent_of_peak,5,544339665.7291476,1035311249.6235213,1264043075.0132372,1083993788.1372943,1002191109.6389301,1309539564.9945793,24709505268.43556
1209080524.1692135,2085,57226072933.9659,,50_percent_of_peak,6,482962088.3726171,796811687.2696269,648202842.7244904,615298819.1762784,674571002.0762419,1101182812.6330667,15981053101.865036
2604123953.494979,2092,117002365432.89076,,50_percent_of_peak,7,967993670.0648084,1695911532.325038,1336680670.0603437,1233726240.759941,1316460318.1972992,2239778327.041317,32755204397.165375
2304207189.5842133,2035,112060258947.91338,,50_percent_of_peak,8,1410378481.770695,2304207189.5842133,1474377214.6587896,1294733546.3553894,1295045843.867431,1889553895.175628,40183106443.6342
1192371908.5900273,2081,58216551736.56025,,50_percent_of_peak,9,427763824.1693891,759350476.8070816,680440115.7509388,699979073.1434524,772132316.8715684,1146758804.5924728,15363979146.896786
2377696786.060191,2092,107758369696.97417,,50_percent_of_peak,10,795960069.3222436,1476788758.711408,1407767867.605964,1236104316.4597487,1233864021.6403883,2012683101.065425,31159908385.491894
1649482042.8263085,2088,77337799909.20737,,50_percent_of_peak,11,532873709.30513746,923718630.353269,1004494469.3488615,907690509.089172,941553364.6960388,1480739150.0814044,21183083643.05629
1042962598.3720137,2085,53030284779.62888,,50_percent_of_peak,12,559962431.4494824,962645628.0868986,633384369.2491659,580179443.3791058,612895105.7928634,957957377.4208628,16912432648.796486
2208949055.321,2092,93643823456.06625,,50_percent_of_peak,13,844207100.0268655,1381416864.8155925,866830783.2684788,883900504.9646064,1021712020.5917685,1875682096.2545614,23964514594.787155
1305500506.2951648,2085,62373007537.11327,,50_percent_of_peak,14,504191028.1599182,926911685.0563835,740476711.294039,703780262.2301713,749102613.6171618,1188806509.609992,17599916631.400192
1669292339.7904906,2083,83317694828.72298,,50_percent_of_peak,15,751466169.7895106,1285250818.1448894,989328995.4880297,937645774.5153611,1011317665.4913908,1562562911.421026,24659632592.106483
1718654467.9546692,2040,83089088720.56596,,50_percent_of_peak,16,690746079.8400737,1348358737.0729125,1471447603.125528,1209375711.4833827,1083283666.9179542,1325415282.7937953,30232365859.868988
3645154098.5111976,2092,150436535298.6236,,50_percent_of_peak,17,899425196.4592464,1543511187.785084,1349988715.1152105,1527480829.4723802,1816000620.9131234,3219357771.300476,30955691083.5279
1253218989.0349336,2036,57317010785.17733,2050.0,50_percent_of_peak,18,725878271.8123237,1186901618.8511672,743397601.707035,622583289.1417305,628241647.3782632,956088899.8785887,21015083140.495224
1580870716.7656631,2085,80026660758.76254,,50_percent_of_peak,19,858674656.7180175,1479888268.3300757,951525966.5081437,861098184.2820786,907484218.631138,1444305516.943132,25725141709.16928
1148937596.5481107,2083,52481811746.02154,,50_percent_of_peak,20,481411757.75310993,726169505.0166721,476588776.0111789,536655839.194413,636811422.5888433,1071223462.1058508,12994632709.659538
2782517806.9848275,2040,136264569335.82425,,50_percent_of_peak,21,1141807510.6806772,2189647869.803064,2401695559.4480243,1976968400.394622,1755967007.044287,2163718623.880515,49301072118.5273
2479865552.3934264,2092,102988642001.99852,,50_percent_of_peak,22,671616659.2293167,1074229755.496323,868690623.9583857,1028813534.4829391,1247843232.9893765,2217789564.788055,20878218581.11739
1121243124.0744386,2040,45054603621.49006,2056.0,50_percent_of_peak,23,474765022.1062908,876884580.3788979,918582796.1870354,690839415.0099442,570280785.0144781,628263704.8993926,19334263428.089634
1479366040.6765463,2088,64530561334.21307,,50_percent_of_peak,24,367491442.0155952,632388351.9263861,734310575.0878198,719327799.9386399,791640289.4101137,1314988567.783127,15091823197.199734
1343657999.237561,2040,61100154184.591545,,50_percent_of_peak,25,548253753.2775507,1032412399.7798827,1136756405.301641,896134727.9309232,778504869.0498054,943626630.4099641,23324265259.375816
1599581604.8185322,2040,60154967652.12582,2054.0,50_percent_of_peak,26,729993164.5922192,1285083390.170896,1295066388.689002,958912754.0706023,771727820.4466822,770414777.4584377,27956883937.801456
2003741982.0767398,2037,90050814529.86787,,50_percent_of_peak,27,1033751877.3754795,1928358788.0654807,1395221835.4006767,1130354364.7762868,1043619443.4693164,1419012804.1507506,34814753737.541046
1860733627.9096413,2092,76884131922.3393,,50_percent_of_peak,28,445898885.5240988,733375009.565708,844182500.3561226,805613735.7475356,894744899.5333974,1580434343.4077075,17515422869.381413
1699770315.933659,2092,83668242101.87854,,50_percent_of_peak,29,611409828.4998854,1189635719.903402,1180509614.8104255,1062224480.8313115,1046090220.8607947,1511935542.3118393,25249797690.950966
1813255606.0508728,2092,80751726065.81902,,50_percent_of_peak,30,699345549.0860217,1171870084.3627753,809560629.763336,820217391.7115163,929556954.0891331,1596909680.825697,21117456342.485626
707880030.7306343,2038,28579042937.196327,2051.0,50_percent_of_peak,31,358999185.7975491,626076984.0704569,476224536.7535272,360057705.67106056,320147168.52478784,419373457.15095,11981493832.21852
1270529877.367603,2037,62713405475.6276,,50_percent_of_peak,32,706936973.3930712,1196093528.7770855,785477321.8749421,679814888.928855,704110921.5255015,1097654435.8564029,21443798380.06863
2294786178.895582,2037,92992941999.59041,2055.0,50_percent_of_peak,33,1084054503.747439,2146954764.7480361,1716201657.7423744,1343034194.3444383,1145271606.8820274,1297898939.1512988,40176546639.507065
2769340418.6717625,2092,108409852679.51074,,50_percent_of_peak,34,1000188720.2555184,1076900651.268589,811889378.5739707,994262129.5854183,1227205840.6156285,2348795040.5493536,22145365592.665497
1381983766.3436015,2092,70509323508.48395,,50_percent_of_peak,35,532955218.7636096,984106851.8787569,1201710662.2250824,989317509.083151,892799465.4285802,1186362464.0951505,23456146639.327785
2019584572.7662475,2034,80431964070.7241,2046.0,50_percent_of_peak,36,1302241080.3430321,2001577654.0810783,1025421521.5672537,847827018.7648705,837329493.0265266,1270401038.2405627,32362483131.82952
2679968022.3627596,2042,109551564223.16959,,50_percent_of_peak,37,960977134.717171,1893604909.8180234,2494424528.342758,2008589326.065987,1632098012.9560552,1449305553.9095447,46499612630.26638
