Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95
2024,276969.110343229,818110.4619057376,1847379.9350527215,441603.09234161314,1342018.4098579148,3234811.5332813635,0.0001951661049590756,0.0037354357246027923,0.029348078960038517,0.17332558231384473,0.23946384140415028,0.3038854146368445,0.0,284.76763767269176,2132.980994546422,0.0,1448.7856936428554,10189.817292619957,0.0,27.772017598399373,148.00269909337516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.34865474140652,815.0575096818612,0.0,524.9965095040187,4628.69493300397,0.0,9.233747811789737,56.898036412580545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,45463128.23478286,71189451.83228947,98399775.09642987,43593591.02130194,74062410.77659345,115853825.00688411,0.00020102108810784785,0.0038474987963408765,0.030228521328839672,0.1767920939601216,0.24425311823223328,0.3099631229295814,145.5518739397911,3323.4554691344556,27609.372693688678,5055.289282320187,83374.02788001922,636648.1726049827,16.463511731467232,334.732080477699,1747.4035878235907,266447.7246726028,559577.4834998637,954419.6099628436,19736318.00780144,32708076.488204658,54784089.74755496,275738.1313285147,491731.8892268733,997555.0922508802,60.49393020480638,1388.7809103223276,9038.824395154457,2025.9174100815594,29609.617586533648,233299.2182251068,6.209866510818171,131.57954135659443,696.5508699444816,89958.49261235651,222924.10165371263,394887.54461397516,7711900.223926225,12385074.849074269,21891951.55694894,85887.69214141392,200108.10270309218,393911.5235845338
2026,99377317.65184812,156550683.864349,210782300.75867411,98861609.15762109,178648399.40027016,278279325.56118125,0.0002070517207510833,0.003962923760231102,0.03113537696870486,0.18032793583932405,0.24913818059687792,0.316162385388173,431.94464508352564,9728.30443330574,80124.26444648148,12877.633903602618,213306.5506030736,1669171.5041836575,37.771617085672645,964.0109378008092,5097.059712841189,531589.3330477909,1116411.9401198258,1904160.692425869,34488790.133049585,57556242.71605109,97898690.41465001,550124.6051505171,981053.32801636,1990220.2085593538,174.62290581732486,3990.213036432008,26154.91552217324,4871.70585763458,77401.58375145987,609020.2728110919,15.51921335079966,386.8312861730799,2012.9875369617853,178524.8033551735,441318.0800312038,782497.3685495516,13770045.515028302,21865411.196185753,40284909.65249769,170130.63558778618,397266.7354464291,781676.4191395309
2027,147732587.23535547,249393060.44232735,344980208.7306271,168776032.03808758,308758750.1404401,473157798.3695647,0.00021326327237361582,0.004081811473038035,0.032069438277766,0.18393449455611055,0.25412094420881554,0.32248563309593653,863.9110116768845,19733.64147638397,162499.7883051424,21957.80150538633,363838.36907246255,2943792.055751336,75.55475518002308,1954.2657537993946,10331.038040219404,796724.5702770645,1673233.0164423876,2853878.953351927,45570146.30588205,78367524.77193277,131998109.5230566,824504.4856797036,1470363.008793573,2982861.4718998275,346.326416585099,8037.840805195408,52637.51577374263,8120.114722437422,137676.05312863577,1068645.1647342232,30.77936358286779,781.813505593565,4064.787559470843,266111.6014517275,657213.8444945826,1164608.878699366,18035502.072888102,29089271.425735004,55038811.14893975,253114.14922503216,592397.9117472944,1165100.2994425327
2028,203156200.8192277,337907786.1899702,489512736.3748698,231616810.37907565,446221034.6525865,683790903.8904295,0.00021966117054482429,0.004204265817229177,0.03303152142609899,0.18761318444723274,0.2592033630929918,0.32893534575785516,1441.5774539059566,33680.44984757113,276999.4708283047,31885.37332486011,528809.5173332487,4353282.857925467,131.93882540028184,3328.28702091971,17621.841848658514,1061847.0033654158,2230027.2022784026,3803551.3496596995,53930237.2514946,95103970.2903888,162456090.0666776,1098871.1156176326,1959649.0594031296,3975454.7977471417,584.1400742298595,13600.531620210248,89153.56369817234,12577.81239955447,205058.37916499315,1574590.0728044368,51.827694549446974,1323.8061565632704,6897.922208989376,352687.55961067457,870180.8419218143,1541048.8042381392,20810241.814684466,34728906.76080131,66289976.20750619,334798.65101891593,785436.4625912898,1544044.439553347
2029,257283597.8711533,425301333.4820448,639489468.2749263,293118195.8631212,568974122.2495651,861680218.6306443,0.000226251005661169,0.0043303937917460525,0.03402246706888196,0.1913654481361774,0.2643874303548517,0.3355140526730123,2169.744692888277,51774.41828454449,426814.4891963928,41729.257339585645,723526.6042428524,5802712.056844996,224.93420787714763,5119.683719364757,27117.909021807904,1326956.4458724621,2786794.1060769944,4753177.213517035,60588688.20637789,107675116.0542333,189249469.64202547,1373224.3020231824,2448911.135767475,4967999.488086129,875.9341024646901,20802.262861641975,136237.31698274956,16635.278604481915,275278.4333039618,2095573.716322246,78.4950025656366,2020.604300024817,10579.816523351643,438222.68563532055,1080132.146373978,1911648.7859174276,22913702.69952284,39214192.089403674,74686260.7723182,415145.5768786915,976320.3087087686,1918375.919559642
2030,297699641.029959,508887387.4499318,791323165.5348821,358284973.5539673,681181369.5346951,1086942154.0941007,0.0002330385358310041,0.004460305605498434,0.03504314108094842,0.19519275709890097,0.2696751789619487,0.34222433372647254,3179.352071546083,74513.80711394365,614458.2801042186,52770.48891472272,933600.5131579948,6951165.740305261,319.10503037268325,7369.050383102713,39026.46292389926,1592052.7077556981,3343533.328722325,5702755.864188926,65466900.87098371,117410993.80482341,212063312.65045136,1647563.8482275119,2938148.8871613014,5960494.831415613,1273.7184453854238,29735.62081444593,194613.84756515687,20893.55748177082,346347.3808646606,2625864.2879084316,113.69586460713468,2887.933215759233,15159.667786113208,522686.1930006267,1286978.5295304896,2276236.005025191,24535593.508468565,42726986.82243347,80942162.08397017,494115.34121333435,1164985.7267615064,2287958.2992076664
2031,335730629.2867267,587433251.9554943,942447030.0108439,419851150.18186355,796286814.7534665,1313631168.6279397,0.00024002969190593424,0.0045941147736633875,0.036094435313376874,0.19909661224087896,0.27506868254118766,0.349068820401002,4334.4782548442,102216.27661418892,843151.1090040267,63760.59663908772,1148750.0671354951,7984803.396026456,431.87201321153105,10107.008118725891,53520.1552385319,1857135.5952846906,3900244.463353393,6652286.607730156,68927536.60440846,124754302.48581168,230490262.03433144,1921889.553745263,3427361.956053195,6952940.10242717,1723.0401156543787,40513.85117968782,264926.4873239167,24519.33237255729,415937.7868767663,3246596.7117989357,154.0987068726411,3930.111110972241,20701.5785164223,606046.4811313805,1490336.3708477141,2634633.0726633575,25493747.62924502,45292011.946213685,85627277.16758694,571667.3115690111,1351367.3085234524,2652651.530498064
2032,376420904.7537283,660692919.8242061,1091082260.8407502,477131863.1027537,910525183.2585193,1535506217.7017488,0.00024723058266311223,0.00473193821687329,0.03717726837277818,0.20307854448569657,0.2805700561920114,0.3560501968090221,5775.78046576565,135212.73665279106,1115865.9807479812,74480.19213170896,1326067.1573184854,9209941.912966004,563.8189680365986,13364.136469555877,70806.95631410758,2122204.9109520945,4456927.095177151,7601768.736666551,71129607.52095658,130457276.30340329,242195464.19942883,2196201.2141824714,3916549.9779414115,7945334.561671967,2277.594938070944,53218.869918751065,347756.477666957,28221.782337763867,482646.68833041994,3767275.419604635,202.54325995612453,5150.406677022787,27262.428552125257,688271.1152113633,1688746.4060323087,2986657.916392765,26122837.509223457,47382097.365891814,90617139.32697366,647759.782663532,1535397.9190906943,3012311.8682031473
2033,413608636.4425372,727003324.4163492,1233874490.4051933,529876121.7125743,1016777566.347179,1749785996.9810827,0.00025464750014300567,0.004873896363379488,0.03829258642396153,0.20714011537541052,0.28618145731585165,0.3631712007452025,7367.2940082461655,174030.30282733473,1436313.8404941875,86738.35310543446,1523185.7077952917,10495966.187905537,732.3662050055412,17196.7151872326,91095.05262248381,2387260.4533821023,5013580.801276244,8551201.529667053,72926566.29578955,135557977.79740036,251486764.31404686,2470498.6211418314,4405712.5811849255,8937677.455218025,2881.6970096571918,68002.76006057944,443829.26335268276,31204.031477187058,547427.8295319743,4190493.927783034,255.7363587335017,6558.345794267755,34914.12773375532,769326.8055129929,1883250.0115613341,3332123.6641861615,26513956.353864074,48940520.833216585,94730827.11067986,722349.9498041813,1715368.7295222513,3366791.778259013
