Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),ECAV Sensing Power (kWh),ECAV Computing Power (kWh),ECAV Communication Power (kWh),ICECAV Sensing Power (kWh),ICECAV Computing Power (kWh),ICECAV Communication Power (kWh),STI Sensing Power (kWh),STI Computing Power (kWh),STI Communication Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),ECAV Sensing Emissions (kg CO2),ECAV Computing Emissions (kg CO2),ECAV Communication Emissions (kg CO2),ICECAV Sensing Emissions (kg CO2),ICECAV Computing Emissions (kg CO2),ICECAV Communication Emissions (kg CO2),STI Sensing Emissions (kg CO2),STI Computing Emissions (kg CO2),STI Communication Emissions (kg CO2),Total Vehicles,Total EV,Total ICEV,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,EV Fraction,Clean Energy Fraction,Cumulative New Cars
2024,717679.9732605177,717679.9732605177,3373.61316167589,714306.3600988418,0.0,631.197,2695.4091616758897,47.007,133645.44480000003,570707.9664988418,9952.9488,0.0,0.0,0.0,3373.61316167589,714306.3600988418,833.2824509339448,2540.330710741945,1179900.657991988,1179900.657991988,1295.1638288989907,1178605.494163089,0.0,242.32284026999997,1034.7945312589907,18.04645737,220514.98392000003,941668.1447230888,16422.36552,0.0,0.0,0.0,10385000.0,69400.0,10315600.0,400.0,3,397.0,171000,0.0,0.0,0.006682715454983149,0.247,0.0
2025,85081691.33949812,43699388.16559389,191232.54218183487,43508155.62341206,41382303.17390421,8202.025717260054,182419.68874693476,610.8277176400449,1866078.8967311857,41503104.629699044,138972.09698183427,688473.1588235295,40012965.3503748,680864.6647058824,41573535.716086045,43508155.62341206,10628066.538138814,30945469.17794723,87580033.36374766,71861095.85739514,72639.07876526212,71788456.77862988,15718937.50635252,3115.5136323202228,69291.54414850363,232.0209844382605,3079030.1796064563,68480122.63900343,229303.96002002654,261514.36068866742,15198798.847499019,258624.29816483567,10395384.999999998,69822.00952589946,10325562.9904741,5584.663312430757,39,5545.663312430757,171000,1005.8823529411765,875770.7394288834,0.007050264805007222,0.25564499999999996,875770.7394288834
2026,185203093.34749782,111404773.6444415,517512.490390832,110887261.15405068,73798319.7030563,24817.969539499303,490846.2574816664,1848.2633696662747,5317739.611581919,105173494.65083012,396026.89163863467,1372896.4755363322,71067698.98437119,1357724.243148789,74315832.19344714,110887261.15405068,19663417.403332073,54652414.790115066,210880090.8213411,183158380.06703824,194399.1628546447,182963980.9041836,27721710.754302848,9322.65905038764,184382.21939862525,694.2844056317944,8774270.359110165,173536266.1738697,653444.3712037471,515716.8773429923,26695976.319593754,510017.55736610235,10405780.384999996,70582.66564108149,10335197.719358915,15920.392525705338,118,15802.392525705338,171000,2005.847750865052,875782.1556126904,0.007438029369282619,0.26459257499999994,1751549.457762215
2027,291214399.41725487,191810967.14229465,941748.7122768078,190869218.43001783,99403432.2749602,51740.432165902195,886155.025905289,3853.254205616574,10486508.470886406,179601750.44302005,780959.516111384,2057296.1097814287,95311575.76433374,2034560.4008450366,100345180.987237,190869218.43001783,27479860.470172968,72865320.51706403,352191266.4821666,315283871.2924381,349660.8829087032,314934210.4095294,36907395.189728506,19210.650311873822,329019.56191998796,1430.6706768413867,17302738.976962566,296342888.2309831,1288583.2015837836,763851.2957577315,35388134.11552718,755409.7784435911,10416186.165384997,71700.21690683058,10344485.948478166,31407.32992915582,246,31161.32992915582,171000,3005.778547910106,875794.0241174176,0.007847120984593161,0.27385331512499994,2627338.571480549
2028,396756552.3355032,277065879.32519424,1438489.9715043528,275627389.35368985,119690673.01030897,90651.00973730479,1341087.9283896373,6751.033377410675,17369534.477907643,256964297.22705606,1293557.6487261576,2741648.103756488,114237675.46179634,2711349.444756136,121129162.98181333,275627389.35368985,34332629.64031701,86796533.34149632,499213437.9935459,455312807.61820835,527615.1846201353,454785192.4335882,43900630.37533753,33249.34492837027,491889.6682951204,2476.171396644631,28659731.88854761,423991090.42464244,2134370.12039816,1005592.8084880264,41900557.823366374,994479.7434831343,10426602.35155038,73193.75267605347,10353408.598874325,52045.63025668757,431,51614.63025668757,171000,4005.6397409244073,875806.5343545508,0.008278712638745786,0.2834381811543749,3503138.0909792655
2029,498068460.6780204,362242009.75342035,1984428.0273171272,360257581.72610325,135826450.92460003,143020.238777025,1830756.672701162,10651.11583894032,25964219.74011302,332359734.1688056,1933627.8171846387,3425951.6267043166,129012408.74458991,3388090.5533058047,137810878.95191717,360257581.72610325,40427995.143986724,97382883.80793045,644329291.6063552,595143613.8955696,718604.0474992092,594425009.8480704,49185677.71078561,51790.70293540521,662956.346553857,3856.9980099471204,42840962.57118648,548393561.3785292,3190485.8983546537,1240610.7309493218,46718166.557455644,1226900.4223806516,10437028.953901928,75083.17959600738,10361945.774305917,77835.4675331774,680,77155.4675331774,171000,5005.430116143861,875819.9569075014,0.008734041833876804,0.293358517494778,4378948.026664147
2030,593147308.170123,444425972.13851607,2567513.272540477,441858458.8659756,148721336.03160694,210738.19296948437,2341080.8189250827,15694.260645910157,36267174.9998632,402890366.25208926,2700917.614023149,4110205.8286649534,140546347.31701478,4064782.8859272082,151288849.30414742,441858458.8659756,45935238.084443,105353611.2197044,783121319.8812453,729983818.7070624,917361.578202571,729066457.1288598,53137501.17418292,75295.86053463971,836458.2250528653,5607.492615065992,59840838.74977428,664769104.3159473,4456514.063138195,1468559.070773818,50216612.45699003,1452329.6464190718,10447465.98285583,77389.16700329569,10370076.81585253,108777.04553696704,1002,107775.04553696704,171000,6005.148431748483,875834.678319551,0.009214414134740027,0.3036260656070952,5254768.3889513835
2031,681158287.2368255,522072113.24721795,3182867.815786884,518889245.43143106,159086173.98960742,296113.87023722957,2864701.5202399,22052.425309755043,48274170.20809912,467019963.20763457,3595112.0156973414,4794409.839929037,149550338.56715602,4741425.582522366,162269041.8053943,518889245.43143106,50993529.608867295,111275512.196527,913334816.9483907,857288582.7957443,1121327.8338830848,856167254.9618613,56046234.15264644,104321.24232396398,1009237.4978563268,7769.093702794176,79652380.84336354,770582939.292597,5931934.825900613,1689075.8623057262,52686748.84022246,1670409.4501182511,10457913.448838685,80133.04676176478,10377780.402076915,144870.61372050433,1408,143462.61372050433,171000,7004.793417063756,875851.2507909238,0.009721206912150728,0.3142529779033435,6130599.188267572
2032,762020892.1576256,594544999.2144411,3826128.0688745664,590718871.1455665,167475892.94318447,401453.6371768009,3394777.060318038,29897.37137972753,61980737.471790075,524122255.38801706,4615878.285759337,5478562.770467904,156579312.409818,5418017.762898553,171302021.01205903,590718871.1455665,55716296.18173719,115585724.83032185,1034150488.6907977,976014307.4973702,1328170.1071855826,974686137.3901846,58136181.19342745,139357.25901511475,1178434.5246446533,10378.32352581444,102268216.82845362,864801721.3902282,7616199.171502906,1901782.4733231235,54353633.334485896,1880765.385618427,10468371.362287523,83336.64686008947,10385034.715427427,186116.49134590974,1909,184207.49134590974,171000,8004.363771727985,875870.4631746504,0.010255873292319017,0.3252518321299605,7006440.435049743
2033,836117654.2893643,661793952.2485713,4493949.0513852425,657300003.197186,174323702.04079315,529059.9203372052,3925488.5640692795,39400.56697875782,77382071.61515439,574155073.0126569,5762858.569374637,6162663.709344066,162066479.80526382,6094558.526185282,178817651.0921784,657300003.197186,60196395.53712881,118621255.5550496,1145661524.9189954,1086080952.78277,1535947.5074131037,1084545005.2753568,59580572.13622555,180822.7589192677,1341658.3736084707,13466.37488536545,127680418.16500473,947355870.4708838,9508716.63946815,2106282.882863235,55391283.44487589,2083005.8084864346,10478839.733649809,87022.0291883216,10391817.70446148,232515.103952674,2516,229999.103952674,171000,9003.858164830974,875893.4423991609,0.010819946323396562,0.33663564625450915,7882292.139745362
