Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),ECAV Sensing Power (kWh),ECAV Computing Power (kWh),ECAV Communication Power (kWh),ICECAV Sensing Power (kWh),ICECAV Computing Power (kWh),ICECAV Communication Power (kWh),STI Sensing Power (kWh),STI Computing Power (kWh),STI Communication Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),ECAV Sensing Emissions (kg CO2),ECAV Computing Emissions (kg CO2),ECAV Communication Emissions (kg CO2),ICECAV Sensing Emissions (kg CO2),ICECAV Computing Emissions (kg CO2),ICECAV Communication Emissions (kg CO2),STI Sensing Emissions (kg CO2),STI Computing Emissions (kg CO2),STI Communication Emissions (kg CO2),Total Vehicles,Total EV,Total ICEV,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,EV Fraction,Clean Energy Fraction,Cumulative New Cars,shock_active
2024,3690833.949146114,3690833.949146114,96465.64258024852,3594368.3065658654,0.0,10200.101999999999,84703.32058024852,1562.2199999999998,380061.9824000001,3156097.0601658653,58209.264,0.0,0.0,0.0,96465.64258024852,3594368.3065658654,63281.46153264303,33184.18104760549,5949198.240203459,5949198.240203459,18490.534369782035,5930707.705833677,0.0,1955.1555513599997,16235.932488822034,299.44632959999996,627102.2709600001,5207560.149273678,96045.2856,0.0,0.0,0.0,37428700.0,1533900.0,35894800.0,1603.0,66.0,1537.0,380400,0.0,0.0,0.040981920291113506,0.656,0.0,0
2025,546074384.0392593,327939156.69739574,9138639.341758292,318800517.3556375,218135227.34186357,202700.31276404834,8904893.998012569,31045.030981675634,7071180.091553424,310646334.47032505,1083002.793758983,2448668.3647058825,211897819.73009887,3788739.2470588237,227273866.68362188,318800517.3556375,156546239.37167877,70727627.31194311,566081054.4739238,527631666.7617375,1610813.1249356833,526020853.63680184,38449387.71218623,35728.76792904221,1569612.2356656871,5472.121340954073,11667447.151063148,512566451.8760363,1786954.609702322,431612.0806365176,37349957.29690614,667818.3346435764,37503557.4,1546248.802015564,35957308.59798443,29917.617801011245,1312.0,28605.617801011245,380400,3729.4117647058824,3193791.79242792,0.04385065471149145,0.6888000000000001,3193791.79242792,0
2026,1223710012.1181955,835589823.0455806,24945740.767838575,810644082.2777421,388120189.07261515,626518.2564547391,24223266.671863925,95955.83951991094,20359520.359034367,787166352.914985,3118209.0037227734,4873330.176816609,375706524.90410304,7540333.991695503,413065929.84045374,810644082.2777421,298745803.0978098,114320126.74264394,1403685173.2225308,1341555980.092316,3993244.334041448,1337562735.7582746,62129193.13021481,100291.28824215653,3877592.7036852944,15360.342113996681,33593208.592406705,1298824482.309725,5145044.856142576,780109.0493803074,60142048.52837906,1207035.552455439,37578564.5148,1568404.180384449,36010160.33441555,86412.79066025557,4055.0,82357.79066025557,380400,7422.260668973471,3193945.63969703,0.04692020054129586,0.7232400000000001,6387723.657227919,0
2027,1955661871.2573261,1433491351.1194513,45845326.39417295,1387646024.7252784,522170520.1378748,1327224.334609105,44314827.97465636,203274.08490748782,40172417.053029515,1341320909.0650601,6152698.607188808,7297758.93800345,503581193.05511403,11291568.14475734,568015846.5320479,1387646024.7252784,431352369.8881303,136663476.6439176,2370888250.215312,2296175538.6932335,6559597.89652424,2289615940.796709,74712711.52207842,189900.66465366533,6340612.5603314815,29084.671539093346,66284488.1374987,2213179499.9573493,10151952.701861532,1044171.0844740074,72052930.89839032,1615609.5392141128,37653721.6438296,1601051.7229122072,36052669.92091739,171091.2881616378,8590.0,162501.2881616378,380400,11114.754628133,3194101.5574539304,0.05020461457918657,0.7594020000000001,9581805.53625752,0
2028,2691121128.916576,2062962594.5427132,67148766.6285265,1995813827.9141867,628158534.3738626,2241142.081664043,64564377.29474506,343247.25211740047,66611831.92909576,1918999908.1945696,10202087.790521307,9721717.117534524,603394743.0731094,15042074.18321867,695307301.0023891,1995813827.9141867,554418642.7456071,140888658.2567819,3380169704.4691668,3301502199.434942,8409383.37653414,3293092816.058408,78667505.03422502,280669.6818462515,8085727.086282027,42986.60840586211,109909522.683008,3166349848.5210395,16833444.854360156,1217500.3417684697,75566208.83236678,1883795.8600897717,37729029.08711726,1636505.2173362419,36092523.86978102,283955.9615311095,14505.0,269450.9615311095,380400,14806.53187416446,3194260.305322416,0.05108319533432234,0.7973721000000001,12776037.72954518,1
2029,3397547576.634122,2685306020.6740375,88969046.4015324,2596336974.272505,712241555.9600846,3413203.1607181784,85033086.2878213,522756.95299293613,99605715.97993155,2481475916.5697,15255341.722873814,12145191.149018386,681304533.6947914,18791831.11627467,801210602.361617,2596336974.272505,670806129.574715,130404472.786902,4369282427.830325,4293430932.3981724,9474924.848539745,4283956007.5496325,75851495.4321527,363495.44868276844,9055757.421298215,55671.97855876291,164349431.36688703,4094435262.3400044,25171313.84274179,1293424.826526153,72556799.43554366,2001271.1700828853,37804487.14529149,1674810.6464043094,36129676.49888718,425009.78480829997,22091.0,402918.78480829997,380400,18497.57174495591,3194422.9682238847,0.051977151252672986,0.8372407050000001,15970420.537719414,1
2030,4057366770.6883626,3278140868.675869,110547900.88953626,3167592967.786333,779225902.0124936,4855723.938584109,104948487.4220303,743689.5289218544,139133867.55972895,3007149733.8517227,21309366.37488132,14568166.949803818,742116917.90836,22540817.15432976,889773802.9020299,3167592967.786333,782202588.3338381,107571214.5681918,5303780081.78156,5236126354.869805,9597958.02235605,5226528396.847449,67653726.911755,421582.26574785187,9111807.358449375,64568.39815882322,229570881.47355276,4961797060.855342,35160454.51855417,1264833.1964856577,64431861.378191836,1957032.3370774928,37880096.11958207,1716013.4033445502,36164082.71623752,594255.9177540885,31428.0,562827.9177540885,380400,22187.852792112826,3194591.0957900807,0.05288675139959477,0.8791027402500002,19164954.262009993,1
2031,4662478979.637808,3829615684.4830165,131452686.20066579,3698162998.282351,832863295.1547917,6582080.902435034,123862511.61177526,1008093.6864554939,185173911.22710162,3484628352.2707143,28360734.784534775,16990629.89690434,789583655.5861409,26289009.67174644,964315981.3554575,3698162998.282351,890119462.7602735,74196518.59518406,6165770790.346279,6110666224.648337,8697277.482458033,6101968947.165879,55104565.697942205,435488.88710480626,8195090.296727108,66698.29862611867,305536953.5247177,5749636781.246678,46795212.394482374,1124147.6084372012,52241063.66121151,1739354.4282934836,37955856.311821245,1760157.6850442037,36195698.626777045,791697.8015666384,42603.0,749094.8015666384,380400,25877.352744290267,3194766.9015241787,0.05381226954908768,0.9230578772625003,22359639.20424917,1
2032,5210958430.795848,4334876185.04101,151453562.39764002,4183422622.6433706,876082245.7548375,8605619.356325982,141529929.68509078,1318013.356223259,237702845.1968111,3909313853.3858624,36405924.06069687,19412564.80137905,826633295.7862527,30036385.167205654,1027535808.1524775,4183422622.6433706,995898772.9786553,31637035.17382213,6948342808.137832,6909382609.279845,6735281.91828435,6902647327.361561,38960198.857986376,382699.96115458396,6293968.667447475,58613.28968229084,392209694.5747383,6450367858.086673,60069774.700149834,863294.9573742672,36761157.690984115,1335746.2096279936,38031768.024444886,1807285.6199456733,36224482.40449922,1017339.3039768237,55703.0,961636.3039768237,380400,29566.048468173936,3194953.547316499,0.054753984266196716,0.9692107711256254,25554475.666872807,1
2033,5704724080.773965,4793555410.442665,170472496.26383165,4623082914.178833,911168670.331301,10940411.735052258,157856480.69454977,1675603.834229632,296695547.2284749,4280946280.4012957,45441086.54906276,21833955.88127181,855551795.2281926,33782919.22183651,1081641166.5951326,4623082914.178833,1081641166.5951326,0.0,7660536043.392927,7633200983.282989,5114174.887914949,7628086808.395074,27335060.109939028,328212.3520515677,4735694.420836492,50268.11502688896,489547652.9269836,7063561362.662137,74977792.80595355,655018.6764381543,25666553.856845777,1013487.5766550952,38107831.560493775,1857436.0173314833,36250395.543162294,1271184.9384716365,70820.0,1200364.9384716365,380400,33253.91592726556,3195155.5498958305,0.05571217899085516,1.0,28749463.952921692,1
