Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),ECAV Sensing Power (kWh),ECAV Computing Power (kWh),ECAV Communication Power (kWh),ICECAV Sensing Power (kWh),ICECAV Computing Power (kWh),ICECAV Communication Power (kWh),STI Sensing Power (kWh),STI Computing Power (kWh),STI Communication Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),ECAV Sensing Emissions (kg CO2),ECAV Computing Emissions (kg CO2),ECAV Communication Emissions (kg CO2),ICECAV Sensing Emissions (kg CO2),ICECAV Computing Emissions (kg CO2),ICECAV Communication Emissions (kg CO2),STI Sensing Emissions (kg CO2),STI Computing Emissions (kg CO2),STI Communication Emissions (kg CO2),Total Vehicles,Total EV,Total ICEV,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,EV Fraction,Clean Energy Fraction,Cumulative New Cars,shock_active
2024,3690833.949146114,3690833.949146114,96465.64258024852,3594368.3065658654,0.0,10200.101999999999,84703.32058024852,1562.2199999999998,380061.9824000001,3156097.0601658653,58209.264,0.0,0.0,0.0,96465.64258024852,3594368.3065658654,63281.46153264303,33184.18104760549,5949198.240203459,5949198.240203459,18490.534369782035,5930707.705833677,0.0,1955.1555513599997,16235.932488822034,299.44632959999996,627102.2709600001,5207560.149273678,96045.2856,0.0,0.0,0.0,37428700.0,1533900.0,35894800.0,1603.0,66.0,1537.0,380400,0.0,0.0,0.040981920291113506,0.656,0.0,0
2025,546074384.0392593,327939156.69739574,9138639.341758292,318800517.3556375,218135227.34186357,202700.31276404834,8904893.998012569,31045.030981675634,7071180.091553424,310646334.47032505,1083002.793758983,2448668.3647058825,211897819.73009887,3788739.2470588237,227273866.68362188,318800517.3556375,156546239.37167877,70727627.31194311,566081054.4739238,527631666.7617375,1610813.1249356833,526020853.63680184,38449387.71218623,35728.76792904221,1569612.2356656871,5472.121340954073,11667447.151063148,512566451.8760363,1786954.609702322,431612.0806365176,37349957.29690614,667818.3346435764,37503557.4,1546248.802015564,35957308.59798443,29917.617801011245,1312.0,28605.617801011245,380400,3729.4117647058824,3193791.79242792,0.04385065471149145,0.6888000000000001,3193791.79242792,0
2026,1223710012.1181955,835589823.0455806,24945740.767838575,810644082.2777421,388120189.07261515,626518.2564547391,24223266.671863925,95955.83951991094,20359520.359034367,787166352.914985,3118209.0037227734,4873330.176816609,375706524.90410304,7540333.991695503,413065929.84045374,810644082.2777421,298745803.0978098,114320126.74264394,1403685173.2225308,1341555980.092316,3993244.334041448,1337562735.7582746,62129193.13021481,100291.28824215653,3877592.7036852944,15360.342113996681,33593208.592406705,1298824482.309725,5145044.856142576,780109.0493803074,60142048.52837906,1207035.552455439,37578564.5148,1568404.180384449,36010160.33441555,86412.79066025557,4055.0,82357.79066025557,380400,7422.260668973471,3193945.63969703,0.04692020054129586,0.7232400000000001,6387723.657227919,0
2027,1955661871.2573261,1433491351.1194513,45845326.39417295,1387646024.7252784,522170520.1378748,1327224.334609105,44314827.97465636,203274.08490748782,40172417.053029515,1341320909.0650601,6152698.607188808,7297758.93800345,503581193.05511403,11291568.14475734,568015846.5320479,1387646024.7252784,431352369.8881303,136663476.6439176,2370888250.215312,2296175538.6932335,6559597.89652424,2289615940.796709,74712711.52207842,189900.66465366533,6340612.5603314815,29084.671539093346,66284488.1374987,2213179499.9573493,10151952.701861532,1044171.0844740074,72052930.89839032,1615609.5392141128,37653721.6438296,1601051.7229122072,36052669.92091739,171091.2881616378,8590.0,162501.2881616378,380400,11114.754628133,3194101.5574539304,0.05020461457918657,0.7594020000000001,9581805.53625752,0
2028,2689040697.63613,2060882163.2622674,70616152.09593542,1990266011.166332,628158534.3738626,2356868.756546246,67898311.70313969,360971.63624948816,66426669.24928424,1913665613.1411378,10173728.775909968,9721717.117534524,603394743.0731094,15042074.18321867,698774686.4697981,1990266011.166332,557183439.1772646,141591247.29253352,3371450045.246032,3292782540.2118073,8843621.787359653,3283938918.4244475,78667505.03422502,295162.72505223844,8503252.738651916,45206.32365549952,109604004.26131898,3157548261.682877,16786652.480251446,1217500.3417684697,75566208.83236678,1883795.8600897717,37729029.08711726,1644924.464229693,36084104.62288757,283955.9615311095,15254.0,268701.9615311095,380400,14806.53187416446,3194260.305322416,0.05371893759972963,0.7973721000000001,12776037.72954518,0
2029,4013244775.1877346,3234246228.5078416,114780119.96492551,3119466108.5429163,778998546.6798928,3708325.6098702275,110503837.24695465,567957.1081006314,100783969.06160109,3003246339.7072134,15435799.774101714,12145191.149018386,748061524.4145997,18791831.11627467,893778666.6448183,3119466108.5429163,730491026.6667233,163287639.97809502,5250677629.884861,5160418191.422561,13299112.326748455,5147119079.095812,90259438.46230076,429668.8210893362,12803636.592582935,65806.91307618127,166293548.9516418,4955356460.516902,25469069.627267826,1407214.606240035,86674889.72435749,2177334.1317032296,37955644.437937535,1703204.1403863335,36252440.29755121,431684.32799060375,24001.0,407683.32799060375,380400,18497.57174495591,3345580.2608699277,0.05559910041572016,0.8173064025000001,16121577.830365457,1
2030,5350120885.879288,4437152344.511081,163104478.00681114,4274047866.5042706,912968541.3682079,5357262.011995948,156926712.2527565,820503.7420586882,140383602.9058594,4112163491.142254,21500772.45615698,14568166.949803818,875859557.2640743,22540817.15432976,1076073019.375019,4274047866.5042706,901468402.5000273,174604616.87499171,7166525340.244543,7069510892.258021,17331912.525974795,7052178979.732046,97014447.98652188,569276.8077573203,16675446.823967729,87188.8942497478,231632944.79466802,6785069760.384719,35476274.55265901,1548051.8887240659,93071149.34579557,2395246.752002242,38061920.24236376,1761053.0418854617,36300867.2004783,602555.1578864974,34674.0,567881.1578864974,380400,22187.852792112826,3225257.925925724,0.05754506893027036,0.8377390625625,19346778.38479168,1
2031,6713715136.571349,5681680375.393855,216331203.03961033,5465349172.354244,1032034761.1774951,7379011.643317346,207822041.95568708,1130149.44060591,186421905.90606827,5250375392.178235,28551874.26994142,16990629.89690434,988755121.6088443,26289009.67174644,1248365964.2171054,5465349172.354244,1071950055.9131235,176415908.30398193,9138192590.213886,9038684617.34668,20858482.962177597,9017826134.384502,99507972.86720708,711478.4482184158,20038036.40154464,108968.11241453992,307596144.74501264,8663119397.094088,47110592.54540334,1638223.0544724236,95334984.35760868,2534765.4551259642,38168493.619042374,1825392.4623142174,36343101.15672816,801901.3475121208,47761.0,754140.3475121208,380400,25877.352744290267,3225580.0859636217,0.05955914634282981,0.8586825391265624,22572276.5114703,1
2032,8081626627.032156,6943692319.690147,273850825.176094,6669841494.514053,1137934307.3420086,9806521.574141143,262542363.3141445,1501940.2878083747,238845161.30267155,6394415455.109353,36580878.10202874,19412564.80137905,1088485357.373424,30036385.167205654,1411785132.5181026,6669841494.514053,1242582123.349069,169203009.1690336,11127117434.233175,11028879921.908928,23641455.960740693,11005238465.948187,98237512.32424816,846593.93585552,22665199.990282755,129662.03460241972,394094516.14940804,10550785500.930431,60358448.86834742,1675880.6388175578,93968599.96206911,2593031.723361506,38275365.40117569,1896441.2652903532,36378924.13588534,1029729.3845605812,63476.0,966253.3845605812,380400,29566.048468173936,3225913.6168261766,0.06164371646482885,0.8801496026047264,25798073.043603614,1
2033,9436392436.166252,8204190598.670094,335166006.3877483,7869024592.282345,1232201837.4961596,12675460.199626198,320549207.029645,1941339.1584770465,297594344.67815024,7525851503.671722,45578743.93247242,21833955.88127181,1176584962.3930511,33782919.22183651,1567367843.8839078,7869024592.282345,1414006139.5530944,153361704.3308134,13102991613.617868,13009359147.9441,25468570.67822965,12983890577.26587,93632465.67376989,963181.9689965651,24357870.367200244,147518.34203283594,491030668.7189479,12417654981.058342,75204927.4885795,1659117.0880981262,89406254.52028233,2567094.065389435,38382536.42429898,1974422.1882049113,36408114.23609407,1286046.416666755,82051.0,1203995.416666755,380400,33253.91592726556,3226263.036970228,0.06380124654109785,0.9021533426698445,29024168.816726897,1
