Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),ECAV Sensing Power (kWh),ECAV Computing Power (kWh),ECAV Communication Power (kWh),ICECAV Sensing Power (kWh),ICECAV Computing Power (kWh),ICECAV Communication Power (kWh),STI Sensing Power (kWh),STI Computing Power (kWh),STI Communication Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),ECAV Sensing Emissions (kg CO2),ECAV Computing Emissions (kg CO2),ECAV Communication Emissions (kg CO2),ICECAV Sensing Emissions (kg CO2),ICECAV Computing Emissions (kg CO2),ICECAV Communication Emissions (kg CO2),STI Sensing Emissions (kg CO2),STI Computing Emissions (kg CO2),STI Communication Emissions (kg CO2),Total Vehicles,Total EV,Total ICEV,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,EV Fraction,Clean Energy Fraction,Cumulative New Cars,shock_active
2024,3690833.949146114,3690833.949146114,96465.64258024852,3594368.3065658654,0.0,10200.101999999999,84703.32058024852,1562.2199999999998,380061.9824000001,3156097.0601658653,58209.264,0.0,0.0,0.0,96465.64258024852,3594368.3065658654,63281.46153264303,33184.18104760549,5949198.240203459,5949198.240203459,18490.534369782035,5930707.705833677,0.0,1955.1555513599997,16235.932488822034,299.44632959999996,627102.2709600001,5207560.149273678,96045.2856,0.0,0.0,0.0,37428700.0,1533900.0,35894800.0,1603.0,66.0,1537.0,380400,0.0,0.0,0.040981920291113506,0.656,0.0,0
2025,546074384.0392593,327939156.69739574,9138639.341758292,318800517.3556375,218135227.34186357,202700.31276404834,8904893.998012569,31045.030981675634,7071180.091553424,310646334.47032505,1083002.793758983,2448668.3647058825,211897819.73009887,3788739.2470588237,227273866.68362188,318800517.3556375,156546239.37167877,70727627.31194311,566081054.4739238,527631666.7617375,1610813.1249356833,526020853.63680184,38449387.71218623,35728.76792904221,1569612.2356656871,5472.121340954073,11667447.151063148,512566451.8760363,1786954.609702322,431612.0806365176,37349957.29690614,667818.3346435764,37503557.4,1546248.802015564,35957308.59798443,29917.617801011245,1312.0,28605.617801011245,380400,3729.4117647058824,3193791.79242792,0.04385065471149145,0.6888000000000001,3193791.79242792,0
2026,1223710012.1181955,835589823.0455806,24945740.767838575,810644082.2777421,388120189.07261515,626518.2564547391,24223266.671863925,95955.83951991094,20359520.359034367,787166352.914985,3118209.0037227734,4873330.176816609,375706524.90410304,7540333.991695503,413065929.84045374,810644082.2777421,298745803.0978098,114320126.74264394,1403685173.2225308,1341555980.092316,3993244.334041448,1337562735.7582746,62129193.13021481,100291.28824215653,3877592.7036852944,15360.342113996681,33593208.592406705,1298824482.309725,5145044.856142576,780109.0493803074,60142048.52837906,1207035.552455439,37578564.5148,1568404.180384449,36010160.33441555,86412.79066025557,4055.0,82357.79066025557,380400,7422.260668973471,3193945.63969703,0.04692020054129586,0.7232400000000001,6387723.657227919,0
2027,1955661871.2573261,1433491351.1194513,45845326.39417295,1387646024.7252784,522170520.1378748,1327224.334609105,44314827.97465636,203274.08490748782,40172417.053029515,1341320909.0650601,6152698.607188808,7297758.93800345,503581193.05511403,11291568.14475734,568015846.5320479,1387646024.7252784,431352369.8881303,136663476.6439176,2370888250.215312,2296175538.6932335,6559597.89652424,2289615940.796709,74712711.52207842,189900.66465366533,6340612.5603314815,29084.671539093346,66284488.1374987,2213179499.9573493,10151952.701861532,1044171.0844740074,72052930.89839032,1615609.5392141128,37653721.6438296,1601051.7229122072,36052669.92091739,171091.2881616378,8590.0,162501.2881616378,380400,11114.754628133,3194101.5574539304,0.05020461457918657,0.7594020000000001,9581805.53625752,0
2028,3414747323.000757,2682782375.324093,91925570.33745939,2590856804.9866333,731964947.6766646,2356868.756546246,89207729.94466366,360971.63624948816,66426669.24928424,2514256406.961439,10173728.775909968,9721717.117534524,707201156.3759114,15042074.18321867,823890518.0141239,2590856804.9866333,656947312.51901,166943205.495114,4378093750.351072,4286426037.416746,11512309.188801168,4274913728.227945,91667712.93432613,295162.72505223844,11171940.14009343,45206.32365549952,109604004.26131898,4148523071.4863744,16786652.480251446,1217500.3417684697,88566416.73246787,1883795.8600897717,37729029.08711726,1644924.464229693,36084104.62288757,283955.9615311095,15254.0,268701.9615311095,380400,14806.53187416446,3194260.305322416,0.05371893759972963,0.7973721000000001,12776037.72954518,1
2029,5066553394.696097,4138469018.926809,151946201.61137366,3986522817.3154354,928084375.769289,3774439.365043882,147593679.33452567,578082.9118041028,99027738.0530104,3872328259.073649,15166820.18877595,12145191.149018386,897147353.5039959,18791831.11627467,1080030577.3806627,3986522817.3154354,904245562.0277432,175785015.35291946,6692782523.107759,6593944443.24534,16181794.67487287,6577762648.570468,98838079.86241916,401965.97328646743,15718264.681659192,61564.01992721104,163395767.78746715,6389341627.47152,25025253.311480314,1293424.826526153,95543383.86581011,2001271.1700828853,37804487.14529149,1700805.9661773385,36103681.179114155,425009.78480829997,24429.0,400580.78480829997,380400,18497.57174495591,3194422.9682238847,0.05747926323171071,0.8372407050000001,15970420.537719414,1
2030,6878155947.128626,5766709976.062088,226898592.43886593,5539811383.623222,1111445971.0665383,5646779.893959908,220386967.02807274,864845.5168332678,137868178.03112763,5380827688.797872,21115516.794223066,14568166.949803818,1074336986.9624047,22540817.15432976,1338344563.5054042,5539811383.623222,1176542373.1762912,161802190.32911292,9256886149.338163,9160388507.24297,19699724.264651705,9140688782.978317,96497642.09519349,490263.0981466364,19134373.798046727,75087.36845833878,227482493.75136057,8878365686.516487,34840602.71046806,1264833.1964856577,93275776.56163034,1957032.3370774928,37880096.11958207,1769533.512499649,36110562.60708243,594255.9177540885,36548.0,557707.9177540885,380400,22187.852792112826,3194591.0957900807,0.061502811657930465,0.8791027402500002,19164954.262009993,1
2031,8820050908.697634,7537145501.273691,317846307.1557477,7219299194.117944,1282905407.4239423,8049348.989903652,308564141.6725377,1232816.4933063693,182826282.28715187,7008471733.537218,28001178.293573376,16990629.89690434,1239625767.8552916,26289009.67174644,1600751714.5796902,7219299194.117944,1477586479.6842368,123165234.89545357,12017753882.132862,11932873271.210394,21029600.915786557,11911843670.294607,84880610.92246732,532567.4487280335,20415466.87882716,81566.58823136361,301663365.77380055,11563978360.336409,46201944.184396066,1124147.6084372012,82017108.88573664,1739354.4282934836,37955856.311821245,1852001.3838758918,36103854.92794536,791697.8015666384,52100.0,739597.8015666384,380400,25877.352744290267,3194766.9015241787,0.0658080084739856,0.9230578772625003,22359639.20424917,1
2032,10865833811.046892,9422572823.99748,425928770.8680853,8996644053.129395,1443260987.049412,11067126.514007647,413166633.2274524,1695011.126625305,233764433.74452037,8727076891.75682,35802727.62805359,19412564.80137905,1393812037.0808275,30036385.167205654,1869189757.9174974,8996644053.129395,1811638846.6513386,57550911.26615874,14927587308.69612,14863404139.442448,18941451.778948676,14844462687.6635,64183169.25367085,492165.4922943068,18373907.55266014,75378.73399422987,385711315.6784586,14399676871.398754,59074500.58628842,863294.9573742672,61984128.086668596,1335746.2096279936,38031768.024444886,1949164.1597402645,36082603.864704624,1017339.3039768237,71636.0,945703.3039768237,380400,29566.048468173936,3194953.547316499,0.0704145690671646,0.9692107711256254,25554475.666872807,1
2033,12991904805.680916,11398647320.1858,552367996.4223344,10846279323.763466,1593257485.4951172,14795663.29195658,535306269.40788174,2266063.722496148,290527144.73742807,10511255828.2982,44496350.72783633,21833955.88127181,1537640610.3920088,33782919.22183651,2145625481.9174516,10846279323.763466,2145625481.9174516,0.0,17960729648.66724,17912931924.102386,16571039.892670032,17896360884.209717,47797724.56485351,443869.8987586974,16059188.082236452,67981.91167488444,479369788.8167563,17343572116.69203,73418978.70092994,655018.6764381543,46129218.31176026,1013487.5766550952,38107831.560493775,2062039.9654555214,36045791.59503826,1271184.9384716365,95776.0,1175408.9384716365,380400,33253.91592726556,3195155.5498958305,0.07534358890186613,1.0,28749463.952921692,1
