Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),ECAV Sensing Power (kWh),ECAV Computing Power (kWh),ECAV Communication Power (kWh),ICECAV Sensing Power (kWh),ICECAV Computing Power (kWh),ICECAV Communication Power (kWh),STI Sensing Power (kWh),STI Computing Power (kWh),STI Communication Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),ECAV Sensing Emissions (kg CO2),ECAV Computing Emissions (kg CO2),ECAV Communication Emissions (kg CO2),ICECAV Sensing Emissions (kg CO2),ICECAV Computing Emissions (kg CO2),ICECAV Communication Emissions (kg CO2),STI Sensing Emissions (kg CO2),STI Computing Emissions (kg CO2),STI Communication Emissions (kg CO2),Total Vehicles,Total EV,Total ICEV,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,EV Fraction,Clean Energy Fraction,Cumulative New Cars,shock_active
2024,3690833.949146114,3690833.949146114,96465.64258024852,3594368.3065658654,0.0,10200.101999999999,84703.32058024852,1562.2199999999998,380061.9824000001,3156097.0601658653,58209.264,0.0,0.0,0.0,96465.64258024852,3594368.3065658654,63281.46153264303,33184.18104760549,5949198.240203459,5949198.240203459,18490.534369782035,5930707.705833677,0.0,1955.1555513599997,16235.932488822034,299.44632959999996,627102.2709600001,5207560.149273678,96045.2856,0.0,0.0,0.0,37428700.0,1533900.0,35894800.0,1603.0,66.0,1537.0,380400,0.0,0.0,0.040981920291113506,0.656,0.0,0
2025,546074384.0392593,327939156.69739574,9138639.341758292,318800517.3556375,218135227.34186357,202700.31276404834,8904893.998012569,31045.030981675634,7071180.091553424,310646334.47032505,1083002.793758983,2448668.3647058825,211897819.73009887,3788739.2470588237,227273866.68362188,318800517.3556375,156546239.37167877,70727627.31194311,566081054.4739238,527631666.7617375,1610813.1249356833,526020853.63680184,38449387.71218623,35728.76792904221,1569612.2356656871,5472.121340954073,11667447.151063148,512566451.8760363,1786954.609702322,431612.0806365176,37349957.29690614,667818.3346435764,37503557.4,1546248.802015564,35957308.59798443,29917.617801011245,1312.0,28605.617801011245,380400,3729.4117647058824,3193791.79242792,0.04385065471149145,0.6888000000000001,3193791.79242792,0
2026,1223710012.1181955,835589823.0455806,24945740.767838575,810644082.2777421,388120189.07261515,626518.2564547391,24223266.671863925,95955.83951991094,20359520.359034367,787166352.914985,3118209.0037227734,4873330.176816609,375706524.90410304,7540333.991695503,413065929.84045374,810644082.2777421,298745803.0978098,114320126.74264394,1403685173.2225308,1341555980.092316,3993244.334041448,1337562735.7582746,62129193.13021481,100291.28824215653,3877592.7036852944,15360.342113996681,33593208.592406705,1298824482.309725,5145044.856142576,780109.0493803074,60142048.52837906,1207035.552455439,37578564.5148,1568404.180384449,36010160.33441555,86412.79066025557,4055.0,82357.79066025557,380400,7422.260668973471,3193945.63969703,0.04692020054129586,0.7232400000000001,6387723.657227919,0
2027,1955661871.2573261,1433491351.1194513,45845326.39417295,1387646024.7252784,522170520.1378748,1327224.334609105,44314827.97465636,203274.08490748782,40172417.053029515,1341320909.0650601,6152698.607188808,7297758.93800345,503581193.05511403,11291568.14475734,568015846.5320479,1387646024.7252784,431352369.8881303,136663476.6439176,2370888250.215312,2296175538.6932335,6559597.89652424,2289615940.796709,74712711.52207842,189900.66465366533,6340612.5603314815,29084.671539093346,66284488.1374987,2213179499.9573493,10151952.701861532,1044171.0844740074,72052930.89839032,1615609.5392141128,37653721.6438296,1601051.7229122072,36052669.92091739,171091.2881616378,8590.0,162501.2881616378,380400,11114.754628133,3194101.5574539304,0.05020461457918657,0.7594020000000001,9581805.53625752,0
2028,2689040697.63613,2060882163.2622674,70616152.09593542,1990266011.166332,628158534.3738626,2356868.756546246,67898311.70313969,360971.63624948816,66426669.24928424,1913665613.1411378,10173728.775909968,9721717.117534524,603394743.0731094,15042074.18321867,698774686.4697981,1990266011.166332,557183439.1772646,141591247.29253352,3371450045.246032,3292782540.2118073,8843621.787359653,3283938918.4244475,78667505.03422502,295162.72505223844,8503252.738651916,45206.32365549952,109604004.26131898,3157548261.682877,16786652.480251446,1217500.3417684697,75566208.83236678,1883795.8600897717,37729029.08711726,1644924.464229693,36084104.62288757,283955.9615311095,15254.0,268701.9615311095,380400,14806.53187416446,3194260.305322416,0.05371893759972963,0.7973721000000001,12776037.72954518,0
2029,3391897955.5987654,2679656399.638681,98385081.46046062,2581271318.1782203,712241555.9600846,3774439.365043882,94032559.18361263,578082.9118041028,99027738.0530104,2467076759.936434,15166820.18877595,12145191.149018386,681304533.6947914,18791831.11627467,810626637.4205452,2581271318.1782203,678689617.4057568,131937020.01478845,4345426873.52363,4269575378.0914774,10477703.097414218,4259097674.9940634,75851495.4321527,401965.97328646743,10014173.10420054,61564.01992721104,163395767.78746715,4070676653.8951154,25025253.311480314,1293424.826526153,72556799.43554366,2001271.1700828853,37804487.14529149,1700805.9661773385,36103681.179114155,425009.78480829997,24429.0,400580.78480829997,380400,18497.57174495591,3194422.9682238847,0.05747926323171071,0.8372407050000001,15970420.537719414,0
2030,4046561019.398664,3267335117.3861704,128557486.37236768,3138777631.0138025,779225902.0124936,5646779.893959908,122045860.96157451,864845.5168332678,137868178.03112763,2979793936.1884522,21115516.794223066,14568166.949803818,742116917.90836,22540817.15432976,907783388.3848612,3138777631.0138025,798034864.2825618,109748524.10229948,5257798399.152401,5190144672.240646,11161581.06787161,5178983091.172774,67653726.911755,490263.0981466364,10596230.601266636,75087.36845833878,227482493.75136057,4916659994.710946,34840602.71046806,1264833.1964856577,64431861.378191836,1957032.3370774928,37880096.11958207,1769533.512499649,36110562.60708243,594255.9177540885,36548.0,557707.9177540885,380400,22187.852792112826,3194591.0957900807,0.061502811657930465,0.8791027402500002,19164954.262009993,0
2031,4644897032.439051,3812033737.284259,160755931.53192714,3651277805.7523317,832863295.1547917,8049348.989903652,151473766.0487171,1232816.4933063693,182826282.28715187,3440450345.1716065,28001178.293573376,16990629.89690434,789583655.5861409,26289009.67174644,993619226.6867188,3651277805.7523317,917168054.1926498,76451172.49406902,6090349007.364161,6035244441.666219,10636062.174871812,6024608379.491347,55104565.697942205,532567.4487280335,10021928.137912415,81566.58823136361,301663365.77380055,5676743069.533151,46201944.184396066,1124147.6084372012,52241063.66121151,1739354.4282934836,37955856.311821245,1852001.3838758918,36103854.92794536,791697.8015666384,52100.0,739597.8015666384,380400,25877.352744290267,3194766.9015241787,0.0658080084739856,0.9230578772625003,22359639.20424917,0
2032,4770237864.121953,4057049656.071724,183388591.68169874,3873661064.390025,713188208.0502291,9839868.83619658,172041675.18134323,1507047.6641589487,207844536.23831,3633983621.833503,31832906.31821257,10284190.554198828,686991647.7613051,15912369.734725118,896576799.7319278,3873661064.390025,868971891.4415271,27604908.29040067,6431412367.131987,6399696218.855443,8155462.611902379,6391540756.243541,31716148.27654377,437588.19272089435,7650854.596592218,67019.82258926779,342943484.7932115,5996072976.025279,52524295.425050735,457347.59610359225,30551162.679361247,707638.0010789316,38031768.024444886,1949164.1597402645,36082603.864704624,904576.2376009473,63695.0,840881.2376009473,380400,15663.19955618532,3194953.547316499,0.0704145690671646,0.9692107711256254,25554475.666872807,1
2033,5001063679.720982,4277666253.175646,207290735.5753311,4070375517.6003146,723397426.5453357,12005317.237575391,193446716.46057007,1838701.8771856423,235737256.8012986,3798533380.934077,36104879.86493907,10988751.104187448,695406163.7149036,17002511.726244602,930688162.1206667,4070375517.6003146,930688162.1206667,0.0,6744040248.904139,6722338326.107779,6218722.067259933,6716119604.040519,21701922.796360068,360159.51712726173,5803401.493817102,55161.056315569265,388966473.72214264,6267580078.541226,59573051.77714946,329662.5331256234,20862184.911447108,510075.35178733803,38107831.560493775,2062039.9654555214,36045791.59503826,1031555.4017322491,77721.0,953834.4017322491,380400,16736.271125185154,3195155.5498958305,0.07534358890186613,1.0,28749463.952921692,1
