Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),ECAV Sensing Power (kWh),ECAV Computing Power (kWh),ECAV Communication Power (kWh),ICECAV Sensing Power (kWh),ICECAV Computing Power (kWh),ICECAV Communication Power (kWh),STI Sensing Power (kWh),STI Computing Power (kWh),STI Communication Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),ECAV Sensing Emissions (kg CO2),ECAV Computing Emissions (kg CO2),ECAV Communication Emissions (kg CO2),ICECAV Sensing Emissions (kg CO2),ICECAV Computing Emissions (kg CO2),ICECAV Communication Emissions (kg CO2),STI Sensing Emissions (kg CO2),STI Computing Emissions (kg CO2),STI Communication Emissions (kg CO2),Total Vehicles,Total EV,Total ICEV,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,EV Fraction,Clean Energy Fraction,Cumulative New Cars,shock_active
2024,717679.9732605177,717679.9732605177,3373.61316167589,714306.3600988418,0.0,631.197,2695.4091616758897,47.007,133645.44480000003,570707.9664988418,9952.9488,0.0,0.0,0.0,3373.61316167589,714306.3600988418,833.2824509339448,2540.330710741945,1179900.657991988,1179900.657991988,1295.1638288989907,1178605.494163089,0.0,242.32284026999997,1034.7945312589907,18.04645737,220514.98392000003,941668.1447230888,16422.36552,0.0,0.0,0.0,10385000.0,69400.0,10315600.0,400.0,3,397.0,171000,0.0,0.0,0.006682715454983149,0.247,0.0,0
2025,134795414.91362038,65824909.62378002,294919.51791625423,65529990.105863765,68970505.28984036,12409.921706056604,281585.3947491061,924.2014610915495,2757437.1895025177,62567198.88272841,205354.03363283543,1147455.2647058824,66688275.583958,1134774.4411764706,69265424.80775662,65529990.105863765,17963987.923891682,51301436.88386494,134314121.75432444,108235994.3664567,111510.69178148427,108124483.67467521,26078127.387867734,4692.259651629386,106468.98647430814,349.4456555467509,4549771.362679154,103235878.15650187,338834.15549417847,433859.1465892501,25215203.783810236,429064.45746825007,10405770.0,69984.05542573052,10335785.94457427,8252.484114672587,59,8193.484114672587,171000,1676.4705882352941,886155.7394288853,0.00715050553683197,0.25935,886155.7394288853,0
2026,291271391.7367951,168487315.28580487,807812.8173800164,167679502.46842486,122784076.45099024,38493.612766733364,766452.477972748,2866.7266405351033,7990204.782677578,159094244.8635391,595052.8222081616,2283660.9679930797,118241991.8402636,2258423.642733564,123591889.26837026,167679502.46842486,33656234.30583942,89935654.96253084,322648693.5833416,276971694.14514947,300515.0722484734,276671179.072901,45676999.43819213,14320.038717902373,285128.58033131243,1066.4531992586103,13183837.891418003,262505504.0248395,981837.1566434666,849546.4865403558,43987295.02204014,840157.9296116363,10426581.54,71010.95768801261,10355570.582311988,23924.07303351203,183,23741.07303351203,171000,3336.5051903114186,886198.3106126916,0.0076510409244102085,0.27231750000000005,1772350.612762218,0
2027,455733725.8847476,290445420.639855,1490014.1109793633,288955406.52887565,165288305.2448926,81616.29734280314,1402319.6204746899,6078.193161870458,15827682.573133642,271948992.3161504,1178731.63959159,3419757.4627351705,158486582.93952012,3381964.8426372977,166778319.35587195,288955406.52887565,47687487.730252296,119090831.62561965,537752461.2173623,477321186.78926605,544766.0166212033,476776420.7726448,60431274.4280962,29839.84169491289,512703.9187391528,2222.2561871377247,26115676.24567051,448715837.3216482,1944907.2053261234,1250302.0186569723,57944487.80026629,1236484.6091729344,10447434.703079998,72511.3634104273,10374923.339669572,47415.531864913224,388,47027.531864913224,171000,4996.380235044015,886241.4068124164,0.008186613789118924,0.28593337500000005,2658587.1091755508,0
2028,618802710.3651592,419841982.7088292,2193318.068643935,417648664.6401853,198960727.65632987,137990.59284291224,2045050.9317145222,10276.544086500373,26275982.33820311,389415836.655105,1956845.6468771456,4555633.441132065,189899806.25201908,4505287.963178734,201154045.7249738,417648664.6401853,60392487.9484984,140761557.7764754,761312850.1829983,689907460.7001655,787164.0438598493,689120296.6563057,71405389.4828328,49523.7032100876,733952.1724284353,3688.168221326445,43355370.85803513,642536130.4809232,3228795.31734729,1634979.847716212,68153498.37060423,1616911.264512362,10468329.57248616,74136.99764676172,10394192.574839398,78727.64631090016,656,78071.64631090016,171000,6655.933098007684,886285.2175953295,0.008329879530428505,0.30023004375000006,3544865.311915046,1
2029,774911116.489614,549171947.4999624,2918538.8933193223,546253408.6066431,225739168.9896516,210139.04178479064,2692750.2113474305,15649.6401871011,39331039.28100246,503993277.19833,2929092.1273106216,5691282.545921378,214419499.72637898,5628386.717351234,228657707.8829709,546253408.6066431,72082409.32355304,156575298.55941784,981768245.7603766,902344972.6326946,1026848.4317335704,901318124.200961,79423273.12768196,73934.57938718602,947407.7381328291,5506.114213555282,64896214.81365406,831588907.3772445,4833002.010062525,2002400.7801333067,75440600.61393163,1980271.7336170266,10489266.231631132,75889.2015516439,10413377.030079486,117861.23294111027,999,116862.23294111027,171000,8315.154491029076,886330.0137009248,0.008475652422211004,0.3152415459375001,4431185.304393351,1
2030,921148282.5786611,674012015.7248492,3643726.118315289,670368289.6065339,247136266.85381192,298900.5992673619,3322565.558259519,22259.96078840819,54991367.89838473,611281561.2568172,4095360.451331947,6826698.177919439,233558314.09699208,6751254.578900403,250779992.9721272,670368289.6065339,83009086.30846523,167770906.66366196,1192483403.7718658,1107362680.2327375,1255002.381956684,1106107677.850781,85120723.53912826,102949.82440180224,1144385.5971674663,7666.960387415527,90735757.03233479,1008614576.0737484,6757344.744697712,2351308.028098864,80444092.39326623,2325323.117763163,10510244.764094394,77768.9727394063,10432475.791354986,164817.1548904993,1421,163396.1548904993,171000,9974.03477247974,886376.1818289105,0.008623976339599698,0.3310036232343751,5317547.170189947,1
2031,1056348244.1070079,792015486.2718365,4358146.094641228,787657340.1771953,264332757.8351713,405323.3738770651,3922637.1593057923,30185.56145837068,73254985.86938438,708946851.3178376,5455502.989973258,7961873.484739437,248496999.57926497,7873884.77116692,268690903.92981255,787657340.1771953,93384545.86743172,175306358.06238085,1390089326.6995854,1301101779.9196987,1467168.6273265416,1299634611.2923722,88987546.77988683,136451.99705576443,1320554.6697012554,10161.96056952159,120870726.68448421,1169762304.674432,9001579.933455875,2680362.415091178,83656443.3247821,2650741.040013561,10531265.253622584,79776.80201784617,10451488.451604737,219596.3457436752,1927,217669.3457436752,171000,11632.563930792945,886424.2743362598,0.008774895925542692,0.34755380439609385,6203950.993051471,1
2032,1180468041.4623628,902217743.5759695,5052332.315873255,897165411.2600962,278250297.8863933,530033.0527398387,4482826.224272107,39473.03886130891,94120357.09701543,796035648.8172705,7009405.34581027,9096801.34878617,260157226.2823932,8996270.255213957,283302630.2022666,897165411.2600962,103386052.26832835,179916577.93393824,1573382799.1141775,1481982529.800931,1659601.2217725469,1480322928.5791585,91400269.31324641,174106.42192779627,1472528.6092963796,12966.190548370667,155298589.21007544,1313458820.5484962,11565518.820586944,2988137.297547949,85457017.39268726,2955114.6230112016,10552327.78412983,81912.43990996765,10470415.34421986,282199.8457407923,2520,279679.8457407923,171000,13290.731566923618,886475.080233058,0.00892845660423969,0.3649314946158986,7090396.85689205,1
2033,1294147442.4185452,1004539136.0464829,5724055.292902938,998815080.75358,289608306.3720624,673863.1629792508,5000007.661838184,50184.46808550364,117585287.89588968,872472888.7087129,8756904.148977397,10231474.374575242,269258428.2802006,10118403.717286529,295332361.66496533,998815080.75358,113164884.15838085,182167477.50658447,1742523568.5214505,1649876044.6355531,1831161.3921463822,1648044883.2434068,92647523.88589728,215573.07616632996,1599533.9881056317,16054.327874420622,194015725.02821797,1439580266.3693762,14448891.845812704,3273113.186500264,86137469.52934608,3236941.170050943,10573432.439698089,84174.56288715458,10489257.87681093,352628.85648049787,3204,349424.85648049787,171000,14948.526875821271,886529.7266051341,0.009084704594813886,0.3831780693466935,7976884.845793642,1
