Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),ECAV Sensing Power (kWh),ECAV Computing Power (kWh),ECAV Communication Power (kWh),ICECAV Sensing Power (kWh),ICECAV Computing Power (kWh),ICECAV Communication Power (kWh),STI Sensing Power (kWh),STI Computing Power (kWh),STI Communication Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),ECAV Sensing Emissions (kg CO2),ECAV Computing Emissions (kg CO2),ECAV Communication Emissions (kg CO2),ICECAV Sensing Emissions (kg CO2),ICECAV Computing Emissions (kg CO2),ICECAV Communication Emissions (kg CO2),STI Sensing Emissions (kg CO2),STI Computing Emissions (kg CO2),STI Communication Emissions (kg CO2),Total Vehicles,Total EV,Total ICEV,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,EV Fraction,Clean Energy Fraction,Cumulative New Cars,shock_active
2024,717679.9732605177,717679.9732605177,3373.61316167589,714306.3600988418,0.0,631.197,2695.4091616758897,47.007,133645.44480000003,570707.9664988418,9952.9488,0.0,0.0,0.0,3373.61316167589,714306.3600988418,833.2824509339448,2540.330710741945,1179900.657991988,1179900.657991988,1295.1638288989907,1178605.494163089,0.0,242.32284026999997,1034.7945312589907,18.04645737,220514.98392000003,941668.1447230888,16422.36552,0.0,0.0,0.0,10385000.0,69400.0,10315600.0,400.0,3,397.0,171000,0.0,0.0,0.006682715454983149,0.247,0.0,0
2025,134795414.91362038,65824909.62378002,294919.51791625423,65529990.105863765,68970505.28984036,12409.921706056604,281585.3947491061,924.2014610915495,2757437.1895025177,62567198.88272841,205354.03363283543,1147455.2647058824,66688275.583958,1134774.4411764706,69265424.80775662,65529990.105863765,17963987.923891682,51301436.88386494,134314121.75432444,108235994.3664567,111510.69178148427,108124483.67467521,26078127.387867734,4692.259651629386,106468.98647430814,349.4456555467509,4549771.362679154,103235878.15650187,338834.15549417847,433859.1465892501,25215203.783810236,429064.45746825007,10405770.0,69984.05542573052,10335785.94457427,8252.484114672587,59,8193.484114672587,171000,1676.4705882352941,886155.7394288853,0.00715050553683197,0.25935,886155.7394288853,0
2026,291271391.7367951,168487315.28580487,807812.8173800164,167679502.46842486,122784076.45099024,38493.612766733364,766452.477972748,2866.7266405351033,7990204.782677578,159094244.8635391,595052.8222081616,2283660.9679930797,118241991.8402636,2258423.642733564,123591889.26837026,167679502.46842486,33656234.30583942,89935654.96253084,322648693.5833416,276971694.14514947,300515.0722484734,276671179.072901,45676999.43819213,14320.038717902373,285128.58033131243,1066.4531992586103,13183837.891418003,262505504.0248395,981837.1566434666,849546.4865403558,43987295.02204014,840157.9296116363,10426581.54,71010.95768801261,10355570.582311988,23924.07303351203,183,23741.07303351203,171000,3336.5051903114186,886198.3106126916,0.0076510409244102085,0.27231750000000005,1772350.612762218,0
2027,455733725.8847476,290445420.639855,1490014.1109793633,288955406.52887565,165288305.2448926,81616.29734280314,1402319.6204746899,6078.193161870458,15827682.573133642,271948992.3161504,1178731.63959159,3419757.4627351705,158486582.93952012,3381964.8426372977,166778319.35587195,288955406.52887565,47687487.730252296,119090831.62561965,537752461.2173623,477321186.78926605,544766.0166212033,476776420.7726448,60431274.4280962,29839.84169491289,512703.9187391528,2222.2561871377247,26115676.24567051,448715837.3216482,1944907.2053261234,1250302.0186569723,57944487.80026629,1236484.6091729344,10447434.703079998,72511.3634104273,10374923.339669572,47415.531864913224,388,47027.531864913224,171000,4996.380235044015,886241.4068124164,0.008186613789118924,0.28593337500000005,2658587.1091755508,0
2028,618734503.5227805,419773775.86645067,2306996.1392748705,417466779.7271758,198960727.65632987,145142.5443012339,2151044.4251265554,10809.169847081186,26264539.215869796,389246247.06564575,1955993.4456602163,4555633.441132065,189899806.25201908,4505287.963178734,201267723.79560474,417466779.7271758,60426617.520617336,140841106.2749874,761053538.2129521,689648148.7301193,827962.1802794146,688820186.54984,71405389.4828328,52090.48051061043,771992.3764872261,3879.3232815781207,43336489.70618516,642256307.6583154,3227389.185339357,1634979.847716212,68153498.37060423,1616911.264512362,10468329.57248616,74517.92057289329,10393811.651913267,78727.64631090016,690,78037.64631090016,171000,6655.933098007684,886285.2175953295,0.00875967675435725,0.30023004375000006,3544865.311915046,0
2029,905353447.6515615,658604583.5175766,3743447.8226499767,654861135.6949266,246748864.13398498,228229.92201831136,3498220.982166725,16996.918464940052,39925467.91440902,611962306.895956,2973360.884561594,5691282.545921378,235429194.87071237,5628386.717351234,250492311.95663494,654861135.6949266,77085450.72222364,173406861.2344113,1169536868.0355012,1081851161.149109,1330287.2524801192,1080520873.8966289,87685706.88639225,81104.73827322258,1243142.4182748669,6040.095932029739,65877022.05877488,1009737806.3783274,4906045.45952663,2022477.934724435,83663101.94126368,2000127.010404136,10531206.466908583,77173.843828271,10454032.623080311,119712.99448043614,1085,118627.99448043614,171000,8315.154491029076,928270.2489783764,0.009066265440759752,0.30773579484375,4473125.539670803,1
2030,1193844074.3870404,904616454.2477616,5323456.519481827,899292997.7282797,289227620.1392788,329822.512112323,4969071.205539228,24562.801830274806,55717009.15566676,839426587.5941856,4149400.9784273803,6826698.177919439,275649667.382459,6751254.578900403,294551076.65876067,899292997.7282797,92910007.4401077,201641069.21865296,1587441281.0841913,1485705962.930484,1872516.6788224066,1483833446.2516615,101735318.1537073,116014.50161586849,1747862.2538902718,8639.923316265968,91933065.10685015,1385053869.5304062,6846511.6144051775,2401279.3478559228,96959296.61425033,2374742.191601046,10560693.845015928,79806.757275919,10480887.087740008,167119.6739074444,1568,165551.6739074444,171000,9974.03477247974,894885.0274729934,0.009383584731186343,0.31542918971484374,5367996.251111481,1
2031,1487483316.0685844,1160467508.3016057,7069086.301451009,1153398422.0001547,327015807.76697886,454334.02320296195,6580916.757121201,33835.521126845706,74129544.19805506,1073748244.0156305,5520633.786469158,7961873.484739437,311180049.5110725,7873884.77116692,334084894.0684299,1153398422.0001547,108014630.61777359,226070263.45065632,2019382966.9441168,1905567735.14893,2460338.8486746685,1903107396.3002553,113815231.79518668,158127.31658566135,2290435.350055914,11776.182033092968,122313747.92679083,1771684602.62579,9109045.74767411,2771066.274677727,108303723.0126118,2740442.507897155,10590263.78778197,82728.29976923155,10507535.488012739,222427.20332733798,2160,220267.20332733798,171000,11632.563930792945,894973.7275741119,0.009712010196777863,0.3233149194577148,6262949.527210858,1
2032,1782068104.784048,1421407980.937221,8963074.389407672,1412444906.5478132,360660123.84682703,603861.4491910591,8314241.694880966,44971.245335646585,95159427.57079566,1310198691.156701,7086787.820316623,9096801.34878617,342567052.2428269,8996270.255213957,369623198.23623466,1412444906.5478132,122492311.93163742,247130886.30459726,2457774308.3141394,2333619571.757499,3085475.9536074763,2330534095.8038917,124154736.5566403,207875.09952962757,2862119.8159810435,15481.038096805283,157013055.49181283,2161827840.4085565,11693199.903522428,3131510.5283064223,117926322.6290471,3096903.3992867754,10619916.52638776,85946.21749605775,10533970.3088917,285637.3499236252,2871,282766.3499236252,171000,13290.731566923618,895065.2883316018,0.010051930553665088,0.3313977924441576,7157985.599149981,1
2033,2074340712.0430565,1683697159.7644982,10992168.2324907,1672704991.5320077,390643552.27855843,780708.8049055095,10153317.866721952,58141.560863238075,118802358.85022774,1545055089.866347,8847542.815432673,10231474.374575242,370293674.18669665,10118403.717286529,401635720.5110491,1672704991.5320077,136428720.92268234,265206999.58836675,2896659597.4496765,2763704410.741074,3741174.7132614474,2759963236.0278125,132955186.7086024,265713.5496434486,3455672.734921269,19788.42869672953,196023892.10287577,2549340898.2794724,14598445.64546391,3482273.233082613,126029123.74040712,3443789.7351126643,10649652.292661645,89467.50767350967,10560184.784988131,356752.0461743061,3712,353040.0461743061,171000,14948.526875821271,895160.8373107594,0.010403748123043366,0.33968273725526155,8053104.698757198,1
