Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),ECAV Sensing Power (kWh),ECAV Computing Power (kWh),ECAV Communication Power (kWh),ICECAV Sensing Power (kWh),ICECAV Computing Power (kWh),ICECAV Communication Power (kWh),STI Sensing Power (kWh),STI Computing Power (kWh),STI Communication Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),ECAV Sensing Emissions (kg CO2),ECAV Computing Emissions (kg CO2),ECAV Communication Emissions (kg CO2),ICECAV Sensing Emissions (kg CO2),ICECAV Computing Emissions (kg CO2),ICECAV Communication Emissions (kg CO2),STI Sensing Emissions (kg CO2),STI Computing Emissions (kg CO2),STI Communication Emissions (kg CO2),Total Vehicles,Total EV,Total ICEV,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,EV Fraction,Clean Energy Fraction,Cumulative New Cars,shock_active
2024,717679.9732605177,717679.9732605177,3373.61316167589,714306.3600988418,0.0,631.197,2695.4091616758897,47.007,133645.44480000003,570707.9664988418,9952.9488,0.0,0.0,0.0,3373.61316167589,714306.3600988418,833.2824509339448,2540.330710741945,1179900.657991988,1179900.657991988,1295.1638288989907,1178605.494163089,0.0,242.32284026999997,1034.7945312589907,18.04645737,220514.98392000003,941668.1447230888,16422.36552,0.0,0.0,0.0,10385000.0,69400.0,10315600.0,400.0,3,397.0,171000,0.0,0.0,0.006682715454983149,0.247,0.0,0
2025,134795414.91362038,65824909.62378002,294919.51791625423,65529990.105863765,68970505.28984036,12409.921706056604,281585.3947491061,924.2014610915495,2757437.1895025177,62567198.88272841,205354.03363283543,1147455.2647058824,66688275.583958,1134774.4411764706,69265424.80775662,65529990.105863765,17963987.923891682,51301436.88386494,134314121.75432444,108235994.3664567,111510.69178148427,108124483.67467521,26078127.387867734,4692.259651629386,106468.98647430814,349.4456555467509,4549771.362679154,103235878.15650187,338834.15549417847,433859.1465892501,25215203.783810236,429064.45746825007,10405770.0,69984.05542573052,10335785.94457427,8252.484114672587,59,8193.484114672587,171000,1676.4705882352941,886155.7394288853,0.00715050553683197,0.25935,886155.7394288853,0
2026,291271391.7367951,168487315.28580487,807812.8173800164,167679502.46842486,122784076.45099024,38493.612766733364,766452.477972748,2866.7266405351033,7990204.782677578,159094244.8635391,595052.8222081616,2283660.9679930797,118241991.8402636,2258423.642733564,123591889.26837026,167679502.46842486,33656234.30583942,89935654.96253084,322648693.5833416,276971694.14514947,300515.0722484734,276671179.072901,45676999.43819213,14320.038717902373,285128.58033131243,1066.4531992586103,13183837.891418003,262505504.0248395,981837.1566434666,849546.4865403558,43987295.02204014,840157.9296116363,10426581.54,71010.95768801261,10355570.582311988,23924.07303351203,183,23741.07303351203,171000,3336.5051903114186,886198.3106126916,0.0076510409244102085,0.27231750000000005,1772350.612762218,0
2027,455733725.8847476,290445420.639855,1490014.1109793633,288955406.52887565,165288305.2448926,81616.29734280314,1402319.6204746899,6078.193161870458,15827682.573133642,271948992.3161504,1178731.63959159,3419757.4627351705,158486582.93952012,3381964.8426372977,166778319.35587195,288955406.52887565,47687487.730252296,119090831.62561965,537752461.2173623,477321186.78926605,544766.0166212033,476776420.7726448,60431274.4280962,29839.84169491289,512703.9187391528,2222.2561871377247,26115676.24567051,448715837.3216482,1944907.2053261234,1250302.0186569723,57944487.80026629,1236484.6091729344,10447434.703079998,72511.3634104273,10374923.339669572,47415.531864913224,388,47027.531864913224,171000,4996.380235044015,886241.4068124164,0.008186613789118924,0.28593337500000005,2658587.1091755508,0
2028,618734503.5227805,419773775.86645067,2306996.1392748705,417466779.7271758,198960727.65632987,145142.5443012339,2151044.4251265554,10809.169847081186,26264539.215869796,389246247.06564575,1955993.4456602163,4555633.441132065,189899806.25201908,4505287.963178734,201267723.79560474,417466779.7271758,60426617.520617336,140841106.2749874,761053538.2129521,689648148.7301193,827962.1802794146,688820186.54984,71405389.4828328,52090.48051061043,771992.3764872261,3879.3232815781207,43336489.70618516,642256307.6583154,3227389.185339357,1634979.847716212,68153498.37060423,1616911.264512362,10468329.57248616,74517.92057289329,10393811.651913267,78727.64631090016,690,78037.64631090016,171000,6655.933098007684,886285.2175953295,0.00875967675435725,0.30023004375000006,3544865.311915046,0
2029,774725311.6111202,548986142.6214688,3228213.690808659,545757928.9306601,225739168.9896516,232436.07724944313,2978467.4509898997,17310.16256931603,39295364.024259016,503536129.6149021,2926435.291499078,5691282.545921378,214419499.72637898,5628386.717351234,228967382.68046024,545757928.9306601,72180031.68545148,156787350.99500877,981059659.183657,901636386.0559751,1135803.320385981,900500582.7355891,79423273.12768196,81779.48971255313,1047933.4841208967,6090.346552531118,64837350.640027374,830834613.8645884,4828618.230973478,2002400.7801333067,75440600.61393163,1980271.7336170266,10489266.231631132,77065.34127721739,10412200.890353912,117861.23294111027,1105,116756.23294111027,171000,8315.154491029076,886330.0137009248,0.009372854127162258,0.3152415459375001,4431185.304393351,0
2030,920791346.1425811,673655079.2887692,4238620.178448398,669416459.1103208,247136266.85381192,347700.69710693124,3865025.2412406653,25894.240100801366,54913287.74184141,610413625.7640473,4089545.604432117,6826698.177919439,233558314.09699208,6751254.578900403,251374887.0322603,669416459.1103208,79243807.99791418,172131079.0343461,1192980011.28914,1106028458.7077365,1491301.1757070997,1104537157.5320294,86951552.58140339,122333.78707208396,1359856.8505163344,9110.53811868157,90606924.77403833,1007182482.5106779,6747750.247312993,2401881.411949381,82174333.5673248,2375337.6021292126,10510244.764094394,80190.45112476111,10430054.31296963,164817.1548904993,1653,163164.1548904993,171000,9974.03477247974,886376.1818289105,0.010028953916063617,0.3152415459375001,5317547.170189947,1
2031,1055766102.5373342,791433344.7021629,5328382.044096905,786104962.658066,264332757.8351713,495558.8317874235,4795917.56477657,36905.64753291194,73110609.1367278,707549602.6690842,5444750.852253994,7961873.484739437,248496999.57926497,7873884.77116692,269661139.8792682,786104962.658066,85008394.61480898,184652745.26445925,1391949812.856483,1298947907.533182,1874719.1473728917,1297073188.385809,93001905.323301,174355.67174295677,1687378.7227530659,12984.752876869137,120632505.07560086,1167456844.4039888,8983838.90621909,2801277.4886023346,87430307.98477952,2770319.8499191524,10531265.253622584,83932.20142124199,10447333.05220134,219596.3457436752,2356,217240.3457436752,171000,11632.563930792945,886424.2743362598,0.010730980690188071,0.3152415459375001,6203950.993051471,1
2032,1179601927.3510702,901351629.4646769,6495855.8346941825,894855773.6299827,278250297.8863933,681471.0678083639,5763633.716921279,50751.04996454001,93878056.27290578,793986356.8290318,6991360.5280451,9096801.34878617,260157226.2823932,8996270.255213957,284746153.7210875,894855773.6299827,89763817.69879267,194982336.02229485,1576696109.0315828,1478797505.498126,2285479.008654513,1476512026.4894714,97898603.53345668,239766.3772282158,2027856.5609849505,17856.070441346743,154898792.85029453,1310077488.7679024,11535744.871274415,3200586.5058625713,91532801.02716197,3165216.0004321365,10552327.78412983,88331.62428485854,10463996.159844968,282199.8457407923,3240,278959.8457407923,171000,13290.731566923618,886475.080233058,0.011482149338501236,0.3152415459375001,7090396.85689205,1
2033,1292938316.1319547,1003330009.7598921,7739265.770554162,995590743.9893379,289608306.3720624,911103.3776610843,6760309.984732528,67852.40816054988,117205703.55239873,869656404.9920819,8728635.444857322,10231474.374575242,269258428.2802006,10118403.717286529,297347572.1426165,995590743.9893379,93736308.32300076,203611263.81961575,1747342448.7419052,1645447683.557897,2722955.9754896653,1642724727.5824075,101894765.18400824,320559.3993076458,2378523.624182478,23872.951999541365,193389410.86145788,1434933068.2369351,14402248.48401458,3599805.8617289434,94734935.8418569,3560023.4804224027,10573432.439698089,93431.70196519059,10480000.737732895,352628.85648049787,4332,348296.85648049787,171000,14948.526875821271,886529.7266051341,0.012285899792196324,0.3152415459375001,7976884.845793642,1
