Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),ECAV Sensing Power (kWh),ECAV Computing Power (kWh),ECAV Communication Power (kWh),ICECAV Sensing Power (kWh),ICECAV Computing Power (kWh),ICECAV Communication Power (kWh),STI Sensing Power (kWh),STI Computing Power (kWh),STI Communication Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),ECAV Sensing Emissions (kg CO2),ECAV Computing Emissions (kg CO2),ECAV Communication Emissions (kg CO2),ICECAV Sensing Emissions (kg CO2),ICECAV Computing Emissions (kg CO2),ICECAV Communication Emissions (kg CO2),STI Sensing Emissions (kg CO2),STI Computing Emissions (kg CO2),STI Communication Emissions (kg CO2),Total Vehicles,Total EV,Total ICEV,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,EV Fraction,Clean Energy Fraction,Cumulative New Cars,shock_active
2024,717679.9732605177,717679.9732605177,3373.61316167589,714306.3600988418,0.0,631.197,2695.4091616758897,47.007,133645.44480000003,570707.9664988418,9952.9488,0.0,0.0,0.0,3373.61316167589,714306.3600988418,833.2824509339448,2540.330710741945,1179900.657991988,1179900.657991988,1295.1638288989907,1178605.494163089,0.0,242.32284026999997,1034.7945312589907,18.04645737,220514.98392000003,941668.1447230888,16422.36552,0.0,0.0,0.0,10385000.0,69400.0,10315600.0,400.0,3,397.0,171000,0.0,0.0,0.006682715454983149,0.247,0.0,0
2025,134795414.91362038,65824909.62378002,294919.51791625423,65529990.105863765,68970505.28984036,12409.921706056604,281585.3947491061,924.2014610915495,2757437.1895025177,62567198.88272841,205354.03363283543,1147455.2647058824,66688275.583958,1134774.4411764706,69265424.80775662,65529990.105863765,17963987.923891682,51301436.88386494,134314121.75432444,108235994.3664567,111510.69178148427,108124483.67467521,26078127.387867734,4692.259651629386,106468.98647430814,349.4456555467509,4549771.362679154,103235878.15650187,338834.15549417847,433859.1465892501,25215203.783810236,429064.45746825007,10405770.0,69984.05542573052,10335785.94457427,8252.484114672587,59,8193.484114672587,171000,1676.4705882352941,886155.7394288853,0.00715050553683197,0.25935,886155.7394288853,0
2026,291271391.7367951,168487315.28580487,807812.8173800164,167679502.46842486,122784076.45099024,38493.612766733364,766452.477972748,2866.7266405351033,7990204.782677578,159094244.8635391,595052.8222081616,2283660.9679930797,118241991.8402636,2258423.642733564,123591889.26837026,167679502.46842486,33656234.30583942,89935654.96253084,322648693.5833416,276971694.14514947,300515.0722484734,276671179.072901,45676999.43819213,14320.038717902373,285128.58033131243,1066.4531992586103,13183837.891418003,262505504.0248395,981837.1566434666,849546.4865403558,43987295.02204014,840157.9296116363,10426581.54,71010.95768801261,10355570.582311988,23924.07303351203,183,23741.07303351203,171000,3336.5051903114186,886198.3106126916,0.0076510409244102085,0.27231750000000005,1772350.612762218,0
2027,455733725.8847476,290445420.639855,1490014.1109793633,288955406.52887565,165288305.2448926,81616.29734280314,1402319.6204746899,6078.193161870458,15827682.573133642,271948992.3161504,1178731.63959159,3419757.4627351705,158486582.93952012,3381964.8426372977,166778319.35587195,288955406.52887565,47687487.730252296,119090831.62561965,537752461.2173623,477321186.78926605,544766.0166212033,476776420.7726448,60431274.4280962,29839.84169491289,512703.9187391528,2222.2561871377247,26115676.24567051,448715837.3216482,1944907.2053261234,1250302.0186569723,57944487.80026629,1236484.6091729344,10447434.703079998,72511.3634104273,10374923.339669572,47415.531864913224,388,47027.531864913224,171000,4996.380235044015,886241.4068124164,0.008186613789118924,0.28593337500000005,2658587.1091755508,0
2028,774269987.186735,542639406.1711911,2982242.071866878,539657164.0993242,231630581.0155439,145142.5443012339,2826290.3577185627,10809.169847081186,26264539.215869796,511436631.4377942,1955993.4456602163,4555633.441132065,222569659.61123312,4505287.963178734,234612823.08741078,539657164.0993242,70437818.13984436,164175004.94756642,974634957.7818635,891504623.2259948,1070302.4621098875,890434320.7638849,83130334.55586866,52090.48051061043,1014332.658317699,3879.3232815781207,43336489.70618516,843870441.8723603,3227389.185339357,1634979.847716212,79878443.44364008,1616911.264512362,10468329.57248616,74517.92057289329,10393811.651913267,78727.64631090016,690,78037.64631090016,171000,6655.933098007684,886285.2175953295,0.00875967675435725,0.30023004375000006,3544865.311915046,1
2029,1131218120.2570393,837549109.0982274,4925056.009254829,832624053.0889726,293669011.158812,232436.07724944313,4675309.76943607,17310.16256931603,39295364.024259016,790402253.7732146,2926435.291499078,5691282.545921378,282349341.89553934,5628386.717351234,298594067.1680668,832624053.0889726,94129255.34182712,204464811.82623968,1478885971.1701791,1375562501.9344444,1732814.337639869,1373829687.5968046,103323469.23573479,81779.48971255313,1644944.5013747849,6090.346552531118,64837350.640027374,1304163718.725804,4828618.230973478,2002400.7801333067,99340796.72198445,1980271.7336170266,10489266.231631132,77065.34127721739,10412200.890353912,117861.23294111027,1105,116756.23294111027,171000,8315.154491029076,886330.0137009248,0.009372854127162258,0.3152415459375001,4431185.304393351,1
2030,1520387575.6181169,1168695331.9835272,7353400.529294296,1161341931.4542327,351692243.6345898,347700.69710693124,6979805.592086564,25894.240100801366,54913287.74184141,1102339098.1079593,4089545.604432117,6826698.177919439,338114290.87776995,6751254.578900403,359045644.1638841,1161341931.4542327,118845409.1247658,240200235.0391183,2039879666.692786,1918746906.1215348,2532719.2220508554,1916214186.899484,121132760.57125126,119757.95899801486,2404042.5540307453,8918.709022095614,90606924.77403833,1818859511.8781326,6747750.247312993,2351308.028098864,116456129.42538923,2325323.117763163,10510244.764094394,80190.45112476111,10430054.31296963,164817.1548904993,1653,163164.1548904993,171000,9974.03477247974,886376.1818289105,0.010028953916063617,0.3310036232343751,5317547.170189947,1
2031,1936252750.7386966,1530283177.359035,10302741.802838717,1519980435.5561962,405969573.37966156,495558.8317874235,9770277.32351838,36905.64753291194,73110609.1367278,1441425075.5672145,5444750.852253994,7961873.484739437,390133815.1237552,7873884.77116692,416272315.1825003,1519980435.5561962,144677026.80644783,271595288.37605244,2648105673.659943,2511436133.727778,3468415.060054343,2507967718.6677237,136669539.93216532,166829.73796750436,3289161.0464761523,12424.275610686487,120632505.07560086,2378351374.6859035,8983838.90621909,2680362.415091178,131338436.47706059,2650741.040013561,10531265.253622584,83932.20142124199,10447333.05220134,219596.3457436752,2356,217240.3457436752,171000,11632.563930792945,886424.2743362598,0.010730980690188071,0.34755380439609385,6203950.993051471,1
2032,2373887225.68772,1917134986.379783,13816397.596759995,1903318588.7830229,456752239.3079374,681471.0678083639,13084175.478987092,50751.04996454001,93878056.27290578,1802449171.9820719,6991360.5280451,9096801.34878617,438659167.70393723,8996270.255213957,470568636.90469736,1903318588.7830229,171725315.9849973,298843320.9197001,3295049091.431388,3145014112.136527,4538440.644539224,3140475671.4919877,150034979.29486072,223851.1139071666,4297918.714212724,16670.81641933371,154898792.85029453,2974041133.7704186,11535744.871274415,2988137.297547949,144091727.37430155,2955114.6230112016,10552327.78412983,88331.62428485854,10463996.159844968,282199.8457407923,3240,278959.8457407923,171000,13290.731566923618,886475.080233058,0.011482149338501236,0.3649314946158986,7090396.85689205,1
2033,2828916190.7877994,2324641556.3887725,17931307.39752599,2306710248.991246,504274634.3990267,911103.3776610843,16952351.611704357,67852.40816054988,117205703.55239873,2180775909.9939904,8728635.444857322,10231474.374575242,483924756.3071649,10118403.717286529,522205941.79655266,2306710248.991246,200097864.57897484,322108077.2175778,3973128885.3817143,3811808249.1720796,5736338.336523332,3806071910.835556,161320636.20963484,291467.7172136521,5423164.205966363,21706.413343317774,193389410.86145788,3598280251.490084,14402248.48401458,3273113.186500264,154810581.8530836,3236941.170050943,10573432.439698089,93431.70196519059,10480000.737732895,352628.85648049787,4332,348296.85648049787,171000,14948.526875821271,886529.7266051341,0.012285899792196324,0.3831780693466935,7976884.845793642,1
