Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),ECAV Sensing Power (kWh),ECAV Computing Power (kWh),ECAV Communication Power (kWh),ICECAV Sensing Power (kWh),ICECAV Computing Power (kWh),ICECAV Communication Power (kWh),STI Sensing Power (kWh),STI Computing Power (kWh),STI Communication Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),ECAV Sensing Emissions (kg CO2),ECAV Computing Emissions (kg CO2),ECAV Communication Emissions (kg CO2),ICECAV Sensing Emissions (kg CO2),ICECAV Computing Emissions (kg CO2),ICECAV Communication Emissions (kg CO2),STI Sensing Emissions (kg CO2),STI Computing Emissions (kg CO2),STI Communication Emissions (kg CO2),Total Vehicles,Total EV,Total ICEV,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,EV Fraction,Clean Energy Fraction,Cumulative New Cars,shock_active
2024,717679.9732605177,717679.9732605177,3373.61316167589,714306.3600988418,0.0,631.197,2695.4091616758897,47.007,133645.44480000003,570707.9664988418,9952.9488,0.0,0.0,0.0,3373.61316167589,714306.3600988418,833.2824509339448,2540.330710741945,1179900.657991988,1179900.657991988,1295.1638288989907,1178605.494163089,0.0,242.32284026999997,1034.7945312589907,18.04645737,220514.98392000003,941668.1447230888,16422.36552,0.0,0.0,0.0,10385000.0,69400.0,10315600.0,400.0,3,397.0,171000,0.0,0.0,0.006682715454983149,0.247,0.0,0
2025,134795414.91362038,65824909.62378002,294919.51791625423,65529990.105863765,68970505.28984036,12409.921706056604,281585.3947491061,924.2014610915495,2757437.1895025177,62567198.88272841,205354.03363283543,1147455.2647058824,66688275.583958,1134774.4411764706,69265424.80775662,65529990.105863765,17963987.923891682,51301436.88386494,134314121.75432444,108235994.3664567,111510.69178148427,108124483.67467521,26078127.387867734,4692.259651629386,106468.98647430814,349.4456555467509,4549771.362679154,103235878.15650187,338834.15549417847,433859.1465892501,25215203.783810236,429064.45746825007,10405770.0,69984.05542573052,10335785.94457427,8252.484114672587,59,8193.484114672587,171000,1676.4705882352941,886155.7394288853,0.00715050553683197,0.25935,886155.7394288853,0
2026,291271391.7367951,168487315.28580487,807812.8173800164,167679502.46842486,122784076.45099024,38493.612766733364,766452.477972748,2866.7266405351033,7990204.782677578,159094244.8635391,595052.8222081616,2283660.9679930797,118241991.8402636,2258423.642733564,123591889.26837026,167679502.46842486,33656234.30583942,89935654.96253084,322648693.5833416,276971694.14514947,300515.0722484734,276671179.072901,45676999.43819213,14320.038717902373,285128.58033131243,1066.4531992586103,13183837.891418003,262505504.0248395,981837.1566434666,849546.4865403558,43987295.02204014,840157.9296116363,10426581.54,71010.95768801261,10355570.582311988,23924.07303351203,183,23741.07303351203,171000,3336.5051903114186,886198.3106126916,0.0076510409244102085,0.27231750000000005,1772350.612762218,0
2027,455733725.8847476,290445420.639855,1490014.1109793633,288955406.52887565,165288305.2448926,81616.29734280314,1402319.6204746899,6078.193161870458,15827682.573133642,271948992.3161504,1178731.63959159,3419757.4627351705,158486582.93952012,3381964.8426372977,166778319.35587195,288955406.52887565,47687487.730252296,119090831.62561965,537752461.2173623,477321186.78926605,544766.0166212033,476776420.7726448,60431274.4280962,29839.84169491289,512703.9187391528,2222.2561871377247,26115676.24567051,448715837.3216482,1944907.2053261234,1250302.0186569723,57944487.80026629,1236484.6091729344,10447434.703079998,72511.3634104273,10374923.339669572,47415.531864913224,388,47027.531864913224,171000,4996.380235044015,886241.4068124164,0.008186613789118924,0.28593337500000005,2658587.1091755508,0
2028,618734503.5227805,419773775.86645067,2306996.1392748705,417466779.7271758,198960727.65632987,145142.5443012339,2151044.4251265554,10809.169847081186,26264539.215869796,389246247.06564575,1955993.4456602163,4555633.441132065,189899806.25201908,4505287.963178734,201267723.79560474,417466779.7271758,60426617.520617336,140841106.2749874,761053538.2129521,689648148.7301193,827962.1802794146,688820186.54984,71405389.4828328,52090.48051061043,771992.3764872261,3879.3232815781207,43336489.70618516,642256307.6583154,3227389.185339357,1634979.847716212,68153498.37060423,1616911.264512362,10468329.57248616,74517.92057289329,10393811.651913267,78727.64631090016,690,78037.64631090016,171000,6655.933098007684,886285.2175953295,0.00875967675435725,0.30023004375000006,3544865.311915046,0
2029,774725311.6111202,548986142.6214688,3228213.690808659,545757928.9306601,225739168.9896516,232436.07724944313,2978467.4509898997,17310.16256931603,39295364.024259016,503536129.6149021,2926435.291499078,5691282.545921378,214419499.72637898,5628386.717351234,228967382.68046024,545757928.9306601,72180031.68545148,156787350.99500877,981059659.183657,901636386.0559751,1135803.320385981,900500582.7355891,79423273.12768196,81779.48971255313,1047933.4841208967,6090.346552531118,64837350.640027374,830834613.8645884,4828618.230973478,2002400.7801333067,75440600.61393163,1980271.7336170266,10489266.231631132,77065.34127721739,10412200.890353912,117861.23294111027,1105,116756.23294111027,171000,8315.154491029076,886330.0137009248,0.009372854127162258,0.3152415459375001,4431185.304393351,0
2030,920791346.1425811,673655079.2887692,4238620.178448398,669416459.1103208,247136266.85381192,347700.69710693124,3865025.2412406653,25894.240100801366,54913287.74184141,610413625.7640473,4089545.604432117,6826698.177919439,233558314.09699208,6751254.578900403,251374887.0322603,669416459.1103208,83205998.3978099,168168888.6344504,1191117781.801189,1105997058.2620606,1459900.7300312447,1104537157.5320294,85120723.53912826,119757.95899801486,1331224.0620111343,8918.709022095614,90606924.77403833,1007182482.5106779,6747750.247312993,2351308.028098864,80444092.39326623,2325323.117763163,10510244.764094394,80190.45112476111,10430054.31296963,164817.1548904993,1653,163164.1548904993,171000,9974.03477247974,886376.1818289105,0.010028953916063617,0.3310036232343751,5317547.170189947,0
2031,1055766102.5373342,791433344.7021629,5328382.044096905,786104962.658066,264332757.8351713,495558.8317874235,4795917.56477657,36905.64753291194,73110609.1367278,707549602.6690842,5444750.852253994,7961873.484739437,248496999.57926497,7873884.77116692,269661139.8792682,786104962.658066,93721755.06282689,175939384.81644133,1387854533.4459143,1298866986.6660275,1793798.2802186469,1297073188.385809,88987546.77988683,166829.73796750436,1614544.266640456,12424.275610686487,120632505.07560086,1167456844.4039888,8983838.90621909,2680362.415091178,83656443.3247821,2650741.040013561,10531265.253622584,83932.20142124199,10447333.05220134,219596.3457436752,2356,217240.3457436752,171000,11632.563930792945,886424.2743362598,0.010730980690188071,0.34755380439609385,6203950.993051471,0
2032,1072068484.9043022,846273979.2660611,6099384.316992154,840174594.9490689,225794505.63824114,605937.8100951818,5448320.62917711,45125.87771986276,83466384.09761648,750492236.5719856,6215974.2794668805,4819210.622697519,216209342.73008782,4765952.285455798,231893889.95523328,840174594.9490689,84625383.85365799,147268506.1015753,1462461096.232361,1388291620.8299925,2003539.1640288194,1386288081.6659636,74169475.40236856,199039.78342690086,1789676.3331230043,14823.047478914395,137719533.76106718,1238312190.3437762,10256357.561120352,1583024.8957061437,71020920.02661026,1565530.480052161,10552327.78412983,88331.62428485854,10463996.159844968,250912.48996786083,2881,248031.48996786083,171000,7041.028191660595,886475.080233058,0.011482149338501236,0.3649314946158986,7090396.85689205,1
2033,1126225858.3284187,897126473.6180234,6921626.768865838,890204846.8491576,229099384.7103953,739417.7157082718,6127142.55480238,55066.49835518662,95098053.7307262,788024575.9790592,7082217.139372091,5149370.363412598,218857551.0011023,5092463.345880409,236021011.47926116,890204846.8491576,90438075.50387707,145582935.9753841,1544342607.5539186,1471052269.3619878,2214272.060877689,1468837997.30111,73290338.19193067,236544.3910635921,1960111.5496634527,17616.120150644365,156911788.6556982,1300240550.3654478,11685658.27996395,1647316.0584306442,70013910.98891364,1629111.1445863731,10573432.439698089,93431.70196519059,10480000.737732895,286141.05568059784,3516,282625.05568059784,171000,7523.402635138437,886529.7266051341,0.012285899792196324,0.3831780693466935,7976884.845793642,1
