Year,ATS Total Power (kWh),CAV Total Power (kWh),ECAV Power (kWh),ICECAV Power (kWh),STI Power (kWh),ECAV Sensing Power (kWh),ECAV Computing Power (kWh),ECAV Communication Power (kWh),ICECAV Sensing Power (kWh),ICECAV Computing Power (kWh),ICECAV Communication Power (kWh),STI Sensing Power (kWh),STI Computing Power (kWh),STI Communication Power (kWh),Electricity Consumption (kWh),Gasoline Consumption (kWh),Clean Electricity (kWh),Fossil Electricity (kWh),ATS Emissions (kg CO2),CAV Emissions (kg CO2),ECAV Emissions (kg CO2),ICECAV Emissions (kg CO2),STI Emissions (kg CO2),ECAV Sensing Emissions (kg CO2),ECAV Computing Emissions (kg CO2),ECAV Communication Emissions (kg CO2),ICECAV Sensing Emissions (kg CO2),ICECAV Computing Emissions (kg CO2),ICECAV Communication Emissions (kg CO2),STI Sensing Emissions (kg CO2),STI Computing Emissions (kg CO2),STI Communication Emissions (kg CO2),Total Vehicles,Total EV,Total ICEV,Total CAV,Total ECAV,Total ICECAV,Total Infra,Total STI,Incremented Car Number,EV Fraction,Clean Energy Fraction,Cumulative New Cars,shock_active
2024,5538685.230402772,5538685.230402772,118976.05372358748,5419709.176679185,0.0,54604.0259216,44261.83238223748,20110.195419749998,2487373.98080512,2016256.6468708653,916078.5490031999,0.0,0.0,0.0,118976.05372358748,5419709.176679185,53717.68825619975,65258.36546738773,8976760.854902035,8976760.854902035,34240.71338137986,8942520.141520655,0.0,15714.765640106869,12738.334050446034,5787.61369082695,4104167.0683284476,3326823.4673369275,1511529.6058552798,0.0,0.0,0.0,23906850.0,801650.0,23105200.0,1002.0,34.0,968.0,275700,0.0,0.0,0.033532230302193725,0.4515,0.0,0
2025,124001967.70448913,115532538.7914483,2629234.354798126,112903304.43665019,8469428.913040843,629204.5855205717,1768299.1054618647,231730.66381568974,27018997.65698894,75933441.18400052,9950865.595660709,1542701.2705502117,6128212.085505925,798515.5569847059,11098663.267838968,112903304.43665019,5261598.788700759,5837064.479138209,189366832.52370292,187019235.98779893,728783.6673261299,186290452.3204728,2347596.5359039977,174405.91573637328,490145.5454726706,64232.206117086,44581346.13403175,125290177.95360085,16418928.23284017,427613.26600214274,1698646.9348679383,221336.33503391643,24002477.4,809832.0467155236,23192645.35328448,10912.670984121207,392.0,10520.670984121207,275700,162.17647058823528,2087787.4272693545,0.03587948642334729,0.474075,2087787.4272693545,0
2026,325138108.74650264,309225437.66270214,7530062.931102754,301695374.7315994,15912671.083800508,1889360.1606126768,4944867.593377594,695835.1771124834,75698068.77769612,198118355.08308554,27878950.870817743,3084495.069764806,11231614.61509981,1596561.3989358912,23442734.014903262,301695374.7315994,11669294.83452103,11773439.180382233,504034166.7423657,499800696.2754555,2003327.968316514,497797368.307139,4233470.466910233,502652.9109530369,1315552.2922017034,185122.7651617738,124901813.48319858,326895285.8870911,46000268.936849274,820611.3677843196,2988103.5382644306,424755.5608614827,24098487.3096,823269.9062750925,23275217.40332491,30650.148108794245,1177.0,29473.148108794245,275700,324.25754325259516,2088172.519984793,0.0383910504729816,0.49777875000000005,4175951.3368693534,0
2027,590151619.1676787,567646639.2925202,14803820.982355015,552842818.310165,22504979.875158597,3971468.47837132,9369694.653112099,1462657.8508715965,148312913.8774214,349907527.584013,54622376.84873072,4626288.335486735,15484084.574925214,2394606.9647466466,37308800.857513614,552842818.310165,19500104.66759466,17808696.189918954,921680001.4467596,915955945.6298144,3765295.4180421145,912190650.2117723,5724055.816945203,1010127.8637680035,2383146.107202138,372021.44707197294,244716307.8977453,577347420.5136214,90126921.80040568,1176678.7975153418,3938317.8688822333,609059.1505476271,24194881.2588384,842331.7025617822,23352549.55627662,60218.092476596845,2474.0,57744.092476596845,275700,486.33855983353885,2088560.2497881055,0.04107842400609032,0.5226676875,6264499.286107753,0
2028,905099902.4887168,876711666.2050061,24489662.206168856,852222003.9988375,28388236.283710822,7029535.130744743,14871209.448869511,2588917.6265546023,244622586.70086813,517507012.212263,90092405.0857063,6168080.533596437,19027503.772162333,3192651.9779520533,52877898.48987968,852222003.9988375,29019447.369743418,23858451.120136265,1418966115.5792422,1412094359.8529232,5928053.254841419,1406166306.5980818,6871755.726319016,1701593.8505406003,3599776.952194664,626682.4521061551,403627268.05643237,853886570.1502339,148652468.3914154,1493067.1389211665,4605864.087405068,772824.4999927816,24291660.783873755,867411.0399050972,23424249.743968662,99620.2114776654,4379.0,95241.2114776654,275700,648.4194641817473,2088951.097249221,0.04395391368651664,0.548801071875,8353432.81114311,0
2029,1259786888.4179664,1226106222.0043387,36687419.51972804,1189418802.4846106,33680666.41362761,11238353.332670704,21310076.837797575,4138989.3492597644,364351293.65411437,690880045.6690207,134187463.16147558,7709871.662212108,21980098.313837424,3990696.4375780746,70368085.93335566,1189418802.4846106,40548985.03531858,29819100.898037076,1978667044.0996854,1970948557.899613,8407533.80000565,1962541024.0996072,7718486.200072442,2575456.021103539,4883559.368304919,948518.4105971926,601179634.5292886,1139952075.353884,221409314.2164347,1766845.622895272,5037105.959487369,914534.6176898003,24388827.427009247,898928.6372514319,23489898.78975782,148860.2726267684,7001.0,141859.2726267684,275700,810.5002560993962,2089345.7462981567,0.047030687644572806,0.5762411254687501,10442753.454278603,0
2030,1646886324.9211538,1608405541.4029782,51559008.58765158,1556846532.8153267,38480783.51817556,16796667.819012363,28576271.76475381,6186069.0038854,507182639.33304334,862872868.1257191,186791025.35656437,9251661.719447521,24440381.45607965,4788740.342648383,90039792.10582714,1556846532.8153267,51884631.14003411,38155160.96579303,2589430898.562386,2580612385.504912,11815606.35962318,2568796779.145289,8818513.057474358,3849236.448474544,6548729.070768283,1417640.8403803518,836851354.8995215,1423740232.4074364,308205191.8383312,2120172.517738583,5600920.85698548,1097419.682750295,24486382.736717287,937334.0120040245,23549048.724713273,207942.12464824584,10464.0,197478.12464824584,275700,972.5809353881959,2089745.17136899,0.050322835779692904,0.5762411254687501,12532462.763986645,1
2031,2061254299.433444,2018383624.5414426,69324472.26531175,1949059152.276131,42870674.89200119,23928708.22704269,36583025.59149359,8812738.44677546,672756189.0925415,1028532616.5076413,247770346.67594814,10793450.703412024,26490440.496404808,5586783.692184361,112195147.15731294,1949059152.276131,64651457.870062046,47543689.2872509,3241658989.635343,3231834459.7855473,15886858.52993139,3215947601.2556157,9824529.849795919,5483662.406432068,8383610.190996449,2019585.932502871,1110047712.0026934,1697078817.2376082,408821072.0153144,2473499.166623972,6070726.062671111,1280304.620500836,24584328.267664157,983107.1898867714,23601221.077777397,276869.7295005337,14908.0,261961.72950053372,275700,1134.6615018493915,2090150.761891082,0.05384543428427141,0.5762411254687501,14622562.294933515,1
2032,2499388985.231822,2452470244.520063,90259324.90380812,2362210919.616255,46918740.71175922,32885684.297911048,45262124.530274026,12111516.075623034,860663678.0229318,1184572174.9458053,316975066.6475178,12335238.61221051,28198675.614343625,6384826.485205082,137178065.61556733,2362210919.616255,79047642.91994056,58130422.695626765,3929084658.002232,3918332446.3844132,20684429.017592672,3897648017.3668203,10752211.61781893,7536302.79508554,10372570.402334055,2775555.820173075,1420095068.7378373,1954544088.6605787,523008859.96840435,2826825.5691171447,6462196.617985155,1463189.4307166287,24682665.58073481,1036760.4043045592,23645905.176430266,355647.2108651939,20490.0,335157.2108651939,275700,1296.7419552837598,2090564.5001338162,0.05761461468417041,0.5762411254687501,16713053.60800417,1
2033,2958997109.4891505,2908315133.2827287,114709627.4392866,2793605505.843442,50681976.20642145,43953642.343411095,54568234.796933904,16187750.298941601,1070434452.5695227,1328939205.6787622,394231847.59515697,13877025.443943424,29622082.041750703,7182868.720727323,165391603.64570805,2793605505.843442,95305443.82788424,70086159.81782381,4647351327.865427,4635736708.096995,26287623.455317,4609449084.641679,11614619.768431433,10072709.895469032,12505220.712379696,3709692.8474682746,1766216846.7397125,2192749689.3699574,650482548.532009,3180151.7247827854,6788393.930476296,1646074.1131723505,24781396.24305775,1098839.730293334,23682556.51276443,444278.92735180026,27389.0,416889.92735180026,275700,1458.82229549161,2090989.2152703106,0.061647637712062345,0.5762411254687501,18803938.270327106,1
