peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule
12701376480.301477,2058,417048681868.9323,2071.0,50_percent_of_peak
19939573265.420765,2068,727736085317.8784,2082.0,50_percent_of_peak
12239410480.520205,2048,321272294216.46094,2060.0,50_percent_of_peak
16413508929.930304,2062,562328772957.8557,2075.0,50_percent_of_peak
20565157736.536686,2067,802076521291.0073,2081.0,50_percent_of_peak
28326336679.093468,2071,1089608938419.2192,2084.0,50_percent_of_peak
18025398812.99944,2055,542136887117.1992,2066.0,50_percent_of_peak
17760672045.747368,2060,559711741881.5157,2072.0,50_percent_of_peak
17164641705.03294,2062,630256425729.7611,2077.0,50_percent_of_peak
26771083402.931404,2065,913454739401.8549,2077.0,50_percent_of_peak
10781596364.056139,2061,349416362490.4807,2074.0,50_percent_of_peak
47575351096.46379,2074,1979537987732.2563,2089.0,50_percent_of_peak
15272195547.618782,2051,407157119709.06573,2060.0,50_percent_of_peak
19668579178.744686,2067,707991962370.91,2081.0,50_percent_of_peak
17019235877.219511,2052,495591156703.82947,2066.0,50_percent_of_peak
18532701818.76665,2064,706254149997.7773,2079.0,50_percent_of_peak
23885447746.666363,2067,978348581228.5759,2082.0,50_percent_of_peak
10175531216.58427,2060,305004851526.3181,2071.0,50_percent_of_peak
21739907897.430103,2067,788742787640.0974,2080.0,50_percent_of_peak
54768458579.828896,2081,2185329936871.3376,,50_percent_of_peak
41971339687.62479,2077,1767016562896.1663,,50_percent_of_peak
9003112192.854847,2049,221971996471.72754,2059.0,50_percent_of_peak
7970714010.389396,2048,199994742328.29034,2060.0,50_percent_of_peak
14475452669.787928,2059,470662038640.167,2072.0,50_percent_of_peak
10958420715.611805,2051,289854445358.3807,2062.0,50_percent_of_peak
8916214858.944519,2055,279709652290.27045,2069.0,50_percent_of_peak
11651606586.911509,2046,299269775038.665,2059.0,50_percent_of_peak
17239077966.59714,2069,688761369763.1758,2082.0,50_percent_of_peak
11850584303.388128,2051,329575623299.3777,2061.0,50_percent_of_peak
11579995384.169044,2053,314288538095.50165,2063.0,50_percent_of_peak
30820183121.938057,2078,1286218240894.4014,,50_percent_of_peak
17391785674.69805,2052,513440702542.0094,2064.0,50_percent_of_peak
29278896851.71938,2069,1105027540442.9724,2082.0,50_percent_of_peak
28103729179.112186,2065,965055871417.1111,2079.0,50_percent_of_peak
11255543219.440556,2061,393064915563.0141,2075.0,50_percent_of_peak
16127896991.047956,2057,475666005578.8351,2068.0,50_percent_of_peak
12971923181.914574,2051,370836486021.8348,2063.0,50_percent_of_peak
5576622242.799067,2050,150236610391.4356,2060.0,50_percent_of_peak
35092367639.245964,2078,1494277117062.3726,,50_percent_of_peak
9614805773.687939,2050,264018092848.30228,2061.0,50_percent_of_peak
28925658766.53168,2062,1109573499109.3008,2077.0,50_percent_of_peak
17350764130.890892,2062,599468825637.072,2075.0,50_percent_of_peak
28810060343.503555,2071,1139410608133.522,2086.0,50_percent_of_peak
12201158557.170576,2061,369314636590.6108,2072.0,50_percent_of_peak
20305532510.896973,2068,747361330471.188,2082.0,50_percent_of_peak
35598268000.888565,2076,1396320252175.8716,2090.0,50_percent_of_peak
27141524393.90068,2080,1123865391714.4153,,50_percent_of_peak
9005191305.946354,2047,221490532280.70328,2058.0,50_percent_of_peak
19160302971.49978,2063,665930640548.0055,2076.0,50_percent_of_peak
13189208382.860191,2050,369753337639.86786,2062.0,50_percent_of_peak
23723002911.637524,2065,877876445230.1118,2079.0,50_percent_of_peak
12198081755.8641,2044,299670212356.6579,2055.0,50_percent_of_peak
23853243254.447815,2078,1051603612779.3162,,50_percent_of_peak
25383892852.597958,2065,892612802421.8195,2078.0,50_percent_of_peak
21205057430.959465,2058,611928534173.5251,2069.0,50_percent_of_peak
18788881424.566154,2060,619377930373.4564,2072.0,50_percent_of_peak
16126530661.439205,2061,546030668831.6108,2074.0,50_percent_of_peak
24631869146.51113,2068,906471544558.1127,2081.0,50_percent_of_peak
19419066439.374954,2054,554678008028.1887,2064.0,50_percent_of_peak
39585056545.781624,2073,1630397892926.5762,2088.0,50_percent_of_peak
26489283345.707092,2051,709569774571.8293,2063.0,50_percent_of_peak
23148760996.960567,2067,913449242994.3455,2083.0,50_percent_of_peak
18987764604.8573,2055,570558616314.6212,2066.0,50_percent_of_peak
15872053261.853813,2055,448131016142.07214,2066.0,50_percent_of_peak
23361135132.53334,2073,972825600414.5154,2089.0,50_percent_of_peak
12963191466.352928,2059,378778829735.3555,2070.0,50_percent_of_peak
12009088983.364304,2056,353707690739.28485,2068.0,50_percent_of_peak
25318397253.883804,2074,1112278116097.9595,2091.0,50_percent_of_peak
22107374951.117393,2076,902450890854.6951,2092.0,50_percent_of_peak
13661683349.683285,2055,376172137821.08813,2065.0,50_percent_of_peak
18199441950.58287,2062,641926963864.8436,2076.0,50_percent_of_peak
7591832709.697842,2043,150673169970.25406,2052.0,50_percent_of_peak
25025438610.884445,2055,779773818673.0604,2067.0,50_percent_of_peak
14103645562.892006,2057,445257457448.8456,2069.0,50_percent_of_peak
12770042349.930672,2050,380679861999.5359,2063.0,50_percent_of_peak
20828133872.269955,2073,815479899233.3235,2088.0,50_percent_of_peak
25289478933.993652,2071,1065984655289.646,2087.0,50_percent_of_peak
