Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,CAV Total Power (kWh)_p05,CAV Total Power (kWh)_p50,CAV Total Power (kWh)_p95,ECAV Power (kWh)_p05,ECAV Power (kWh)_p50,ECAV Power (kWh)_p95,ICECAV Power (kWh)_p05,ICECAV Power (kWh)_p50,ICECAV Power (kWh)_p95,STI Power (kWh)_p05,STI Power (kWh)_p50,STI Power (kWh)_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,ICECAV Sensing Power (kWh)_p05,ICECAV Sensing Power (kWh)_p50,ICECAV Sensing Power (kWh)_p95,ICECAV Computing Power (kWh)_p05,ICECAV Computing Power (kWh)_p50,ICECAV Computing Power (kWh)_p95,ICECAV Communication Power (kWh)_p05,ICECAV Communication Power (kWh)_p50,ICECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,Electricity Consumption (kWh)_p05,Electricity Consumption (kWh)_p50,Electricity Consumption (kWh)_p95,Gasoline Consumption (kWh)_p05,Gasoline Consumption (kWh)_p50,Gasoline Consumption (kWh)_p95,Clean Electricity (kWh)_p05,Clean Electricity (kWh)_p50,Clean Electricity (kWh)_p95,Fossil Electricity (kWh)_p05,Fossil Electricity (kWh)_p50,Fossil Electricity (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,CAV Emissions (kg CO2)_p05,CAV Emissions (kg CO2)_p50,CAV Emissions (kg CO2)_p95,ECAV Emissions (kg CO2)_p05,ECAV Emissions (kg CO2)_p50,ECAV Emissions (kg CO2)_p95,ICECAV Emissions (kg CO2)_p05,ICECAV Emissions (kg CO2)_p50,ICECAV Emissions (kg CO2)_p95,STI Emissions (kg CO2)_p05,STI Emissions (kg CO2)_p50,STI Emissions (kg CO2)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,ICECAV Sensing Emissions (kg CO2)_p05,ICECAV Sensing Emissions (kg CO2)_p50,ICECAV Sensing Emissions (kg CO2)_p95,ICECAV Computing Emissions (kg CO2)_p05,ICECAV Computing Emissions (kg CO2)_p50,ICECAV Computing Emissions (kg CO2)_p95,ICECAV Communication Emissions (kg CO2)_p05,ICECAV Communication Emissions (kg CO2)_p50,ICECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95,Total Vehicles_p05,Total Vehicles_p50,Total Vehicles_p95,Total EV_p05,Total EV_p50,Total EV_p95,Total ICEV_p05,Total ICEV_p50,Total ICEV_p95,Total CAV_p05,Total CAV_p50,Total CAV_p95,Total ECAV_p05,Total ECAV_p50,Total ECAV_p95,Total ICECAV_p05,Total ICECAV_p50,Total ICECAV_p95,Total Infra_p05,Total Infra_p50,Total Infra_p95,Total STI_p05,Total STI_p50,Total STI_p95,Incremented Car Number_p05,Incremented Car Number_p50,Incremented Car Number_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,Cumulative New Cars_p05,Cumulative New Cars_p50,Cumulative New Cars_p95
2024,3969645.869464703,5361310.399644276,7436299.689760874,3969645.869464703,5361310.399644276,7436299.689760874,35519.16138864582,101284.44834777151,241228.84250921806,3856818.272960723,5245504.49874468,7356012.370040792,0.0,0.0,0.0,17585.708348279997,48180.022872,106076.35035651996,8337.143925866656,30982.532949665838,103300.6785160099,6476.665877831249,17744.29007625,39067.01198454374,2155549.9468828416,2533131.6303243376,2998821.621367318,579273.4430745378,1840098.8157373068,3635300.7080721543,793870.5972172294,932930.6997054412,1104440.3378105564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35519.16138864582,101284.44834777151,241228.84250921806,3856818.272960723,5245504.49874468,7356012.370040792,14949.762031438067,45112.88225728298,111511.14474158436,19509.251664317453,54739.03231509326,132352.5865738163,6352568.121097465,8716640.82566642,12384913.920117136,6352568.121097465,8716640.82566642,12384913.920117136,9709.574200946425,29666.342946978948,67546.04211070927,6313498.16291994,8696314.40458213,12370506.862516947,0.0,0.0,0.0,4582.54838747084,13741.127999940152,33212.44904430397,2345.6956436871974,8704.426032278036,31091.79500627987,1687.7133514809977,5060.739839281391,12231.860735111728,3513582.9433358004,4199159.855162075,5027101.23202792,926671.8099585054,3014993.51831658,6281381.673465977,1294022.5271197895,1546514.6362527404,1851438.35943709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23906850.0,23906850.0,23906850.0,250403.95,725307.0,1585937.6999999997,22320912.3,23181543.0,23656446.05,1002.0,1002.0,1002.0,10.950000000000001,30.0,66.04999999999998,935.95,972.0,991.05,275700.0,275700.0,275700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010474150714125868,0.03033887776934226,0.06633821268799528,0.3540099674370354,0.44546581291361764,0.5529409577348969,0.0,0.0,0.0
2025,81599113.5575068,132312299.64307046,212750252.3928976,69786650.91891482,120224567.11903037,193417284.23822564,710863.0600082265,2341083.619329677,6504416.76935007,68522042.88207655,117449307.62202439,191935024.7554913,5018241.44710062,10596401.946838304,19570754.823138755,178061.21042253898,563505.3331681055,1569611.142624172,473389.19504109124,1568249.4841983714,4457344.22659611,65578.41986625368,207534.19145966662,578074.3503512032,17248161.67596816,28046284.792750955,45217326.81434882,43691914.10024657,79603499.0575482,132493425.08148158,6352350.327303459,10329206.655750878,16653154.474376371,908734.5285833854,1943921.8761130974,3539421.2048419397,3593805.087960134,7751907.090879683,14241372.454757053,470368.8731546799,1006190.8220802762,1832035.1118786808,7224704.405650162,13766893.488895833,22118348.92384327,68522042.88207655,117449307.62202439,191935024.7554913,3104347.1520259683,6586494.769438159,11556307.727176812,3717436.694984668,7217496.561886162,12298723.713086704,113074415.63426432,197734663.38677746,338246095.786671,111064089.34324351,195254081.43148577,335448404.7632341,214529.03657266474,658538.8940566762,1792533.506163154,110802685.64012717,194493215.41724664,335230456.82828146,1359094.025612701,2928084.075511407,5695116.723507443,51417.55475812548,155651.07281285414,414641.1916288683,144381.14585159632,434404.2831691939,1201801.1493123125,18936.64536157522,57324.95798120288,152708.8021807571,28476697.76223459,46841785.030452564,79316678.88793854,71421161.29307866,131443229.24140143,228626785.0716318,10487724.068733184,17251428.53248281,29211654.004636887,261269.35281988335,530821.8722052047,1028527.1801145254,962541.4696378385,2116175.4463184024,4168012.860995366,135235.28292395503,274758.00469939865,532374.5885100232,23948100.114151545,24002782.900257118,24065575.03851832,251938.24157599348,732564.8237209738,1603276.4407120775,22420530.18619955,23267188.65310648,23752699.548659395,7234.566732329554,10899.218740945289,17427.101982725224,110.95,351.0,977.6999999999998,7012.111181035826,10580.582997590813,16538.17305553635,275700.0,275700.0,275700.0,95.53071703555098,204.35478662362448,372.0816530615169,1531230.9878794116,1961231.424944127,2516729.253851071,0.01116822807019487,0.03249005603663705,0.07059296164428543,0.37243280440590576,0.4686847683068755,0.5788457255344173,1531230.9878794116,1961231.424944127,2516729.253851071
2026,204341310.45942003,345167712.38808954,570068931.4429843,181361825.83313924,325611791.0804926,533166212.2769042,2006132.7989617952,6719272.125936979,19302787.018448785,174527349.83010036,315010999.59784865,528762224.14769316,9351797.370721068,20131051.69658588,36974586.82785722,524661.3016002423,1681327.6834183263,4776035.250578838,1289460.7009973186,4380308.831324052,12693235.536629772,193228.26707888462,619218.5962025005,1758972.9072112478,46718355.742609575,78877515.54615799,129557368.21335903,113408434.37173685,206328499.89418894,352411481.11635214,17205970.58213668,29049913.90442746,47714869.89951992,1817154.1737145553,3886402.8753644135,7074065.632564964,6716734.559501317,14089282.050337685,26288555.01445078,940574.759903611,2011635.8338006372,3661597.722493171,15126012.205411736,28869332.597435303,45709930.67624609,174527349.83010036,315010999.59784865,528762224.14769316,6973438.958041385,14159903.10001479,24597286.39595872,7394475.020579774,14027094.071402267,24099681.52502433,292170034.1115956,525109853.45267093,918924433.2783836,288742870.11165804,520141634.09418356,910990328.0061338,591257.131630203,1815452.0581379654,5060051.612628942,288050500.09844,518951416.6927928,909601034.6206856,2425853.786908817,5251606.384339768,10472205.097364191,143560.5478092047,450951.547316434,1233147.4406308585,384017.9233198071,1164137.0049744607,3249311.5079419254,52872.12109881134,166081.59541922648,454157.6485231525,78238324.01862386,131025681.57172915,227174287.86599958,183478065.08614308,345496512.9534645,592286467.911968,28814505.13534117,48255637.14288487,83666345.95564866,499267.4318284777,1025014.5541995792,1977745.2524404193,1655521.0410225342,3726644.596672169,7485192.23513161,258425.15269897456,530556.4228725815,1023698.095006474,23989421.430887,24099100.760320596,24225353.93088703,254335.92679452227,745280.6969222516,1635335.3154302426,22506083.935603008,23342431.53259583,23844809.78846249,19639.30539053805,30616.646029556876,50188.664559470024,326.85,1047.5,2974.45,18971.303681386937,29663.786984231054,47416.97752255306,275700.0,275700.0,275700.0,191.0283319482855,408.558101067601,743.6611474298891,1531315.096520417,1961859.0408944618,2517400.4382884493,0.012140169774271181,0.03480153624778972,0.07512066940311658,0.3869215606505143,0.4932723725501511,0.6080105334556031,3062544.0696179457,3923084.463841645,5034111.859417454
2027,359278763.74008757,624025525.3336098,1040435084.9944563,331958341.89258343,599671815.363229,1000225730.099122,3956712.122360668,13284101.66055365,38476085.59446613,321651273.4434192,581862814.3113573,983003551.1837364,13383994.902083918,28289566.950069923,52453171.1719571,1112277.4337587222,3516696.6224743202,10101986.642208636,2396553.5551545527,8222661.972866619,24760967.960591894,409642.2594550426,1295169.2684981623,3720475.2227281746,91080430.18227275,154652166.13855067,255403270.34768555,188475458.68354234,369241294.01313853,638681989.9886211,33544142.92657215,56957069.202174425,94062838.60662074,2725573.7097723987,5828882.807398297,10608703.622266296,9276593.738682495,19560221.575447444,36711904.99091026,1410780.590195242,3017080.2931199986,5491157.0007318,23097758.342749808,45170400.46022507,72306630.05717745,321651273.4434192,581862814.3113573,983003551.1837364,11759733.689618103,22785048.91764523,41157849.52878257,10706158.327122403,20876105.630898803,36176809.34669624,527155630.45900005,970156517.3971529,1676810764.8488982,518052220.5074433,960302683.9809165,1666688346.3122728,1086454.6504170077,3404509.8307358036,9656296.542843815,516688972.8239367,956380098.6042091,1657992716.8569753,3298230.246847451,7162532.687749146,14440548.74230134,285377.286777109,901686.8260090745,2522067.0637567504,668747.5665041747,2141003.1436275286,5953976.724805016,105102.01232571564,332083.5409552393,928855.7145344124,152084110.20156634,256424313.57607603,447816679.4662327,307809697.27014613,604936029.6351073,1082235384.279496,56011276.17922491,94438880.08906433,164927050.4196846,712397.8081478224,1488675.9519275273,2836690.3147730962,2192752.676395092,4898808.227458608,10069782.75774194,368743.2838925161,770551.5835215332,1468295.5086218906,24030814.073154032,24195805.12496744,24386193.674357053,262111.15714138388,763909.8678902898,1669524.6451122186,22538146.220378228,23409486.01007262,23965248.10158064,38216.83407746302,60156.783949858676,99294.35671300419,692.9,2190.5,6291.349999999999,36724.003878717376,58199.58822117513,93380.22656302816,275700.0,275700.0,275700.0,286.5259353946865,612.7613033203452,1115.2399650012328,1531399.6815526513,1962490.6304679643,2518077.432473595,0.01307432379201302,0.03714654793047388,0.080354983964804,0.40738778012148624,0.5190520206419436,0.6475834148155009,4593940.872910766,5885566.5200282615,7552163.816573812
2028,538018548.5506448,953811038.52069,1581360425.9759715,504016798.669664,920689381.0610155,1542369004.837684,6502891.866974095,22045347.680380024,63867801.81515206,491342383.9007383,892917086.8189696,1527629439.5670033,16993250.247122418,35673044.48578146,66530268.2802,1980554.5430824978,6182287.068650641,18016402.309880514,3869363.440201938,13049052.508532073,40266300.76329072,729421.287691302,2276883.416436462,6635286.777805338,149377041.68430984,255237460.80281538,422311749.42280143,266179060.6998254,552761211.1776155,961334753.9471316,55014286.0126968,94001772.37032185,155533802.96798778,3633993.0276080477,7771360.603417567,14143328.718593657,11352799.716162644,23978758.636774145,45646495.96005044,1880986.3075331731,4022523.6468196716,7320709.605248241,32452319.398405124,61997931.75468692,107080451.26524626,491342383.9007383,892917086.8189696,1527629439.5670033,17445782.89026996,32861700.29525297,65003540.29462829,13302732.51921031,28138583.683036815,48005875.44808593,801666336.8365026,1503769489.7519064,2592438254.719326,795254765.3336177,1497889804.3931766,2579130597.6468496,1681592.364545503,5390354.955406179,15166588.525926579,792202589.8397121,1491260776.1862679,2576159854.0927997,3894717.8467653277,8649549.170021761,17183099.67180261,492164.8083122264,1509730.1606953857,4324247.390533276,1008690.2922155751,3182149.1122654984,9291073.293576943,181260.08672132462,556020.6971967011,1592583.3049714451,249487581.5254592,422389556.13334644,740484384.7315525,427000807.47520876,901334384.2160473,1636620672.2167122,91884141.04266798,155562458.51357472,272714061.4797459,898832.2014865653,1903765.7411379456,3587930.11177538,2511757.372932141,5795299.436980404,11919865.035807593,465243.34276969347,985405.6583559994,1857143.7428094514,24072278.16411271,24292897.5451736,24548101.31264013,272484.36923414585,786449.4496435907,1711912.5292602067,22607184.268646657,23483380.96821609,24083300.350835253,62967.77670553187,99520.43632319648,164751.95559369403,1233.65,3850.0,11221.1,60253.74649679567,96143.51332802279,154169.1462195013,275700.0,275700.0,275700.0,382.0235159004794,816.964281024554,1486.8174271566415,1531484.8547443398,1963126.5407695156,2518761.237614915,0.013879695694074212,0.039336647997630564,0.08644882846099626,0.42916876703497836,0.5441096766219327,0.6762182507031965,6125421.6158553455,7848680.811824422,10070888.660878386
2029,735325572.9584472,1336424195.2162986,2228668958.8184695,695430911.9341066,1288909431.524324,2181679360.8698845,9646086.426198153,32988748.346277352,95734571.73472944,676648559.9122155,1254710416.9057946,2160196014.816297,20172347.329831894,42616214.917495936,79549817.89529027,3143726.890502778,9909076.025165161,29065564.199884575,5554471.966216491,18553372.639968,59890037.46306258,1157807.7082650643,3649427.8934917017,10704598.537921155,221195425.16384193,380411905.0196122,631191031.5282077,344455242.6454237,737699494.3464122,1313889109.5534568,81464381.99238926,140102448.87305212,232462254.87935406,4542412.126994807,9713836.258679492,17677940.869485438,13053440.864961889,27680687.694811337,53312613.18142815,2351191.9118000637,5027965.892444777,9150255.509094954,42849974.968230374,80680302.00196448,148177866.69267982,676648559.9122155,1254710416.9057946,2160196014.816297,23090225.984101824,45192845.32294506,89713477.63090685,15593192.89952517,34819676.86402315,60498838.58359495,1101241823.2712677,2092277134.9536195,3677274603.967494,1094610525.125164,2083999116.001484,3662045422.594929,2356914.5177666624,7672204.0491392445,21900965.948647037,1090621594.9260588,2071155118.2981524,3657709116.455995,4421143.119317386,9755388.166590307,19893665.38370087,741184.7924718433,2279094.4683160847,6591573.416960278,1243466.780953577,4185603.9086312125,13416984.172681041,272972.01565607317,839370.9871084299,2427620.0756520377,369845027.20754063,628538759.2409961,1104280899.6678293,554225922.7641311,1212225293.5389833,2196234734.34049,136210758.21122274,231485445.69537944,406697204.3875016,1055515.478739635,2229050.2411471107,4287539.694544922,2743176.896620003,6315250.618765088,13281726.214546477,546343.9659391434,1153775.736647742,2219267.730338037,24113813.827135805,24390379.578138888,24711083.936217334,285682.6476754401,815750.140209841,1764669.0733673412,22609410.244873244,23533385.251086995,24204988.11439907,93892.7651519545,148712.112086059,246569.3772803637,1958.2,6172.5,18101.549999999996,89739.0366068199,143444.64668126014,229475.30561334695,275700.0,275700.0,275700.0,477.52107344183287,1021.1670336816475,1858.393528423139,1531570.7754461854,1963767.2607259415,2519453.2761417045,0.014734801812513344,0.04200709611836999,0.09322531821511713,0.44433887314892456,0.5691900260802562,0.7084857317691436,7656986.517301874,9812430.574017,12590289.946576748
2030,948108485.757153,1748915418.935701,2944564775.414429,902936694.1469008,1697301300.6577547,2889070346.477328,13476079.918650864,46011682.56244929,136396285.6300255,876738854.2853718,1660544032.8857138,2858047224.3172917,23057490.927915215,48787567.13818252,91383497.03359905,4764190.952700641,14951178.754121242,43836842.77306663,7484271.624956262,24881767.76077546,83261716.38185717,1754610.753671832,5506391.175857501,16144734.016809907,306912066.9075794,529842629.2845468,881758393.0904328,417918199.36384803,924242004.7359011,1669491632.1222832,113033087.54289661,195136505.720752,324744069.6682928,5450831.007705668,11656309.768427309,21212540.02260011,14452574.99743735,30649082.675460674,59772124.178480476,2821397.402878413,6033407.027533172,10979794.685179511,52826204.54166203,102626604.67849773,191171005.53372645,876738854.2853718,1660544032.8857138,2858047224.3172917,29405312.368162572,59194713.276104495,128198412.62565207,16350679.577458061,40823577.49995742,74604026.45495808,1423062747.3862038,2725313303.158452,4882621241.167321,1416630122.8865557,2714487290.9700108,4866266770.568651,2975809.6766359443,10022989.63505156,29877413.064069454,1411863763.6896207,2705410514.1039867,4858501590.744986,4392755.605320183,10453690.049236387,21673870.40778329,1034024.3637133047,3198318.556850507,9177817.068056315,1519184.8193431972,5333275.959140731,16633635.464603705,380822.32348423684,1177913.3517595371,3380111.4780498096,512479753.2023605,874261247.5081773,1538189591.5734282,674582153.6986214,1525206348.0326548,2804808377.638385,188741907.05941877,321982935.1144792,566502062.0197647,1180053.4713128817,2542875.805810364,4857669.255270315,2764319.638352099,6552177.018624349,14052518.984042456,610805.9109726852,1316214.5706248097,2514371.7355183223,24155421.18580921,24488252.7873119,24875148.682649605,299576.58964333363,854969.5988570454,1828002.7474021849,22580622.28588965,23598935.512655266,24345468.381287474,130992.44254857037,207735.10993580724,344754.72361208335,2967.55,9312.0,27301.299999999992,125055.14402779937,200042.64159985073,319657.36397522135,275700.0,275700.0,275700.0,573.0186079948824,1225.3695607915708,2229.9682632983227,1531657.670982608,1964413.4818313345,2520155.572185814,0.015642722616616894,0.045436394746849657,0.09968544644530604,0.45907148326853325,0.5943991121111376,0.7503800097490562,9188635.796856401,11776819.057943529,15110371.246700643
2031,1174504795.4385362,2201282416.5052876,3718631789.6514783,1124766462.9430597,2147420268.2320392,3654520283.570521,18469817.814379506,62068871.84803045,186303497.40598437,1089711388.1706636,2079527637.2952232,3573701964.8085847,25693316.043614987,54385389.083003506,102275060.13881387,6732281.88115609,21310527.77161582,62977935.93253133,9597393.907887165,32006987.709006675,107157962.44218074,2479441.7987655215,7848484.992672974,23194234.80887889,406225317.55349445,703641710.3515933,1173721771.12502,482297508.04549056,1118627080.980926,2003646759.5510798,149609307.78584248,259145219.82270414,432271683.0372423,6359249.669513301,13598781.127890173,24747126.125314377,15532808.308348043,33101721.55045516,65243513.15370102,3291602.7806505547,7038847.049615426,12809327.106263634,63398956.26238986,125165599.55396476,246527422.26024303,1089711388.1706636,2079527637.2952232,3573701964.8085847,37851613.745854415,76649364.97066891,175981209.26848888,16722393.640131548,45800739.11504798,89774778.83320028,1763344200.9236782,3418935894.999399,6171193002.826225,1757494964.7375622,3406258839.9406586,6158788973.641205,3597746.7301611025,12275962.84153308,37931042.329033546,1752254840.165764,3393910857.4365788,6104221632.165291,4572339.785945106,10871729.586188193,22751217.637407683,1373097.913383573,4264894.848079214,12622583.858242536,1801958.3423205684,6451659.03715028,19464557.34305497,505700.20987539476,1570724.2715528477,4648789.604925915,676622249.5858203,1159642264.4840946,2040881063.239537,784737767.4533527,1796790411.5966086,3415024310.1635575,249194183.66804183,427086321.24049085,751639028.762142,1243883.6282369364,2710985.968844912,5401520.032027793,2749453.0011023623,6607765.23194471,14687033.205040053,643844.9537748309,1403229.848976428,2795873.614209442,24197100.363932278,24586518.742415134,25040302.736890372,310478.4930815623,902720.1414027775,1917215.642565495,22576136.786625665,23653178.54814894,24464673.965443127,174267.46828431138,276592.8321375667,459316.35327651614,4194.0,13274.0,39223.74999999999,165918.3026655132,265869.2372463114,425269.9277916013,275700.0,275700.0,275700.0,668.5161195357306,1429.571861852789,2601.5416262501667,1531745.8657819778,1965066.1849259418,2520871.009412306,0.01660673006223891,0.04838451124343712,0.10809212366841009,0.48011186658685223,0.6253894469017558,0.8003829279043131,10720369.674883975,13741849.53157689,17631136.153167352
2032,1414478334.5349748,2674946569.018505,4542404833.068659,1360131564.8184962,2625309190.889168,4472335614.609317,24471195.51745749,80458194.65059114,247794632.65913174,1314592963.4761422,2528720966.904297,4359888623.85603,28120827.804286417,59726653.56591722,112365362.87745053,9180970.690179484,29207923.06254802,87695802.35651441,11924415.933475735,39458838.88183722,138996746.95606172,3381272.9300875785,10757028.088665377,32297613.465597026,518601473.9050828,901252523.3993795,1506946990.8258781,536088627.66211015,1294105054.0861254,2334398221.35774,190996484.40163958,331923591.02105665,554995679.5534505,7267668.112190069,15541250.332283093,28281699.12472123,16188193.447929213,34889961.981597684,69903749.89562596,3761808.0449986584,8044285.956214787,14638852.744962199,73817693.87216987,152270102.64678508,312206697.7271198,1314592963.4761422,2528720966.904297,4359888623.85603,47093919.86113027,96711594.6147942,230700081.96511734,14230613.212447789,49722254.801755466,107384618.71421972,2119736158.8256001,4153390546.6783714,7432652395.079101,2114834379.8082864,4140275353.1600833,7420185172.963356,4233689.670861558,14721403.916208334,47356003.6674584,2109600192.2885232,4120687556.3846846,7354025050.856571,4509183.413890742,10981800.758559259,23551123.891599786,1632145.228906435,5421274.197483143,16143079.404071169,2021129.595414226,7451495.37438379,22417453.178475313,601105.1191325644,1996608.8890948896,5945357.984382482,861397164.0303828,1482632566.4372103,2610631133.804479,870803597.5018487,2085927223.7525995,4044977615.05508,317245203.26654047,546040885.1454906,961473103.5596366,1223338.063456566,2841265.0026024133,5882926.068985163,2629042.0700525814,6522509.358449586,14833828.645532656,633210.3912594895,1470663.4067171286,3045053.554017046,24238851.485518195,24685179.019470148,25206553.331600256,323164.7131382165,947072.1579762894,2031504.76113199,22565425.71182519,23700250.046398036,24574779.62862902,223718.52558524776,355288.8276535701,590262.989405265,5720.0,18194.0,54660.3,211700.07689905673,340844.28412931913,545691.878036784,275700.0,275700.0,275700.0,764.0136080404463,1633.7739363622804,2973.1136117168235,1531835.8229912696,1965726.7641658112,2521603.69934881,0.017730954321959293,0.052221584887882436,0.11667531642144134,0.5006128954490813,0.658713569824495,0.8535034735101611,12252188.372511813,15707525.279610446,20152588.276879594
2033,1667384814.4810262,3180500909.9969983,5408511223.519603,1608869159.8448064,3133027421.39056,5334568067.927528,31595031.414903026,102248419.28828514,316146478.2728848,1550994919.7224798,3004712785.3857102,5182089145.142321,30364740.119758897,64773296.48034917,121768166.41226012,12451938.410681846,38969511.58058034,117406657.792388,14210106.040429903,48670794.34419147,170171740.45377016,4585942.347054061,14352137.595548153,43239867.24302421,643740980.9135717,1122258942.0345097,1881266875.0560534,582038275.3766024,1449584003.3341174,2647050874.1887565,237084293.82955918,413318363.52652884,692854489.308159,8176086.335508018,17483717.376806907,31816258.967628084,16693283.735766992,36656155.218302816,73873103.54025011,4232013.195804736,9049723.744847171,16468371.573742263,86930793.82682085,181153714.2980752,390341418.5622534,1550994919.7224798,3004712785.3857102,5182089145.142321,58071207.040602595,120461399.04937197,296668089.5432745,11234014.687317522,52379129.31502576,116088320.4253374,2490830653.8303595,4928309744.34342,8730264762.351301,2487230224.8892837,4915766075.172937,8718061310.270805,4386386.020079568,17019982.631719273,57180481.30316779,2482704738.1114173,4892359411.319567,8661050754.168228,3918110.276910861,10653080.46518835,24172091.35997158,1768932.2409364728,6616715.290986134,20678612.58446316,2014027.2857845528,8337602.75086889,25706943.935892846,651482.6049750433,2436879.612679668,7615756.037474804,1065827973.8620445,1840916062.8403642,3246029473.445001,943125641.2217999,2347553840.8533993,4674443535.579252,392535320.9116244,677993630.5105268,1195484874.0086162,1149340.7585229957,2973621.373413994,6130234.6662996095,2110633.1943241633,6302099.2266927585,14877547.317830343,594908.7444712408,1539172.2121330923,3173062.62881428,24280674.674794372,24784235.200822838,25373907.747463815,344834.6825512479,1001887.3029568741,2158997.391792419,22541427.6133354,23736212.199856695,24688858.334718235,279346.332964014,443826.8572349595,737603.8819721182,7758.650000000001,24286.0,73163.05,262603.3490277661,424876.7825180931,680827.7315470326,275700.0,275700.0,275700.0,859.5110734850665,1837.975783815533,3344.684214106422,1531928.2039255525,1966397.2041220497,2522359.5075700213,0.018987001247031975,0.05606887688422431,0.12484002058477361,0.5205640928768375,0.6912307475127724,0.9059556240563735,13784092.11163246,17673849.603543557,22674731.247825947
