Year,New Cars,New EVs,New ICEVs,New CAVs
2013,2671666.6666666665,147650.5,2524016.1666666665,0.0
2014,2671666.6666666665,147650.5,2524016.1666666665,0.0
2015,2671666.6666666665,147650.5,2524016.1666666665,0.0
2016,2671666.6666666665,147650.5,2524016.1666666665,0.0
2017,2671666.6666666665,147650.5,2524016.1666666665,0.0
2018,2671666.6666666665,147650.5,2524016.1666666665,0.0
2019,2671666.6666666665,147650.5,2524016.1666666665,0.0
2020,2671666.6666666665,147650.5,2524016.1666666665,0.0
2021,2671666.6666666665,147650.5,2524016.1666666665,0.0
2022,2671666.6666666665,147650.5,2524016.1666666665,0.0
2023,2671666.6666666665,147650.5,2524016.1666666665,0.0
2024,2671666.6666666665,147650.5,2524016.1666666665,1603.0
2025,2831966.666666664,167465.19709999987,2664501.469566664,62303.26666666663
2026,2832768.166666664,179238.47441423486,2653529.692252429,30324.758150496138
2027,2833573.6741666645,191839.70240399,2641733.9717626744,32307.68438323538
2028,2834383.2092041634,205327.12554875802,2629056.0836554053,35045.28974027137
2029,2835196.791916851,219763.08713728838,2615433.7047795625,38355.490575738884
2030,2836014.442543108,235214.3178190052,2600800.1247241027,42178.48993238344
2031,2836836.181422483,251752.2444772027,2585083.9369452805,46502.401050576715
2032,2837662.0289962664,269453.320855834,2568208.7081404324,51338.69556629585
2033,2838492.0058079064,288399.38147260307,2550092.6243353034,56712.428180974195
2034,2839326.1325036213,308678.02045916725,2530648.112044454,62657.85935738206
2035,2840164.429832805,330382.9970848502,2509781.432747955,69216.35596834667
2036,2841006.918648634,353614.66984416416,2487392.24880447,76438.90528462903
2037,3002153.6199085414,399829.3502729365,2602324.269635605,88898.88375234876
2038,3003806.0546747446,428052.88253327995,2575753.172141465,98429.60360030018
2039,3005466.751614794,458269.80529965204,2547196.946315142,108905.15064615518
2040,3007135.7520395257,490620.9928611916,2516514.759178334,120409.0389053585
2041,3008813.0974663906,525257.2814467496,2483555.816019641,133031.657104301
2042,3010498.829620395,562340.1741513731,2448158.6554690218,146870.84119538523
2043,3012192.9904351644,602042.5957796217,2410150.394655543,162032.35202915326
2044,3013895.622054003,644549.7011429737,2369345.9209110294,178630.33637326973
2045,3015606.766830936,690059.7405994496,2325547.0262314864,196787.7868665507
2046,3017326.467331767,738784.9868922489,2278541.480439518,216637.00029118822
2047,3019054.7663350888,790952.727631911,2228102.038703178,238320.027802048
2048,3020791.7068334334,846806.3280747219,2173985.3787587117,261989.12060742616
2049,3182837.3320342526,954688.1577618233,2228149.174272429,302444.9107133491
2050,3185393.185361102,1022336.6176339677,2163056.5677271346,333102.16391788534
2051,3187961.81795457,1094782.2784604076,2093179.5394941627,366566.1213206867
2052,3190543.293710999,1172365.6015982584,2018177.6921127408,403061.54250256973
2053,3193137.6768462285,1255451.2316264634,1937686.4452197652,442826.55749879475
2054,3195745.031897135,1344429.715613638,1851315.316283497,486112.60475651245
2055,3198365.4237232804,1439719.344727128,1758646.0789961524,533184.1617267788
2056,3200998.917508565,1541768.1268972636,1659230.7906113013,584318.2206162107
2057,3203645.5787627622,1651055.899872058,1552589.6788907042,639803.4545770674
2058,3206305.473323256,1768096.5946634333,1438208.8786598225,699939.011599537
2059,3208978.6673565507,1893440.660098859,1315538.0072576916,765032.8646537035
2060,3211665.227359988,2027677.6599567565,1183987.5674032313,835399.6373945134
2061,3374665.220163442,2279728.454808493,1094936.7653549488,955643.3989185254
2062,3378180.21293094,2441850.1890604887,936330.0238704515,1044750.6335187987
2063,3381712.7806622535,2615511.889651107,766200.8910111462,1140823.0804071883
2064,3385263.011232227,2801535.7796003753,583727.2316318515,1244204.4070474214
2065,3388830.9929550514,3000802.724491806,388028.26846324553,1355217.6272633243
2066,3392416.8145865127,3214256.419353725,178160.3952327877,1474155.5554155034
2067,3396020.5653260946,3396020.5653260946,0.0,1601269.551614038
2068,3399642.334819399,3399642.334819399,0.0,1699821.1674096994
2069,3403282.213160157,3403282.213160157,0.0,1701641.1065800786
2070,3406940.290892631,3406940.290892631,0.0,1703470.1454463154
2071,3410616.6590137705,3410616.6590137705,0.0,1705308.3295068853
2072,3414311.408975497,3414311.408975497,0.0,1707155.7044877484
2073,3578324.632687025,3578324.632687025,0.0,1789162.3163435124
2074,3582857.922517143,3582857.922517143,0.0,1791428.9612585716
2075,3587413.878796391,3587413.878796391,0.0,1793706.9393981956
2076,3591992.6148570254,3591992.6148570254,0.0,1795996.3074285127
2077,3596594.2445979863,3596594.2445979863,0.0,1798297.1222989932
2078,3601218.8824876472,3601218.8824876472,0.0,1800609.4412438236
2079,3605866.64356675,3605866.64356675,0.0,1802933.321783375
2080,3610537.643451251,3610537.643451251,0.0,1805268.8217256255
2081,3615231.9983351678,3615231.9983351678,0.0,1807615.9991675839
2082,3619949.824993521,3619949.824993521,0.0,1809974.9124967605
2083,3624691.240785159,3624691.240785159,0.0,1812345.6203925796
2084,3629456.363655746,3629456.363655746,0.0,1814728.181827873
2085,3794545.3121406734,3794545.3121406734,0.0,1897272.6560703367
2086,3800159.7053680643,3800159.7053680643,0.0,1900079.8526840322
2087,3805802.1705615595,3805802.1705615595,0.0,1902901.0852807797
2088,3811472.8480810225,3811472.8480810225,0.0,1905736.4240405113
2089,3817171.878988102,3817171.878988102,0.0,1908585.939494051
2090,3822899.405049719,3822899.405049719,0.0,1911449.7025248595
2091,3828655.568741627,3828655.568741627,0.0,1914327.7843708135
2092,3834440.513252005,3834440.513252005,0.0,1917220.2566260025
2093,3840254.382484928,3840254.382484928,0.0,1920127.191242464
2094,3846097.321064025,3846097.321064025,0.0,1923048.6605320126
2095,3851969.4743360206,3851969.4743360206,0.0,1925984.7371680103
2096,3857870.9883743525,3857870.9883743525,0.0,1928935.4941871762
2097,4024102.0099828765,4024102.0099828765,0.0,2012051.0049914382
2098,4030864.1866994873,4030864.1866994873,0.0,2015432.0933497436
2099,4037660.1742996275,4037660.1742996275,0.0,2018830.0871498138
2100,4044490.1418377906,4044490.1418377906,0.0,2022245.0709188953
