Year,New Cars,New EVs,New ICEVs,New CAVs
2013,2671542.7257612543,147526.55909458792,2524016.1666666665,9.642427921260097
2014,2671546.8582303636,147530.69156369704,2524016.1666666665,13.774897030371566
2015,2671552.761757662,147536.59509099575,2524016.1666666665,19.678424329102242
2016,2671561.195368089,147545.0287014225,2524016.1666666665,28.112034755860346
2017,2671573.2433829843,147557.07671631788,2524016.1666666665,40.160049651229066
2018,2671590.454832835,147574.2881661684,2524016.1666666665,57.371499501755814
2019,2671615.0426183357,147598.87595166918,2524016.1666666665,81.95928500250831
2020,2671650.168026194,147634.00135952738,2524016.1666666665,117.08469286072618
2021,2671700.347180277,147684.18051361054,2524016.1666666665,167.26384694389452
2022,2671772.03168611,147755.86501944365,2524016.1666666665,238.9483527769922
2023,2671874.4381230148,147858.27145634807,2524016.1666666665,341.35478968141746
2024,2672020.733032878,148004.56636621154,2524016.1666666665,487.64969954488214
2025,2735662.7257612534,161770.37073249387,2573892.3550287597,24272.30163543073
2026,2735795.098230362,173102.672321315,2562692.425909047,48410.16247839197
2027,2735929.4982376583,185228.9585851576,2550700.539652501,72550.41281209038
2028,2736066.6853210554,198204.9237316888,2537861.7615893665,96693.1331429099
2029,2736207.744315844,212090.20222305658,2524117.5420927876,120838.4451475015
2030,2736354.2247675695,226948.66522354577,2509405.5595440236,144986.53340937578
2031,2736508.3400929384,242848.7486025835,2493659.591490355,169137.67822825414
2032,2736673.252095744,259863.8204054791,2476809.431690265,193292.3050007193
2033,2736853.477417968,278072.5992722422,2458780.878145726,217451.0583499088
2034,2737055.46818427,297559.6406958306,2439495.827488439,241614.9131478234
2035,2737288.4414941743,318415.91623616015,2418872.5252580144,265785.3404368461
2036,2737565.5644107834,340739.52332940313,2396826.04108138,289964.55491507513
2037,2801338.646801915,373084.6428436259,2428254.003958289,321434.38484745345
2038,2801602.371113103,399238.14948062284,2402364.22163248,346181.9196548845
2039,2801868.385666158,427225.38151007646,2374643.0041560815,370934.4111047209
2040,2802137.450524427,457175.0567553867,2344962.3937690402,395692.0271434175
2041,2802410.6510496065,489225.0041410804,2313185.646908526,420455.01134580927
2042,2802689.53731481,523522.8484392314,2279166.6888755783,445223.7194115006
2043,2802976.3232652694,560226.7673173398,2242749.5559479296,469998.6730595153
2044,2803274.1712344214,599506.3385969471,2203767.8326374744,494780.63953088643
2045,2803587.5983949266,641543.5036741642,2162044.094720762,519570.7487496009
2046,2803923.0574031733,686533.6852469628,2117389.3721562102,544370.6658181304
2047,2804289.765891526,734687.116025629,2069602.6498658971,569182.8447578342
2048,2804700.891456917,786230.4633152551,2018470.428141662,594010.901449768
2049,2868608.2445021532,860435.5279865325,2008172.7165156205,632854.3517915113
2050,2869006.5080087297,920793.8357019448,1948212.672306785,658254.1647419048
2051,2869407.3308355846,985387.0513100178,1884020.2795255668,683661.614871556
2052,2869811.47358419,1054512.6472140164,1815298.8263701736,709076.9578501063
2053,2870220.022155486,1128489.1622377636,1741730.8599177224,734500.5594343817
2054,2870634.5271629095,1207657.7832284796,1662976.74393443,759932.9467245647
2055,2871057.2030930594,1292384.0923403094,1578673.1107527502,785374.8831441425
2056,2871491.2128218636,1383060.020538876,1488431.1922829875,810827.4780644514
2057,2871941.0740655474,1480106.0659937484,1391835.008071799,836292.3469968635
2058,2872413.2400251366,1583973.8635042321,1288439.3765209045,861771.8455615414
2059,2872916.9288787283,1695149.2328574336,1177767.6960212947,887269.411046727
2060,2873465.3087701052,1814155.8975756883,1059309.411194417,912790.0608050448
2061,2937510.19064996,1984411.8248832694,953098.3657666908,959050.9986559862
2062,2938046.2580488287,2123708.1382524977,814338.1197963309,985147.0733863276
2063,2938585.16037577,2272784.51016469,665800.6502110797,1011253.5826606076
2064,2939127.6587834507,2432328.380268965,506799.278514486,1037370.8701630284
