Year,New Cars,New EVs,New ICEVs,New CAVs
2024,0.0,0.0,0.0,500.0
2025,105000.0,4536.0,100464.0,1155.0000000000002
2026,106050.0,4947.8688,101102.1312,1272.6000000000001
2027,107110.50000000186,5397.135287040094,101713.36471296177,1392.4365000000244
2028,108181.60499999858,5887.195171103156,102294.40982889543,606.9371973217224
2029,109263.42105000094,6421.752492639463,102841.66855736148,1638.9513157500144
2030,110356.05526049994,7004.847618971063,103351.20764152888,710.0612001804311
2031,111459.61581310444,7640.8877827736005,103818.72803033084,1894.813468822776
2032,112574.2119712364,8334.680393449511,104239.53157778688,844.913997512554
2033,113699.95409094729,9091.46937317461,104608.48471777268,870.4267035703584
2034,114836.95363185741,9916.974792258923,104919.9788395985,2296.7390726371486
2035,115985.32316817716,10817.436103396141,105167.88706478101,1045.6159474974804
2036,117145.17639985867,11799.659301584486,105345.51709827418,1089.294256661982
2037,118316.62816385739,12871.068366168374,105445.55979768901,1137.3846911409391
2038,119499.79444549605,14039.761373816475,105460.03307167959,1190.1670274648336
2039,225694.79238994978,28637.681986191597,197057.11040375818,5642.369809748745
2040,227951.7403138522,31237.983510538194,196713.756803314,2700.6448813446423
2041,230231.25771698728,34074.39241329456,196156.86530369273,2839.4040965722916
2042,232533.57029415853,37168.34724442192,195365.2230497366,2990.417533426768
2043,234858.90599709935,40543.233174215304,194315.67282288402,3155.736830038276
2044,237207.4950570725,44224.558746434464,192982.93631063803,3333.3472930304983
2045,239579.57000764087,48240.14868061024,191339.42132703064,3525.880978132957
2046,241975.36570771784,52620.35418080977,189355.01152690806,3731.4587051716762
2047,244395.11936479434,57398.28234042714,186996.8370243672,3951.764462856441
2048,246839.07055844367,62610.04637693829,184229.02418150537,4188.96329162942
2049,249307.46126402728,68295.03858796407,181012.4226760632,4441.124468465441
2050,251800.535876669,74496.22809175163,177304.30778491736,4710.384172162846
2051,254318.54123543575,81260.48560248272,173058.05563295304,4997.700953313628
2052,256861.72664778866,88638.93769518765,168222.78895260103,5304.118685149045
2053,364430.3439142667,135819.90780652972,228610.43610773695,7761.259936140325
2054,368074.6473534126,148152.35543536392,219922.29191804866,8313.693716395754
2055,371755.393826941,161604.58930889252,210150.8045180485,8904.731661671321
2056,375472.9477652125,176278.2860181409,199194.66174707163,9536.89788172288
2057,379227.6772428658,192284.35438858872,186943.32285427707,10212.903786374789
2058,383019.95401529595,209743.77376707344,173276.18024822252,10935.65139167135
2059,386850.1535554454,228788.5084251216,158061.64513032377,11708.250162639031
2060,390718.6550910026,249562.50499012443,141156.15010087815,12534.021964565465
2061,394625.8416419104,272222.78044322616,122403.06119868418,13416.518551840982
2062,398572.1000583302,296940.60890747176,101631.49115085849,14359.536110257694
2063,402557.82105891407,323902.8161962706,78655.0048626435,15367.123423390001
2064,406583.3992695026,353313.19190689153,53270.20736261111,16443.6033800128
2065,410649.2332621999,385394.0297320394,25255.203530160543,17593.58776013983
2066,414755.7255948186,414755.7255948186,0.0,18821.99481586008
2067,523903.2828507684,523903.2828507684,0.0,24947.293261959418
2068,529142.3156792801,529142.3156792801,0.0,26916.5387079861
2069,534433.7388360649,534433.7388360649,0.0,29028.19196965948
2070,539778.0762244277,539778.0762244277,0.0,31292.191256646664
2071,545175.8569866754,545175.8569866754,0.0,33719.11854201434
2072,550627.6155565418,550627.6155565418,0.0,36320.23626843403
2073,556133.891712103,556133.891712103,0.0,39107.525072631455
2074,561695.2306292318,561695.2306292318,0.0,42093.72238284384
2075,567312.1829355173,567312.1829355173,0.0,45292.36176188893
2076,572985.3047648743,572985.3047648743,0.0,48717.8127876435
2077,578715.1578125246,578715.1578125246,0.0,52385.32119740436
2078,584502.3093906492,584502.3093906492,0.0,56311.049019765676
2079,590347.3324845545,590347.3324845545,0.0,60512.11429892246
2080,596250.805809401,596250.805809401,0.0,65006.629966710614
2081,707213.3138674945,707213.3138674945,0.0,81566.72147697494
2082,714285.4470061734,714285.4470061734,0.0,88222.1483701092
2083,721428.3014762253,721428.3014762253,0.0,95363.08556651528
2084,728642.5844909921,728642.5844909921,0.0,103021.09890854676
2085,735929.0103359036,735929.0103359036,0.0,111229.29907368064
2086,743288.3004392646,743288.3004392646,0.0,120022.34071193288
2087,750721.1834436543,750721.1834436543,0.0,129436.40624015479
2088,758228.3952780962,758228.3952780962,0.0,139509.17145552975
2089,765810.6792308688,765810.6792308688,0.0,150279.7497851027
2090,773468.7860231809,773468.7860231809,0.0,161788.61162138873
2091,781203.4738834165,781203.4738834165,0.0,174077.4748089107
2092,789015.5086222477,789015.5086222477,0.0,187189.16194826958
2093,796905.663708467,796905.663708467,0.0,201167.4197786
2094,804874.7203455605,804874.7203455605,0.0,216056.69549542875
2095,917923.4675490074,917923.4675490074,0.0,261098.35050843854
2096,927102.7022245042,927102.7022245042,0.0,281695.0662727262
2097,936373.7292467393,936373.7292467393,0.0,303624.7673345759
2098,945737.4665392116,945737.4665392116,0.0,326940.75163647416
2099,955194.841204606,955194.841204606,0.0,351693.3880164724
2100,964746.7896166518,964746.7896166518,0.0,377929.08230816346
