Year,New Cars,New EVs,New ICEVs,New CAVs
2013,865385.7394288846,5752.406095551157,859633.3333333334,2.4060955511566053
2014,865386.7706126921,5753.437279358795,859633.3333333334,3.4372793587951507
2015,865388.2437324174,5754.910399083993,859633.3333333334,4.910399083993074
2016,865390.3481891677,5757.014855834276,859633.3333333334,7.01485583427582
2017,865393.3545559538,5760.021222620394,859633.3333333334,10.021222620394028
2018,865397.6493656483,5764.316032314849,859633.3333333334,14.316032314848611
2019,865403.7848080689,5770.451474735498,859633.3333333334,20.451474735498017
2020,865412.5497258126,5779.216392479283,859633.3333333334,29.216392479282888
2021,865425.0710368752,5791.737703541833,859633.3333333334,41.737703541832694
2022,865442.9586241074,5809.625290774046,859633.3333333334,59.62529077404671
2023,865468.5123201534,5835.178986820067,859633.3333333334,85.17898682006674
2024,865505.0176002192,5871.68426688581,859633.3333333334,121.68426688580965
2025,875770.7394288834,6174.415621450607,869596.3238074328,5184.663312430757
2026,875782.1556126904,6514.0933945408315,869268.0622181495,10335.72921327458
2027,875794.0241174176,6872.4616648330775,868921.5624525845,15486.937403450485
2028,875806.5343545508,7250.550625057165,868555.9837294936,20638.300327531746
2029,875819.9569075014,7649.448142574298,868170.5087649272,25789.837276489845
2030,875834.678319551,8070.303439603156,867764.3748799479,30941.57800378963
2031,875851.2507909238,8514.33123320459,867336.9195577193,36093.56818353731
2032,875870.4631746504,8982.816490803983,866887.6466838465,41245.87762540541
2033,875893.4423991609,9477.12003177396,866416.322367387,46398.61260676425
2034,875921.7983577568,9998.68531801873,865923.113039738,51551.934342196
2035,875957.8308935352,10549.046945681172,865408.783947854,56706.08658591519
2036,876004.8254921753,11129.84160481459,864874.9838873608,61861.43680294569
2037,886281.0471287314,11879.725534615802,874401.3215941156,67799.86840409086
2038,886302.9736202378,12533.420506735185,873769.5531135026,73014.42329982627
2039,886325.3629429732,13223.092661026985,873102.2702819462,78229.27697179919
2040,886348.4045189321,13950.725421430518,872397.6790975016,83444.45541953041
2041,886372.3689420447,14718.413254264122,871653.9556877805,88659.99721823442
2042,886397.6427661311,15528.36874306775,870869.2740230634,93875.9595902204
2043,886424.7782019507,16382.930541912043,870041.8476600387,99092.42737061628
2044,886454.5641130861,17284.572503588544,869169.9916094976,104309.52623312543
2045,886488.1274385359,18235.91442121007,868252.2130173258,109527.44218048124
2046,886527.0780821722,19239.735035497153,867287.343046675,114746.45024013882
2047,886573.7158976756,20298.988281688227,866274.7276159873,119966.95667552153
2048,886631.3263813183,21416.824234303258,865214.5021470151,125189.56102695035
2049,896918.174518764,22856.897712180402,874061.2768065836,131917.34357972041
2050,896950.7381376605,24114.902573112002,872835.8355645485,137197.6363887324
2051,896983.7752249129,25442.15928268202,871541.6159422309,142478.38745645396
2052,897017.4752131552,26842.486486770482,870174.9887263846,147759.63634109593
2053,897052.1087069586,28319.916622229925,868732.1920847286,153041.44090586153
2054,897088.0622708146,29878.709517653977,867209.3527531605,158323.8858456574
2055,897125.8881261367,31523.367672700162,865602.5204534365,163607.09516038658
2056,897166.3751471955,33258.6537799896,863907.721367206,168891.25039154498
2057,897210.6502836794,35089.611323810386,862121.038959869,174176.61727099333
2058,897260.323450163,37021.58949626622,860238.7339538968,179463.58464282926
2059,897317.6945110299,39060.27428308079,858257.420227949,184752.72128345718
2060,897386.0489732902,41211.728492044356,856174.3204812459,190044.85881227665
2061,907683.6518333275,43977.2926412836,863706.3591920439,197564.27439285422
2062,907726.9809295386,46398.25849346737,861328.7224360713,202912.59022830435
2063,907770.7942595799,48952.52539198636,858818.2688675935,208261.5268457061
2064,907815.2812668588,51647.44524425867,856167.8360226001,213611.1373657585
2065,907860.7125667166,54490.78156843174,853369.9309982848,218961.4989434537
2066,907907.474734433,57490.735639934835,850416.7390944981,224312.7237501002
2067,907956.1200022176,60655.975845490895,847300.1441567267,229664.9749541875
2068,908007.4372551497,63995.671317821645,844011.765937328,235018.48996881765
2069,908062.5534537453,67519.53143804125,840543.0220157041,240373.61425880037
2070,908123.0785233974,71237.85356546458,836885.224957933,245730.85048869636
2071,908191.3123393375,75161.58251734196,833029.7298219956,251090.92995172227
2072,908270.5404194277,79302.38707166207,828968.1533477657,256454.9163501872
2073,918579.0277709085,84613.56966350721,833965.4581074013,264768.28372976714
2074,918633.2522430606,89272.58551775635,829360.6667253042,270186.94444563455
2075,918687.9718444124,94188.18783070223,824499.7840137102,275606.3915533237
