Year,New Cars,New EVs,New ICEVs,New CAVs
2012,19230769.230769232,576923.0769230769,18653846.153846152,0.0
2013,19230769.230769232,576923.0769230769,18653846.153846152,0.0
2014,19230769.230769232,576923.0769230769,18653846.153846152,0.0
2015,19230769.230769232,576923.0769230769,18653846.153846152,0.0
2016,19230769.230769232,576923.0769230769,18653846.153846152,0.0
2017,19230769.230769232,576923.0769230769,18653846.153846152,0.0
2018,19230769.230769232,576923.0769230769,18653846.153846152,0.0
2019,19230769.230769232,576923.0769230769,18653846.153846152,0.0
2020,19230769.230769232,576923.0769230769,18653846.153846152,0.0
2021,19230769.230769232,576923.0769230769,18653846.153846152,0.0
2022,19230769.230769232,576923.0769230769,18653846.153846152,0.0
2023,19230769.230769232,576923.0769230769,18653846.153846152,0.0
2024,19230769.230769232,576923.0769230769,18653846.153846152,10000.0
2025,22980769.230769187,758365.3846153832,22222403.846153803,379182.6923076916
2026,23037019.230769217,836243.7980769227,22200775.432692293,414666.3461538459
2027,23094112.980769187,922147.931322114,22171965.049447075,207049.65426132802
2028,23152063.137019247,1016908.0691672966,22135155.06785195,210723.66553916153
2029,23210882.54561299,1121440.7534560557,22089441.792156935,218638.9862837593
2030,23270584.24533552,1236757.7848875255,22033826.460447993,229476.57536874176
2031,23331181.470554173,1363976.1688461627,21967205.30170801,242628.02973757536
2032,23392687.654150844,1504329.1047378879,21888358.549412955,257797.34282202192
2033,23455116.43050158,1659178.128883122,21795938.301618457,274846.58480729006
2034,23518481.63849759,1830026.5326856042,21688455.105811987,293727.05003066914
2035,23582797.324613452,2018534.1907098272,21564263.133903623,314445.3098749952
2036,23648077.74602121,2226533.947590523,21421543.79843069,337045.21553816425
2037,23714337.37374991,2456049.728514101,21258287.64523581,361609.6334917785
2038,27531590.895894527,3136535.1182993497,24395055.777595177,444892.7911620724
2039,27656103.220871627,3465792.1965766926,24190311.024294935,480895.2702107996
2040,27782483.230722964,3829792.7981728357,23952690.43255013,519700.9179440407
2041,27910758.940722346,4232223.050924468,23678535.889797878,561767.9758148083
2042,28040958.786371708,4677162.367298112,23363796.419073597,607331.3689592726
2043,28173111.629705608,5169125.647123342,23003985.982582264,656647.8270079051
2044,28307246.76568985,5713110.03545178,22594136.73023807,709997.2449827368
2045,28443393.9287135,6314646.730064259,22128747.198649243,767683.9659999969
2046,28581583.299182653,6979858.387147363,21601724.91203529,830038.1902683979
2047,28721845.510208905,7715522.733583726,21006322.77662518,897417.5588510752
2048,28864211.654400468,8529143.06081327,20335068.593587197,970208.9208781546
2049,29008713.290754974,9429026.349041784,19579686.94171319,1048830.2832079425
2050,29155382.451654732,10424369.852513272,18731012.59914146,1133732.9598630879
2051,33054251.64996791,13000231.414063716,20054020.23590419,1375069.7017874732
2052,33261603.8862561,14389961.313710067,18871642.57254603,1495506.2368677105
2053,33472066.406088233,15929115.040655833,17542951.3654324,1626145.1497900756
2054,33685685.86371803,17633852.50018073,16051833.363537304,1767827.3263561544
2055,33902509.61321235,19522091.429469164,14380418.183743183,1921461.432889682
2056,34122585.7189489,21613699.705321327,12508886.013627576,2088028.8235222101
2057,34345962.96627176,23930708.807742346,10415254.15852941,2268588.724078207
2058,34572690.87230414,26497550.77927028,8075140.0930338595,2464283.6846077014
2059,34802819.69692719,29341321.28002397,5461498.416903221,2676345.287898676
2060,35036400.45391953,32492071.627612278,2544328.8263072525,2906100.0949466666
2061,35273484.92226678,35273484.92226678,0.0,3154975.800347494
2062,35514125.657639325,35514125.657639325,0.0,3424507.560717129
2063,35758376.00404233,35758376.00404233,0.0,3716344.4473324018
2064,39756290.105641305,39756290.105641305,0.0,4438754.572288223
2065,40064172.91876459,40064172.91876459,0.0,4843699.064776597
2066,40376673.97408432,40376673.97408432,0.0,5283765.932983224
2067,40693862.545234144,40693862.545234144,0.0,5761803.5242890725
2068,41015808.94495118,41015808.94495118,0.0,6280855.441397776
2069,41342584.54066372,41342584.54066372,0.0,6844166.671879966
2070,41674261.77031243,41674261.77031243,0.0,7455188.239476218
2071,42010914.15840536,42010914.15840536,0.0,8117579.9141118415
2072,42352616.332319856,42352616.332319856,0.0,8835210.430549582
2073,42699444.038843155,42699444.038843155,0.0,9612154.566973178
2074,43051474.16096437,43051474.16096437,0.0,10452686.324059058
2075,43408784.73491722,43408784.73491722,0.0,11361267.32207906
2076,43771454.96747935,43771454.96747935,0.0,12342529.398636496
2077,47889565.253529966,47889565.253529966,0.0,14513324.79250913
2078,48319447.19387162,48319447.19387162,0.0,15828694.882762525
2079,48755777.36331791,48755777.36331791,0.0,17249414.105214845
2080,49198652.4853062,49198652.4853062,0.0,18781565.078438304
2081,49648170.73412454,49648170.73412454,0.0,20431104.964439046
2082,50104431.75667441,50104431.75667441,0.0,22203741.47468899
2083,50567536.69456339,50567536.69456339,0.0,24104783.009046953
2084,51037588.20652008,51037588.20652008,0.0,25518794.10326004
2085,51514690.49115634,51514690.49115634,0.0,25757345.24557817
2086,51998949.31006205,51998949.31006205,0.0,25999474.655031025
2087,52490472.01125157,52490472.01125157,0.0,26245236.005625784
2088,52989367.552958846,52989367.552958846,0.0,26494683.776479423
2089,53495746.5277915,53495746.5277915,0.0,26747873.26389575
2090,57759721.18724692,57759721.18724692,0.0,28879860.59362346
2091,58337655.46659422,58337655.46659422,0.0,29168827.73329711
2092,58924258.76013148,58924258.76013148,0.0,29462129.38006574
2093,59519661.10307169,59519661.10307169,0.0,29759830.551535845
2094,60123994.48115671,60123994.48115671,0.0,30061997.240578353
2095,60737392.85991192,60737392.85991192,0.0,30368696.42995596
2096,61359992.21434975,61359992.21434975,0.0,30679996.107174873
2097,61991930.55910301,61991930.55910301,0.0,30995965.279551506
2098,62633347.97902799,62633347.97902799,0.0,31316673.989513993
2099,63284386.660251856,63284386.660251856,0.0,31642193.330125928
2100,63945190.92169428,63945190.92169428,0.0,31972595.46084714
