Year,New Cars,New EVs,New ICEVs,New CAVs
2013,1669089.1939360225,75726.52726935565,1593362.6666666667,6.027269355647297
2014,1669091.7770514605,75729.11038479378,1593362.6666666667,8.610384793781853
2015,1669095.467216372,75732.8005497054,1593362.6666666667,12.30054970540265
2016,1669100.7388805316,75738.07221386486,1593362.6666666667,17.572213864860927
2017,1669108.2698293307,75745.60316266409,1593362.6666666667,25.10316266408704
2018,1669119.0283276155,75756.36166094869,1593362.6666666667,35.86166094869577
2019,1669134.3976108793,75771.73094421242,1593362.6666666667,51.230944212422536
2020,1669156.3537298273,75793.6870631606,1593362.6666666667,73.18706316060363
2021,1669187.719614039,75825.05294737229,1593362.6666666667,104.5529473722909
2022,1669232.5280200557,75869.86135338899,1593362.6666666667,149.36135338898703
2023,1669296.540028651,75933.87336198427,1593362.6666666667,213.37336198426718
2024,1669387.9857552156,76025.31908854896,1593362.6666666667,304.8190885489532
2025,1749209.1939360239,84999.80878605603,1664209.3851499679,8317.361034629868
2026,1749532.2570514604,90966.59300559315,1658565.6640458673,16550.274066304733
2027,1749857.7091363743,97352.3608618026,1652505.3482745716,24786.260897340027
2028,1750186.02976821,104186.57067346817,1645999.4590947416,33025.36429678312
2029,1750517.9018805586,111500.76950520303,1639017.1323753556,41267.64085316592
2030,1750854.298907049,119328.75037073201,1631525.548536317,49513.168222737964
2031,1751196.6092726327,127706.72601952155,1623489.8832531113,57762.056069598955
2032,1751546.8142382242,136673.52339943065,1614873.2908387936,66014.4625309939
2033,1751907.7419644743,146270.80472296863,1605636.9372415056,74270.6189343019
2034,1752283.4304598905,156543.32384643343,1595740.106613457,82530.86681444304
2035,1752679.6460782476,167539.23089855694,1585140.4151796906,90795.71323516264
2036,1753104.6242290102,179310.44453058232,1573794.179698428,99065.91330419076
2037,1833260.698963713,200634.5664551143,1632626.1325085987,112220.75127615676
2038,1833919.9680992588,214756.18801811928,1619163.7800811396,120889.52036450416
2039,1834582.9710283652,229872.19506650858,1604710.7759618568,129564.75673924829
2040,1835250.1927077696,246052.70338986831,1589197.4893179012,138246.5496328203
2041,1835922.3214718774,263372.8130700493,1572549.5084018281,146935.01368134195
2042,1836600.336176727,281912.98333418585,1554687.3528425412,155630.30109341256
2043,1837285.6306913942,301759.4463017022,1535526.184389692,164332.61961939075
2044,1837980.1917426586,323004.668957543,1514975.5227851155,173042.25905810116
2045,1838686.8529789299,345747.87682501547,1492938.9761539144,181759.63031849
2046,1839409.6579184048,370095.65908561193,1469313.9988327927,190485.32292917254
2047,1840154.3784465902,396162.6844238973,1443991.694022693,199220.18963399608
2048,1840929.2555268295,424072.57137960015,1416856.6841472292,207965.47072736468
2049,1921436.628786724,473601.3452602266,1447835.2835264977,226100.3703411957
2050,1922448.6016415618,507020.33385374607,1415428.2677878158,235264.38303384662
2051,1923465.719104834,542798.7860584178,1380666.9330464161,244438.5719806501
2052,1924488.4717765488,581103.5234994339,1343384.948277115,253623.07445106743
2053,1925517.553656932,622113.2550272659,1303404.2986296662,262818.0647099951
2054,1926553.9492905177,666019.4701054184,1260534.4791850995,272023.7711071454
2055,1927599.0582576431,713027.4234455213,1214571.634812122,281240.5010755121
2056,1928654.87301917,763357.2321789075,1165297.6408402624,290468.67767952057
2057,1929724.2329805493,817245.1162006801,1112479.1167798692,299708.8930213907
2058,1930811.1874400303,874944.8264740162,1055866.3609660142,308961.98624285636
2059,1931921.5140863024,936729.3275708192,995192.1865154833,318229.157395047
2060,1933063.4597090967,1002892.8334156038,930170.6262934929,327512.1335940089
2061,2013939.369785726,1117991.7168778747,895947.6529078514,350690.04049174784
2062,2015321.3536045551,1197072.015651539,818249.3379530162,360412.5756421927
2063,2016709.9620756842,1281749.6072357863,734960.3548398978,370149.3308845583
2064,2018105.6917192787,1372421.2515483792,645684.4401708995,379900.49319183064
2065,2019509.242479436,1469512.044087268,549997.1983921682,389666.29813215724
2066,2020921.6048683077,1573477.5441307325,447444.0607375751,399447.05187884415
2067,2022344.1844577454,1684806.1170694714,337538.0673882739,409243.1632380541
2068,2023778.9797240756,1804021.5394584169,219757.4402656589,419055.19023843174
2069,2025228.8361122683,1931685.9364748166,93542.89963745174,428883.90788220905
2070,2026697.8089842834,2026697.8089842834,0.0,438730.40663914755
2071,2028191.682116732,2028191.682116732,0.0,448596.23559075594
2072,2029718.7084116414,2029718.7084116414,0.0,458483.61040606414
2073,2110981.2394830883,2110981.2394830883,0.0,486771.57999678515
2074,2112751.3907807022,2112751.3907807022,0.0,497120.04666034586
2075,2114529.71940054,2114529.71940054,0.0,507487.1326561296
2076,2116316.7280734293,2116316.7280734293,0.0,507916.01473762305
2077,2118113.122979004,2118113.122979004,0.0,508347.14951496094
2078,2119919.900889877,2119919.900889877,0.0,508780.7762135705
2079,2121738.473663397,2121738.473663397,0.0,509217.2336792153
2080,2123570.846086554,2123570.846086554,0.0,509657.003060773
2081,2125419.8699401915,2125419.8699401915,0.0,510100.76878564595
2082,2127289.606947519,2127289.606947519,0.0,510549.5056674045
2083,2129185.847271826,2129185.847271826,0.0,511004.60334523825
2084,2131116.850227352,2131116.850227352,0.0,511468.0440545645
2085,2212784.9738660604,2212784.9738660604,0.0,531068.3937278545
2086,2214962.3401012123,2214962.3401012123,0.0,531590.9616242909
2087,2217149.5125183277,2217149.5125183277,0.0,532115.8830043987
2088,2219347.000363689,2219347.000363689,0.0,532643.2800872853
2089,2221555.5163584203,2221555.5163584203,0.0,533173.3239260209
2090,2223776.063842818,2223776.063842818,0.0,533706.2553222764
2091,2226010.0612681434,2226010.0612681434,0.0,534242.4147043544
2092,2228259.5200417265,2228259.5200417265,0.0,534782.2848100143
