Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,CAV Total Power (kWh)_p05,CAV Total Power (kWh)_p50,CAV Total Power (kWh)_p95,ECAV Power (kWh)_p05,ECAV Power (kWh)_p50,ECAV Power (kWh)_p95,ICECAV Power (kWh)_p05,ICECAV Power (kWh)_p50,ICECAV Power (kWh)_p95,STI Power (kWh)_p05,STI Power (kWh)_p50,STI Power (kWh)_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,ICECAV Sensing Power (kWh)_p05,ICECAV Sensing Power (kWh)_p50,ICECAV Sensing Power (kWh)_p95,ICECAV Computing Power (kWh)_p05,ICECAV Computing Power (kWh)_p50,ICECAV Computing Power (kWh)_p95,ICECAV Communication Power (kWh)_p05,ICECAV Communication Power (kWh)_p50,ICECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,Electricity Consumption (kWh)_p05,Electricity Consumption (kWh)_p50,Electricity Consumption (kWh)_p95,Gasoline Consumption (kWh)_p05,Gasoline Consumption (kWh)_p50,Gasoline Consumption (kWh)_p95,Clean Electricity (kWh)_p05,Clean Electricity (kWh)_p50,Clean Electricity (kWh)_p95,Fossil Electricity (kWh)_p05,Fossil Electricity (kWh)_p50,Fossil Electricity (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,CAV Emissions (kg CO2)_p05,CAV Emissions (kg CO2)_p50,CAV Emissions (kg CO2)_p95,ECAV Emissions (kg CO2)_p05,ECAV Emissions (kg CO2)_p50,ECAV Emissions (kg CO2)_p95,ICECAV Emissions (kg CO2)_p05,ICECAV Emissions (kg CO2)_p50,ICECAV Emissions (kg CO2)_p95,STI Emissions (kg CO2)_p05,STI Emissions (kg CO2)_p50,STI Emissions (kg CO2)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,ICECAV Sensing Emissions (kg CO2)_p05,ICECAV Sensing Emissions (kg CO2)_p50,ICECAV Sensing Emissions (kg CO2)_p95,ICECAV Computing Emissions (kg CO2)_p05,ICECAV Computing Emissions (kg CO2)_p50,ICECAV Computing Emissions (kg CO2)_p95,ICECAV Communication Emissions (kg CO2)_p05,ICECAV Communication Emissions (kg CO2)_p50,ICECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95,Total Vehicles_p05,Total Vehicles_p50,Total Vehicles_p95,Total EV_p05,Total EV_p50,Total EV_p95,Total ICEV_p05,Total ICEV_p50,Total ICEV_p95,Total CAV_p05,Total CAV_p50,Total CAV_p95,Total ECAV_p05,Total ECAV_p50,Total ECAV_p95,Total ICECAV_p05,Total ICECAV_p50,Total ICECAV_p95,Total Infra_p05,Total Infra_p50,Total Infra_p95,Total STI_p05,Total STI_p50,Total STI_p95,Incremented Car Number_p05,Incremented Car Number_p50,Incremented Car Number_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,Cumulative New Cars_p05,Cumulative New Cars_p50,Cumulative New Cars_p95,__uncertainty_injected
2024,1826584.0892035083,2833221.481003176,4445722.513451175,1826584.0892035083,2833221.481003176,4445722.513451175,1266.5139311380528,8025.136820618514,25653.240586746662,1823872.8562533816,2824369.4695678316,4423555.821295757,0.0,0.0,0.0,200.96810968377807,1555.0618032694097,4570.647382590904,1039.9634332262647,6318.317683757508,21614.470257925448,14.841948614647167,114.9351153200596,316.13434935325495,486697.67711935705,533150.3380423712,585929.1565648795,1227893.683505139,2248405.4650333887,3891282.851451439,35906.033769433656,39859.819904770644,43299.88924604559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1266.5139311380528,8025.136820618514,25653.240586746662,1823872.8562533816,2824369.4695678316,4423555.821295757,481.946781568044,3120.8188162648203,11588.753377662753,744.1691558000875,4942.161962785103,14168.033778986166,2953234.7672113203,4593589.208621306,7744826.62449999,2953234.7672113203,4593589.208621306,7744826.62449999,352.0469456071288,2407.633426331965,7817.169147031849,2950756.2735265847,4588484.938488612,7740844.521451917,0.0,0.0,0.0,60.48637852474002,482.1825233863609,1326.0245854520415,296.2799956514928,1997.6554120122976,6484.610641976068,4.387407029712018,34.82315502448418,97.63495221067863,733012.2106371861,875830.6105838716,1063162.6958530087,1948702.9037463616,3687365.3818936516,6709266.703754902,53974.36746894752,65204.8607272104,78430.2508269467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6826184.1,8015670.0,9431002.9,3810.6000000000004,37734.0,109107.7499999999,6783289.75,7964144.5,9366607.6,1603.0,1603.0,1603.0,1.0,7.0,21.0,1582.0,1596.0,1602.0,143361.0,171441.0,200960.9,0.0,0.0,0.0,0.0,0.0,0.0,0.00047232742478611864,0.004661756412504933,0.013119790731162378,0.2901123305681478,0.39580539485297284,0.5046418743689229,1603.0,1603.0,1603.0,1
2025,104981804.53380404,121763550.43152803,142913532.99009094,43520467.96766787,53789719.03921881,67363984.97302137,19054.415437329233,166669.45841883053,462061.17452867865,43385419.36456942,53667535.695286185,66967599.546545506,57548562.896227114,69139248.27430847,82720600.5792289,773.2269897988606,8003.088764350343,25457.733956765776,18130.9058645097,156957.35598737482,435581.3275179155,62.49724502704921,616.5486006843443,1760.9285782693319,2200795.2029280863,2584072.190984169,3026831.708245482,40849887.7261499,50869705.7166595,64229517.24439082,166763.34792855,191216.40089206985,224552.62051698178,917697.324468912,1154108.811011477,1390953.383251066,55484084.737148724,66916835.465334505,80000557.78128198,925587.9207673627,1126444.4251306145,1378251.413321851,57778004.17688981,69401756.64248067,82791105.47897601,43385419.36456942,53667535.695286185,66967599.546545506,20693462.39250697,27859922.877402883,38256275.366600916,29424154.767859317,39626690.08013128,51166402.72065486,87560232.15940636,108208210.64873372,143846413.045989,68817061.81295066,86890947.25440916,120243651.68727113,5194.641081452687,49462.858894690085,147399.05947605957,68777440.76518711,86829571.71657944,120140347.83354704,14874464.218338123,20355244.732781492,28178556.4315123,263.2411344412594,2405.711457312761,7053.166052615998,4914.474094540686,47006.49989885124,138938.75742879126,18.89976739082298,175.65630178875017,529.163422026159,3444495.0044729095,4162945.762546315,5465579.1460590875,64921710.6710462,82432799.66851494,114230424.53173807,253357.41501845117,316105.69747474464,402881.1407294016,249163.8535619163,344005.04986647284,474887.79504172475,14373596.338976797,19716737.568217404,27291815.69653973,247521.94376787957,347308.1699920605,460980.4615490786,6845190.2616604045,8031379.640013723,9448991.542301757,3972.9332562707145,38230.1578896439,110222.39372635771,6801752.834589072,7988647.584850251,9387477.530117631,6876.761854237163,7799.880026907889,8857.195088106919,4.0,39.5,117.04999999999998,6829.158142881986,7753.707897534816,8787.535276184173,143361.0,171441.0,200960.9,1405.5,1680.7941176470588,1970.2049019607844,582549.2590069309,686999.1029146626,806935.538680933,0.0004890571116088019,0.004957916417077542,0.01386588209151766,0.3028283065537992,0.4163915198398554,0.5332684646009679,584142.6165790096,688592.4604867413,808528.8962530117,1
2026,211688555.09193218,255411556.15364859,305490581.1762687,105542087.158689,133679802.2436969,171778649.4119916,51043.78434144776,448179.8266381435,1213228.4986878734,105042354.68089215,133413387.34941906,170980036.6961685,101182756.90971571,122390211.92294353,147966783.95471203,2127.822738003044,21989.295585174797,69884.65951829663,48748.7888534317,424161.6856469632,1152986.9470472513,168.42550838556264,1680.3992016843727,4826.48190341576,5581140.495693504,6649959.937587726,7962156.116109041,97910777.30439796,126524880.49474189,161978939.0650794,421162.6828961983,489646.91737300117,586630.1788390556,1826397.6163449916,2296902.8297581356,2768269.9686271218,96938870.98313944,118253163.69090885,143360164.36938816,1842101.4501546528,2241845.277465831,2742990.557885644,101878747.28115237,123386794.54085171,148706525.47889337,105042354.68089215,133413387.34941906,170980036.6961685,38420356.646099396,52553829.50732987,73330066.77816962,49640617.04500161,67542744.47803849,89495470.83830215,198205785.68948507,250809497.4616653,349410685.90058213,165830038.9768999,217672543.2957363,303668878.42131597,14511.524405575747,124984.64033131357,376818.2864034283,165699744.29922912,217512396.2085657,303466545.0468552,25070401.256585985,35489182.19010182,49606291.89360839,685.529684350651,6390.0779447290515,18658.482316688034,13714.307049782425,117988.37513502681,354941.95854432165,52.75785445161466,460.5890573566711,1408.489592448902,8742078.52928454,10696871.210226897,14039869.061785938,155745415.91404992,206238613.14864954,289965677.14309376,640998.3939506704,816319.9998738219,1049430.6272534067,469438.9388362842,667199.9460518893,918742.4653969976,24074037.724594556,34283556.50527915,47799885.34355778,462446.5936183117,665215.7892665416,889570.1020232684,6864249.890201062,8047477.429443911,9467014.64338383,4162.339755807417,39005.50747507155,112161.4949179537,6814452.580050902,8008500.555597013,9407951.732499788,17288.449581059846,20056.917548691352,23229.512112925615,10.950000000000001,110.0,321.04999999999995,17158.606988123374,19943.07327293101,23026.381056707254,143361.0,171441.0,200960.9,2797.220588235294,3345.1098615916953,3921.0940695886197,582574.8722606889,687060.9395161071,806979.6706198818,0.0005063957278600845,0.005260848795886492,0.0146551051261054,0.3194621302035806,0.43731836690430526,0.5632512645279765,1166703.7139426682,1375639.625105818,1615494.7919758633,1
2027,313699130.2045844,391113186.0967893,483048376.5529877,174334454.98462722,228511689.0837937,298350547.0105805,88094.80379784832,814116.210964043,2275218.8011581087,174007051.17209446,228126597.44025704,296932986.9648197,132248000.52319476,164707111.35342175,202252420.6578455,4365.65868000395,45225.703913128935,141639.9842758214,83690.96268697655,768532.5243366081,2167853.591273259,322.26487434387974,3439.300858167157,9770.194607841966,10594820.091901863,12709480.8690001,15313397.56995176,160785332.02476367,214629336.10365576,280246232.0450508,799703.9814591882,937547.6822502711,1129573.2036054272,2735010.566785866,3439587.0067113736,4145454.1706328024,126465891.06381874,158497296.77580118,194955337.38045764,2758526.8871227405,3357138.9209532645,4107598.527983409,133641667.0197803,165960054.96251988,203732578.68141806,174007051.17209446,228126597.44025704,296932986.9648197,53527205.90431325,74201474.58622435,107386177.22259822,64350474.872941665,87451564.1387707,118238109.7257326,317082220.5699698,414911538.56511605,595643418.0532898,272028094.1002258,372674728.12473255,534983187.2596634,25143.64844998777,215359.8513622766,649020.0288491087,271940994.9644449,372506267.4849005,534621936.62051225,32229254.7550841,46391762.23466907,65686637.11815586,1394.0438694449426,12571.002024338934,36605.60997312865,23644.782870236264,203902.46603747993,610199.831163153,98.01381779212528,927.3461399895887,2720.9961386825944,16649606.120791743,20499477.57530386,26962298.392227933,254577936.1922597,349377149.5046473,506852370.7575357,1215120.1049801868,1560038.138703552,2011032.0964966184,653868.7794338533,973773.708329181,1338621.7871026138,30749952.83437152,44575548.57221161,63039355.5559026,658822.1863792681,959092.8378723483,1291507.4604028496,6883363.136899987,8069673.255425952,9501119.221964404,4379.7962987837345,40081.34314258922,114991.432163129,6826142.538339194,8024480.874247337,9427840.945777507,32838.563413348595,38375.25478518801,44720.77893669325,20.950000000000003,223.0,650.6499999999997,32574.416771453434,38143.03516457588,44304.80963740826,143361.0,171441.0,200960.9,4188.807408632427,5009.265636702812,5871.795723840097,582602.3015009593,687124.7068722332,807025.6559738988,0.0005363018812953721,0.005620268055540909,0.015490013651947325,0.3422552597957505,0.45506899901892073,0.5932993508367158,1749286.3370192985,2062744.6535537222,2422500.7695254334,1
2028,409248068.8449561,525105038.304034,666222041.6484468,245849940.40072408,330920396.1092789,437212650.5235234,130774.17164836207,1252750.3579253117,3603340.6967695598,245421413.85630992,329745010.4211217,434810818.52694935,158151903.12847635,198255634.43895078,246943354.84568825,7787.175107631533,78371.96840181283,245177.6665818197,123405.90815647744,1163858.8535657278,3404157.264267717,537.6237243125187,6002.953128870939,16892.179618771817,17249781.782564405,20779416.650694508,25096186.117698856,222650759.5082382,306762644.08683217,409242621.3860495,1305692.333268621,1533458.7317565007,1851763.4599892383,3643447.15544061,4582049.388650208,5522371.061166004,149798154.00612777,188878102.27626467,237213980.3126959,3674774.4459009557,4472216.085929215,5471941.627655479,159589082.30333447,199175644.8895306,249207435.36587006,245421413.85630992,329745010.4211217,434810818.52694935,66579731.85535959,93545265.40364926,140842971.9984772,70954999.16562195,101288784.57897358,139582603.1377598,434064344.2303088,583223470.337929,861309744.8920168,377091383.6698704,530169967.65439034,792830385.7518487,33888.307307128496,320488.73546768667,973115.3393052791,376936421.6165762,529991030.81183153,792066238.8032175,36447158.11780199,53874878.63442299,78394957.96691573,2173.5508014146194,21405.75784432439,61215.59139734695,31570.8579846532,298087.0403967177,909996.3586283072,167.23638757531344,1542.556142393966,4502.49781407786,27169321.414862953,33507664.41402005,44205779.66998673,343573287.75430876,492988753.58301127,743092295.2404295,1983523.8342020188,2546033.7484504003,3284936.11903426,829996.6225408213,1246206.5161618046,1734798.4332287333,34670506.58237372,51371746.789722055,74800622.43865491,823451.5678342205,1236197.7877106885,1681378.588068147,6902530.153464582,8091936.447310414,9529332.55188786,4564.519370325711,41480.101932722,118747.30385377542,6836927.036311492,8040060.964650366,9447355.145514164,53527.67858596451,62756.11198706282,73331.89937791038,34.95,384.5,1126.2499999999993,53068.49086257185,62345.20158126664,72608.76880666606,143361.0,171441.0,200960.9,5580.124122008652,6673.098399155177,7822.118746873755,582632.3058646901,687191.1644577049,807074.2539375996,0.0005687129476178857,0.006141160413926157,0.01643484117940464,0.36214831834644107,0.47900481510513016,0.6172823519062081,2331890.5308492333,2749907.7059766715,3229546.911428277,1
2029,487779436.1146929,647306094.2789115,851881962.051285,311006147.4951015,430950670.5117464,582470685.1585118,178987.4503646335,1752638.4837640286,5136053.915570301,308423984.2625296,429555107.67162836,578526028.7102095,176820911.51549187,226558179.7073182,283788114.6510275,12358.599234947576,123361.83373497051,384928.40414704575,167601.014098114,1613707.5282321135,4784860.621883084,843.7398573064609,9536.016950566009,26492.397108903886,25541854.44367506,30840472.734798998,37307458.684411116,275221870.7925292,395798443.4626572,543094187.8656354,1936714.167316866,2276220.672499215,2750724.865229114,4551702.297977955,5724283.581449518,6899012.933908324,167276012.00150213,215615501.13305843,271113207.2925205,4590838.99844165,5587070.531537945,6836012.2209563535,179585525.84906116,227981358.1689387,286429161.5700752,308423984.2625296,429555107.67162836,578526028.7102095,78615860.05105495,111217909.47939384,174621450.40530267,70245865.2301978,110531879.45149991,152746285.81970587,534445980.0867452,745284784.7665446,1134621504.84027,480710785.20789415,686332611.7638128,1058574974.9180385,43175.97944369072,433042.08972277923,1314227.4313268815,480580179.39464086,686055197.6128142,1057385691.0019085,37721860.80958692,58232327.67000869,86695287.69203897,3219.1592236965494,32686.074292774145,92467.08094495509,39987.31161719294,397809.4474916123,1215188.0357314034,252.56126234305907,2368.3288991950453,6682.034095194386,40234919.28867738,49713327.264037,65720659.64007024,432941271.22260517,633313012.9340016,983963222.0907683,2942000.211722588,3775863.3093434395,4872500.8292549085,961925.2248140569,1481707.2017224007,2104536.299943608,35648598.2740665,55129388.44337192,82293134.01552847,930968.259376416,1495850.7012667446,2060375.2309868652,6913686.4223187845,8108591.022463462,9549021.089099122,4728.8330781628665,43225.19954426619,123475.18828721107,6846732.765566204,8059608.105026184,9466490.917142633,79356.48653485916,93200.82863907813,109063.8943974359,54.0,620.0,1768.649999999998,78629.60700856788,92520.15600073845,107927.97302996235,143361.0,171441.0,200960.9,6971.162941452745,8336.59883682173,9772.052223135937,582665.9697855505,687261.3970448822,807126.5490023545,0.0006031018402443204,0.006503567870317882,0.0177407753978742,0.3787716513130112,0.5036186460937264,0.6567049716857615,2914516.340585132,3437128.9429719024,4036633.30038098,1
2030,561249843.5042635,760235204.3989705,1027092952.2656245,369219426.92243415,526868534.85222244,731740762.597881,229629.2079133447,2323887.2176107876,6870343.483063668,364201623.80136967,524051811.36936486,728981722.2897819,191851022.62227535,248628604.08240503,314221986.9571896,18322.636747507488,186456.61808609212,565449.093382284,213159.29260682108,2072388.8803283446,6224195.43228275,1248.3096467168439,14063.887119943796,38916.58132293473,35461512.4738013,42876627.1345995,51943892.04161888,321062551.022181,476749928.21889347,680526921.8270171,2692271.8424300654,3166058.4329223903,3827845.956926792,5459770.716585873,6866282.947660114,8275371.789282668,180250517.20467556,233380261.08171785,299410267.77888465,5506715.221552816,6701695.779432209,8199802.381359832,195725930.10119095,250310375.23504066,317164105.82288456,364201623.80136967,524051811.36936486,728981722.2897819,89239983.79794015,128275254.56512992,204542717.5252389,69129431.15593065,116000796.39595877,163503438.25251794,637880093.9784474,896282194.2247574,1401194975.9317644,581964030.1756457,834937532.17656,1322208798.8170867,55919.94861759839,543646.5566700574,1649957.3700365054,581694865.1321621,834488705.2744453,1317943772.673415,37058194.255494125,60613218.5739913,93075477.48425516,4595.77601729792,46298.1506053092,128325.95591310406,51313.689549919014,494929.62154118926,1518041.730208802,355.3959288033104,3386.816739967262,9373.424342819457,55965651.92276363,69115879.15582183,91495750.32902478,508453431.5231702,766688038.1985569,1213157294.4993765,4090111.2652343293,5250280.033123912,6774226.386398959,1067165.278236839,1700349.7931161588,2453711.4758642223,34846079.353635594,56743734.49832975,88873318.7850695,1003633.4120877384,1706650.6110808845,2400183.8756073834,6924724.65304533,8132387.858656619,9568684.869250497,4890.156056677422,44861.52707620822,129293.01934102534,6855481.639647266,8073871.9650899125,9485230.458747642,110325.85784950487,129710.926413687,151917.9650320377,80.0,913.0,2599.4499999999966,109256.90050571944,128653.25648197895,150244.81638192822,143361.0,171441.0,200960.9,8361.915783727884,9999.757283208768,11721.584821689026,582704.8424066993,687336.9541165512,807184.0903690184,0.0006398654357576309,0.007009663732062432,0.01915056175598657,0.39570866293572254,0.5246118819231447,0.7052454910101557,3497163.81149233,4124408.525588952,4843760.019250497,1
2031,626206590.5428004,864707744.7618375,1211682125.0217838,420493498.40089685,618754246.2512715,883173128.5953851,286002.20012987417,2835782.6821695813,8771031.802318484,414364172.3848278,612322939.840343,879876490.8369669,203806021.80012098,263399577.58755893,340726361.6826465,25884.95385235361,271999.86313218984,792826.3067181851,262531.5438082077,2607472.9532353627,7715140.360114915,1748.6553963122008,19854.23599904853,54565.63811591136,46998130.65913543,56889864.80704741,69000868.68110892,363082287.4311697,550819904.8947872,807794003.1857507,3571922.666397947,4202783.19468396,5083212.847602666,6367646.930948714,8008040.595161455,9651439.320777299,189813138.76165798,247993417.20933944,322781311.8905252,6422397.58779765,7816085.1026979685,9563303.878207952,208583871.0217702,268233531.7498027,344295164.57054347,414364172.3848278,612322939.840343,879876490.8369669,98980922.32160896,145819994.97009593,235771774.42741922,64974389.3563451,117103860.41486849,169871097.4151212,726785068.5050468,1045435792.3831737,1659367271.6596346,667005836.5074837,983591956.6256243,1564628170.1032038,68390.54385375966,661274.9938187597,1971003.7783304018,665486511.337581,983155879.3306234,1563720898.3043318,34831648.00016142,60769203.04343127,97772967.59769697,5902.864455257063,62688.95670780191,176743.716354219,62051.14161365662,599487.8800924751,1782679.992359052,474.42369833887733,4542.273984889469,13190.02409770086,74286336.37419267,91700058.39432935,121516393.34889199,568934753.854746,885112748.1131915,1435214530.3907535,5427151.320394552,6968972.437606632,8989079.50213083,1064754.4092972039,1883828.9170960514,2816018.9076512987,32472716.928871788,57113385.07343624,92206066.48211882,1029121.1633954342,1894294.6143276647,2685022.8195102033,6935780.507979369,8149329.180683533,9588364.526074518,5041.63647526367,46792.17523728094,136283.284382411,6863692.1218203865,8087612.56591779,9503556.902526956,146436.938057879,172288.20495301438,201895.5881523736,112.95,1291.0,3645.2499999999955,144935.07900169282,170725.5189614211,199541.81830286008,143361.0,171441.0,200960.9,9752.374255452674,11662.563700930252,13670.704776840279,582751.136741834,687420.0490270094,807249.0911090245,0.0006795384117539395,0.007593466720129853,0.020672466021047983,0.4130726969683219,0.5524030242144313,0.7609075846336064,4079832.9889491615,4811746.615330959,5650927.151074519,1
2032,684078560.3809667,960577256.2517879,1360972143.2065406,467131852.4188399,704262309.5424664,1019343937.1759846,359574.9887362799,3548074.87282218,10723302.062350973,461447200.2427338,697880358.4046273,1016663484.1481701,213302538.8415769,278489412.9924571,362472554.77007616,35296.31906187687,372288.39026839915,1072733.7649462784,327080.041683817,3159305.9874441223,9593022.669501914,2389.722813894461,27177.767215606524,75167.1719586934,60139091.02817896,72870765.9032642,88473066.86395308,392812236.3513041,618049073.4057592,923639416.5088806,4575062.7545938045,5386296.508067487,6516386.137701728,7275325.248645803,9149549.365086794,11027206.900392998,196828131.3712747,260921673.43414944,342454897.0472613,7337880.355810588,8930231.514068983,10926508.162291044,219023198.73887488,281911145.45532817,366699280.86962944,461447200.2427338,697880358.4046273,1016663484.1481701,108888687.2881816,163355755.6231404,266185634.82963303,54483212.03283221,115384344.79659007,173518654.8804778,801888318.1787928,1177477977.4225554,1909706182.0684326,740286404.1459758,1115357667.180769,1819176967.4337287,81467.10119725809,744349.6849963748,2280733.2222028654,739028900.1215135,1114968586.3591814,1818090520.823052,29499695.691946022,60667722.475983,98239862.42292638,7766.399514112349,78725.78057305503,226329.65881915897,70313.55964067562,649688.2250432598,2036505.9879968988,594.4457721250675,5931.897261645433,17044.766419956086,95187435.5323728,117446186.42060095,155765061.16401842,626221306.5218829,991359885.68537,1653409270.1805425,6952455.499222274,8930239.769480465,11504910.726849424,1039890.8893687848,2050618.8334184194,3103539.5638959594,27649807.58695037,56568140.7985792,92328324.82352464,961851.5203834007,2020195.312143653,2909680.0512513183,6946854.015261899,8166306.111337746,9608084.67906181,5173.283553677134,49131.08993063927,142171.21432132236,6870958.896459563,8106960.360347959,9520451.905413462,187691.2928242198,220934.88705782345,258998.66162249297,153.95,1763.5,4933.149999999994,185653.91830017156,218714.08016075208,255799.86875681652,143361.0,171441.0,200960.9,11142.529638396121,13325.007664122524,15619.399867528538,582835.3432199513,687513.8435178562,807324.7126801522,0.0007216718186490602,0.008227733456393278,0.0223143396489309,0.4270152011951056,0.5817294799213106,0.8133555705043946,4662523.918447299,5499143.3741559535,6458134.77906181,1
2033,736171547.5750396,1050067830.1268914,1531515714.1763666,510118278.71471274,783861272.04018,1149012428.5313172,438507.4024653832,4273123.148980346,13075738.624915559,506183011.36475855,776844822.2688882,1146338208.193889,221184080.60457996,289629564.6508134,380644635.449299,46991.417202853736,495237.14311214135,1412257.468096791,395058.2687627439,3599137.6351903016,11910474.811619062,3171.06400956851,36513.17833695967,101516.92521514841,74869147.33356524,90807402.38371155,110353129.294935,418055075.6685687,676408576.9467225,1033215170.3121784,5701033.408813411,6716715.232316658,8126868.147825121,8182799.755009744,10290801.819068853,12402665.563271312,202003325.62059838,268771674.47278214,358611434.99574614,8253157.56006841,10044127.753478197,12289406.350616338,226606918.63117883,294299756.782904,386069838.9061466,506183011.36475855,776844822.2688882,1146338208.193889,117730617.50708756,179360828.71367607,299465997.5949288,39012868.56057667,111182779.26131226,173711096.03284663,863645461.0833035,1298876735.1873012,2146312345.7331033,807690942.1743224,1242603847.272668,2062999802.9192154,73936.44232210403,833608.6569462334,2570722.4209757736,807429585.9459307,1242189174.988466,2061738313.4661956,23759382.073271107,58824339.16005418,97904310.21525258,7746.435805082239,97161.87161494711,292280.97307868383,66267.0578386974,707906.1487733879,2331768.0174008114,665.1272884257618,7416.675198945688,20876.890764895223,118596014.25918205,146330113.80577546,194220820.16347423,664863222.5136162,1074562316.9869199,1851180081.2051387,8665066.554606061,11130235.900589393,14322275.096681047,869209.1150636271,2175199.8003773,3306182.5905102547,22414552.343208008,54275899.86011326,90961020.85567094,821405.9414625943,2122742.0439573224,3209751.9166310355,6957945.203078851,8183802.339478165,9627845.41159257,5270.6147290648805,51888.33997720364,148692.22662053528,6876932.192971508,8126195.533536484,9534659.279521234,234091.1273209183,275653.8380426014,323229.72361791873,204.9,2363.0,6502.799999999992,231399.0869085597,272433.1242597542,318993.8975483749,143361.0,171441.0,200960.9,12532.372873945105,14987.07833986944,17567.657395551058,582980.347976499,687622.854169155,807415.4713777035,0.0007664182883698931,0.008824129413040106,0.024050404189901932,0.4434110691325249,0.6089576987777532,0.8607465513836027,5245236.64559209,6186598.964478165,7265382.986592569,1
