Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,CAV Total Power (kWh)_p05,CAV Total Power (kWh)_p50,CAV Total Power (kWh)_p95,ECAV Power (kWh)_p05,ECAV Power (kWh)_p50,ECAV Power (kWh)_p95,ICECAV Power (kWh)_p05,ICECAV Power (kWh)_p50,ICECAV Power (kWh)_p95,STI Power (kWh)_p05,STI Power (kWh)_p50,STI Power (kWh)_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,ICECAV Sensing Power (kWh)_p05,ICECAV Sensing Power (kWh)_p50,ICECAV Sensing Power (kWh)_p95,ICECAV Computing Power (kWh)_p05,ICECAV Computing Power (kWh)_p50,ICECAV Computing Power (kWh)_p95,ICECAV Communication Power (kWh)_p05,ICECAV Communication Power (kWh)_p50,ICECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,Electricity Consumption (kWh)_p05,Electricity Consumption (kWh)_p50,Electricity Consumption (kWh)_p95,Gasoline Consumption (kWh)_p05,Gasoline Consumption (kWh)_p50,Gasoline Consumption (kWh)_p95,Clean Electricity (kWh)_p05,Clean Electricity (kWh)_p50,Clean Electricity (kWh)_p95,Fossil Electricity (kWh)_p05,Fossil Electricity (kWh)_p50,Fossil Electricity (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,CAV Emissions (kg CO2)_p05,CAV Emissions (kg CO2)_p50,CAV Emissions (kg CO2)_p95,ECAV Emissions (kg CO2)_p05,ECAV Emissions (kg CO2)_p50,ECAV Emissions (kg CO2)_p95,ICECAV Emissions (kg CO2)_p05,ICECAV Emissions (kg CO2)_p50,ICECAV Emissions (kg CO2)_p95,STI Emissions (kg CO2)_p05,STI Emissions (kg CO2)_p50,STI Emissions (kg CO2)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,ICECAV Sensing Emissions (kg CO2)_p05,ICECAV Sensing Emissions (kg CO2)_p50,ICECAV Sensing Emissions (kg CO2)_p95,ICECAV Computing Emissions (kg CO2)_p05,ICECAV Computing Emissions (kg CO2)_p50,ICECAV Computing Emissions (kg CO2)_p95,ICECAV Communication Emissions (kg CO2)_p05,ICECAV Communication Emissions (kg CO2)_p50,ICECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95,Total Vehicles_p05,Total Vehicles_p50,Total Vehicles_p95,Total EV_p05,Total EV_p50,Total EV_p95,Total ICEV_p05,Total ICEV_p50,Total ICEV_p95,Total CAV_p05,Total CAV_p50,Total CAV_p95,Total ECAV_p05,Total ECAV_p50,Total ECAV_p95,Total ICECAV_p05,Total ICECAV_p50,Total ICECAV_p95,Total Infra_p05,Total Infra_p50,Total Infra_p95,Total STI_p05,Total STI_p50,Total STI_p95,Incremented Car Number_p05,Incremented Car Number_p50,Incremented Car Number_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,Cumulative New Cars_p05,Cumulative New Cars_p50,Cumulative New Cars_p95,__uncertainty_injected,__mean_source
2024,2210271.765163438,3667970.3715067604,6009223.399049292,2210271.765163438,3667970.3715067604,6009223.399049292,1664.464566128299,10547.185767030682,34032.67832518833,2202778.5049922825,3661527.847113179,5979260.735457318,0.0,0.0,0.0,147.67264287208317,1141.9567463729256,3356.642500507966,1485.5016955375625,9025.121043572743,30874.39218649123,22.423322632315774,173.56951531108405,477.64939252636555,357586.2340750737,391549.69655685296,430227.25606579427,1753937.0582480682,3211643.0334792202,5558329.891502058,54208.59663847627,60209.49440608382,65436.8867363288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1664.464566128299,10547.185767030682,34032.67832518833,2202778.5049922825,3661527.847113179,5979260.735457318,1044.3988290205584,6284.745387221367,23875.570939522237,550.5787787781387,3879.743490589198,11524.905064087376,3600895.6843948555,5991378.993776361,10353706.182397833,3600895.6843948555,5991378.993776361,10353706.182397833,293.52851394559787,1999.69972645866,6771.347502719417,3597991.8000003793,5987041.431582711,10351555.493598785,0.0,0.0,0.0,29.11053407000929,217.95854262918087,679.4371288806858,265.5038632025092,1817.3574244352421,6098.382180363672,3.992452649476084,34.10131116364205,104.0809578786763,538478.8697124132,643264.2547983462,780120.4883470578,2783530.280261767,5267068.584944103,9583614.27406149,81499.88433213606,98491.49778713682,118488.85429595632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30886184.1,32075670.0,33491002.9,15314.250000000002,152065.0,432796.19999999995,30625756.15,31845409.0,33217286.099999998,1603.0,1603.0,1603.0,1.0,7.0,21.0,1582.0,1596.0,1602.0,352761.0,380841.0,410360.89999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0004723213811270905,0.004661791195542763,0.013119725135156869,0.5258404759686701,0.6353507939456651,0.7319578790710226,1603.0,1603.0,1603.0,1,region_baseline
2025,452449520.98077744,504414957.40030646,565244490.6984781,246357307.12119046,289510910.3448,330419616.3894377,98436.213417021,907941.4550958425,2406026.0910334806,245915645.10102677,288029908.0966023,329309589.724476,191116721.88708234,217921719.96864316,243258869.63040975,1863.221313757923,19636.55229261309,58600.50374600584,96285.64475984559,880920.0078017523,2344740.5504001817,301.12179028592266,3082.55054193473,8340.127454480456,5683263.564676431,6357093.33854591,7036299.384573656,238122201.7790243,280918845.8098616,321408240.6673635,872037.8598971051,973111.0771002877,1074351.367708419,2153002.9847259396,2451764.390618466,2810168.450824649,184997413.41257823,211635104.78048602,236957168.26017532,3376769.7725642202,3799395.050534606,4309825.694425322,192139293.20880404,219415511.2353344,244870054.48453104,245915645.10102677,288029908.0966023,329309589.724476,119930797.61656043,143771000.6398072,176787582.80071613,48705870.24021307,71613217.99114546,100387267.68024266,416374976.1423392,505363760.4922979,645706898.4800122,381181897.7024488,467048301.46563077,598559454.0416794,16655.080896198087,155127.5889182628,465923.63201294164,381122636.60139996,466900154.25217295,598419590.3897686,28489875.091420315,40030809.065948285,56337687.30009904,380.94962250173694,3541.2545241524394,11307.261201341456,16208.116447369877,151056.45102794218,451943.6468820796,53.863566007840454,527.685226114246,1667.0142735481054,8749963.084744247,10419598.144816216,12817274.362884983,371450381.19538087,454785301.3837609,585233506.8018186,1308859.9557106944,1588592.4149080194,1942970.6077663421,309669.27327816474,453690.87785690656,643518.2404964606,27623698.7835026,38860650.58490372,54765878.350395575,494112.1534432245,720226.4528944339,960777.147548412,30968122.468785435,32151746.004754923,33580220.75543077,15511.655729480419,153451.23007537058,435701.8222099638,30729819.969748106,31933948.76112397,33291374.423771486,24968.345427193162,25930.91303796268,27086.254260336525,12.950000000000001,129.0,366.7499999999998,24778.337441798198,25796.272410350182,26898.02128082874,352761.0,380841.0,410360.89999999997,3458.4411764705883,3733.735294117647,4023.1460784313726,2633033.9770403337,2741931.9971966688,2872870.619777168,0.0004890509180077936,0.004957923490950563,0.01386581286194972,0.5512174301689569,0.6664585565882559,0.7721538692193425,2634627.3346124124,2743525.3547687475,2874463.977349247,1,region_baseline
2026,958482047.5999358,1115649085.908129,1277709110.8316655,608269064.6469507,737869337.6487409,857405021.6733037,258805.07134307,2418023.469567964,6541763.35798994,606371528.895798,734437609.4726524,855503411.2945815,337576114.57966566,386382268.5491693,442838565.5233471,5743.839873845523,60548.00831358864,178009.74146701786,252500.75756739915,2345310.2079700623,6354424.161839837,898.1188935659552,9398.39642961651,25337.624542547517,16305856.449796848,18228010.89651643,20245560.31621152,584433002.1320019,712590235.9602153,835401783.4167932,2499451.866207611,2793764.8975379565,3082813.2290463434,4284898.097052605,4879491.875446554,5592786.230562782,325344950.74884623,374569092.95366645,429647633.22991073,6720433.959122909,7561541.129985539,8577398.195768042,339870665.1216976,390632168.393927,445521828.494226,606371528.895798,734437609.4726524,855503411.2945815,221981033.08885673,268771542.650611,339364203.649647,69703200.10119031,114230610.95014925,169111147.72394055,993432036.4394653,1248115714.8060422,1629093971.1111786,938417961.7222519,1185250245.3329332,1562975957.3776598,39511.96845708399,393389.93734938593,1084872.7416316317,937968010.40744,1184899014.7312107,1562423204.8353753,43988039.91039222,63994669.597574964,95957080.96147038,1017.2197024951342,10122.380898813019,30844.314872819927,38222.148336643426,381008.05164576793,1052791.532000095,142.4549303957919,1499.5739058722652,4333.72741777125,25105854.91729656,29933031.231267788,36798508.077311516,905705616.128428,1152430477.0166001,1521340153.048798,3756228.3882561536,4556688.042700706,5581177.60707265,547885.1185071588,822778.4346853453,1219264.2266930747,42512756.78101618,61902644.90965274,92849939.43375753,838782.8878517941,1302855.019215133,1781936.0113618127,31017565.103840712,32225314.307916798,33649437.943126775,15752.81880941507,155261.23136113177,440815.0010368793,30822860.64727766,32000526.257978387,33364284.984402426,71564.43544241258,74452.5475336918,77918.59805696181,38.0,394.0,1113.9999999999986,70967.72790376478,74046.65276626639,77347.3191534479,352761.0,380841.0,410360.89999999997,6882.976066897348,7430.865340253748,8006.849548250673,2633076.115625415,2742095.417009551,2873035.6036140593,0.0005063893826743268,0.005260880561842329,0.014655032061221446,0.5841448774253272,0.7019364840469181,0.8138911870031876,5267689.675340797,5485606.996881268,5747485.806066276,1,region_baseline
2027,1447488244.3319035,1760391391.3624115,2100005457.3487904,988159958.3760316,1257858786.7186975,1516286972.7250516,467627.50340370374,4415265.216342738,12717110.369588638,983486045.7381111,1254712774.3080127,1514163022.9936275,444935685.4163907,520617355.0174408,610544646.625434,12307.079124284066,127723.52015764185,372041.2869026291,454656.0480983915,4268914.047729515,12218787.778518422,1866.0207634435292,19657.114215273494,52962.37539698006,32221926.055808123,36011761.078320324,40031011.44824876,940419614.0200167,1214702021.8028069,1471600996.3132396,4935418.232915912,5520827.760444688,6092444.192066149,6416588.298276586,7306986.014687866,8375136.5537669165,426392664.1749995,501327617.72402745,591452135.4623141,10063776.763118492,11323325.60370027,12844560.511364767,449784397.09644747,526221019.0345708,612575536.2583859,983486045.7381111,1254712774.3080127,1514163022.9936275,306926486.36425763,381373189.3287915,501190951.2185324,66895415.8237139,133853001.27558708,212145204.75122064,1643357283.7596707,2117384499.5784087,2856910356.19172,1565497144.2958207,2040971178.0363202,2727267326.682052,65485.179374106614,631142.8822010949,1819985.3895057777,1565182402.585233,2040414759.2246556,2725297513.2124004,47772732.876850516,76925937.00827618,120239031.28295186,1828.7933681143375,18853.30160351705,54918.746978789524,62939.20237387399,610544.8411456356,1753479.3464915282,269.20636701776476,2980.457334505423,8157.7623797673905,49602731.160548456,59134867.26151854,72717722.92941904,1508217410.0582523,1961508245.3413436,2653247467.815019,7421339.45152503,9000306.734482095,11022858.89600153,661367.0743181279,1125110.537632946,1695094.6348140286,46160718.859122194,74139336.08035362,115896907.60275602,949092.2383652846,1759572.4964427114,2495811.608109951,31091925.66654251,32307022.552170232,33718643.592676066,16037.7162868927,157698.60452383314,448262.0281373321,30889662.3442168,32063671.45271817,33435949.043052413,141392.06166224676,147170.84395856672,154102.99886531525,78.95,832.0,2328.1999999999957,140139.98238531302,146333.00486125596,152893.54242176522,352761.0,380841.0,410360.89999999997,10307.181801721412,11127.640029791797,11990.170116929083,2633120.0672313822,2742260.9830648117,2873202.710914731,0.000536347570652731,0.005620317880555023,0.015489936538749142,0.6118096306706595,0.735736270460597,0.8687320820334673,7900790.06414785,8227848.30152175,8620668.838556677,1,region_baseline
2028,1897118468.5533388,2411768839.0119715,2988662390.842967,1352373334.5575144,1789344994.9218497,2251875502.3776693,700570.988387224,6806839.053862875,19576554.38166266,1340542275.0521502,1778666981.5595884,2249127308.796748,523343410.49557835,622182368.7605841,739678676.4965527,21718.626231734714,228918.6856184972,652364.0557521569,678409.6340052765,6525051.60761378,18676546.940900587,3278.3289525791406,34486.5214506774,92853.13878195948,53427760.75325385,59696654.29551984,66382537.288977556,1274991176.0416934,1712850511.2736177,2182453310.9672537,8177341.2417220855,9147986.212482112,10102904.513528004,8547864.738403302,9734008.977283489,11156946.822735192,498462804.8314547,596674443.0355768,716720363.9061741,13406470.624230009,15084379.914997112,17110894.57069757,532516555.19626206,631523187.1327707,756009251.6656832,1340542275.0521502,1778666981.5595884,2249127308.796748,382232841.6893591,482400427.11914146,656877881.241742,45968723.506564535,139781253.49027404,235182359.0518615,2236183952.9921665,2971313159.2858887,4250407825.455806,2152821397.2631173,2903436750.33562,4099001218.5491557,91619.61882662124,874053.1822796864,2613536.5293821935,2151128651.555891,2902219932.8831544,4096378867.2326126,39632657.93142314,82787860.68600722,135717690.8667998,2923.162898873843,29458.21701519881,88587.78760015767,87712.2230792104,840557.429390662,2519297.517019002,413.42539963704286,4784.1359856149775,13090.451662178259,82228727.91936174,98018414.32013081,120558168.67627563,2053822626.1503685,2792212631.8431377,3978194297.0229187,12301882.1411497,14915895.759264946,18259848.154437087,611855.5265529548,1323283.3098267517,2090888.1541642428,37810504.24273448,79349087.47452512,130172216.62916508,979337.7315492248,2077933.163189549,3057073.772894843,31146221.145034444,32380107.46745861,33801075.179910116,16365.633290145288,161426.82323507417,458176.0471421243,30951351.750100825,32145651.489120528,33505786.176444042,234452.09051624069,244088.82644619732,255642.50721401465,138.70000000000002,1482.5,4082.3999999999905,232247.62872960276,242637.79019850018,253491.73693603568,352761.0,380841.0,410360.89999999997,13730.72289816543,14823.697175311954,15972.717523030533,2633166.5909295045,2742429.4552974105,2873372.701476955,0.000568761472939337,0.006141215123459088,0.016434857358291432,0.6355819852065303,0.7707444576934779,0.9342274990885499,10533928.543042596,10970249.644784404,11494013.427998876,1,region_baseline
2029,2297737219.3684115,3041435037.0772204,3891116438.357272,1685150234.46705,2326585808.9427624,3045423616.674374,954801.929017438,9456683.867204439,27250735.296412293,1678481173.201702,2311285305.5485044,3041217757.108658,585382533.0252783,704584239.0210104,858458753.761637,34514.39460769802,368023.7801102514,1036508.107660927,920427.5244585202,9011238.988236021,25863707.736588717,5205.89464141706,55183.929120090645,146615.86386664372,79919994.33943477,89275822.22487885,99288296.04963964,1580354211.4572055,2207212763.3316674,2939888351.155915,12222221.184164077,13669868.2897534,15113692.921792354,10678715.489120329,12160547.17968902,13938201.468252202,550838880.6122593,676208569.6730258,827182446.400828,16748496.834092855,18844683.01403474,21376376.49597912,591849226.5151488,719573928.096219,877386107.2343928,1678481173.201702,2311285305.5485044,3041217757.108658,445783225.9967739,577897183.1815981,794461527.4340684,2565663.5220319373,132153421.89623311,245375956.9541156,2811754209.1549745,3850559119.3620625,5724343678.441395,2690525900.0282745,3784058792.3642807,5565724776.989478,105569.6413865221,1001198.8511453844,3151695.6940493817,2690357679.8042307,3781782662.498222,5562114788.43578,26311873.143162828,82697253.70792715,140273889.19917482,4022.284590025352,40286.76755021639,128490.02628288014,101017.79217349,951254.01053131,3001831.7322849995,529.5646230067343,6313.971134900334,19161.974675074725,122971225.57672754,146561609.91080365,180298070.84723303,2547237689.2100887,3599429199.5605154,5383464308.952431,18395057.632188533,22299283.320939943,27283054.35114501,473877.7797158663,1419056.0161566238,2370962.217021027,25132689.472020973,78740756.14216185,133880611.12722556,727096.4241158593,2223848.3955202037,3559831.179493538,31249856.515174486,32432941.636677988,33876516.89823415,16734.84068450689,165674.23186818685,470697.2031208556,30994470.67341853,32217013.45703903,33573884.8088657,350745.50440098316,365209.643976758,382540.2978637909,220.25000000000003,2379.0,6457.299999999981,347248.5975222499,362943.6092408413,379093.4663926375,352761.0,380841.0,410360.89999999997,17153.58019537958,18519.016090748566,19954.46947706277,2633216.771087528,2742601.9189409576,2873546.6603965797,0.0006031533771960174,0.006503586082224157,0.017740792847687658,0.6660589320456469,0.8097248814463842,0.995878721894582,13167105.154080475,13712811.40367571,14367519.928345803,1,region_baseline
2030,2653541413.552097,3620378603.692068,4789054801.439844,1990742356.1627452,2851198403.234625,3855839190.168441,1219356.6747093247,12373961.565027477,36001078.11993163,1975646657.8583949,2838341722.5520773,3843887692.904011,630675616.1534705,773943255.3638103,961485739.6487049,51498.02274162001,551243.8897806872,1563975.5596454106,1169541.4027924214,11700836.1549963,34390219.43301535,7694.736377191542,82312.68581082321,217365.33538133846,111693702.47641957,124726892.49245772,138733818.4923488,1845988191.7377443,2685825227.579211,3691313536.8598704,17066312.676006038,19101786.1062775,21124171.816455904,12809128.168191446,14586586.521447543,16718884.328626659,589171355.8071005,737827432.3464428,920934824.870495,20089835.97240837,22604213.049934488,25640981.500769183,636637080.6264747,791322241.6829541,978070066.938293,1975646657.8583949,2838341722.5520773,3843887692.904011,502037787.43132377,667206824.3864908,913572892.9379365,0.0,112240233.80710566,249355690.19295672,3269578793.522589,4705809127.682264,7194356776.818132,3209734548.4395847,4636164300.702642,7061049522.222984,107113.85378015303,1043427.4288769737,3732089.231413763,3207257737.0561123,4634197069.859985,7056523282.959642,20574302.13854033,75617998.61893329,138837820.01713634,4650.8393654121055,45592.57665035778,172112.88455322146,101856.10396851602,982782.8312236104,3539490.0162547384,607.4353050114997,7060.158548864518,25742.992764994015,171820549.65682298,204738305.9708033,251912534.49724177,2951162630.9623537,4387828980.657166,6772277922.484835,25697795.428140167,31151268.71887321,38109353.54878499,383987.67829426425,1433596.7379282294,2567112.394569978,19411949.407584555,71685167.04636773,132924092.77460963,574532.6092589103,2210387.1497518457,3822190.6522533842,31309233.050886374,32479151.798958864,33932402.48723645,17142.13355412293,171912.46458278885,485972.6870891902,31024920.421390798,32278820.601698652,33640534.78096146,490273.4645708645,510536.6332979655,534799.7327228307,325.95000000000005,3583.5,9541.599999999966,485098.1521179222,506603.16998459335,529679.0399219636,352761.0,380841.0,410360.89999999997,20575.73380336097,22213.57530284185,23935.402841322117,2633272.156782351,2742779.923940504,2873726.1374802785,0.0006399223394868207,0.007009650216327414,0.0191505805765059,0.6974178992651127,0.8499796158138408,1.0,15800319.939363325,16455533.956116714,17241188.69432658,1,region_baseline
2031,2948787647.621714,4148775456.1081553,5625882084.230541,2240252579.7870107,3315677881.400003,4622176282.375866,1501932.1452697073,15337123.633606568,46327407.04621272,2232128811.747722,3299482196.6859083,4604190300.550176,665594470.5491341,827021281.3919756,1045340153.3773577,73226.73973873068,783575.6364106096,2248640.9177953186,1428414.027993434,14534458.463849373,43719813.87049821,10893.20112632885,117393.9286678996,311498.167214966,148743492.59002325,166038675.5041034,184701401.4385966,2054740516.0423079,3098906439.4122705,4416281274.062579,22705196.270645775,25437200.5015039,28133652.653289575,14939089.918288164,17012112.361083694,19498978.622061644,617188687.6445504,784550425.971117,1006127238.9585379,23430467.87374321,26362947.33342441,29904683.847600114,672489749.9325385,847103348.8827813,1064737244.4687097,2232128811.747722,3299482196.6859083,4604190300.550176,556691650.8958317,739973074.2201829,1005869319.825312,0.0,87312459.39834234,245366000.32355672,3669356804.2439265,5468943925.74381,8592407925.068819,3615487948.536204,5390803592.880049,8482328642.826515,94442.6540238786,1040911.7979137786,4216128.167842939,3613351198.777728,5388739869.295452,8480353366.617611,20188686.127575047,64395460.532255776,134338977.5664023,4617.812744466188,51815.19889447666,217875.5434623244,89221.78446261711,991308.7076519304,3965635.155499296,603.188893642199,7952.053287398997,32378.33776215923,228758042.39185432,272518179.8253024,335369713.92544544,3296713126.1904516,5064403533.137781,8084772473.697273,34206234.91353918,41483957.11413136,50733209.39015689,406346.9448953114,1343038.2948962515,2712613.7328181476,19044102.96264708,60627436.41545695,127953692.12447381,611010.6019857865,2096439.8570012269,4113323.0757542634,31362235.96754131,32539997.587509476,33996893.21206431,17600.34899969664,179572.24136006343,504156.6201879154,31038010.82454039,32373998.639469273,33725293.33929996,653037.4068383278,680073.4146554654,712424.4565712211,461.6,5176.5,13459.049999999947,645732.4487481606,673859.2361036763,705082.507253532,352761.0,380841.0,410360.89999999997,23997.163068949998,25907.352514427577,27915.493590337606,2633334.9609611616,2742879.3268800974,2873913.3464066656,0.0006795988391333626,0.007593488472806939,0.020672486319880803,0.7193872978662837,0.8935425039552649,1.0,18433572.941039484,19198417.680945262,20115020.081448246,1,region_baseline
2032,3201732220.0718555,4624256615.780766,6447526787.60206,2474698123.6952457,3740059012.4898844,5388046488.196138,1874665.3449361126,18486817.646978755,56920736.32588541,2462260197.509725,3721801760.839278,5366012984.735711,690578059.884871,870806411.2474496,1124626055.7475932,100363.38908655746,1066449.0489562172,3113336.313126602,1777044.8313110336,17317626.919458278,53739206.39535652,14876.75209246649,165120.03858365197,431728.9121223379,190898256.49739712,212983374.63794854,237170599.03790626,2209895908.7441435,3470363838.3881283,5126105694.977802,29133520.86078116,32673013.365939163,36141011.898842454,17068587.384463955,19437109.49045212,22278466.9172532,637600486.5344841,820779346.8029484,1076368911.2249162,26770371.592199888,30120862.29708814,34167456.80288531,702106925.1175092,894266733.8799188,1141172293.2001014,2462260197.509725,3721801760.839278,5366012984.735711,603498832.8665041,814395252.6845021,1093957155.9824195,0.0,52349295.382036686,232050993.55401695,4013616160.694217,6117133563.908169,9925607705.005114,3986363972.2417088,6059364487.932624,9834904583.661026,96802.870161566,1067218.719904465,4614061.646952954,3986239196.230537,6056768425.013201,9833225168.54063,19080150.18277756,50210707.6907665,126461356.02215374,5096.877822323391,58073.96008673219,258323.72795793272,88681.02438095726,982779.7969073048,4264305.308548983,739.0436878429417,8638.201767455284,38543.111696137246,293764891.1053837,349865224.6964849,430633584.8607532,3550571314.016704,5639263259.52104,9324030918.299986,43915888.80080757,53285572.13250594,65143353.46035167,436068.25835776236,1119838.5882610392,2832708.29869649,17865139.2694446,47451156.580006085,120252575.77762718,655312.9676610479,1776863.7234459277,4170840.5304494333,31415481.795708723,32639282.396707743,34066813.842811234,18399.21317962861,190630.83483763458,525409.6979101971,31071000.38237918,32441834.71964677,33812521.216023855,839039.1866549685,873824.0369039199,915418.5421656686,630.2,7153.0,18633.599999999933,829080.7326751815,865124.8376279799,905346.3798014802,352761.0,380841.0,410360.89999999997,27417.84653964644,29600.324565372845,31894.71676877886,2633408.3449572315,2742980.505888086,2874111.4492420796,0.0007217359879095991,0.008227725273884254,0.022314364356746136,0.7582811194923765,0.9385006330007104,1.0,21066864.201303855,21941462.957918283,22989014.44599746,1,region_baseline
2033,3416256436.6172,5033739472.545813,7255836577.56743,2682985415.4976196,4137099535.6651187,6121964445.821129,2280008.906089886,22044081.59674781,67716383.72890083,2668504713.1932354,4102338504.870023,6095745000.58819,709580321.9728519,903492275.4350206,1193076571.8762796,133740.15089910134,1434266.1669452006,4191458.3711658414,2149208.069261309,20562219.79770603,63392609.26171664,19734.255384486605,223739.09869231674,586214.9778880518,238471629.9625874,265924227.4911443,296116495.9144314,2337668615.0522842,3801414128.5973234,5795292586.454597,36344906.907491915,40798311.91328368,45145031.930372424,19197606.69036088,21861562.10764241,25057331.10233453,653520811.6577069,847794306.5743294,1126316102.106365,30109525.364099335,33877933.453376874,38429272.58929032,724816019.6740155,930878092.2788522,1206086818.124498,2668504713.1932354,4102338504.870023,6095745000.58819,650685895.5558949,872836292.4925017,1184815307.2496061,0.0,10979398.909179311,207573440.9203886,4321543132.141487,6687485628.972967,11180529279.095844,4306953812.196297,6658399126.885924,11115544415.277483,103676.81507807733,1050893.1267834287,4717974.218522744,4306387065.291308,6656262654.239021,11114119601.580078,18347735.027068533,38861271.00058543,122918898.08704117,5933.920868221556,67265.94597208282,292388.72888183274,96889.77886712017,955165.2877219042,4367205.320431707,958.5799975230899,10275.70783869729,42560.6914215979,366819025.19359744,436598228.59827316,537641377.8138404,3762589592.342772,6151813349.048874,10478270344.996336,54821525.9386149,66553435.742056556,81233179.73726803,464416.5912919917,925651.5324848385,2898166.1267888974,17070562.388527207,36492654.32773025,115557070.97723636,706285.0121578487,1454534.7371572652,4308275.023361649,31468818.03901332,32712050.71233757,34136878.35428114,19267.54497081277,201106.82266255002,549898.4801569196,31149823.29602311,32490427.086120583,33898080.340368085,1048281.2983226208,1091773.117122471,1143786.7094733897,835.8000000000001,9481.0,25087.19999999992,1034836.2928497972,1080049.34769164,1131119.1415244476,352761.0,380841.0,410360.89999999997,30837.761925389397,33292.46739131374,35873.046446995344,2633496.8249409865,2743096.8418428116,2874324.962891697,0.0007664864312605428,0.008824162336276371,0.024050422260634786,0.787887404560674,0.9875094814036462,1.0,23700193.762397893,24684670.1677141,25863172.145042215,1,region_baseline
