Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,CAV Total Power (kWh)_p05,CAV Total Power (kWh)_p50,CAV Total Power (kWh)_p95,ECAV Power (kWh)_p05,ECAV Power (kWh)_p50,ECAV Power (kWh)_p95,ICECAV Power (kWh)_p05,ICECAV Power (kWh)_p50,ICECAV Power (kWh)_p95,STI Power (kWh)_p05,STI Power (kWh)_p50,STI Power (kWh)_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,ICECAV Sensing Power (kWh)_p05,ICECAV Sensing Power (kWh)_p50,ICECAV Sensing Power (kWh)_p95,ICECAV Computing Power (kWh)_p05,ICECAV Computing Power (kWh)_p50,ICECAV Computing Power (kWh)_p95,ICECAV Communication Power (kWh)_p05,ICECAV Communication Power (kWh)_p50,ICECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,Electricity Consumption (kWh)_p05,Electricity Consumption (kWh)_p50,Electricity Consumption (kWh)_p95,Gasoline Consumption (kWh)_p05,Gasoline Consumption (kWh)_p50,Gasoline Consumption (kWh)_p95,Clean Electricity (kWh)_p05,Clean Electricity (kWh)_p50,Clean Electricity (kWh)_p95,Fossil Electricity (kWh)_p05,Fossil Electricity (kWh)_p50,Fossil Electricity (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,CAV Emissions (kg CO2)_p05,CAV Emissions (kg CO2)_p50,CAV Emissions (kg CO2)_p95,ECAV Emissions (kg CO2)_p05,ECAV Emissions (kg CO2)_p50,ECAV Emissions (kg CO2)_p95,ICECAV Emissions (kg CO2)_p05,ICECAV Emissions (kg CO2)_p50,ICECAV Emissions (kg CO2)_p95,STI Emissions (kg CO2)_p05,STI Emissions (kg CO2)_p50,STI Emissions (kg CO2)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,ICECAV Sensing Emissions (kg CO2)_p05,ICECAV Sensing Emissions (kg CO2)_p50,ICECAV Sensing Emissions (kg CO2)_p95,ICECAV Computing Emissions (kg CO2)_p05,ICECAV Computing Emissions (kg CO2)_p50,ICECAV Computing Emissions (kg CO2)_p95,ICECAV Communication Emissions (kg CO2)_p05,ICECAV Communication Emissions (kg CO2)_p50,ICECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95,Total Vehicles_p05,Total Vehicles_p50,Total Vehicles_p95,Total EV_p05,Total EV_p50,Total EV_p95,Total ICEV_p05,Total ICEV_p50,Total ICEV_p95,Total CAV_p05,Total CAV_p50,Total CAV_p95,Total ECAV_p05,Total ECAV_p50,Total ECAV_p95,Total ICECAV_p05,Total ICECAV_p50,Total ICECAV_p95,Total Infra_p05,Total Infra_p50,Total Infra_p95,Total STI_p05,Total STI_p50,Total STI_p95,Incremented Car Number_p05,Incremented Car Number_p50,Incremented Car Number_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,Cumulative New Cars_p05,Cumulative New Cars_p50,Cumulative New Cars_p95
2024,402240.0436754553,759057.5937109068,1303914.9893124735,402240.0436754553,759057.5937109068,1303914.9893124735,0.0,1929.9532767050068,7024.171917176645,401579.733610259,757864.5954936635,1303811.5152640624,0.0,0.0,0.0,0.0,405.09998759741353,1345.5476259150805,0.0,1494.0954435105323,5770.97565989272,0.0,28.55902438105867,97.83265443464246,93712.14058769119,139575.38985023423,198889.68597669667,282572.2831951284,583272.3982707763,1166724.499402816,4706.24529495492,9744.096841362792,21576.024284132185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929.9532767050068,7024.171917176645,401579.733610259,757864.5954936635,1303811.5152640624,0.0,797.0559801469832,3157.361910129115,0.0,1219.3801416232745,3876.961449877402,621930.4794078993,1175821.7226544525,2349687.2964465856,621930.4794078993,1175821.7226544525,2349687.2964465856,0.0,615.2784986050125,2028.7280218913,621366.6603586212,1175062.0994494678,2348799.2514199573,0.0,0.0,0.0,0.0,123.22061800254244,415.7716200526669,0.0,492.09387397839384,1724.129342293099,0.0,8.369717607873842,31.1283682945187,157307.80509999118,229084.06300779968,328840.84069329174,425767.5159499408,942787.6919282435,2021436.4772906227,7776.070432012278,15658.102383014706,36295.41904609667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6826184.1,8015670.0,9431002.9,3810.6000000000004,37734.0,109107.7499999999,6783289.75,7964144.5,9366607.6,400.0,400.0,400.0,0.0,2.0,5.0,395.0,398.0,400.0,143361.0,171441.0,200960.9,0.0,0.0,0.0,0.0,0.0,0.0,0.00047232742478611864,0.004661756412504933,0.013119790731162378,0.2901123305681478,0.39580539485297284,0.5046418743689229,400.0,400.0,400.0
2025,80791238.46349418,121229715.76468727,185257731.05351418,30457627.092167035,51936337.89726944,85990300.4314449,18232.98092001195,154493.22178945562,486841.4575274083,30262520.455752134,51749546.560620934,85484486.66709772,36153183.840086974,66580103.030848294,130581580.98186333,660.45896902145,6864.913620533322,23404.436391486022,17539.34199755702,148639.66578028232,450926.2516881444,39.6403246859716,498.63519631076184,1736.4461935277257,1485490.8560366915,2297894.4621609505,3317970.8952038432,28172900.4593264,48698685.33427957,81690823.21686098,72974.50533692027,156659.23727205966,343746.78520989144,723356.1159766174,1153646.6582526916,1895284.414401977,33944015.36727481,64487471.00901519,126275401.71582271,496778.53410577495,1113598.6476348722,2231666.852476462,36645884.08407648,66619386.569913015,130826266.07665963,30262520.455752134,51749546.560620934,85484486.66709772,15038872.587740863,27437009.423597388,54577462.29801932,20021577.00632333,38806751.01140185,76371405.04123418,66174077.52228992,106857182.0729408,172541035.19365826,48531501.44217827,85020433.30489448,152265767.26281574,5080.730838405557,46248.95874492034,136415.87437988748,48506668.65536735,84976413.23943216,152249148.40847367,10320645.911978943,20866858.771830842,44068702.89415955,174.74899429552605,2065.682201575976,7372.918031111814,4896.79583145559,44411.189273484044,127994.18534466611,11.080447392668232,138.5486750764883,512.419327048895,2466623.2407471887,3658107.4993141256,5613723.260848953,44413207.35845053,80897707.64998478,145685628.59642735,123910.52445030828,249155.64610392082,618998.8895879752,207439.50127971114,342595.1352992309,643537.7753368616,9930770.874636082,20070996.002672516,42827915.70394003,139323.90898944,341577.5935992653,779756.2554784248,6845190.2616604045,8031379.640013723,9448991.542301757,3879.968975667135,38137.614411264505,110130.95526967873,6801845.215789154,7988739.988404963,9387569.692596665,5574.309368839675,6496.299652981215,7554.3251572471745,3.0,33.0,96.14999999999995,5539.246411837709,6463.208197865205,7491.152586645634,143361.0,171441.0,200960.9,1405.5,1680.7941176470588,1970.2049019607844,582642.2726745601,687092.1165822926,807028.552348563,0.0004890571116088019,0.004957916417077542,0.01386588209151766,0.3028283065537992,0.4163915198398554,0.5332684646009679,583039.8665790089,687489.7104867414,807426.1462530118
2026,171199681.03385973,259332360.45790923,387710198.09181136,78481344.81635219,132449795.9222433,219270433.34078175,52837.457034740895,427988.90334698174,1344377.204758265,77818908.43522993,131597148.02281643,218534700.41085052,64095688.14813652,117353578.94997855,227968884.68903586,2256.4120364559317,21318.392073768286,71295.47384807037,50482.67810812058,404706.5155121203,1258034.6674297778,118.92727015060089,1577.6131111704744,5162.370664392742,4224785.654608605,6604009.80526144,9505400.431875335,70915249.66288808,123835763.78524518,208936426.25696808,209487.83721573852,448057.39528114593,983537.2392851334,1439620.5053260133,2295983.055149965,3771987.6090549156,59699009.71695152,113252910.02806804,219327118.0390973,988686.6904261992,2216279.6614694027,4441454.618163939,66231987.62403402,117600970.32275343,228625626.5924148,77818908.43522993,131597148.02281643,218534700.41085052,27974252.306014348,51250790.94773375,104936973.34389374,34260829.53432922,66177744.33903918,134169557.8687073,155027855.00364336,254903153.07522058,436335167.6114356,120304380.26779196,216262556.64056692,385714988.79175943,14487.499070006726,120748.85774114261,359585.21613899764,120207141.7391498,216100569.12775493,385236267.45767623,17698895.08646114,35336394.83812268,77295183.8178854,566.9750339402921,6064.176632194723,21536.4693598669,13912.530150484203,113627.28951033423,344339.459207389,33.91246645310666,414.22151671159276,1504.6277707311988,7099517.234601633,10474213.31415209,16175534.538155923,110680675.6943259,203713861.94400272,367195661.0516397,355093.0673212548,716203.5423499242,1779680.6069951665,394262.15418746875,657555.4241301536,1260951.3373441824,16615879.335901577,33924352.376565985,74905300.71647434,270210.18688743253,656838.4321274984,1514139.1370670444,6864249.890201062,8047477.429443911,9467014.64338383,3979.5150130809243,38823.54268077714,111981.7917056812,6814632.302123914,8008681.722563796,9408132.942132415,15889.31154274853,18655.541696732056,21829.546521231958,9.950000000000001,102.0,297.15,15775.450660855076,18553.816533856203,21634.13692146368,143361.0,171441.0,200960.9,2797.220588235294,3345.1098615916953,3921.0940695886197,582664.7846430177,687150.851898436,807069.5830022107,0.0005063957278600845,0.005260848795886492,0.0146551051261054,0.3194621302035806,0.43731836690430526,0.5632512645279765,1165701.213942668,1374637.1251058187,1614492.2919758637
2027,258594551.53511214,407108978.0652925,613302573.908244,132133363.71371503,229234669.62210026,389678552.65818745,96825.60297437599,795427.5779151338,2508966.0803701114,131644129.24786453,228471558.2350235,387121465.8631878,86019850.65833846,156394858.83311325,301400434.3605409,4751.341337849223,45339.366769778324,148822.99986504778,92143.15968892007,740055.3194282996,2327808.4797736765,247.22875079194347,3326.0650039230422,10771.375572219375,8327059.923292735,13052910.103764666,18774102.159299966,120182174.00078109,214498077.06079036,365602594.6365839,414221.3294291783,884713.239511342,1941873.349663312,2155816.049578394,3438209.654239001,5648510.420855619,79435872.52540869,149199441.88718504,288459482.7891197,1480547.5660703143,3318854.689047316,6651029.985950061,89946592.05869858,156991176.6078072,302580673.4812331,131644129.24786453,228471558.2350235,387121465.8631878,39396635.76774648,73119834.36040768,154046188.22361243,44364809.50951984,85472107.41528845,179430589.77963743,248692857.63455737,424938298.9725459,727919901.3007154,202531428.64514312,370951468.42916226,670770119.7096469,26528.664170041913,212859.84203349677,658930.8318623116,202110767.01420948,370607617.2602841,669866195.4813223,22796040.13535135,46039841.99526228,102164589.97032702,1113.6551150169787,12299.103058061326,43740.398571266225,23671.548994142635,200566.30731059873,631031.9048311296,63.07944342642609,820.9185372041545,3039.2505039392418,14039935.723911697,20676215.264796525,32004535.702293817,186745670.58251846,346723463.1066776,634223805.5763055,701417.1130451671,1415180.7035969584,3519231.781580264,569257.7895618215,954798.0065227933,1859676.752571501,21744728.71087224,44075677.1595137,98748412.78339793,393647.08980801003,942531.2177727362,2203711.0860990672,6883363.136899987,8069673.255425952,9501119.221964404,4111.543266392004,39814.40081954072,114727.9419457754,6826406.059085675,8024746.624161873,9428106.804690724,31345.41665434701,36878.778475287974,43226.40199343776,19.950000000000003,214.0,627.3,31087.188610848454,36659.491939128355,42818.385311722835,143361.0,171441.0,200960.9,4188.807408632427,5009.265636702812,5871.795723840097,582687.7834757147,687210.1888469877,807111.1379486533,0.0005363018812953721,0.005620268055540909,0.015490013651947325,0.3422552597957505,0.45506899901892073,0.5932993508367158,1748384.0870192987,2061842.4035537224,2421598.519525433
2028,341008403.97734004,548780919.7832277,811660086.2530882,189852588.85333055,331889864.92188,568733653.6283276,151108.34331955196,1242191.90994984,3910639.842953458,188081254.87364116,329848414.8298316,566170810.5154521,103580643.68062519,186950759.09388065,364976144.36560476,8244.263390925691,81250.54756826055,259526.3949750918,142430.35512047543,1166941.2550043166,3593403.4232064467,436.07577861393594,5949.448152221261,19331.46629803852,13794862.213458257,21643631.511467963,31122008.71707448,169081096.9506615,306674281.679113,531152386.4668561,686831.4248999938,1466926.9535450484,3218318.994785185,2871872.5802658205,4580214.547129504,7524668.999552839,96471452.50856218,178239878.1021588,353901296.3174991,1972312.9715117274,4421215.70679727,8860176.47512702,107712784.45429814,188456128.7214728,365573158.7373474,188081254.87364116,329848414.8298316,566170810.5154521,49655440.45415386,92759142.94337074,199361946.1920377,48879891.092973694,97988876.23287857,214020620.86594865,347383539.5762019,591021516.5225155,1024774512.6628145,293424493.9936669,530385296.90644264,976470667.1204118,39896.19612508661,316325.51204820035,1010997.4369374011,292777661.8987328,529664846.1177478,975071614.3415538,25484018.823224448,51863564.532516405,118248212.69796261,1923.1206668209566,20988.80420167889,73721.7993995885,33558.254917390856,294111.40479254856,935200.107320624,109.07027784893927,1390.7678900379815,5196.537519553375,23285102.50296006,34260583.983726636,53098618.119683534,265932196.88875633,492733475.46978176,916233571.8256187,1162783.2501590971,2345252.0614177333,5837617.206008185,719230.1467145858,1214138.58315265,2400590.4597208262,23987857.649833318,49701627.19377627,115917921.76512142,504555.4990991313,1206209.5525105763,2857508.2943905774,6902530.153464582,8091936.447310414,9529332.55188786,4217.137348098736,41134.511508641386,118406.33253817566,6837268.024485406,8040404.983431745,9447699.325681783,51943.05442105942,61167.08496585206,71745.65005050882,33.95,376.0,1099.8499999999995,51488.678913078045,60771.42460594736,71032.65017580401,143361.0,171441.0,200960.9,5580.124122008652,6673.098399155177,7822.118746873755,582711.4586857681,687270.3172787838,807153.4067586785,0.0005687129476178857,0.006141160413926157,0.01643484117940464,0.36214831834644107,0.47900481510513016,0.6172823519062081,2331088.530849233,2749105.705976672,3228744.9114282774
2029,417700871.6159205,681419806.4341068,1007701036.0993478,244231493.10442775,435743142.8495422,730792492.0087272,207191.63440406424,1740537.7786266564,5507714.525274805,243127111.13326567,431914555.9542711,727283633.8937862,116885551.49772409,211799090.99453652,422892173.1547212,13222.897473970163,131508.4236832449,408881.54048477294,192961.61628390313,1610167.3129894426,4999580.754225011,712.9182785688942,9420.070377288415,31272.50199808213,20637588.652017165,32373355.972759277,46545646.97897835,216521505.62764615,394754541.26189876,676479223.6915749,1027127.7582058026,2193906.486394049,4812473.037871457,3587786.0897683315,5721991.342256823,9400452.844675938,108002263.97655952,201912244.8866943,409056536.41849333,2463980.154441407,5523356.545033166,11068881.721559875,119709175.980981,214281704.0016095,423746272.270346,243127111.13326567,431914555.9542711,727283633.8937862,59045628.31749527,110456606.25313655,244511468.47135106,52748042.336318955,106317120.75531614,231618481.49226665,434078392.98539084,756247579.5779278,1333758431.3655727,380262696.37115544,687732965.7228369,1273953624.0225518,51722.39111378909,419928.4184010242,1396695.1503870762,380130728.3391144,687357088.8529369,1273517660.313679,28078023.755539272,56608784.76491308,131693294.22300059,2880.0996155001626,31867.537319542687,107662.50776036236,42198.89594967837,374351.4791399959,1294645.6838346731,163.2820719341463,2139.514860826922,7965.400851150025,34831455.73981496,51219755.925408095,79405660.71698475,327548653.5881566,633170793.518128,1195961614.9180017,1738394.623881495,3505555.893160358,8734593.974741435,823931.7078716044,1457170.0275349836,2891745.097836408,25465784.095305137,53409835.842482865,127872126.0841136,588542.8609461966,1417663.5203885005,3467541.5267503327,6913686.4223187845,8108591.022463462,9549021.089099122,4311.379306566886,42809.981050525894,123065.72205320913,6847142.250659083,8060020.628162396,9466904.433948599,77682.68441834633,91521.56906350277,107388.08001858178,53.0,609.5,1739.0999999999983,76960.59684539764,90867.45967729003,106263.5143159206,143361.0,171441.0,200960.9,6971.162941452745,8336.59883682173,9772.052223135937,582736.08095852,687331.5082178507,807196.660175323,0.0006031018402443204,0.006503567870317882,0.0177407753978742,0.3787716513130112,0.5036186460937264,0.6567049716857615,2913814.590585132,3436427.1929719024,4035931.55038098
2030,480344332.65422904,807646028.3618236,1222746552.4731612,295632000.31802166,531321150.20021975,882019823.0332417,266439.41084809275,2258719.1856093295,7272008.038897386,294303631.4912602,528193483.3061006,881891648.2665194,125286535.67807373,232445025.13934273,471758717.49729735,19701.308761497687,196547.92420931987,605521.0546547467,245382.69803186523,2080789.3844411694,6614387.465133154,1106.713358450563,13885.106059082358,47281.13531803093,28814272.31193987,45238584.75926112,64908554.63492975,259745298.05184764,469398323.14557254,838413798.6492183,1434953.2699270593,3065306.21668173,6723757.623845526,4303552.417958716,6863533.404829675,11275851.056166027,115565675.68551546,219331201.1427921,454285708.3000939,2955546.2578130774,6625270.799285708,13277132.890604947,128857524.77509919,235021577.45893908,472903668.00159717,294303631.4912602,528193483.3061006,881891648.2665194,67821806.51164171,127608211.70131356,278013429.36341304,50622162.9150894,108969470.1246497,239510668.65857345,506819220.89690167,918826067.4902248,1640083966.1382515,453970063.8760242,845098935.2981353,1587955678.6506283,63397.1292416447,510699.25173581333,1832270.4724961298,453804915.0220432,844127514.4463831,1585296938.9105918,26815336.808139205,58215140.39826002,137408693.0125001,4076.614078790006,44730.930939985934,151183.27885956716,49969.82800530913,461546.079042349,1703960.643780941,231.01255534070071,3104.9740037789647,11484.873316022442,48675631.1501571,71545050.85106657,110856466.97386964,380031348.4039708,770733799.2925537,1464402775.533847,2426356.12305109,4894920.752403535,12210161.006147461,932068.3646672072,1642716.2738013458,3279233.022605927,24763204.144394644,54956416.407529876,133243448.13086993,673539.3012392167,1612481.1298453668,4072473.7532917084,6924724.65304533,8132387.858656619,9568684.869250497,4415.541057589844,44389.37323823801,128827.78356320193,6855946.895335682,8074340.844491487,9485700.505656742,108564.8117771082,127943.38728992551,150154.52777142372,79.0,900.5,2566.949999999997,107497.46469302561,126915.3884289781,148494.90661464268,143361.0,171441.0,200960.9,8361.915783727884,9999.757283208768,11721.584821689026,582762.0369395128,687394.1486493638,807241.2849018319,0.0006398654357576309,0.007009663732062432,0.01915056175598657,0.39570866293572254,0.5246118819231447,0.7052454910101557,3496562.3114923304,4123807.0255889515,4843158.519250498
2031,536572279.5824201,926617225.1845231,1412245604.879894,340826401.1078588,620222663.3064053,1053479919.9950547,327979.29367769096,2846082.8613879895,9192337.846979573,339806389.1254105,616167478.4022973,1053263132.695466,131847620.73705216,249033183.3543105,513069394.5035136,27942.635838954004,276483.42627451033,895346.108100471,298315.55126793124,2529024.5592427254,8428747.870551158,1553.6475656182502,19522.569047668847,68104.89367613994,38326913.63716881,60235514.232804015,86422199.29673748,298271280.726789,549161934.5565857,963136411.5889028,1910094.4603039196,4080816.4493692433,8951496.228747966,5019167.245090432,8004833.845487414,13150852.315741401,121362378.85076694,234335633.86224946,482930934.95484746,3447008.3149588606,7726951.819353427,15484916.655167947,136099132.65401953,252648441.33751154,514537013.8001647,339806389.1254105,616167478.4022973,1053263132.695466,76179135.51283655,144837123.7221015,319885616.45476854,49029327.157319516,108221365.36969206,243043888.5252628,580497825.619578,1075444563.2126598,1931026601.5742083,521641908.5835291,994169537.2700073,1877484618.9568884,74146.24292076536,604606.4491391415,2244044.3280741493,521439850.23578185,993637369.7132958,1874078296.6987367,26794656.165400267,57846302.32066263,142924042.49356097,5483.918833539456,58721.18605590274,200732.73193723947,56330.75522504713,545229.0310402054,2045963.3496446644,310.57616702985007,4212.055785897372,15581.864118348454,64812632.4153814,95226586.52974853,147444169.74529853,434136060.2352158,901756843.5564296,1712072272.8604348,3226886.3230079026,6512195.901530218,16264154.646071397,991296.1799225239,1808635.965553755,3678017.6587607334,23886085.009945627,54003423.056143075,136029924.6203015,695966.146268352,1777547.9184150542,4635668.0474511795,6935780.507979369,8149329.180683533,9588364.526074518,4528.302650547864,46281.90893992646,135780.3496567702,6864195.260844076,8088119.586746896,9504065.218323926,144590.01106834513,170433.76868918096,200045.8996153219,111.95,1277.0,3608.7499999999955,143090.4450278152,168903.85992930684,197707.82591816882,143361.0,171441.0,200960.9,9752.374255452674,11662.563700930252,13670.704776840279,582789.8789315673,687458.7912167418,807287.8332987578,0.0006795384117539395,0.007593466720129853,0.020672466021047983,0.4130726969683219,0.5524030242144313,0.7609075846336064,4079331.7389491624,4811245.365330958,5650425.90107452
2032,591790273.2015806,1037924432.0367248,1588187339.269049,389776542.70670265,699718433.2491422,1220365664.559795,392619.26418433397,3406459.749432203,11283332.355719293,385372094.8592474,697956189.9161073,1220100381.9393024,139211306.52897945,263120961.97897047,540723180.475804,38122.828563355106,377849.3823752232,1275524.7145764409,352212.56389709096,3005791.9011264127,10374006.56229924,2069.160497340871,26702.18390204633,94624.56968822595,49201098.51573755,77360243.15056089,110982875.08278932,327916900.23756313,622989069.4191087,1128718733.820657,2452372.5386170936,5239984.698990449,11494813.505191633,5734626.084229499,9145885.508229995,15025444.867068138,127042115.31207043,246239847.76944107,508889837.5047394,3938363.244391729,8828392.697651654,17692219.172355153,143089438.8526834,267325263.4705831,543620606.6126695,385372094.8592474,697956189.9161073,1220100381.9393024,84286762.01871456,161137483.55712134,361751804.8123982,43043334.487345695,105161389.47858557,251783784.64576283,650994518.0488762,1218999546.682383,2257161237.5392556,592368372.5697739,1139717734.475669,2149551348.8194547,81583.13087355661,692409.5168940434,2631148.545989216,591809513.317196,1139138602.7556252,2145331417.5963683,26148743.471074533,55687956.67967266,147014334.74841744,6749.7907697270175,76543.35122088942,255146.19288206907,61058.005038462536,614225.9001959264,2348608.2176810266,395.91583139529735,5402.034608636621,20244.14088115402,83237919.62477644,122252252.4781372,189123021.96095076,483293227.6978812,1015786732.4573247,1935696223.314539,4139189.96120028,8357473.307035365,20896265.42333705,991752.2877118695,1950454.4381662672,3920816.301299155,23236498.669246245,51884394.291436456,139527849.34585825,617212.1405333083,1934769.073983809,5118271.125524434,6946854.015261899,8166306.111337746,9608084.67906181,4647.57576268609,48608.194746239344,141653.78775620324,6871474.062734956,8107481.324151461,9520974.793727525,185758.9625102432,218994.05104557914,257063.20849569884,152.95,1748.5,4893.549999999994,183722.75240345768,216809.62586947126,253881.32724132537,143361.0,171441.0,200960.9,11142.529638396121,13325.007664122524,15619.399867528538,582847.7249195692,687526.2252174751,807337.0943797701,0.0007216718186490602,0.008227733456393278,0.0223143396489309,0.4270152011951056,0.5817294799213106,0.8133555705043946,4662122.918447301,5498742.3741559535,6457733.779061811
2033,641730418.030612,1140728565.0635004,1737257269.8515222,431619827.84830207,781982636.2982697,1377699706.9383976,457892.21334266744,3968384.798652832,13498571.166435726,430372023.4903178,779970705.8554115,1376588979.4996612,145364699.6319343,274731779.1468071,563208895.0978491,50355.723614362585,503076.7954631661,1766784.341521995,404399.3333443174,3425636.853535053,12406991.666626817,2674.8977191141084,35128.01592140789,127839.43985300628,61423935.36223454,96607159.10467693,138577883.83994305,352341670.46875143,682947111.0746964,1264161633.1073732,3061545.309051067,6542325.779460987,14352768.211410701,6449924.273260512,10286680.957668768,16899616.49481485,131961780.83695665,256252182.04476115,535111546.7660477,4429607.844315494,9929586.25690589,19899026.058810726,150487741.17346826,280281307.4001709,566038688.6636993,430372023.4903178,779970705.8554115,1376588979.4996612,92287239.33528957,176735632.18564034,404002842.18409634,33483037.778312903,102143387.0618237,252062136.69242945,709950864.7801532,1341822262.5483847,2587998836.442516,658793447.8620028,1277088867.141571,2469092571.424574,79882.32027039224,761593.3286169495,2999101.908085579,658621681.5698957,1276503778.0603492,2468420025.189619,23045406.198344443,53699588.37665952,142949111.84235746,7808.593795698217,95952.27328428037,320045.2898438618,63953.04207587889,649437.3009742573,2450428.6808454474,484.67530704781353,6768.102601142621,25895.300481999097,103944490.77416857,152609668.63436604,235838441.46077353,525552081.5417184,1116695495.0938873,2199938490.5133643,5162315.771255045,10435776.18492749,26106249.734318092,862825.239642702,2061753.2538895877,4245789.233306114,20535611.753997218,49174860.09775518,137335768.46333313,605829.2221308681,2013153.1176671735,5548402.739803111,6957945.203078851,8183802.339478165,9627845.41159257,4770.16673077234,51390.50493406506,148199.52542619783,6877422.865649268,8126691.55195348,9535157.123230584,232072.50667350992,273625.735599344,321207.62870101066,203.85,2343.0,6459.149999999992,229382.39115440275,270475.5794673094,316991.8764698469,143361.0,171441.0,200960.9,12532.372873945105,14987.07833986944,17567.657395551058,582955.0718330962,687597.5780257531,807390.1952343016,0.0007664182883698931,0.008824129413040106,0.024050404189901932,0.4434110691325249,0.6089576987777532,0.8607465513836027,5244935.895592091,6186298.214478165,7265082.23659257
