Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,CAV Total Power (kWh)_p05,CAV Total Power (kWh)_p50,CAV Total Power (kWh)_p95,ECAV Power (kWh)_p05,ECAV Power (kWh)_p50,ECAV Power (kWh)_p95,ICECAV Power (kWh)_p05,ICECAV Power (kWh)_p50,ICECAV Power (kWh)_p95,STI Power (kWh)_p05,STI Power (kWh)_p50,STI Power (kWh)_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,ICECAV Sensing Power (kWh)_p05,ICECAV Sensing Power (kWh)_p50,ICECAV Sensing Power (kWh)_p95,ICECAV Computing Power (kWh)_p05,ICECAV Computing Power (kWh)_p50,ICECAV Computing Power (kWh)_p95,ICECAV Communication Power (kWh)_p05,ICECAV Communication Power (kWh)_p50,ICECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,Electricity Consumption (kWh)_p05,Electricity Consumption (kWh)_p50,Electricity Consumption (kWh)_p95,Gasoline Consumption (kWh)_p05,Gasoline Consumption (kWh)_p50,Gasoline Consumption (kWh)_p95,Clean Electricity (kWh)_p05,Clean Electricity (kWh)_p50,Clean Electricity (kWh)_p95,Fossil Electricity (kWh)_p05,Fossil Electricity (kWh)_p50,Fossil Electricity (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,CAV Emissions (kg CO2)_p05,CAV Emissions (kg CO2)_p50,CAV Emissions (kg CO2)_p95,ECAV Emissions (kg CO2)_p05,ECAV Emissions (kg CO2)_p50,ECAV Emissions (kg CO2)_p95,ICECAV Emissions (kg CO2)_p05,ICECAV Emissions (kg CO2)_p50,ICECAV Emissions (kg CO2)_p95,STI Emissions (kg CO2)_p05,STI Emissions (kg CO2)_p50,STI Emissions (kg CO2)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,ICECAV Sensing Emissions (kg CO2)_p05,ICECAV Sensing Emissions (kg CO2)_p50,ICECAV Sensing Emissions (kg CO2)_p95,ICECAV Computing Emissions (kg CO2)_p05,ICECAV Computing Emissions (kg CO2)_p50,ICECAV Computing Emissions (kg CO2)_p95,ICECAV Communication Emissions (kg CO2)_p05,ICECAV Communication Emissions (kg CO2)_p50,ICECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95,Total Vehicles_p05,Total Vehicles_p50,Total Vehicles_p95,Total EV_p05,Total EV_p50,Total EV_p95,Total ICEV_p05,Total ICEV_p50,Total ICEV_p95,Total CAV_p05,Total CAV_p50,Total CAV_p95,Total ECAV_p05,Total ECAV_p50,Total ECAV_p95,Total ICECAV_p05,Total ICECAV_p50,Total ICECAV_p95,Total Infra_p05,Total Infra_p50,Total Infra_p95,Total STI_p05,Total STI_p50,Total STI_p95,Incremented Car Number_p05,Incremented Car Number_p50,Incremented Car Number_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,Cumulative New Cars_p05,Cumulative New Cars_p50,Cumulative New Cars_p95
2024,455790.6522935596,706977.3883041469,1109592.1230289715,455790.6522935596,706977.3883041469,1109592.1230289715,0.0,1995.3704719974335,6079.742097683898,455112.8440560279,704562.338427959,1104463.366237198,0.0,0.0,0.0,0.0,409.7832518471895,1127.0984549483203,0.0,1558.7358728541724,5135.629302827028,0.0,30.54290512912861,79.9696520261338,121518.71017601421,133026.4082624776,146342.51635545294,306408.283634756,560508.2029115607,971566.6746060025,8964.656204341512,9950.432429194283,10815.471725306548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.3704719974335,6079.742097683898,455112.8440560279,704562.338427959,1104463.366237198,0.0,766.5983555397959,2864.487370435789,0.0,1206.0967600568001,3712.37075824519,736489.892790177,1147183.4634802232,1932456.0156504058,736489.892790177,1147183.4634802232,1932456.0156504058,0.0,654.7959559294636,1983.5003319261714,735830.4475774107,1146369.814764653,1931450.0138074963,0.0,0.0,0.0,0.0,123.78854174010243,356.8716631016313,0.0,511.26991434413753,1622.3061348685399,0.0,9.073706156791829,26.009230676009693,183112.1323740349,218705.15299481398,265264.04401896143,486270.05584084545,920097.4416015614,1674214.2000110236,13460.537865970573,16269.38959754979,19569.954351036657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6826184.1,8015670.0,9431002.9,3810.6000000000004,37734.0,109107.7499999999,6783289.75,7964144.5,9366607.6,400.0,400.0,400.0,0.0,2.0,5.0,395.0,398.0,400.0,143361.0,171441.0,200960.9,0.0,0.0,0.0,0.0,0.0,0.0,0.00047232742478611864,0.004661756412504933,0.013119790731162378,0.2901123305681478,0.39580539485297284,0.5046418743689229,400.0,400.0,400.0
2025,102425452.75769123,119090064.37411189,139589205.07208598,40988490.568542525,51011004.62290376,63465981.12671458,16018.687730038944,158185.678932527,436246.55507559015,40837907.1394441,50865196.23020864,63178470.5978839,57548562.896227114,69139248.27430847,82720600.5792289,640.9619873837378,6680.724489787831,21482.688096717287,15318.95659823075,150509.5199618567,415553.26132086775,47.77833099319349,508.7175294129702,1488.6453468709808,1803649.3733055783,2153862.6774411034,2590137.4042331185,38698235.111716345,48562261.194095135,60644058.82638071,135802.12921557008,158852.03440596367,191031.49650459047,917697.324468912,1154108.811011477,1390953.383251066,55484084.737148724,66916835.465334505,80000557.78128198,925587.9207673627,1126444.4251306145,1378251.413321851,57749490.98551091,69396119.91491127,82779099.7959158,40837907.1394441,50865196.23020864,63178470.5978839,20691955.681914717,27857900.50223931,38247717.415266685,29414526.684733674,39623607.01875366,51160590.356269,83523917.32626839,103439373.78849262,136717706.71056914,64110564.81889238,82017437.6042091,113104051.11879084,4947.457286541581,46462.464807094686,139128.93401983424,64060558.027722724,81929736.1096929,113033144.18008627,14874464.218338123,20355244.732781492,28178556.4315123,199.3170992779322,1961.8882637685617,5976.757152503716,4731.09642682746,44297.17827662727,132795.1429381445,16.223942778015118,143.20189808066158,440.1195230320443,2826539.15439223,3473300.1624841457,4559640.480242719,60849278.45099136,78234024.31448561,108664396.22540006,206655.89581080078,264731.08983162005,341248.86558720306,249163.8535619163,344005.04986647284,474887.79504172475,14373596.338976797,19716737.568217404,27291815.69653973,247521.94376787957,347308.1699920605,460980.4615490786,6845190.2616604045,8031379.640013723,9448991.542301757,3879.968975667135,38137.614411264505,110130.95526967873,6801845.215789154,7988739.988404963,9387569.692596665,5574.309368839675,6496.299652981215,7554.3251572471745,3.0,33.0,96.14999999999995,5539.246411837709,6463.208197865205,7491.152586645634,143361.0,171441.0,200960.9,1405.5,1680.7941176470588,1970.2049019607844,582642.2726745601,687092.1165822926,807028.552348563,0.0004890571116088019,0.004957916417077542,0.01386588209151766,0.3028283065537992,0.4163915198398554,0.5332684646009679,583039.8665790089,687489.7104867414,807426.1462530118
2026,209330307.6234904,252275864.76026794,301295465.8254941,102641126.01619892,130201244.09370297,166371313.54558262,48655.46401698788,434656.9707858808,1183139.094364591,102353026.42273845,129536504.82942328,165288558.35318625,101182756.90971571,122390211.92294353,147966783.95471203,2070.054636116635,20523.302601296637,65320.49403716872,46557.34308612723,412788.988859024,1126696.913707466,153.169922997376,1571.6569073872886,4511.129632904967,5135654.764461669,6183773.268258158,7477534.44808368,95826613.69853057,123126498.06862809,158356848.8382116,388881.3048217772,456407.62732074125,551236.2528895641,1826397.6163449916,2296902.8297581356,2768269.9686271218,96938870.98313944,118253163.69090885,143360164.36938816,1842101.4501546528,2241845.277465831,2742990.557885644,101875596.35181682,123372941.18246281,148682563.72059137,102353026.42273845,129536504.82942328,165288558.35318625,38416694.55776516,52549150.2453699,73328449.21517348,49629189.106603056,67534477.27666014,89490532.01369445,193294324.31818053,244778861.809041,339896179.19454277,161154842.04315677,210007840.87917542,297078018.65766865,15092.65149029308,122119.78168237887,366328.31394191965,161030538.64341423,209891537.39018488,296963345.06409305,25070401.256585985,35489182.19010182,49606291.89360839,682.9538765020816,5912.895209377719,17497.291040073622,14291.452340141659,115073.53386753763,345816.43924213276,48.30306652218034,431.3471068990473,1313.703967259521,8080983.094426693,9981063.56384656,13181339.41384966,151837641.55383646,200224501.58742738,282998923.72955894,590363.4102857214,757701.4160974047,977603.1055472821,469438.9388362842,667199.9460518893,918742.4653969976,24074037.724594556,34283556.50527915,47799885.34355778,462446.5936183117,665215.7892665416,889570.1020232684,6864249.890201062,8047477.429443911,9467014.64338383,3979.5150130809243,38823.54268077714,111981.7917056812,6814632.302123914,8008681.722563796,9408132.942132415,15889.31154274853,18655.541696732056,21829.546521231958,9.950000000000001,102.0,297.15,15775.450660855076,18553.816533856203,21634.13692146368,143361.0,171441.0,200960.9,2797.220588235294,3345.1098615916953,3921.0940695886197,582664.7846430177,687150.851898436,807069.5830022107,0.0005063957278600845,0.005260848795886492,0.0146551051261054,0.3194621302035806,0.43731836690430526,0.5632512645279765,1165701.213942668,1374637.1251058187,1614492.2919758637
2027,311311761.7083809,387332396.0729279,478375373.306816,170832974.45361254,224288283.25315756,293796444.81718445,85900.13649555037,800538.1970439834,2237250.2714445116,170564724.0614915,224008713.57143372,292401789.9735392,132248000.52319476,164707111.35342175,202252420.6578455,4359.436512256341,43654.47120106314,136659.86224737833,81691.53755380496,756648.1652472464,2129379.5275927135,307.1289366372467,3314.1534523623013,9427.784573277793,10120929.219280872,12222145.018671602,14801047.285547843,158244795.45761558,211602174.20813322,275986844.34632236,767862.333176307,901763.9476069584,1089866.641456901,2735010.566785866,3439587.0067113736,4145454.1706328024,126465891.06381874,158497296.77580118,194955337.38045764,2758526.8871227405,3357138.9209532645,4107598.527983409,133616948.31358196,165921246.90920758,203706706.49311873,170564724.0614915,224008713.57143372,292401789.9735392,53522255.35241479,74191279.38570228,107368643.20473456,64343952.509994775,87442603.31540427,118231407.90192913,312225487.8779953,408433402.7876949,585761501.803867,266227030.3398585,365985374.4317117,525187288.39228016,24036.475148884303,211619.82243900694,636177.5499854606,266145671.39075446,365808309.4641446,524832646.54939264,32229254.7550841,46391762.23466907,65686637.11815586,1315.3332041936876,12087.46047666754,35357.96547889659,22635.873346160293,200581.90295058768,599517.3595642705,97.76718088918048,895.0873314425669,2628.2562650216682,15953189.353289265,19713983.329456735,26095683.13857802,251130607.91771826,344168652.8642031,499488562.17198163,1165568.7308506458,1495747.9501650166,1930189.420713493,653868.7794338533,973773.708329181,1338621.7871026138,30749952.83437152,44575548.57221161,63039355.5559026,658822.1863792681,959092.8378723483,1291507.4604028496,6883363.136899987,8069673.255425952,9501119.221964404,4111.543266392004,39814.40081954072,114727.9419457754,6826406.059085675,8024746.624161873,9428106.804690724,31345.41665434701,36878.778475287974,43226.40199343776,19.950000000000003,214.0,627.3,31087.188610848454,36659.491939128355,42818.385311722835,143361.0,171441.0,200960.9,4188.807408632427,5009.265636702812,5871.795723840097,582687.7834757147,687210.1888469877,807111.1379486533,0.0005363018812953721,0.005620268055540909,0.015490013651947325,0.3422552597957505,0.45506899901892073,0.5932993508367158,1748384.0870192987,2061842.4035537224,2421598.519525433
2028,405942558.73339164,521316300.2624937,660940224.2454469,242712082.19797054,326494572.2381531,432052195.84620756,128600.18501160147,1234744.9528112696,3565772.9581920938,242233393.34846932,325649154.20457006,429677216.6316419,158151903.12847635,198255634.43895078,246943354.84568825,7564.519414535642,76565.98888988985,239614.9071900858,121436.97039410497,1149298.2709906986,3370351.3576729507,522.6676289537182,5840.918447964499,16509.693138996758,16753962.693079341,20259732.061414573,24559232.456441287,220331038.58360243,303073611.26340604,404413823.4302275,1272414.3010540428,1495055.2721487428,1807639.1769422137,3643447.15544061,4582049.388650208,5522371.061166004,149798154.00612777,188878102.27626467,237213980.3126959,3674774.4459009557,4472216.085929215,5471941.627655479,159564586.64544275,199164001.20241153,249176796.87867457,242233393.34846932,325649154.20457006,429677216.6316419,66578575.80285219,93535086.88299897,140828323.29466936,70947743.29182851,101287213.4019449,139577203.5043545,429161594.77582914,576570306.6297457,850818496.8081334,372338109.6506976,523729589.1364147,783924310.1956499,33652.61771279251,316531.45929236984,961102.6844954223,372076616.0717058,523613283.9433563,783168161.2237259,36447158.11780199,53874878.63442299,78394957.96691573,2131.7406885154114,20900.705961939326,59811.232347541416,31380.115577053708,294927.4212655992,899415.8553635866,162.5223556817322,1502.3300639287636,4403.541515280269,26434900.12547732,32672406.99514131,43297000.24763186,340201485.63272333,487500076.4258015,735187467.504923,1931573.5294746186,2479633.938158136,3198880.2808984406,829996.6225408213,1246206.5161618046,1734798.4332287333,34670506.58237372,51371746.789722055,74800622.43865491,823451.5678342205,1236197.7877106885,1681378.588068147,6902530.153464582,8091936.447310414,9529332.55188786,4217.137348098736,41134.511508641386,118406.33253817566,6837268.024485406,8040404.983431745,9447699.325681783,51943.05442105942,61167.08496585206,71745.65005050882,33.95,376.0,1099.8499999999995,51488.678913078045,60771.42460594736,71032.65017580401,143361.0,171441.0,200960.9,5580.124122008652,6673.098399155177,7822.118746873755,582711.4586857681,687270.3172787838,807153.4067586785,0.0005687129476178857,0.006141160413926157,0.01643484117940464,0.36214831834644107,0.47900481510513016,0.6172823519062081,2331088.530849233,2749105.705976672,3228744.9114282774
2029,484746276.91489977,642729429.4449313,845659643.9119426,307527153.9007193,426961877.3934741,577391376.5706782,177025.17775584586,1735780.0768651646,5090711.468203793,305605888.75887036,425378626.6971044,573481553.0969429,176820911.51549187,226558179.7073182,283788114.6510275,12149.872236481435,121172.76574684466,378841.43158711214,165840.00584211398,1599150.6434351902,4741409.579274635,828.8849694131063,9383.178711594399,26073.536955061234,25027476.25197531,30290158.69445397,36749525.36544085,272870599.41990477,392309388.4171041,538007451.7733973,1902205.7774517455,2236149.199588564,2704462.1739415945,4551702.297977955,5724283.581449518,6899012.933908324,167276012.00150213,215615501.13305843,271113207.2925205,4590838.99844165,5587070.531537945,6836012.2209563535,179576774.07292625,227965342.26819307,286406886.3843293,305605888.75887036,425378626.6971044,573481553.0969429,78611825.15103978,111203218.2690902,174619494.9191965,70230005.13965812,110524601.26721957,152686152.80790427,528558063.1609686,738798297.8950318,1123674517.5591762,475358083.2452341,679004970.7199914,1049368915.3033556,43467.261136364454,428721.49453297746,1302179.5443288737,475228948.65957874,678729974.0630045,1048190188.2482617,37721860.80958692,58232327.67000869,86695287.69203897,3163.4046623223703,32128.529638702406,90761.1272400328,40277.89182243647,393973.9354786701,1204702.110554702,248.1584618099441,2326.008267097041,6580.552517499567,39510523.74487392,48846552.59992515,64776526.66391441,428644014.1341232,627485598.7488592,975803785.9135091,2888067.4075943837,3708522.575852276,4783220.263362601,961925.2248140569,1481707.2017224007,2104536.299943608,35648598.2740665,55129388.44337192,82293134.01552847,930968.259376416,1495850.7012667446,2060375.2309868652,6913686.4223187845,8108591.022463462,9549021.089099122,4311.379306566886,42809.981050525894,123065.72205320913,6847142.250659083,8060020.628162396,9466904.433948599,77682.68441834633,91521.56906350277,107388.08001858178,53.0,609.5,1739.0999999999983,76960.59684539764,90867.45967729003,106263.5143159206,143361.0,171441.0,200960.9,6971.162941452745,8336.59883682173,9772.052223135937,582736.08095852,687331.5082178507,807196.660175323,0.0006031018402443204,0.006503567870317882,0.0177407753978742,0.3787716513130112,0.5036186460937264,0.6567049716857615,2913814.590585132,3436427.1929719024,4035931.55038098
2030,558161526.9401673,755807712.8798382,1019819801.7917305,365938328.74984276,522566239.8843787,725698740.9153851,227841.87622465656,2305627.7566523612,6822970.054734042,361343048.21594286,520124951.99021435,722963154.8825834,191851022.62227535,248628604.08240503,314221986.9571896,18109.10988686831,183959.74053410685,558876.4023243368,211567.58076133757,2057191.2167348,6180164.2313983245,1233.9368041469031,13884.529686866634,38464.312092686014,34933361.749253444,42312768.88232879,51370531.615618415,318146211.4762258,473308513.148584,675810541.74429,2656853.968767531,3124861.581126309,3780267.48196943,5459770.716585873,6866282.947660114,8275371.789282668,180250517.20467556,233380261.08171785,299410267.77888465,5506715.221552816,6701695.779432209,8199802.381359832,195696747.56551862,250294853.85875648,317138506.7318772,361343048.21594286,520124951.99021435,722963154.8825834,89234444.37668577,128266103.38165328,204523761.32762462,69112823.93964894,115988435.15707071,163495305.2690217,631839795.7845936,889877622.0673766,1391458704.0837526,576609546.829308,827998532.2859569,1312566480.3383257,55394.58480957114,539544.6814888817,1637328.6562829777,576342758.7652435,827719930.708571,1308332348.5312557,37058194.255494125,60613218.5739913,93075477.48425516,4512.98603745646,45667.890567276365,126737.62051124027,50849.53224041339,490914.7122348012,1506871.1355199183,351.2554307818335,3342.8147526119483,9265.887928133407,55184262.03279509,68225397.51445892,90525154.6761694,504091062.2605902,760349595.6470287,1204690094.291092,4034662.209956027,5181979.037532046,6682552.642858962,1067165.278236839,1700349.7931161588,2453711.4758642223,34846079.353635594,56743734.49832975,88873318.7850695,1003633.4120877384,1706650.6110808845,2400183.8756073834,6924724.65304533,8132387.858656619,9568684.869250497,4415.541057589844,44389.37323823801,128827.78356320193,6855946.895335682,8074340.844491487,9485700.505656742,108564.8117771082,127943.38728992551,150154.52777142372,79.0,900.5,2566.949999999997,107497.46469302561,126915.3884289781,148494.90661464268,143361.0,171441.0,200960.9,8361.915783727884,9999.757283208768,11721.584821689026,582762.0369395128,687394.1486493638,807241.2849018319,0.0006398654357576309,0.007009663732062432,0.01915056175598657,0.39570866293572254,0.5246118819231447,0.7052454910101557,3496562.3114923304,4123807.0255889515,4843158.519250498
2031,623078546.480767,860334046.2911191,1206476051.295202,417588467.7640848,614043487.0612473,876933461.2163541,284241.17747545725,2816236.26639409,8713149.698376996,411448839.8200098,608351099.3400834,873911415.0909337,203806021.80012098,263399577.58755893,340726361.6826465,25681.315132191758,269139.111008895,785670.3825933847,260960.20384724144,2590794.1051205066,7666208.913952646,1734.9729767222932,19674.452166709976,54073.2206995564,46462903.64844018,56322973.68060472,68419015.38224284,360152285.1693828,547449869.0240597,802751174.0491115,3535917.094909318,4161493.4582809955,5034884.7968558455,6367646.930948714,8008040.595161455,9651439.320777299,189813138.76165798,247993417.20933944,322781311.8905252,6422397.58779765,7816085.1026979685,9563303.878207952,208551348.84480637,268212186.12223428,344269586.79559803,411448839.8200098,608351099.3400834,873911415.0909337,98974602.3378741,145811475.21974298,235749644.70529455,64967468.540212944,117091095.42665993,169860947.74822706,721417409.583948,1038978840.9976739,1649796881.6590924,661791614.9124086,976151940.5065902,1553352328.98716,67945.43451398374,656416.4407347031,1957744.9052047252,660284031.5481776,975719220.9675027,1552451357.0623071,34831648.00016142,60769203.04343127,97772967.59769697,5849.529070639711,62027.56334894561,175149.97309967867,61661.88311367606,595292.7065565153,1771120.1033925824,470.6921378700133,4503.61484048397,13074.725758077424,73450556.16989394,90796887.8316778,120531000.32825373,564497978.0192583,879348011.1429853,1425167405.6075363,5370923.384362495,6899632.532359418,8896129.600689327,1064754.4092972039,1883828.9170960514,2816018.9076512987,32472716.928871788,57113385.07343624,92206066.48211882,1029121.1633954342,1894294.6143276647,2685022.8195102033,6935780.507979369,8149329.180683533,9588364.526074518,4528.302650547864,46281.90893992646,135780.3496567702,6864195.260844076,8088119.586746896,9504065.218323926,144590.01106834513,170433.76868918096,200045.8996153219,111.95,1277.0,3608.7499999999955,143090.4450278152,168903.85992930684,197707.82591816882,143361.0,171441.0,200960.9,9752.374255452674,11662.563700930252,13670.704776840279,582789.8789315673,687458.7912167418,807287.8332987578,0.0006795384117539395,0.007593466720129853,0.020672466021047983,0.4130726969683219,0.5524030242144313,0.7609075846336064,4079331.7389491624,4811245.365330958,5650425.90107452
2032,680778558.646461,956240550.3500757,1355812496.05433,464223468.0635718,700309169.5761334,1013716422.7747374,357992.4893312919,3527394.8429908594,10661264.96571798,457984345.95796424,693325180.6797795,1011051121.4808543,213302538.8415769,278489412.9924571,362472554.77007616,35107.76527021035,369353.1801434952,1065337.6648663692,325678.8988745889,3138957.244562978,9526466.31139301,2377.1619557765434,26969.35459210074,74633.89373528394,59605713.67925739,72311689.26800987,87892105.73913401,390282534.7832042,614274091.4719777,918695966.3638057,4539171.902453299,5345603.579601992,6468211.340281859,7275325.248645803,9149549.365086794,11027206.900392998,196828131.3712747,260921673.43414944,342454897.0472613,7337880.355810588,8930231.514068983,10926508.162291044,218988344.54978552,281871816.2949125,366663484.0457145,457984345.95796424,693325180.6797795,1011051121.4808543,108879211.88525383,163342721.57273328,266183170.3207853,54482855.532070905,115376700.95754439,173511870.45970872,796578020.826887,1170322602.9022617,1900226860.9877846,735575829.1096889,1108089648.5503936,1807995513.985761,81085.90662923412,739706.7949948738,2267451.4630017416,734282734.6088842,1107702993.069117,1806915297.575589,29499695.691946022,60667722.475983,98239862.42292638,7719.310328627457,78108.92562233887,224692.1915647384,69857.37149249947,645561.111421328,2024942.2927276695,589.5715971256556,5889.202980868955,16924.90818585072,94301853.16930602,116545126.54271588,154780698.92245087,621828804.689047,985721145.2399504,1643454575.5267556,6896291.101311773,8860995.362995422,11422982.977351239,1039890.8893687848,2050618.8334184194,3103539.5638959594,27649807.58695037,56568140.7985792,92328324.82352464,961851.5203834007,2020195.312143653,2909680.0512513183,6946854.015261899,8166306.111337746,9608084.67906181,4647.57576268609,48608.194746239344,141653.78775620324,6871474.062734956,8107481.324151461,9520974.793727525,185758.9625102432,218994.05104557914,257063.20849569884,152.95,1748.5,4893.549999999994,183722.75240345768,216809.62586947126,253881.32724132537,143361.0,171441.0,200960.9,11142.529638396121,13325.007664122524,15619.399867528538,582847.7249195692,687526.2252174751,807337.0943797701,0.0007216718186490602,0.008227733456393278,0.0223143396489309,0.4270152011951056,0.5817294799213106,0.8133555705043946,4662122.918447301,5498742.3741559535,6457733.779061811
2033,733039278.8610839,1045733431.2480834,1524889206.973201,507262845.0800384,779986733.9935803,1143564660.8360074,437103.3223608217,4251894.440034753,13020041.911816576,502785436.5268691,772704538.4777623,1140355212.9287543,221184080.60457996,289629564.6508134,380644635.449299,46814.80457053652,492261.9281137481,1404637.451583968,393814.2732360271,3576203.9529129886,11854240.83701107,3145.3397759696804,36312.63311767226,100970.76732884474,74349062.95506664,90271905.33862546,109785558.07297373,415574268.2912548,672894247.5556576,1028751599.941832,5666038.630947946,6677005.087637018,8079827.666718888,8182799.755009744,10290801.819068853,12402665.563271312,202003325.62059838,268771674.47278214,358611434.99574614,8253157.56006841,10044127.753478197,12289406.350616338,226591826.05949253,294283619.3689009,386046342.61168075,502785436.5268691,772704538.4777623,1140355212.9287543,117720226.30404744,179343327.14930037,299434724.8137952,39010837.43713673,111156857.9020597,173704137.8052719,859244534.974027,1292260446.7149801,2137060893.1208355,802489390.2133617,1235669668.977673,2052094483.22569,73536.90883176544,829414.5752143159,2557723.7240102016,802229766.6640469,1235088731.3711617,2050839584.3109004,23759382.073271107,58824339.16005418,97904310.21525258,7703.278348472768,96548.05854462684,290729.39988043683,65913.24782408625,704034.4225628274,2317706.776006385,661.4212888657906,7367.101771778815,20756.170574945914,117728431.46558994,145451871.27238452,193259020.74420813,661047905.34464,1069038432.9275625,1842994249.046033,8610263.997461323,11064030.842838814,14243232.894766329,869209.1150636271,2175199.8003773,3306182.5905102547,22414552.343208008,54275899.86011326,90961020.85567094,821405.9414625943,2122742.0439573224,3209751.9166310355,6957945.203078851,8183802.339478165,9627845.41159257,4770.16673077234,51390.50493406506,148199.52542619783,6877422.865649268,8126691.55195348,9535157.123230584,232072.50667350992,273625.735599344,321207.62870101066,203.85,2343.0,6459.149999999992,229382.39115440275,270475.5794673094,316991.8764698469,143361.0,171441.0,200960.9,12532.372873945105,14987.07833986944,17567.657395551058,582955.0718330962,687597.5780257531,807390.1952343016,0.0007664182883698931,0.008824129413040106,0.024050404189901932,0.4434110691325249,0.6089576987777532,0.8607465513836027,5244935.895592091,6186298.214478165,7265082.23659257
