Layer,Block,Parameter,Dist,Mean,SD,Min,Max
L1,emission_factors,e_clean,lognormal(CV=0.3),0.03,0.009,0.0,inf
L1,emission_factors,e_fossil,lognormal(CV=0.15),0.5,0.075,0.0,inf
L1,emission_factors,e_gasoline,lognormal(CV=0.1),1.65,0.165,0.0,inf
L1,initial_data,ev_share,beta(κ=200),0.05526531503431067,0.016116963651865927,0.0,1.0
L1,initial_data,f_clean,beta(κ=60),0.63,0.061816757237903024,0.0,1.0
L1,initial_data,total_cars,trunc-normal,32060000.0,3206000.0,1.0,inf
L1,initial_data,total_intersections,trunc-normal,380400.0,38040.0,1.0,inf
L2,consumption_rates,ecav_power.L3.communication,lognormal(CV=0.1),18.0,1.8,0.0,inf
L2,consumption_rates,ecav_power.L3.computing,lognormal(CV=0.1),4960.0,496.0,0.0,inf
L2,consumption_rates,ecav_power.L3.sensing,lognormal(CV=0.1),78.0,7.800000000000001,0.0,inf
L2,consumption_rates,ecav_power.L4.communication,lognormal(CV=0.1),26.0,2.6,0.0,inf
L2,consumption_rates,ecav_power.L4.computing,lognormal(CV=0.1),9920.0,992.0,0.0,inf
L2,consumption_rates,ecav_power.L4.sensing,lognormal(CV=0.1),184.0,18.400000000000002,0.0,inf
L2,consumption_rates,ecav_power.L5.communication,lognormal(CV=0.1),36.0,3.6,0.0,inf
L2,consumption_rates,ecav_power.L5.computing,lognormal(CV=0.1),19841.0,1984.1000000000001,0.0,inf
L2,consumption_rates,ecav_power.L5.sensing,lognormal(CV=0.1),325.0,32.5,0.0,inf
L2,consumption_rates,sti_power.Basic.communication,lognormal(CV=0.1),854.0,85.4,0.0,inf
L2,consumption_rates,sti_power.Basic.computing,lognormal(CV=0.1),39682.0,3968.2000000000003,0.0,inf
L2,consumption_rates,sti_power.Basic.sensing,lognormal(CV=0.1),176.0,17.6,0.0,inf
L2,consumption_rates,sti_power.Highly.communication,lognormal(CV=0.1),1327.0,132.70000000000002,0.0,inf
L2,consumption_rates,sti_power.Highly.computing,lognormal(CV=0.1),158730.0,15873.0,0.0,inf
L2,consumption_rates,sti_power.Highly.sensing,lognormal(CV=0.1),1303.0,130.3,0.0,inf
L2,consumption_rates,sti_power.Semi.communication,lognormal(CV=0.1),1103.0,110.30000000000001,0.0,inf
L2,consumption_rates,sti_power.Semi.computing,lognormal(CV=0.1),79365.0,7936.5,0.0,inf
L2,consumption_rates,sti_power.Semi.sensing,lognormal(CV=0.1),1054.0,105.4,0.0,inf
L3,growth_rates,clean_energy,lognormal(σ=0.3),0.05230139299543585,0.016050161947516284,0.0,inf
L3,growth_rates,efficiency_doubling,lognormal(σ=0.2),2.856563752074916,0.5770737742293884,0.0,inf
L3,growth_rates,ev,lognormal(σ=0.25),0.0722220385249372,0.018341335047644083,0.0,inf
L3,growth_rates,total_car_increase,lognormal(σ=0.4),0.002166574135349917,0.0009024785722534291,0.0,inf
