Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,CAV Total Power (kWh)_p05,CAV Total Power (kWh)_p50,CAV Total Power (kWh)_p95,ECAV Power (kWh)_p05,ECAV Power (kWh)_p50,ECAV Power (kWh)_p95,ICECAV Power (kWh)_p05,ICECAV Power (kWh)_p50,ICECAV Power (kWh)_p95,STI Power (kWh)_p05,STI Power (kWh)_p50,STI Power (kWh)_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,ICECAV Sensing Power (kWh)_p05,ICECAV Sensing Power (kWh)_p50,ICECAV Sensing Power (kWh)_p95,ICECAV Computing Power (kWh)_p05,ICECAV Computing Power (kWh)_p50,ICECAV Computing Power (kWh)_p95,ICECAV Communication Power (kWh)_p05,ICECAV Communication Power (kWh)_p50,ICECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,Electricity Consumption (kWh)_p05,Electricity Consumption (kWh)_p50,Electricity Consumption (kWh)_p95,Gasoline Consumption (kWh)_p05,Gasoline Consumption (kWh)_p50,Gasoline Consumption (kWh)_p95,Clean Electricity (kWh)_p05,Clean Electricity (kWh)_p50,Clean Electricity (kWh)_p95,Fossil Electricity (kWh)_p05,Fossil Electricity (kWh)_p50,Fossil Electricity (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,CAV Emissions (kg CO2)_p05,CAV Emissions (kg CO2)_p50,CAV Emissions (kg CO2)_p95,ECAV Emissions (kg CO2)_p05,ECAV Emissions (kg CO2)_p50,ECAV Emissions (kg CO2)_p95,ICECAV Emissions (kg CO2)_p05,ICECAV Emissions (kg CO2)_p50,ICECAV Emissions (kg CO2)_p95,STI Emissions (kg CO2)_p05,STI Emissions (kg CO2)_p50,STI Emissions (kg CO2)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,ICECAV Sensing Emissions (kg CO2)_p05,ICECAV Sensing Emissions (kg CO2)_p50,ICECAV Sensing Emissions (kg CO2)_p95,ICECAV Computing Emissions (kg CO2)_p05,ICECAV Computing Emissions (kg CO2)_p50,ICECAV Computing Emissions (kg CO2)_p95,ICECAV Communication Emissions (kg CO2)_p05,ICECAV Communication Emissions (kg CO2)_p50,ICECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95,Total Vehicles_p05,Total Vehicles_p50,Total Vehicles_p95,Total EV_p05,Total EV_p50,Total EV_p95,Total ICEV_p05,Total ICEV_p50,Total ICEV_p95,Total CAV_p05,Total CAV_p50,Total CAV_p95,Total ECAV_p05,Total ECAV_p50,Total ECAV_p95,Total ICECAV_p05,Total ICECAV_p50,Total ICECAV_p95,Total Infra_p05,Total Infra_p50,Total Infra_p95,Total STI_p05,Total STI_p50,Total STI_p95,Incremented Car Number_p05,Incremented Car Number_p50,Incremented Car Number_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,Cumulative New Cars_p05,Cumulative New Cars_p50,Cumulative New Cars_p95
2024,1141960.9598913384,1770984.816028541,2779048.1549614524,1141960.9598913384,1770984.816028541,2779048.1549614524,0.0,5004.142451908776,16576.27773015369,1140605.3434162752,1765452.3839778444,2765400.4304878563,0.0,0.0,0.0,0.0,982.9380119167001,2829.448379699131,0.0,3920.902761092776,13415.95097905848,0.0,72.33357658636533,195.70221626630064,304108.19364768564,333344.59444315446,366341.36261838506,767515.0469217807,1405519.9995190627,2432648.2447016044,22446.635485885494,24912.202056965296,27069.20660082969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5004.142451908776,16576.27773015369,1140605.3434162752,1765452.3839778444,2765400.4304878563,0.0,1929.5949825138564,7083.157217517502,0.0,3156.9077800436644,8909.689819788453,1845022.5207601222,2871817.6095283097,4841067.764816162,1845022.5207601222,2871817.6095283097,4841067.764816162,0.0,1544.3172773893684,4931.665848294541,1843385.056001932,2869512.8783388,4838573.71237067,0.0,0.0,0.0,0.0,300.37755231881164,827.6133787484249,0.0,1250.8093738323655,4018.4009295592837,0.0,21.752331112019284,61.62357000513883,458252.1700004791,547565.2632496409,664869.2601304117,1218100.3804655632,2304312.100762206,4193844.0016251146,33734.40123837057,40758.16458464354,49046.92290628457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6826184.1,8015670.0,9431002.9,3810.6000000000004,37734.0,109107.7499999999,6783289.75,7964144.5,9366607.6,1002.0,1002.0,1002.0,0.0,5.0,13.0,989.0,997.0,1002.0,143361.0,171441.0,200960.9,0.0,0.0,0.0,0.0,0.0,0.0,0.00047232742478611864,0.004661756412504933,0.013119790731162378,0.2901123305681478,0.39580539485297284,0.5046418743689229,1002.0,1002.0,1002.0
2025,27315419.57037876,33160334.06481827,40912868.30565593,23538402.58417083,29057261.001606338,36571760.69821812,9424.23374129766,89638.31210359561,249355.1578337783,23465302.506206527,29005812.68288076,36356013.62929013,3452913.7737736264,4148354.8964585066,4963236.034753732,449.6397986301022,4466.200337014913,13933.386101839027,8971.596064503698,84519.94205441684,235443.0404675222,31.820928353632812,333.2160922969696,963.8332235893675,1222104.8850625216,1431365.3371842122,1672182.3078728558,22044663.443032872,27428035.982242502,34627949.97721281,92447.1790501355,106071.95123589734,124396.67473011569,55061.83946813472,69246.52866068861,83457.20299506397,3329045.084228924,4015010.1279200697,4800033.466876918,55535.27524604176,67586.66550783688,82695.08479931105,3573157.638577931,4228139.121114421,5078688.157432247,23465302.506206527,29005812.68288076,36356013.62929013,1256486.3254860532,1721482.4673052435,2362618.755538765,1835235.9638464693,2434355.1865888285,3142759.0431534764,38312193.16065756,48115697.09728577,65982217.585013576,37184303.95442918,46950467.97425512,64909351.77282702,2934.2590305568874,26534.837330736445,78864.8784103815,37142588.163965195,46917210.99646628,64853548.21219579,892467.8531002873,1221314.6839668895,1690713.385890738,143.3035723648476,1315.4923689893749,3880.8568346648317,2789.484534494947,25091.395987754404,74688.3096719031,11.101487969369408,96.28023569842694,290.9726475937522,1904588.7986635256,2306550.2861224874,3009875.530273084,34965184.94642711,44477852.977818415,61599110.03434642,140409.26954180613,174840.67192967504,222862.49732556788,14949.831213714977,20640.30299198837,28493.26770250348,862415.7803386078,1183004.254093044,1637508.9417923838,14851.316626072774,20838.49019952363,27658.827692944717,6845190.2616604045,8031379.640013723,9448991.542301757,3926.489754489541,38183.9246140778,110176.71250236432,6801798.986792936,7988693.74822214,9387523.573051877,3827.157367007834,4319.623901219247,4883.437446029344,2.0,22.0,64.09999999999997,3800.521974417066,4293.017882013384,4846.00933399809,143361.0,171441.0,200960.9,84.33,100.84764705882353,118.21229411764705,582595.7271816985,687045.5710894302,806982.0068556998,0.0004890571116088019,0.004957916417077542,0.01386588209151766,0.3028283065537992,0.4163915198398554,0.5332684646009679,583591.6999123429,688041.5438200746,807977.9795863442
2026,63126704.696372755,79024501.87966141,100059080.27998762,56660224.63477118,71746297.15970972,92135465.04930319,27601.553067575882,239798.01599786835,650595.3027614607,56368456.78656206,71637031.9728331,91708656.17002392,6095121.444067683,7373291.126299256,8913667.735622708,1161.4768339425752,11973.439914264518,37880.184744565406,26348.8406261424,227196.7538466966,618655.5888240807,91.56957017084005,903.1241084895903,2616.059396535509,3028595.7606991795,3604086.1538191526,4304445.521730949,52576770.988867305,67885252.50503775,86839828.18598706,228916.80795792837,265291.8717728421,317127.12456381024,110091.28961893523,138452.32406922386,166865.3135177779,5839329.043324344,7123581.247029027,8638553.941498581,111037.88268311525,135133.57415361033,165341.52543109306,6384625.466267262,7709328.625039229,9307155.449386895,56368456.78656206,71637031.9728331,91708656.17002392,2374057.519226865,3259926.842186209,4597655.52971412,3191041.458102689,4256112.997435815,5676290.8363659615,90996841.20294955,118393980.6683048,165818570.76409638,89027278.63186766,116833248.47631711,163048389.02345213,7982.575938688819,67521.56161667989,202232.5557837476,88954381.46102184,116773334.75633559,162884104.8465077,1510312.6189070088,2138015.28736631,2988655.804553234,372.4152567672746,3467.654635390406,10079.814961913185,7540.022161202036,63713.17276506375,190505.20781716585,26.80835226998624,249.94359317534398,760.2593413045744,4738271.049970192,5784585.52773229,7614245.122033002,83550951.46608728,110516457.12803678,155636550.4438032,348442.64837400307,442556.87033486785,567981.6180727966,28296.761729932558,40217.366600341564,55379.80445115183,1450349.270061878,2065586.0234369235,2879769.5330801345,27875.278316015312,40097.7659299562,53621.3576177218,6864249.890201062,8047477.429443911,9467014.64338383,4071.003371452785,38914.600707514655,112071.71800143187,6814542.366389955,8008591.063782413,9408042.262000378,9392.500956173486,10869.288748688945,12561.164890704718,5.950000000000001,59.5,174.04999999999998,9322.838517644926,10807.41834849705,12452.432938736794,143361.0,171441.0,200960.9,168.61039411764702,201.63597197231832,236.35505159169546,582619.7910817862,687105.858337204,807024.5894409782,0.0005063957278600845,0.005260848795886492,0.0146551051261054,0.3194621302035806,0.43731836690430526,0.5632512645279765,1166202.8806093354,1375138.7917724848,1614993.9586425286
2027,102533239.42812423,132358228.78390402,170755806.70124954,93363945.27956742,122365794.2326651,159688921.18319204,45936.0930943664,436974.7870439891,1217488.7799412895,93193996.4617988,122219208.0453097,158928883.22728315,7975732.58612367,9937820.359605256,12202808.802063819,2296.8060325952106,24363.284866219885,76254.85466098103,43629.1399491881,411578.48153729795,1161377.7160121147,171.85366689286465,1851.0103861439643,5260.048903081236,5709061.435660913,6838587.499829646,8230669.896142845,86072998.8330808,114839730.94459528,149999470.22048652,430463.9778349791,504457.6203112175,606943.7252061658,165120.72072840357,207658.0955311171,250273.3951795539,7628114.985506383,9561816.155110905,11762262.18604345,166540.47091513427,202680.459426751,247987.93746549083,8641091.720118446,10435852.19879732,12862406.083455676,93193996.4617988,122219208.0453097,158928883.22728315,3339539.7700903397,4710320.443913233,6796161.37368822,4108439.3280078685,5602023.357563497,7453366.15653297,148485498.97282904,201985877.65895072,290801289.6480332,145810609.78480095,199528733.45033312,286549356.67835176,13336.015856410515,114794.39005438273,347469.74454300513,145763830.159874,199444770.01570666,286356254.60378796,1944562.863258078,2798319.0097352155,3962902.0412879665,751.2916303187642,6763.786825185201,19677.03297312097,12537.009310960113,108660.42033426891,325989.8003268025,51.89161498010782,499.0063186545748,1462.4367930338576,8965820.57674211,11025647.307652596,14486692.028529672,136210225.57520032,187022137.69913667,271242204.5520026,654812.3910841317,839947.9741994804,1081483.7441285767,39476.0025548276,58789.614379677616,80816.57780535833,1855168.4255150168,2688332.4702587416,3803077.781433655,39775.05446154443,57903.286575247475,77972.14580360525,6883363.136899987,8069673.255425952,9501119.221964404,4245.781275951291,39947.98292966141,114859.79656825826,6826274.18918594,8024613.638751607,9427973.764735814,17698.27353451526,20651.579687937774,24035.599844560355,11.0,120.0,350.3499999999999,17557.002627290538,20525.798504959363,23812.432025932787,143361.0,171441.0,200960.9,252.89075907252797,302.4242620109602,354.497768185897,582645.0069596693,687167.4123309432,807068.3614326088,0.0005363018812953721,0.005620268055540909,0.015490013651947325,0.3422552597957505,0.45506899901892073,0.5932993508367158,1748835.5870192992,2062293.9035537224,2422050.019525432
2028,141740815.6469829,188955348.3395087,247109677.0834275,131479211.06967805,177041353.54123294,233829724.60903695,70715.83197974323,670011.62777647,1927866.5474370609,131251511.03681819,176367689.73049027,232545804.3691023,9547041.160369225,11967068.061058687,14910232.56625507,4126.439929050719,41980.82014157513,131518.9500180037,66722.244153405,622284.1483415241,1821094.4665118584,291.4424556993623,3222.684554926155,9061.051208575147,9261483.446354859,11145905.463937249,13451391.336854488,119099584.178462,164089476.02811605,218880334.21199363,700528.1291871413,822406.9078744529,992370.2524005094,220150.11373283213,276863.819071587,333681.41908554005,9041599.584631741,11402232.351741597,14322118.865963861,222043.02071447673,270227.29792716133,330634.2922715156,10343294.413826207,12640604.876060648,16006921.29438329,131251511.03681819,176367689.73049027,232545804.3691023,4150226.2920738477,6019470.926286181,8865114.907606183,4701496.29555946,6531541.8146876525,8710310.834259769,204912190.93174902,286552473.8744559,427796902.8030557,201681749.9187399,283592468.41126025,423963754.97666764,17893.0980364491,171520.2384633451,520771.09929180844,201598522.03495523,283496798.24507797,423555291.62708426,2200014.8304505297,3252801.0474430034,4734172.198709839,1150.484453201299,11464.779204352482,32847.913626924055,16666.032540370856,159501.83159158577,486912.61560744874,88.52100601961416,826.5498040923419,2411.7030573214824,14582501.754249955,17974673.091615014,23689056.947516408,183667969.01773453,263622368.1075323,397312491.2186031,1064338.023445354,1366245.121593279,1762652.9969171335,50151.36574092321,75300.25675216355,104822.72860978512,2093312.0695107502,3100615.5703002918,4515503.262636646,49755.89011672099,74695.49356696298,101594.91042388606,6902530.153464582,8091936.447310414,9529332.55188786,4390.972740767597,41307.45035759943,118576.95991306433,6837097.388674355,8040232.831057357,9447527.092547195,28744.74311924019,33667.10873278805,39307.18558271595,18.950000000000003,206.0,604.2499999999995,28499.352950468503,33444.69507247508,38920.34332455374,143361.0,171441.0,200960.9,337.1710656676078,403.2124822589153,472.6404029723675,582671.8493771323,687230.707970148,807113.7974500426,0.0005687129476178857,0.006141160413926157,0.01643484117940464,0.36214831834644107,0.47900481510513016,0.6172823519062081,2331489.8641825663,2749507.0393100055,3229146.2447616095
2029,178298479.89897507,244241247.01538983,327228369.5975317,166311951.9874359,230347603.02768105,311293337.39173746,95957.17873544406,936490.0228695502,2743478.174650822,164852040.65860558,229626851.55724657,309184127.8514467,10677397.155044066,13683768.23428429,17141878.645263005,6633.04647558681,66095.52555799263,206077.5004604361,89843.41811051093,862134.3236353635,2558904.1473453357,453.02526759502183,5103.752641485072,14183.117803839139,13686404.123381263,16516954.17260902,19967091.988673557,147083751.48114282,211536900.2764337,290296889.07815546,1037224.7110227877,1218988.9640442869,1472820.4260520046,275179.46856505616,346069.4946061658,417089.3851339343,10100347.030976556,13022299.251034794,16376379.395395234,277545.53201340017,337774.08957239834,413280.589748295,11668098.042239942,14609346.405171977,18738916.09103945,164852040.65860558,229626851.55724657,309184127.8514467,4952071.733067852,7233053.939766526,11140779.340869887,4820713.144718358,7131854.214251603,10006232.937212782,260700021.2891135,370247791.11414677,569915737.7819935,257058777.99814874,366970837.9545147,565736398.4185574,22939.635641872297,231406.32889087018,702421.3726236353,256988935.95071134,366822303.50137645,565100561.978188,2276856.458081107,3517106.629133073,5236039.432328275,1728.5174344651596,17512.519726890954,49521.742618359785,21242.9553220774,212714.1925557318,649403.285578229,135.6136528938109,1268.3292041037657,3577.2780186084924,21558344.616521344,26621971.206081014,35168955.70539805,231449404.5050685,338510089.8763665,525812742.58315855,1575800.8505195966,2022530.2588044638,2609825.4198145582,58154.522162234825,89578.66170643865,127232.65773590283,2152656.102713879,3328118.0773215997,4969820.003213573,56282.97592747754,90433.7265664563,124562.83912931696,6913686.4223187845,8108591.022463462,9549021.089099122,4520.279697673105,43017.76287366111,123270.62535567727,6846937.337919339,8059814.19513829,9466697.503676618,42532.21671642473,49916.528507366675,58376.404878762565,29.0,332.0,947.0499999999989,42144.491423947184,49550.03397928652,57768.642813875085,143361.0,171441.0,200960.9,421.4513138000201,504.00063259316863,590.7829558069102,582700.9962318967,687296.4234912284,807161.5754487007,0.0006031018402443204,0.006503567870317882,0.0177407753978742,0.3787716513130112,0.5036186460937264,0.6567049716857615,2914165.757251799,3436778.35963857,4036282.717047646
2030,209465200.5229671,296343975.5279708,409826612.52934664,197286831.1675645,281545230.4800463,391030055.5317748,123494.36961398789,1241670.2594442084,3670455.055293497,194605336.8069805,279993538.3859026,389555939.9359464,11588512.930840148,15021383.13461123,18986698.37575386,9844.52765994218,99725.24060040383,302322.7847182242,114628.76766712886,1107165.0729284005,3326082.888970721,670.8708667469809,7519.482028559134,20807.112646073463,18979135.29219192,22938627.20571641,27775380.560671654,171606032.71260473,254705696.78970423,363547538.7660111,1440348.074841675,1693732.0751397165,2047466.4441111172,330208.7851577526,415275.12205018755,500497.2932226954,10886275.549681654,14092087.538141962,18091192.80398616,333048.0047440028,405320.83427982545,495926.8297947197,12841121.429212306,16214636.514290817,21178172.96988392,194605336.8069805,279993538.3859026,389555939.9359464,5658936.154732261,8420559.612763505,13363239.957051693,4778538.3603473045,7489103.550576133,11163039.596403562,314201422.5151249,449205636.89198685,711149157.8400502,311065082.34520674,446197645.85429513,706409427.694888,29882.80471069738,290597.8443761328,881944.5000802168,310921326.4083451,445937856.20661414,704131109.3496025,2237330.250141467,3661080.214485202,5625073.174400196,2431.293879914399,24778.68302267843,68623.08159889409,27419.21511367873,264445.03034541244,811377.5140737897,190.95158365054732,1811.348075937356,5014.494831070319,29935799.845536023,36973871.88455829,48919311.372295305,271731039.27010274,409690474.885309,648101124.6480212,2188350.780611572,2808728.272082084,3624447.8387939883,64542.51806190829,102837.73232866153,148401.30247803184,2105539.2684571873,3428425.517937882,5370925.19069771,60700.08924412488,103218.80793671074,145163.9350553439,6924724.65304533,8132387.858656619,9568684.869250497,4653.045820225524,44625.64639738852,129060.5948169423,6855714.074118371,8074106.209911481,9485465.286837721,59061.06131293249,69400.55324018803,81243.80098959403,43.0,488.0,1390.0999999999983,58490.38411126001,68832.74694110051,80349.81670749292,143361.0,171441.0,200960.9,505.73150336665634,604.788712890416,708.9254265449898,582733.4159014801,687365.5276113311,807212.6638637992,0.0006398654357576309,0.007009663732062432,0.01915056175598657,0.39570866293572254,0.5246118819231447,0.7052454910101557,3496863.311492331,4124108.0255889525,4843459.519250497
2031,237480056.41611788,345293285.3776034,489368383.19718325,224634744.6751188,330598103.04255754,471715231.9487699,152222.29783515664,1515557.9836784946,4685223.40406181,221371962.28256273,327080514.5971223,469991646.47538394,12313143.630769366,15915868.451643128,20596152.651247565,13745.183407432045,145385.3629831935,423618.74161778716,139746.70018485913,1393167.9003450547,4120946.9026037157,936.2836702568825,10614.264189803387,29155.20568921952,25133217.1522493,30413708.823497206,36873733.08846654,194019659.1256758,294202636.2607342,431469530.2933802,1909558.849522414,2246754.671882713,2717113.5202812236,385238.06344344065,484480.7013187871,583905.1432495429,11465896.597655928,14987735.243079798,19508646.234285813,388550.4388382235,472867.5319666121,578573.0123094431,13701724.55313935,17619036.431945197,23250623.50952501,221371962.28256273,327080514.5971223,469991646.47538394,6400382.47192602,9544291.561600983,15799389.301038997,4348902.395549557,7574558.012477035,12134278.10640619,360680178.40525764,528340337.02375543,842499096.9873369,356402563.0736677,525533049.7106717,835904262.4891357,36540.29403698915,353371.13106028107,1052521.0205081163,355590573.6241452,525300021.21775424,835419203.775293,2104602.7825285867,3670722.145941365,5909466.330303554,3154.8536115791203,33516.22272594388,94430.07867222736,33151.34641615511,320352.9838128184,951903.8053324326,251.92130483004647,2427.804944553711,7050.44205000375,39708501.58271822,49020405.049854174,64932678.19059416,304001675.78188634,472799031.9725691,766728754.9110984,2901585.3053794843,3725525.1674928986,4804616.134048097,64416.87661526893,113970.29573885488,170367.12028285608,1961767.063438938,3451795.417177718,5572672.813263039,62261.09084475409,114603.462900573,162441.95108591646,6935780.507979369,8149329.180683533,9588364.526074518,4785.182918610138,46537.25416935904,136032.0260531424,6863943.48221377,8087865.865600493,9503810.849155363,78331.73581557917,92119.99070386244,107910.00958431173,60.0,690.5,1948.1499999999976,77530.69882710154,91282.09617233029,106652.59338142404,143361.0,171441.0,200960.9,590.0116342641662,705.576723027064,827.0678150417316,582770.4917343773,687439.4040195527,807268.4461015669,0.0006795384117539395,0.007593466720129853,0.020672466021047983,0.4130726969683219,0.5524030242144313,0.7609075846336064,4079582.5722824954,4811496.198664293,5650676.7344078515
2032,262834576.30268788,392487496.23760766,564038281.8307635,249509839.30512086,376113543.7948016,544369708.6521168,191811.36046902087,1895184.1706270133,5726978.713361508,246548225.7391255,372785944.93106794,542937537.2013967,12888882.969701063,16832011.19018217,21911960.1463168,18794.19934332075,198938.37663264622,573006.1833615154,174473.16406303225,1687258.2700929083,5125430.518002118,1280.1346407328276,14528.321006873015,40147.39931316476,32141514.603209745,38936907.82434137,47258968.77828149,209824681.96440378,330110998.5504674,493284282.52619326,2444567.9943051613,2877821.7824367546,3481485.025294799,440267.3033544803,553686.2323268999,667312.9351119548,11890537.721648708,15764210.99631818,20701384.252141155,444052.834227841,540414.1825497322,661219.1371908794,14333757.594264895,18786394.47825599,25402138.56117287,246548225.7391255,372785944.93106794,542937537.2013967,7172311.149420638,10814917.422211653,18249088.263437126,3556243.4644446964,7565860.137178184,12734888.304199135,398987908.5221073,599436821.7219398,978353277.6999631,395423007.0125693,595789373.2324033,971654276.6843774,43619.925608792444,397530.14342554694,1217918.2682258224,394756803.4113809,595581613.2273788,971073727.6556981,1783302.8984876787,3666414.685593576,5939477.900076035,4159.501024646245,42070.56791095264,120925.1886053177,37568.95010450928,347053.94035544485,1087465.624579621,318.45821166135175,3167.304463592735,9104.345047758497,50855949.156251706,62751468.27967486,83198942.15519139,334550446.25197685,529448780.73914075,883089974.439288,3715074.4920218503,4771535.828150749,6146187.203533405,62929.13952273206,124093.47941730644,187811.1215584138,1670683.989784585,3418160.065495383,5581057.252103291,58206.57642562853,122252.39586263204,176079.6866129374,6946854.015261899,8166306.111337746,9608084.67906181,4910.648156847859,48869.85966810865,141912.71609552304,6871216.26547994,8107220.625722777,9520713.132243678,100344.83946562464,118075.79062787665,138375.80714406056,82.0,942.0,2635.749999999997,99257.80724919825,116886.48549931048,136667.74177316084,143361.0,171441.0,200960.9,674.2917063889557,806.3646628792278,945.2101211519192,582841.5289235846,687520.0292214896,807330.8983837855,0.0007216718186490602,0.008227733456393278,0.0223143396489309,0.4270152011951056,0.5817294799213106,0.8133555705043946,4662323.585113967,5498943.040822621,6457934.445728476
2033,286022277.3229639,433301631.8655139,639367266.2058327,272428816.57784605,418551535.6843868,613503171.6391371,234686.63603307315,2282134.191237494,6981066.701060158,270398568.58960336,414848384.2168287,612276528.3561437,13365917.689077329,17505253.98287321,23013914.065449193,25197.078420135203,264469.50802769116,754135.6503903875,211430.1000563367,1922417.7452348229,6358878.201615449,1687.0131455176672,19496.863104580865,54213.10920519186,39995677.36356179,48501233.32570671,58926612.91333466,223281215.89431614,361202126.7451042,551620349.8365035,3044953.9857854918,3587253.2962911497,4340254.665915615,495296.5048230731,622891.7149892612,750720.6687071687,12205106.148253787,16243503.188733254,21680717.443258233,499555.1908444734,607960.7859459652,743865.2043372048,14896114.015543692,19915680.123138376,27415250.82721189,270398568.58960336,414848384.2168287,612276528.3561437,7899433.137239802,12138270.098457031,20845042.198446896,2673356.2028566427,7467694.31262371,12894531.84387712,435551936.8591882,667064407.9221745,1108335800.1293213,431436329.35525215,663630416.765764,1101657822.8090165,39478.88910593627,445063.3852855243,1372671.7839573799,431296901.50751066,663408919.8003772,1100984083.5743635,1436488.4363067537,3553338.374129977,5917730.98316281,4144.265621003421,51893.445137983574,156084.54153571412,35383.90336425456,378119.89227988466,1245317.2893065917,355.83460682998947,3962.1150582772,11150.427070784019,63360500.06693709,78153448.73500875,103705195.3638358,355083514.0365839,573809097.8793871,988345142.9063336,4628264.986532193,5944455.482146425,7648488.486243822,52612.33924095435,131662.62045690737,200119.8526682843,1355087.2674128662,3279061.746349353,5497460.775564173,49718.86200664387,128487.40608241802,194283.00254851082,6957945.203078851,8183802.339478165,9627845.41159257,5020.598729917901,51639.62936961737,148446.08080358035,6877177.325373283,8126443.33658604,9534907.994458323,125101.18498430823,147269.11783929175,172642.18408683015,109.9,1262.5,3473.7499999999955,123665.24914142497,145542.78480733538,170380.49450572158,143361.0,171441.0,200960.9,758.5717196371879,907.1525323227316,1063.352344729996,582967.7204102601,687610.2266029171,807402.8438114646,0.0007664182883698931,0.008824129413040106,0.024050404189901932,0.4434110691325249,0.6089576987777532,0.8607465513836027,5245086.395592091,6186448.714478167,7265232.736592568
