Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,CAV Total Power (kWh)_p05,CAV Total Power (kWh)_p50,CAV Total Power (kWh)_p95,ECAV Power (kWh)_p05,ECAV Power (kWh)_p50,ECAV Power (kWh)_p95,ICECAV Power (kWh)_p05,ICECAV Power (kWh)_p50,ICECAV Power (kWh)_p95,STI Power (kWh)_p05,STI Power (kWh)_p50,STI Power (kWh)_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,ICECAV Sensing Power (kWh)_p05,ICECAV Sensing Power (kWh)_p50,ICECAV Sensing Power (kWh)_p95,ICECAV Computing Power (kWh)_p05,ICECAV Computing Power (kWh)_p50,ICECAV Computing Power (kWh)_p95,ICECAV Communication Power (kWh)_p05,ICECAV Communication Power (kWh)_p50,ICECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,Electricity Consumption (kWh)_p05,Electricity Consumption (kWh)_p50,Electricity Consumption (kWh)_p95,Gasoline Consumption (kWh)_p05,Gasoline Consumption (kWh)_p50,Gasoline Consumption (kWh)_p95,Clean Electricity (kWh)_p05,Clean Electricity (kWh)_p50,Clean Electricity (kWh)_p95,Fossil Electricity (kWh)_p05,Fossil Electricity (kWh)_p50,Fossil Electricity (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,CAV Emissions (kg CO2)_p05,CAV Emissions (kg CO2)_p50,CAV Emissions (kg CO2)_p95,ECAV Emissions (kg CO2)_p05,ECAV Emissions (kg CO2)_p50,ECAV Emissions (kg CO2)_p95,ICECAV Emissions (kg CO2)_p05,ICECAV Emissions (kg CO2)_p50,ICECAV Emissions (kg CO2)_p95,STI Emissions (kg CO2)_p05,STI Emissions (kg CO2)_p50,STI Emissions (kg CO2)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,ICECAV Sensing Emissions (kg CO2)_p05,ICECAV Sensing Emissions (kg CO2)_p50,ICECAV Sensing Emissions (kg CO2)_p95,ICECAV Computing Emissions (kg CO2)_p05,ICECAV Computing Emissions (kg CO2)_p50,ICECAV Computing Emissions (kg CO2)_p95,ICECAV Communication Emissions (kg CO2)_p05,ICECAV Communication Emissions (kg CO2)_p50,ICECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95,Total Vehicles_p05,Total Vehicles_p50,Total Vehicles_p95,Total EV_p05,Total EV_p50,Total EV_p95,Total ICEV_p05,Total ICEV_p50,Total ICEV_p95,Total CAV_p05,Total CAV_p50,Total CAV_p95,Total ECAV_p05,Total ECAV_p50,Total ECAV_p95,Total ICECAV_p05,Total ICECAV_p50,Total ICECAV_p95,Total Infra_p05,Total Infra_p50,Total Infra_p95,Total STI_p05,Total STI_p50,Total STI_p95,Incremented Car Number_p05,Incremented Car Number_p50,Incremented Car Number_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,Cumulative New Cars_p05,Cumulative New Cars_p50,Cumulative New Cars_p95,__uncertainty_injected,__mean_source
2024,4185063.153441211,4811638.185969826,5788558.133168254,4185063.153441211,4811638.185969826,5788558.133168254,0.0,14310.68651637121,37663.811546791876,4175224.1828290876,4791872.342960883,5774093.96991696,0.0,0.0,0.0,0.0,7471.458703287178,21613.183919181607,0.0,3560.9482376186784,12272.602022431174,0.0,2727.413208844282,7364.540034660773,2313272.789996147,2551646.2882062625,2764027.8916517603,700142.1291239032,1280663.4989885981,2209300.2227411484,851468.1771419705,938129.8439917576,1028670.6482735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14310.68651637121,37663.811546791876,4175224.1828290876,4791872.342960883,5774093.96991696,0.0,7228.59692629993,24435.79905347562,0.0,6345.500621224122,19565.41303353798,6329898.339502039,7856987.53130375,10117553.317945192,6329898.339502039,7856987.53130375,10117553.317945192,0.0,3628.293885411418,10332.118741616088,6323600.423641044,7853240.963537203,10113076.306140767,0.0,0.0,0.0,0.0,1862.2036787786906,5437.229084811376,0.0,919.8614479155153,3040.4485121650728,0.0,681.5682007036705,1991.3133478393597,3500794.0549394595,4181304.439598912,5092522.8218866205,1108121.7725950931,2100646.6146730967,3833812.2952175904,1279317.2510981383,1529318.7959543075,1850474.260839248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18856184.1,20045670.0,21461002.9,9632.250000000002,94389.5,274966.2,18635725.2,19905317.5,21291980.15,1002.0,1002.0,1002.0,0.0,5.0,13.0,989.0,997.0,1002.0,248061.0,276141.0,305660.89999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0004723226485328691,0.00466180798643678,0.01311973912209444,0.40524609886785223,0.514782760253508,0.622366373024192,1002.0,1002.0,1002.0,1,region_baseline
2025,91061860.98342097,100223758.26280397,112452591.09753631,82905035.73166314,92430086.78145298,104108693.55206215,32848.879240142654,288587.5910162513,802627.9926729475,82820459.43907301,91905760.46126682,103887706.07538567,7168648.924250714,8095486.942202474,9137955.04011162,7360.758104942038,72049.23280367289,217988.1939688334,22258.038155033537,188099.22826863575,500774.0421080971,2880.11031252137,27032.02617760317,74287.83948351961,20603867.511568446,23361603.2348817,26210165.22173207,51184800.952847406,60497858.59083644,70563947.26070955,7623072.771989258,8575598.15452879,9527564.43637289,1336458.8970360917,1552740.7781235785,1778756.87848171,4947317.271743965,5711560.289986489,6594881.0910593495,697759.1086913946,796098.5102510138,916952.6532113255,7444325.820547767,8424494.937481042,9521939.86750725,82820459.43907301,91905760.46126682,103887706.07538567,3554361.562919529,4481875.9840636905,5754543.060229667,2869921.0889580636,3823474.0698350584,4977143.716504851,125854770.6301309,151793011.3236245,193495511.7575124,123766785.88736945,149500092.3243571,191916167.1108843,7502.032157816457,68191.20314413757,203887.14163818842,123749573.81088549,149429549.2537645,191882788.61806569,1410101.4064295026,1982851.3339489684,2687462.238374451,1874.4622176602752,17306.46086866835,51966.38998371786,4997.885390954832,44147.053358167206,132519.11228208314,654.1617894424277,6173.039744424516,19002.285546102765,31850712.35462392,38126447.41932073,47280987.58918209,78867915.6344594,98373352.30345628,127087587.75263985,11516152.780292347,13984792.81693608,17282322.26064855,269457.58993810683,378403.8227098002,520106.9754575123,1018647.1223449691,1419438.17457342,1899105.9397313255,139819.44242133075,195500.29346727222,264020.72120518866,18908684.82909784,20088547.37756798,21503059.85094555,9755.905680385993,95303.25058720035,276810.7200148413,18697724.134722035,19951347.487269618,21339472.01987889,8672.751231243223,9146.0727342504,9717.52028089452,4.950000000000001,46.0,131.19999999999993,8610.225069293658,9103.378039449566,9648.891984070833,248061.0,276141.0,305660.89999999997,145.91823529411764,162.43588235294118,179.8005294117647,1612285.2501777043,1712523.2420573123,1834223.6510146903,0.0004890522177737679,0.0049579087577321275,0.013865827623590631,0.4275588864804817,0.5402606808270234,0.6553736848355616,1613281.2229083485,1713519.2147879566,1835219.6237453346,1,region_baseline
2026,227615744.46400473,254920100.90166092,292479552.8627932,212993519.58377263,240253601.77908733,276811046.73544514,81139.4578943852,806767.7853720074,2209368.479606333,211597583.0522548,238724592.5480107,275555579.46276397,13076914.704626216,14886656.01061752,17010005.924238414,21031.639588833084,213052.40313439068,640143.3638186823,54351.27341482024,500053.2377544049,1358068.89311847,7621.343416676534,79618.09889578065,218186.225779787,57013474.47404109,64691684.76718101,72836348.54451051,123624251.62533411,152154160.8635829,181969540.65737474,21136081.814488117,23762306.084378786,26472530.76931974,2672131.6417798097,3104568.179318849,3556467.4293878423,8630996.008608742,10129092.80845354,11921784.701967366,1395107.7708482647,1591728.7272607037,1833365.9225089971,13812668.381935183,15773741.10388491,18196408.19583485,211597583.0522548,238724592.5480107,275555579.46276397,6997794.378193893,8837506.32896645,11603303.604566718,4814000.80141101,6644513.668012591,9130217.573896028,323265620.62286353,394498003.5744705,509612229.0519146,319216539.52506614,390337732.629082,504830847.8942192,19639.716118325443,176666.14590706458,541410.165366256,319069702.38482326,390095532.778038,504738853.7447387,2448450.3135570404,3491180.601660896,4836948.549507006,5275.314618184976,50042.84273387227,146507.0033284049,12542.756763640793,111895.6462053385,322160.98570095777,1844.4651526242133,17750.344410601378,53369.695647676715,88310513.67663781,105712664.68050972,131624543.18378964,193637776.15052855,246439404.56999093,324533689.19002444,31912205.46764283,38793016.90105383,47972087.27787243,492779.3011560744,719435.7645696243,1009742.7103920305,1671562.086308584,2385823.080809457,3340246.6131018535,256623.0709930704,372146.82790194394,504053.7015647984,18949121.149243683,20138435.599149212,21569838.985738605,9907.082352083438,96859.74153409323,280057.5162901042,18760867.63011945,19991699.41189614,21386208.887951873,23929.59836486318,25349.487351026044,27063.88782254211,13.0,135.5,385.24999999999955,23744.827128975452,25225.64527170228,26863.51203109395,248061.0,276141.0,305660.89999999997,291.7506363321799,324.77621418685123,359.49529380622835,1612342.4997643218,1712746.4625773095,1834317.1458574485,0.0005063907152328459,0.005260873771484106,0.014655047640574436,0.44523595928778076,0.5671105519397022,0.6956119786073549,3225615.1122878767,3426257.0669804723,3669528.159217989,1,region_baseline
2027,397371486.4376115,452572107.06640077,531413409.5078102,377212323.80811054,431635479.39771783,509547740.1762596,149721.48570476234,1556616.6415788417,4211709.563187316,375504028.6777646,429614734.6366751,507205676.90583664,18013513.949235234,20673072.551990196,23866864.620930865,43737.46681096352,441835.3173545201,1325861.597304113,96027.5569002484,914289.5606059424,2585893.82896795,15243.215530182699,165049.92584213775,451971.0990636318,111508346.30772486,126557780.0449097,142683804.1662463,202682713.98980418,259467730.70007694,318410615.2093633,41349739.75804714,46483994.5702506,51843623.61785379,4007803.9243530273,4656395.04354962,5334177.365169217,11451722.105198497,13687831.133877428,16350066.361809103,2092456.19170802,2387358.66896582,2749778.874708652,19513381.2749736,22447945.404902548,26397865.16271857,375504028.6777646,429614734.6366751,507205676.90583664,10335874.514350729,13162994.74809429,17645682.657737035,5952231.188088869,8798118.771954782,12473806.836223539,570954120.1217185,704531874.9598854,916667418.7893835,566217883.1964953,699693295.717442,910680076.0131363,31730.43560183736,319134.74633184285,929149.5661167548,566121630.2776538,699528398.4011912,910514305.3480353,3171999.9119982035,4583911.893521018,6532139.326397192,10152.600724465165,96113.67503421416,288382.31968431314,19130.761079999636,191348.67596396658,529353.685590141,3569.4557483043013,34817.046439481244,100450.1119123791,172793899.32732567,206716955.1323188,257824921.00281936,316865614.0289302,417798521.7663908,577530421.405488,62432856.69903142,75899565.17523152,93832163.41795392,675229.1144134172,1017020.1555457894,1453471.1109994208,2008228.7945145553,2954163.7459698087,4369618.122801437,350398.47394068167,525528.1068744934,722612.2203963642,18979374.701080617,20187108.764437847,21614265.818600748,10085.770863380703,98895.63758451684,284786.80354620423,18823873.10592149,20022604.22502522,21432146.665595233,46773.097101202526,49614.37044808227,53042.00073371448,26.0,283.0,797.8999999999987,46370.4924675086,49353.314926509905,52625.34443499387,248061.0,276141.0,305660.89999999997,437.5829869092038,487.116489847636,539.1899960225727,1612400.9492436317,1712971.5286307335,1834411.9349324661,0.0005363387400109412,0.0056203078551827585,0.015489952981219428,0.4745262195813068,0.5977852797421356,0.7269755177789138,4838003.760981804,5139216.295061501,5503927.79360075,1,region_baseline
2028,590115418.5892093,684862897.7813869,809304309.9669691,566985929.4367988,658511595.7103466,781924984.7927136,238491.53023547636,2509868.018013713,6877676.164384809,560494932.7905109,653091223.9010909,780391325.563064,22309234.87268023,25736801.17621634,29894270.647964034,75277.78053751017,787028.103776834,2315067.6813097834,145590.9052957023,1401376.345979737,4016961.883025275,26939.706439512,291031.2616986026,788270.8015842171,184047769.2779324,208933304.82695276,235668678.1263519,272594515.32277644,367422286.8523804,469784184.28455603,68252282.51597767,76740965.17937085,85635680.53481682,5343475.282042154,6208220.833220416,7111886.069978251,13424485.853186376,16313380.516582945,19826689.197300244,2789804.129690001,3182988.0597382835,3666191.192339655,24485548.342139766,28435466.706873327,34557137.85701443,560494932.7905109,653091223.9010909,780391325.563064,13579451.243906746,17685645.43994841,24467734.583820652,6303595.624262261,10365813.742455602,15283121.822071424,855589287.041266,1063665512.8507154,1405757514.5752256,851629458.0325941,1058718351.5404458,1399967523.9220266,49303.22339759001,484341.9587782018,1357097.966211528,851192287.1325656,1058011497.4887407,1399888651.8418837,3321571.3161004223,5234213.43652138,7795634.199182493,15996.106696041623,156218.78476841433,450846.4603085435,27024.630508052353,277402.9089092548,781307.2962236587,5672.461900906144,57682.60664391388,161654.12628472177,285245144.029035,341068111.1966442,425799754.7375308,441136919.85662,596833231.0621845,839436431.1599591,103058473.88163444,125320559.62701334,154789271.45676285,786778.2148121384,1268311.9427359616,1862650.0661862215,2096615.5530478202,3250035.067070863,5062962.486811167,401659.1636260068,662299.9890015754,915572.7242474069,19011144.46393529,20232928.81693466,21658719.181128707,10291.52970065884,101625.36317773128,291083.1530537732,18886454.241866812,20061668.358576268,21476742.60801248,77203.82903343627,81942.8836719431,87652.78434963622,45.95,505.0,1393.1999999999969,76459.68358339502,81486.90633699874,86920.16303341993,248061.0,276141.0,305660.89999999997,583.4152365048548,649.4566530961622,718.8845738096143,1612461.073223127,1713198.9171417654,1834508.4930751533,0.0005687520940142355,0.0061412041211682325,0.016434820134992846,0.49744156216263546,0.6250172217884595,0.7764221755466867,6450447.261991066,6852397.639989401,7338418.714462039,1,region_baseline
2029,798509579.6630001,940538808.7268174,1117792451.8708265,771706469.753948,909836594.7581646,1085247455.365708,344022.98894177197,3719014.708309995,10340064.233742924,765822090.7803373,903301184.8259466,1080713596.754852,26063482.24961245,30259954.9880848,35242742.2589995,120732.29547735356,1267085.411114669,3652975.0428275047,196010.12161767078,1921762.9395731909,5550745.721427144,42680.92523909939,465577.55577931134,1241673.816083438,274595734.10179293,311705108.8481177,351743184.68662614,337846814.7666964,473494943.34638554,627311802.2669257,101832200.20247515,114507285.74320006,127842608.49009143,6679145.713216966,7760045.546437185,8889593.541645197,14956552.568123575,18418297.84168473,22741333.26383706,3487151.5839430727,3978616.8986070044,4582602.874283498,28818063.20518054,34217195.937968984,42876696.603552945,765822090.7803373,903301184.8259466,1080713596.754852,16646865.06793188,22382513.56998373,31927215.302788742,5891538.282647616,11439764.70939697,17299878.222892266,1176561350.648729,1467474950.7941556,1959193214.6849296,1172420396.755692,1462733440.2830155,1952761678.2930498,69373.1558467897,673748.5663925409,1951929.6317194274,1171851459.4090557,1461926706.0409327,1952652635.2222989,3111294.764307858,5666719.806927825,8642353.873085056,22122.694600862207,233283.59772138105,650921.3047037524,36056.95874121875,348084.0788264642,988459.8548659221,8332.245136276646,84752.1377085911,233153.89966465303,425601703.0124398,508564469.2016883,635430130.0576634,551379126.8673451,765736942.0411834,1141975653.4233751,153765029.72838667,187096478.63561296,230969970.4137539,793274.5602765454,1475567.7982770116,2181157.8770139455,1934144.255597098,3360099.8009807374,5423690.626954955,415534.58931718353,778590.1667656566,1081089.8236421384,19065628.79129123,20288263.65390501,21703264.018090066,10523.283500822427,105009.54193531944,299035.5904102664,18938089.593143072,20099645.86757178,21520394.449538574,115222.41537345745,122337.23748726453,130897.20496126747,72.80000000000001,802.0,2198.3999999999937,113979.00291202124,121617.76812008918,129734.05592976957,248061.0,276141.0,305660.89999999997,729.2473849411401,811.7967037342886,898.5790269480302,1612523.549646164,1713429.3083785176,1834607.4984573554,0.0006031434160202262,0.0065035972430095915,0.017740752688101005,0.5193303678009846,0.6547771929576023,0.8312941630789724,8062945.708474566,8565801.845205255,9173001.10975673,1,region_baseline
2030,1024128679.7477077,1215943415.835672,1458469961.2468514,994185136.9273206,1179413275.4360878,1421475347.5928707,479572.9410597833,5184805.786925215,14553826.16293109,989968265.1939887,1173300759.5924282,1418129073.937813,29410803.33319221,34284748.90947388,40041581.57521381,180217.19201594996,1885067.6975260307,5391292.784919237,249706.4872847991,2495537.556289759,7376297.717435896,63637.98644089667,696298.0325381467,1845055.71791573,383201572.1485836,434854788.91634345,490852090.7720168,393819946.40221214,573467250.0052506,787600090.2569726,142072950.9295126,159717246.75351965,178456338.27656388,8014815.216243403,9311869.181301426,10667299.777995214,16092344.088590443,20008572.013608962,25175657.057453796,4184498.553614102,4774245.184598611,5499013.919419044,32741751.362674948,39749260.32113689,51441040.59874291,989968265.1939887,1173300759.5924282,1418129073.937813,19782448.178248405,27464854.50861413,40061443.687838405,4448959.0817747805,12089563.188320745,19373784.043481547,1523738574.928003,1910007071.0748029,2564357395.0236993,1519652996.5899458,1904156531.494681,2557568417.836597,86534.23290758659,866006.6503830382,2549243.4934414276,1518958115.1300695,1903031944.653941,2557161972.3317904,2422223.923431451,5835688.261197903,9175900.64997336,30572.334329237365,325475.6087551461,920334.1771385099,44453.78193075275,410532.97208702215,1201415.7771773888,10994.734491813322,119145.86491825237,332367.80504591495,593793390.2334889,709087651.7006757,886583511.5344408,638235559.5301486,933071104.9842538,1448683197.5024223,214526230.55744508,261187199.69569397,322310490.6248651,664401.131467223,1615192.7364494018,2513609.2290137834,1480289.32421765,3318090.299781643,5545788.360779157,385071.8435993071,850165.3244804152,1211636.4079680915,19092274.014989395,20337550.21868837,21756228.159040876,10779.034568922072,108963.27730923294,308737.6279758771,19000409.85564067,20141009.920812424,21563117.447945125,160829.537925679,170799.71219418108,182776.29079216023,108.7,1198.5,3244.349999999989,158892.31380041005,169727.9500601997,181049.07427686642,248061.0,276141.0,305660.89999999997,875.0794320396492,974.1366415634088,1078.2733552179827,1612589.3469358443,1713663.6730968747,1834709.9197311318,0.0006399095077502936,0.007009653105459007,0.01915053724901943,0.5392975002155913,0.6859944813079224,0.8934288596846225,9675499.19374946,10279429.656641182,11007675.167826913,1,region_baseline
2031,1267477728.7020328,1510483509.2141976,1819516224.8155072,1234545948.6851532,1470207039.7640173,1778465579.2088652,638898.4497183309,7001389.705615291,19609766.70932844,1225364157.767783,1458108280.2290082,1773931575.2496574,32487704.61119775,37993855.06380024,44428568.99970807,255398.92839411832,2721449.8988478556,7575842.860583121,307704.8786467341,3111731.473829278,9387850.160606626,89927.51500491808,985736.9430312125,2648891.822856276,509820979.8156714,578218472.3073399,652921113.4934976,437251820.4528447,661594305.2864877,950027218.6981858,188954981.05818897,212375174.26387447,237465577.15916112,9350483.789483573,10863691.735910183,12445004.776848344,16941447.603768475,21410035.893983793,27342705.297426507,4881845.037847953,5569872.916737447,6415424.326622524,36304518.66931812,45300252.17721479,60226336.75457089,1225364157.767783,1458108280.2290082,1773931575.2496574,23096317.901120972,33052699.465058655,49248435.734641574,2193020.216133238,12341026.514164988,21172969.165310357,1894850170.5527663,2369709494.0951333,3213410769.176169,1890993803.9570692,2364230316.477956,3206430411.6395407,105860.6342931465,1034423.7765314234,3073016.1465986213,1890117622.1304736,2363490696.7595043,3205930912.799024,1978945.4415404564,5879886.712867489,9622814.707791736,36269.594015755,401707.46907921945,1233174.6722864576,47250.439989611565,447835.4851407323,1336061.99375128,13676.51380923705,151912.58233853825,450151.3813120448,789733290.5525591,942449304.2369823,1179111131.7301345,707241596.004111,1081392057.4769187,1729760407.1418145,285305526.92094857,347395523.7037519,428755758.71840906,582093.2619604284,1695776.9317569775,2748911.4320417973,1061458.0594984505,3231536.797143829,5597280.153057251,346044.09470826574,885252.0916427175,1328285.677461335,19145121.311374914,20370732.654790834,21818695.005562913,11055.450093055877,113683.96468924542,320287.1973745787,19022545.1234477,20191017.99933509,21604861.277446214,214025.97100070846,227332.68988554867,243291.1639147141,153.60000000000002,1724.0,4557.649999999984,211158.47242183148,225790.69686559128,240847.46419771016,248061.0,276141.0,305660.89999999997,1020.9113776215522,1136.4764663844499,1257.9675583991175,1612659.8484861562,1713903.3970317226,1834817.1405200446,0.0006795852044249596,0.007593507392316276,0.02067243957461446,0.5635492966680569,0.7217579798416615,0.9509106422412908,11288107.811291404,11993281.822728692,12842441.077402746,1,region_baseline
2032,1529428170.6016412,1823785414.69892,2201377725.9559736,1490426638.249032,1776108635.601192,2156524990.7529535,827733.8074093607,9035668.346762586,25537179.145736057,1474123960.1492505,1759316244.7988625,2150686382.32614,35336088.50298472,41414570.32119502,48494502.2745399,349813.3870066665,3759720.1020454904,10481254.86063456,382290.5694634356,3737908.9213223285,11541694.519800663,122124.92652515299,1366692.7977931988,3669927.526920276,654414411.2874596,741837506.7601043,837866053.0362195,472115357.28818387,740282611.056432,1095831454.4376688,242452871.2993799,272448410.5620918,304857084.5529682,10686151.431295723,12415513.208356015,14222708.536019504,17575172.505713865,22434681.26307194,28933012.498734135,5579191.035787472,6365500.094045557,7331834.094767522,39865510.94914907,51012354.99988655,69427153.77041297,1474123960.1492505,1759316244.7988625,2150686382.32614,26549077.472465355,39057463.79748827,59368449.80627995,0.0,12164062.815908274,22740501.8464342,2288579509.3180666,2865799436.786763,3897208697.5844655,2285137514.639661,2862653045.809249,3888908116.98762,122699.33328640024,1147058.2296518956,3713032.0065029194,2284197982.4864125,2862423932.1110024,3879969807.587751,1405915.9593284891,5769768.354793232,9855345.68207858,49247.393578735086,471573.7462931287,1579578.6612240172,43676.47798081928,460310.3425847782,1544089.5389534822,16427.818032757412,167084.515818735,574623.3066534428,1013327025.6929183,1209252582.8899384,1512818369.7435198,761859687.4775436,1210544458.382343,1994312713.572776,366066681.3698421,445771414.07121336,550265652.6709174,446880.75124089856,1730750.166014964,2905980.0134313647,743464.8250593975,3047283.38726878,5577633.711763455,236893.79796180688,893990.1987040832,1428858.3181002566,19208826.54128944,20403977.78873697,21854761.51442395,11417.139285730082,119931.89665126213,333786.4323074297,19042386.78546818,20238403.56945421,21645574.571259134,274812.6297941442,291938.7028692662,312443.08863088454,208.55,2401.0,6175.299999999978,270909.93571357976,289798.3476112867,309109.41517069977,248061.0,276141.0,305660.89999999997,1166.743221507598,1298.81617799787,1437.6616362705618,1612737.0305065988,1714150.4587415513,1834931.1372636058,0.0007217214999417262,0.008227734052856515,0.02231431334191437,0.5945646385144141,0.7627636913138109,1.0,12900771.65473484,13707359.094407082,14677299.02760319,1,region_baseline
2033,1802465728.694222,2147012964.3927083,2602839704.8112946,1759236183.3558562,2095694900.4117613,2554445675.2260427,1050139.7902853698,11385587.423479829,32778175.185094938,1741451959.5363944,2076798405.9893484,2547100062.471007,37980599.374669276,44653529.7841319,52381604.079602905,467086.89722862985,4977164.925142735,14103472.852911072,463617.8827534841,4377898.178481577,13734443.427537592,162500.81530518268,1841703.6259021428,4943817.707239587,816675107.0461534,925982233.2960907,1045582733.6796066,499088278.0806645,808709758.4229852,1234169527.8625436,302539509.3366723,339492767.3000287,380613932.8951262,12021818.140034247,13967333.596727006,16000411.053318478,17972121.637483288,23247433.544947997,30400678.258061714,6276536.546573495,7161126.715542691,8248243.222724976,43278039.04084176,56701013.43276183,79162255.446,1741451959.5363944,2076798405.9893484,2547100062.471007,29722067.329700217,45333333.980070725,71182684.26223983,0.0,11396447.461554665,24484637.617325835,2704952576.9387245,3398064582.4598675,4602896708.610703,2702389088.394268,3392907841.8601184,4594606234.88566,130158.89476180357,1160519.0831228888,4527031.788460455,2701647344.407196,3391368867.1305656,4584367060.4324045,1263905.6908310233,5443029.7717846595,9944235.37037452,58050.754397443685,513940.95601859817,1939419.479708915,43124.047355094364,432315.06820188544,1673949.498458276,18349.528045482228,176891.6698359775,708648.2999375226,1264458675.6478786,1509311296.8686664,1887492214.9231234,804240384.2384338,1319155469.2958908,2240649407.5670896,456901136.63195086,556265129.0692182,686786132.4325285,368094.28783108905,1702631.0925398916,3054589.2825395777,633831.7878073136,2794483.1150825615,5393662.60391252,181615.80172875468,874892.3718553835,1530481.6265903825,19254085.760213174,20434655.330280922,21890815.24113612,11955.454890864667,127683.90681655434,349341.2303009664,19059760.095045026,20284863.59230379,21686822.1185399,343190.64348229783,364620.5068073943,390233.5445688977,277.45,3181.0,8174.6999999999725,338038.8528084229,361409.81878698413,385813.38313087734,248061.0,276141.0,305660.89999999997,1312.574963518115,1461.1557762036587,1617.3555886109232,1612823.7160857876,1714407.683672119,1835054.7332810394,0.0007664710365936256,0.008824178101433926,0.024050366773519644,0.6137943622495092,0.8041877861894557,1.0,14513490.817873256,15421662.225131828,16512249.207936859,1,region_baseline
