outer_draw_id,region,policy,cum_emis_mean,cum_emis_p50,cum_emis_p05,cum_emis_p95,peak_year_mean,peak_emis_mean,turning_year_mean,annual_emis_2030_p50,annual_emis_2030_mean,annual_emis_2035_p50,annual_emis_2035_mean,annual_emis_2045_p50,annual_emis_2045_mean,annual_emis_2055_p50,annual_emis_2055_mean,annual_emis_2075_p50,annual_emis_2075_mean
0,california,baseline,556265578921.2893,559593479913.6562,467418760373.5588,639802997610.1738,2037.9,20614107950.323124,2051.7,9003442592.156967,8960539119.618376,17709617476.592327,17752858056.53869,15383681513.782574,15244131797.75474,8458380007.623003,8421460268.270673,4780143775.69805,4764849558.60484
1,california,baseline,203524753655.91364,205212896775.07684,176733190995.36133,229491591547.26932,2037.45,5469935155.954717,2048.9,3017508806.9999027,2950619487.1056533,4950421976.400396,4840314185.979035,3200690620.8164783,3242146129.785541,2636965491.340258,2635896733.7115355,3339994553.3338165,3313818721.543322
2,california,baseline,405386730807.24384,399863638955.8546,367094487752.4601,456237738564.6713,2038.85,20148611389.79432,2049.6,8863306191.311476,8787308159.459927,16302898397.266218,16465908284.198627,14353775050.953344,14474199136.23728,6012841656.83503,6044917943.430732,81631764.03245787,81541853.3448572
3,california,baseline,124074468848.9067,120369075309.65662,106893040412.96574,146310532660.92752,2037.55,6118573188.842319,2049.65,2802203739.2536364,2839388400.069319,5348535337.030716,5381017175.255443,4085566935.0772038,4149675552.606073,1807227857.747827,1867027141.1670327,134150556.45881101,133876781.61293006
4,california,baseline,382793656962.1074,383957905718.1478,337153468599.0783,427801608974.69196,2040.25,12720108087.65597,2055.05,4893919795.995977,4941118619.393462,9500582646.91599,9395969500.161938,10756905934.846453,10691482465.331873,6204249279.748807,6305371111.771725,4143555234.979775,4165757316.580449
5,california,baseline,194558275304.2624,192867040792.2215,169023783416.146,217049499339.58716,2034.95,6894107676.231839,2045.55,4442263443.367414,4484022162.247762,6737663281.801406,6824842602.9418955,3460038740.868761,3497540449.817834,3019015758.437045,3021874200.0958405,2069997318.4221253,2078526491.3988717
6,california,baseline,150638306143.44083,147879286083.85092,134386322198.82419,171810030107.90573,2036.9,9702844845.855448,2043.9,6093931370.390492,6092099769.595873,8904608964.222763,9121933579.768444,3784465131.8018603,3810281139.2833796,90909271.24981973,91055773.27758148,125048127.80818601,125281247.81058466
7,california,baseline,219853890489.94562,221312865895.9308,189359307125.13837,250785546934.60944,2037.8,10701829566.295914,2047.75,5281852723.187909,5319444654.351069,9582308348.960892,9399939182.076935,6455595143.560643,6501637354.53053,3299904164.9706626,3308678692.391902,107184161.19826624,106923599.07564136
8,california,baseline,91751817153.29839,92449226068.56314,77965133833.5869,105841298122.30396,2039.5,5020396988.344982,2047.1,2941919588.267815,2883149929.36281,4418424154.844723,4412736512.414341,3140290035.637515,3118850363.9203777,546621418.4283042,541544758.9958732,83683902.78091258,83968789.16924621
9,california,baseline,157967990545.20535,157838464206.87653,129318318052.00706,177776967014.23434,2038.1,5700225204.935379,2063.95,3358471195.5735006,3325642943.11237,5031612707.187904,5036401651.851144,3732690237.141637,3673898932.720427,3621669441.937043,3642493306.04476,139866124.32054833,139579569.44885504
