year,n,p05,p50,p95,mean,abs_width,rel_width,ratio_p95_p50,ratio_p05_p50
2024,800,1974020.3988087343,5951359.590955829,16349170.167359125,7252187.281343,14375149.76855039,2.415439623308267,2.747131964972282,0.3316923416640151
2025,800,304935206.14095205,543892930.1713165,1110978447.6923387,594338603.0544461,806043241.5513866,1.481988819559573,2.0426418253725056,0.5606530058129325
2026,800,762765570.4717207,1361379919.3610406,2797580461.5529475,1492602833.7784142,2034814891.0812268,1.4946708572257044,2.0549593994790105,0.560288542253306
2027,800,1274882364.990444,2259645975.310812,4916220109.199406,2548952045.864276,3641337744.2089615,1.6114638239771606,2.1756594452912847,0.5641956213141243
2028,800,1797744507.1780014,3209511760.4016094,7043607827.226191,3673194958.1403127,5245863320.048189,1.6344739361203553,2.1946041494936965,0.5601302133733412
2029,800,2286270868.422803,4228216556.7751827,9476357262.741495,4808084744.205479,7190086394.318692,1.7005009790232923,2.2412185221584333,0.5407175431351412
2030,800,2711016890.0108867,5137517856.420929,12004805208.81807,5871948531.163339,9293788318.807182,1.8090036041805089,2.3366936221573082,0.5276900179767992
2031,800,3131329432.5702453,5998905959.605528,14181674601.88716,6900447804.640996,11050345169.316914,1.842060076241561,2.3640434934938885,0.5219834172523273
2032,800,3499230395.406268,6797180656.356922,16620618031.850998,7840793782.826203,13121387636.444729,1.9304161975117173,2.445222346165967,0.5148061486542491
2033,800,3863332492.3023067,7541317846.230482,18448018199.495644,8724984703.816803,14584685707.193336,1.9339704285880845,2.446259205042904,0.5122887764548193
2034,800,4179744598.315416,8119326505.882795,20237903483.004787,9487526670.81947,16058158884.689371,1.9777698153971954,2.4925593851092906,0.5147895697120954
2035,800,4343695688.490794,8522359827.770235,20780108197.361115,10022842941.112446,16436412508.87032,1.928622217441703,2.4383044857656473,0.5096822683239445
2036,800,4593688966.612565,8977021759.792294,20850214929.132404,10457111546.462181,16256525962.51984,1.8109041503421706,2.322620517922731,0.5117163675805607
2037,800,4627579993.525265,9182548839.484264,21137523797.01227,10660678304.709274,16509943803.487007,1.7979696152004658,2.301923372966177,0.5039537577657112
2038,800,4450452271.287502,8996332541.355366,21636364657.633022,10608891476.493792,17185912386.34552,1.9103242690666848,2.405020552338691,0.4946962832720063
2039,800,4122874969.841395,8583975032.281317,21691717225.160873,10288221976.179699,17568842255.319477,2.0467023947820477,2.527001435067779,0.48029904028573117
2040,800,3735613994.4419403,8164897356.368422,20618006576.654087,9846615491.305916,16882392582.212147,2.0676797080669105,2.525200951922873,0.45752124385596254
