year,n,p05,p50,p95,mean,abs_width,rel_width,ratio_p95_p50,ratio_p05_p50
2024,800,1308068.8459309186,3735783.864965797,10534328.071990807,4573823.607333798,9226259.226059888,2.4696983443244136,2.8198440950457004,0.3501457507212866
2025,800,303796524.02340424,549739292.2110946,1022457815.9039106,569177693.9870896,718661291.8805064,1.3072765619317372,1.8598958276958975,0.5526192657641602
2026,800,683255942.1284021,1223628076.2486346,2403995554.077105,1296632143.8141482,1720739611.9487028,1.4062603215383054,1.9646456310868647,0.5583853095485595
2027,800,1098735839.0560284,1973983433.8548446,4040942831.2659464,2098279491.4693997,2942206992.209918,1.4904922410945982,2.04710068076645,0.5566084396718515
2028,800,1507616943.6361523,2753925494.3888855,5695272817.675277,2926005253.26479,4187655874.0391245,1.52061335085915,2.068056245268573,0.5474428944094228
2029,800,1869221452.513837,3465640477.81938,7432723584.618519,3750037443.2973375,5563502132.104682,1.6053315881182517,2.1446897426865443,0.5393581545682927
2030,800,2194789923.5864134,4150533829.3276844,9181870701.096941,4517758974.693838,6987080777.510528,1.6834173782995803,2.212214399077491,0.5287970207779108
2031,800,2503709623.139957,4795372040.87142,11037346041.43519,5259680286.089332,8533636418.295233,1.7795566945718129,2.3016662622551123,0.5221095676832992
2032,800,2735922448.74051,5400065791.32497,12640446184.539219,5936369867.034829,9904523735.79871,1.8341487156897245,2.3407948482490126,0.5066461325592885
2033,800,3025034763.89478,5942000328.044081,14110711641.839014,6562239180.101462,11085676877.944233,1.8656473015701243,2.3747409732109213,0.5090936716407968
2034,800,3242440644.058719,6415056993.752447,15381951363.769863,7122436099.341806,12139510719.711143,1.892346510955971,2.397788730287225,0.505442219331254
2035,800,3393174204.719924,6708274789.261892,15609545403.485134,7530898468.451282,12216371198.76521,1.8210898602902,2.3269090628892743,0.5058192025990743
2036,800,3546611914.2770815,7102556154.718537,15782104235.242659,7869535273.011914,12235492320.965576,1.7226885721751042,2.222031602630543,0.4993430304554386
2037,800,3601747270.59228,7212606501.676897,16357532959.34694,8061940253.787109,12755785688.75466,1.768540358577582,2.267908689534621,0.499368330957039
