Year,ATS Total Power (kWh),ATS Emissions (kg CO2),EV Fraction,Clean Energy Fraction,outer_draw_id,inner_draw_id
2024,11348905.27297872,17540259.73849882,0.06926938418913828,0.7657740274641944,0,0
2025,709969279.4136416,857787280.2713871,0.0721795147880113,0.8046714893382352,0,0
2026,1775649679.0561843,2290672944.5816817,0.07521190517310347,0.8455447462718872,0,0
2027,3095850945.840182,4098158151.7751403,0.0783716916964851,0.8884941586981844,0,0
2028,4688523032.761856,6363229077.6426735,0.0816642264975545,0.9336251848544436,0,0
2029,6117259817.024405,8138956551.863515,0.08509508656864914,0.981048639725036,0,0
2030,7801262675.836497,10588738545.78488,0.08867008320151953,1.0,0,0
2031,9361899237.257345,12371466324.753736,0.09239527183066602,1.0,0,0
2032,10887763665.824362,14954436452.658968,0.09627696229021213,1.0,0,0
2033,12448536888.170536,17026316208.451796,0.1003217295016871,1.0,0,0
2034,14003289366.655087,19342512297.398323,0.10453642461082162,1.0,0,0
2035,16129383500.711517,22952594481.56318,0.10892818659221999,1.0,0,0
2036,16992154481.109001,23793339590.980995,0.11350445434156536,1.0,0,0
2037,17169073152.474848,24501375592.990818,0.11827297927584028,1.0,0,0
2038,17461266190.287567,23798076603.940517,0.12324183846290473,1.0,0,0
2039,16469776040.494259,22429661920.666306,0.12841944830267146,1.0,0,0
2040,17598914664.91981,23482399440.955437,0.1338145787830518,1.0,0,0
2041,16499221687.550215,22029947849.45437,0.13943636833481923,1.0,0,0
2042,16501982890.907114,21800251263.442436,0.14529433931055247,1.0,0,0
2043,14867582127.87999,19611559966.603638,0.1513984141138763,1.0,0,0
2044,14731589899.488619,18831276548.648884,0.157758932006321,1.0,0,0
2045,13924963625.87464,18286456176.23696,0.16438666662026769,1.0,0,0
2046,12546332295.877748,16288786874.886038,0.17129284420764387,1.0,0,0
2047,12448271255.86326,16453827347.10019,0.17848916265527945,1.0,0,0
2048,11657172199.376713,14652067610.776258,0.18598781129913153,1.0,0,0
2049,11563821464.929924,14916077497.824997,0.19380149157094048,1.0,0,0
2050,10786108421.148788,13531102551.50362,0.20194343851228866,1.0,0,0
2051,9943959559.121763,12393109988.858738,0.21042744319250337,1.0,0,0
2052,9586812275.651913,12061775992.07815,0.2192678760683761,1.0,0,0
2053,9445587371.21307,11623754526.435528,0.22847971132526487,1.0,0,0
2054,8830058573.69084,10268886111.15078,0.2380785522408102,1.0,0,0
2055,8421624884.931939,10192271149.826382,0.2480806576142258,1.0,0,0
2056,8086458392.822798,9309019229.680006,0.2585029693059313,1.0,0,0
2057,7900951335.873523,9179130257.43959,0.269363140934174,1.0,0,0
2058,7920163656.379882,9214411999.401365,0.2806795677772468,1.0,0,0
2059,7453798201.391168,8531941376.3163595,0.29247141793195186,1.0,0,0
2060,7602099259.913629,8501013608.842796,0.3047586647810875,1.0,0,0
2061,7228111669.1888485,8020716559.399334,0.31756212082495094,1.0,0,0
2062,6980217510.84524,7560202602.834692,0.3309034729341647,1.0,0,0
2063,7042766128.806703,7568856950.209852,0.34480531908353557,1.0,0,0
2064,6970698624.343469,7203208426.378891,0.3592912066291695,1.0,0,0
2065,6859565027.221831,6945132659.251285,0.3743856721936765,1.0,0,0
2066,7324820124.830785,7464432221.88193,0.39011428322702396,1.0,0,0
2067,6748859588.208112,6807798785.950851,0.40650368131343556,1.0,0,0
2068,7053781842.034583,6979906568.179924,0.4235816272976912,1.0,0,0
2069,7025643251.844393,6726147918.956472,0.4413770483072622,1.0,0,0
2070,6999519055.198318,6647760280.35991,0.4599200867499315,1.0,0,0
2071,6974382633.73693,6389422456.304921,0.4792421513698906,1.0,0,0
2072,6986253159.329371,6311774783.669101,0.49937597044879534,1.0,0,0
2073,6862271277.770006,6113856391.108997,0.5203556472418918,1.0,0,0
2074,7103412813.0194235,6004798344.243358,0.5422167177431141,1.0,0,0
2075,6858398180.644785,5483026373.230454,0.5649962108769963,1.0,0,0
2076,6973532057.747781,5443085979.675523,0.588732711219355,1.0,0,0
2077,6581210813.171671,4976305952.4918585,0.6134664243529787,1.0,0,0
2078,7057704217.360824,5207821216.507164,0.6392392449690274,1.0,0,0
2079,6786391156.675018,4740833957.498305,0.6660948278294934,1.0,0,0
2080,6713285618.315291,4349036616.467954,0.6940786617109214,1.0,0,0
2081,6700185195.595815,4087019505.91536,0.7232381464546374,1.0,0,0
2082,6749942291.82907,3655942489.417639,0.7536226732539947,1.0,0,0
2083,6353491289.293954,3290813057.875957,0.78528370831463,1.0,0,0
2084,6468974893.248119,2934146161.880796,0.8182748800294382,1.0,0,0
2085,6148199102.408041,2334953482.6377215,0.8526520698159212,1.0,0,0
2086,6001036864.145325,1900851635.4198146,0.8884735067697783,1.0,0,0
2087,5917767463.334363,1404108910.3915067,0.9257998662950615,1.0,0,0
2088,5632259290.01926,881766309.6341187,0.9646943728779606,1.0,0,0
2089,5686468604.121185,420087414.77553004,1.0,1.0,0,0
2090,5748053006.771818,416824319.6539601,1.0,1.0,0,0
2091,5568254944.377044,400132339.34981084,1.0,1.0,0,0
2092,5733580186.94638,416902570.54422796,1.0,1.0,0,0
2024,9522171.197037643,14456639.052049499,0.06926938418913828,0.7657740274641944,0,1
2025,632150253.6737211,746057908.8128247,0.0721795147880113,0.8046714893382352,0,1
2026,1541131469.8747306,1931111752.4860344,0.07521190517310347,0.8455447462718872,0,1
2027,2734613013.3826685,3599377650.471519,0.0783716916964851,0.8884941586981844,0,1
2028,4158459273.444548,5540198591.977033,0.0816642264975545,0.9336251848544436,0,1
2029,5624748303.925243,7389965973.021378,0.08509508656864914,0.981048639725036,0,1
2030,6961469926.203663,9604025571.694826,0.08867008320151953,1.0,0,1
2031,8497576253.006631,11640794328.458586,0.09239527183066602,1.0,0,1
2032,9883913098.902096,13562522166.15956,0.09627696229021213,1.0,0,1
2033,10990374523.094727,15035759156.234236,0.1003217295016871,1.0,0,1
2034,12011358112.72423,16418894771.71478,0.10453642461082162,1.0,0,1
2035,13649093672.142826,18629068049.113483,0.10892818659221999,1.0,0,1
2036,14718727734.277512,20061307416.30517,0.11350445434156536,1.0,0,1
2037,15139260694.311045,20463235127.84981,0.11827297927584028,1.0,0,1
2038,16110473418.616383,21493507767.455677,0.12324183846290473,1.0,0,1
2039,15359798428.40554,21104831645.294567,0.12841944830267146,1.0,0,1
2040,15520940562.976984,20996718234.426346,0.1338145787830518,1.0,0,1
2041,14517546422.717796,19343456937.49957,0.13943636833481923,1.0,0,1
2042,14014691387.06953,18432407195.033634,0.14529433931055247,1.0,0,1
2043,13386135613.285484,17089702676.947462,0.1513984141138763,1.0,0,1
