region,policy,target,rank,feature,method,score
california,baseline,cum_emis_mean,1,growth_rates.ev,rf_importance,0.2329320943183932
california,baseline,cum_emis_mean,2,growth_rates.efficiency_doubling,rf_importance,0.22144600420575447
california,baseline,cum_emis_mean,3,growth_rates.cav,rf_importance,0.07811294145838749
california,baseline,cum_emis_mean,4,consumption_rates.sti_levels[2],rf_importance,0.062311458581910034
california,baseline,cum_emis_mean,5,consumption_rates.cav_levels[2],rf_importance,0.04442919323996948
california,baseline,peak_emis_mean,1,growth_rates.efficiency_doubling,rf_importance,0.30223938301558195
california,baseline,peak_emis_mean,2,consumption_rates.cav_levels[2],rf_importance,0.08571641624331607
california,baseline,peak_emis_mean,3,consumption_rates.ecav_scale_factors.L4,rf_importance,0.06901010239548037
california,baseline,peak_emis_mean,4,growth_rates.ev,rf_importance,0.05663712611883045
california,baseline,peak_emis_mean,5,consumption_rates.ecav_scale_factors.computing,rf_importance,0.05543212261968646
california,baseline,peak_year_mean,1,growth_rates.retire_year,rf_importance,0.7518970853930861
california,baseline,peak_year_mean,2,consumption_rates.sti_scale_factors.Basic,rf_importance,0.044962628158560634
california,baseline,peak_year_mean,3,growth_rates.efficiency_doubling,rf_importance,0.02552797875411906
california,baseline,peak_year_mean,4,initial_data.f_clean,rf_importance,0.020083249934157988
california,baseline,peak_year_mean,5,consumption_rates.ecav_scale_factors.L3,rf_importance,0.01076652987584536
california,baseline,turning_year_mean,1,consumption_rates.ecav_scale_factors.computing,rf_importance,0.27662112893758556
california,baseline,turning_year_mean,2,consumption_rates.sti_scale_factors.sensing,rf_importance,0.2211390974147606
california,baseline,turning_year_mean,3,initial_data.f_clean,rf_importance,0.16173158914646343
california,baseline,turning_year_mean,4,growth_rates.sti,rf_importance,0.06153603963623627
california,baseline,turning_year_mean,5,consumption_rates.ecav_scale_factors.sensing,rf_importance,0.05276152678636651
