feature,importance_rf
growth_rates.ev,0.2329320943183932
growth_rates.efficiency_doubling,0.22144600420575447
growth_rates.cav,0.07811294145838749
consumption_rates.sti_levels[2],0.062311458581910034
consumption_rates.cav_levels[2],0.04442919323996948
consumption_rates.ecav_scale_factors.computing,0.031893761950650835
consumption_rates.cav_levels[1],0.030116444293636652
consumption_rates.sti_scale_factors.computing,0.029025756140153916
consumption_rates.sti_scale_factors.Basic,0.028780929044423382
growth_rates.sti,0.0218902721728891
consumption_rates.sti_levels[0],0.018228574500789345
consumption_rates.ecav_scale_factors.communication,0.01709468431619951
consumption_rates.ecav_scale_factors.L4,0.016310743279969595
consumption_rates.ecav_scale_factors.L3,0.01585926420228707
consumption_rates.sti_scale_factors.communication,0.015207304447446819
consumption_rates.sti_scale_factors.Semi,0.01511178524177736
consumption_rates.cav_levels[0],0.014446489290594913
emission_factors.e_clean,0.014237825869526157
consumption_rates.ecav_scale_factors.L5,0.014172828289651784
consumption_rates.sti_levels[1],0.01130643718407962
consumption_rates.cohort_decay_factor,0.009046508048526112
growth_rates.total_car_increase,0.008467441372941052
consumption_rates.sti_scale_factors.sensing,0.007787416984643035
growth_rates.clean_energy,0.00759959110162603
initial_data.f_clean,0.00716429998212777
consumption_rates.ecav_scale_factors.sensing,0.0065908298380883724
growth_rates.retire_year,0.0063680597295326415
emission_factors.e_gasoline,0.00531860539572118
emission_factors.e_fossil,0.0052340156450698715
consumption_rates.sti_scale_factors.Highly,0.00350843987323324
